film_title,bechdel_test,male_rating,male_num_reviews,female_rating,female_num_reviews,majority_reviewer_gender,gender_who_preferred,large_diff
'71,fail,7.6,73,8.1,20,male,female,TRUE
3 Days to Kill,fail,6.2,3890,6.7,892,male,female,TRUE
300: Rise of an Empire,fail,6.8,53361,6.9,7523,male,female,FALSE
A Long Way Down,pass,6.3,676,6.9,280,male,female,TRUE
The Adventurer: The Curse of the Midas Box,fail,5.1,866,5.9,263,male,female,TRUE
Alles Inklusive,pass,5.8,12,6.8,4,male,female,TRUE
Barbie: The Pearl Princess,pass,5.8,31,6.1,42,female,female,FALSE
Camp Takota,pass,6.2,494,8,821,female,female,TRUE
Captain America: The Winter Soldier,fail,8.3,35269,8.4,6844,male,female,FALSE
Cesar Chavez,pass,5.4,349,6.9,133,male,female,TRUE
Dead Snow 2,pass,7.8,396,7.6,44,male,male,FALSE
Divergent,pass,6.9,10546,8.2,10639,equal,female,TRUE
Fields of the Dead,pass,2.6,82,4.9,15,male,female,TRUE
Flowers in the Attic,pass,5.7,767,6,1098,female,female,FALSE
God's Not Dead,fail,3.7,3362,7.1,1352,male,female,TRUE
The Grand Budapest Hotel,fail,8.4,20586,8.4,6566,male,equal,FALSE
I Frankenstein,fail,5.2,12367,5.6,2714,male,female,TRUE
Jack Ryan: Shadow Recruit,fail,6.4,11597,6.7,3136,male,female,FALSE
The Legend of Hercules,fail,4,9304,4.9,1913,male,female,TRUE
The Lego Movie,pass,8.3,38111,8.2,8818,male,male,FALSE
Lies I Told My Little Sister,pass,8.6,7,10,2,male,female,TRUE
Lizzie Borden Took An Ax,pass,5.9,414,5.9,441,equal,equal,FALSE
The Monuments Men,fail,6.2,15388,6.6,4916,male,female,TRUE
Mr. Peabody and Sherman,fail,7,5094,7.4,1749,male,female,TRUE
Noah,pass,6.7,17153,6.5,3971,male,male,FALSE
Non-Stop,pass,7.3,23705,7.5,5218,male,female,FALSE
Our RoboCop Remake,pass,7,38,6,1,male,male,TRUE
The Pa Boys,fail,6,6,8.2,6,equal,female,TRUE
Paranormal Activity: The Marked Ones,fail,5.1,7605,5.1,1807,male,equal,FALSE
Pompeii,pass,6.1,6894,6.8,2399,male,female,TRUE
Queen,pass,9,7764,8.7,923,male,male,TRUE
Ride Along,fail,6.2,11503,6.8,2516,male,female,TRUE
Rio 2,pass,6.9,796,7.6,207,male,female,TRUE
Robocop,fail,6.6,33033,6.7,5091,male,female,FALSE
That Awkward Moment,pass,5.8,2972,6.8,2070,male,female,TRUE
Vampire Academy,pass,5,1622,7.8,3584,female,female,TRUE
Veronica Mars,pass,7.1,6830,8.3,5256,male,female,TRUE
Winter's Tale,pass,5.9,3424,6.5,2564,male,female,TRUE
1,pass,5.6,2298,5.2,301,male,male,TRUE
The 100-Year-Old Man Who Climbed Out the Window and Disappeared,fail,7.2,1433,7.5,394,male,female,FALSE
12 Years a Slave,pass,8.3,119229,8.3,32360,male,equal,FALSE
2 Guns,fail,6.8,73330,6.8,9594,male,equal,FALSE
20 Feet from Stardom,pass,7.4,2451,7.7,794,male,female,FALSE
21 & Over,fail,5.8,29286,6.1,7003,male,female,FALSE
42,fail,7.5,32921,7.9,6432,male,female,TRUE
47 Ronin,fail,6.3,35712,6.6,6511,male,female,FALSE
A Field in England,fail,6.1,2869,6.2,320,male,female,FALSE
A Good Day to Die Hard,fail,5.3,98624,5.6,12880,male,female,FALSE
