film_title,male_rating,female_rating
'71,7.6,8.1
3 Days to Kill,6.2,6.7
300: Rise of an Empire,6.8,6.9
A Long Way Down,6.3,6.9
The Adventurer: The Curse of the Midas Box,5.1,5.9
Alles Inklusive,5.8,6.8
Barbie: The Pearl Princess,5.8,6.1
Camp Takota,6.2,8
Captain America: The Winter Soldier,8.3,8.4
Cesar Chavez,5.4,6.9
Dead Snow 2,7.8,7.6
Divergent,6.9,8.2
Fields of the Dead,2.6,4.9
Flowers in the Attic,5.7,6
God's Not Dead,3.7,7.1
The Grand Budapest Hotel,8.4,8.4
I Frankenstein,5.2,5.6
Jack Ryan: Shadow Recruit,6.4,6.7
The Legend of Hercules,4,4.9
The Lego Movie,8.3,8.2
Lies I Told My Little Sister,8.6,10
Lizzie Borden Took An Ax,5.9,5.9
The Monuments Men,6.2,6.6
Mr. Peabody and Sherman,7,7.4
Noah,6.7,6.5
Non-Stop,7.3,7.5
Our RoboCop Remake,7,6
The Pa Boys,6,8.2
Paranormal Activity: The Marked Ones,5.1,5.1
Pompeii,6.1,6.8
Queen,9,8.7
Ride Along,6.2,6.8
Rio 2,6.9,7.6
Robocop,6.6,6.7
That Awkward Moment,5.8,6.8
Vampire Academy,5,7.8
Veronica Mars,7.1,8.3
Winter's Tale,5.9,6.5
1,5.6,5.2
The 100-Year-Old Man Who Climbed Out the Window and Disappeared,7.2,7.5
12 Years a Slave,8.3,8.3
2 Guns,6.8,6.8
20 Feet from Stardom,7.4,7.7
21 & Over,5.8,6.1
42,7.5,7.9
47 Ronin,6.3,6.6
A Field in England,6.1,6.2
A Good Day to Die Hard,5.3,5.6
A Haunting at Silver Falls,4.6,5.1
A Talking Cat!?!,3,3.7
About Time,7.8,8
Admission,5.6,5.9
After Earth,5,5.4
Afternoon Delight,5.8,6
All is Lost,6.9,6.8
American Hustle,7.5,7.3
Amiche da morire,6.1,6.2
Anchorman 2: The Legend Continues,6.7,6.5
And Now a Word from Our Sponsor,4.7,4.5
Angelique,5.4,5.8
Ass Backwards,4.2,4.1
August: Osage County,7.3,7.5
Austenland,5.5,6.7
Baggage Claim,4.3,5.5
Beautiful Creatures,6,6.4
Before Midnight,8.1,7.9
Behind the Candelabra,7,7.1
Beltracchi: The Art of Forgery,7.4,6.5
Best Friends Forever,4.8,5.7
The Best Man Holiday,6.2,7.7
The Big Wedding,5.4,5.8
Birdemic 2: The Resurrection,2.4,1.7
The Bling Ring,5.7,5.7
Blue Is the Warmest Color,8,8
Blue Jasmine,7.4,7.4
The Book Thief,7.4,8
Bounty Killer,5.3,5.6
The Boy and the World,8.4,8.5
The Call,6.6,7.1
Camille Claudel 1915,6.5,6.6
Captain Battle: Legacy War,1.3,1.4
Captain Phillips,7.9,8
Carrie,6,6.1
Casse-tete chinois,7.2,7.5
Clear History,6.6,6.3
Closed Circuit,6.1,6.3
Cloudy with a Chance of Meatballs 2,6.4,6.8
The Colony,5.3,5.1
Computer Chess,6.4,6.1
Concussion,5.6,6.2
The Congress,6.8,6.8
The Conjuring,7.5,7.6
The Counselor,5.5,5.2
The Croods,7.2,7.6
The Crown and the Dragon,3.8,3.6
Crystal Fairy & the Magical Cactus and 2012,5.8,6
Cutie and the Boxer,7.2,7.4
Dallas Buyers Club,8,8.1
Dark Skies,6.2,6.5
Dark Touch,4.9,4.8
The Day of the Doctor,9.4,9.5
Dead Man Down,6.5,6.6
Despicable Me 2,7.4,7.9
Devil's Pass,5.6,5.7
Disconnect,7.6,7.6
Don Jon,6.8,6.6
Dragon Ball Z: Battle of Gods,7.3,7.4
Dragon Lore: Curse of the Shadow,4.8,4.7
Drinking Buddies,6.2,6
The East,6.8,7.2
Ego,5.8,6.8
Elysium,6.7,6.6
Ender's Game,6.8,7.1
Enough Said,7.1,7.2
Epic,6.6,7
Escape from Planet Earth,5.8,6.2
Escape Plan,6.8,7
Europa Report,6.5,6.4
Evil Dead,6.5,6.4
Exit Marrakech,6,6
Fack ju Gohte,7.2,7.5
The Fall,8,8.4
Family Weekend,6.3,6.6
The Family,6.3,6.5
Faroeste caboclo,6.8,7.1
Fast and Furious 6,7.1,7.6
The Fifth Estate,6,6.4
Filth,7.1,7.2
Finsterworld,7.1,6.9
For Elisa,4.8,5.1
Freier Fall,7.4,7.4
Frozen,7.7,8.3
The Frozen Ground,6.3,6.6
Fruitvale Station,7.5,7.6
G.I. Joe: Retaliation,5.8,6
Gam-si-ja-deul,7.1,7.5
The Gamers: Hands of Fate,6.4,7
Gangster Squad,6.8,6.9
Gimme Shelter,5.9,7.2
Girl Most Likely,5.5,5.9
Gloria,7,7
Go for Sisters,6.1,7.3
Grace Unplugged,5.2,6.5
The Grandmaster,6.5,6.8
Gravity,8.2,7.9
The Great Gatsby,7.2,7.7
Grown Ups 2,5.3,5.8
The Hangover part 3,5.9,6.1
Hannas Reise,7,7.3
Hansel & Gretel,2.5,2.8
Hansel & Gretel: Witch Hunters,6.1,6.4
Hansel and Gretel Get Baked,4.2,4.4
Haunter,5.8,6.1
Haute Cuisine,6.2,6.5
The Heat,6.5,7.2
Hemlock Grove,7,7.8
Her,8.3,8
The Hit Girl,6.8,9.3
The Hobbit: The Desolation of Smaug,8.1,8.3
The Host,5.6,6.5
The Hot Flashes,4.5,5.8
How I Live Now,6.3,6.9
The Hunger Games: Catching Fire,7.6,8.4
I Give it a Year,5.8,5.7
I Used to Be Darker,5.5,5.4
I'm So Excited,5.6,5.9
Ida,7.5,7.7
Identity Thief,5.6,6.1
In a World...,6.7,6.9
The Incredible Burt Wonderstone,5.9,5.9
Inside Llewyn Davis,7.7,7.4
Insidious: Chapter 2,6.6,6.9
Instructions Not Included,7.5,8.2
The Internship,6.3,6.5
Iron Man 3,7.3,7.8
Jack the Giant Slayer,6.3,6.6
Jeune & jolie,6.9,7
Jurassic Attack,2.3,2.3
Karlek deluxe,3.7,4.6
Kick-Ass 2,6.8,6.8
Kill Your Darlings,6.4,7
Killing Season,5.4,5.3
Knights of Badassdom,5.7,7.8
Kyss meg for faen i helvete,6.4,7.2
L'amour est un crime parfait,6.3,6.2
L'ecume des jours,6.5,6.8
The Last Exorcism Part II,3.9,4.1
The Last Keepers,4.7,5.7
Last Passenger,5.6,5.7
Last Vegas,6.6,7
Le Passe,8,7.9
Lee Daniels' The Butler,7,7.5
Les garcons et Guillaume a table!,6.7,7.1
Les Reines du Ring (English: Wrestling Queens),5.4,6.3
The Lifeguard,5.4,6.1
The Lone Ranger,6.5,6.9
The Look of Love,6,6.2
Lost In Living,no data,no data
Love & Air Sex,5.2,5.7
Lovelace,6.1,6.4
The Lunchbox,8,7.9
Machete Kills,5.7,5.7
Madoka Magica: Rebellion Story,7.8,7.4
Mama,6.2,6.4
Man of Steel,7.4,7.2
Man of Tai Chi,6.1,6.1
Mandela: Long Walk to Freedom,7,7.4
Mary and Martha,6.5,7.4
Meine Schwestern,6.1,7
Michael Kohlhaas,6.3,6.5
Mobius,6.1,6.3
Monsters University,7.4,7.7
The Mortal Instruments: City of Bones,5.5,6.9
Moving Mountains,no data,no data
Mt. Zion,5.6,5.7
Mud,7.5,7.3
My Little Pony: Equestria Girls,6.2,6.6
Nazotoki wa Dinner no Ato de (The After-Dinner Mysteries),6.3,5.5
Nebraska,7.9,7.8
Night Train to Lisbon,6.7,6.9
Now You See Me,7.2,7.7
The Numbers Station,5.5,5.5
Nymphomaniac: Volume 1,7.3,7.5
Nymphomaniac: Volume 2,7.1,7.3
O Tempo e o Vento,6.2,5.7
Oblivion,7.1,6.8
Oldboy,5.5,5.4
Olympus Has Fallen,6.4,6.9
Only God Forgives,5.9,5.5
Only Lovers Left Alive,7.4,7.9
Orphan Black,8.2,8.7
Out of the Furnace,6.9,6.8
Oz the Great and Powerful,6.4,6.5
Pacific Rim,7.1,7.2
Pain & Gain,6.5,6.1
Parker,6.2,6.3
Pasadena,3.7,5.4
Peeples,4.8,5.4
Percy Jackson: Sea of Monsters,5.7,6.6
Perfect Mothers,6,6.7
Philomena,7.7,7.9
The Physician,7.3,7.5
Planes,5.6,5.9
Pozitia copilului,7.6,7.9
Prince Avalanche,6.4,6.3
Prisoners,8.1,8
Puella Magi Madoka Magica the Movie Part III: The Rebellion Story,7.8,7.4
The Purge,5.5,5.8
R.I.P.D.,5.6,5.8
The Railway Man,7.2,7.4
Red 2,6.6,7
Riddick,6.4,6.3
Riley Rewind,7.8,8.7
Runner Runner,5.6,5.6
Rush,8.3,8.3
RWBY,8.2,8.1
Safe Haven,6.3,7
Saige Paints the Sky,5.9,6.2
Saving Mr Banks,7.6,7.9
Saving Mr. Banks,7.6,7.9
The Secret Life of Walter Mitty,7.4,7.6
Sharknado,3.3,3.5
Sharknado,3.3,3.5
Short Term 12,8,8.2
Side Effects,7.1,7.1
The Sisters Plotz,5,6.8
Skinwalker Ranch,5,5.1
The Smurfs 2,5.2,5.9
Snowpiercer,7.2,7.2
Some Girl(s),4.7,4.6
Soshite chichi ni naru (Like Father Like Son),7.9,7.9
Star Trek Into Darkness,7.8,8.2
The Starving Games,3.1,3.6
Still Life,7.5,7.8
Stoker,6.9,7
Summer League,6.7,5
Sunshine on Leith,6.5,7.1
Suzanne,6.9,7.2
Texas Chainsaw 3D,4.8,4.9
Thanks for Sharing,6.4,6.4
This Is the End,6.9,6.8
Thor: The Dark World,7.2,7.7
The To Do List,5.7,6
Trance,7,7.1
Turbo,6.4,6.7
UMMAH - Unter Freunden,6.6,6.8
UMMAH - Unter Freunden,6.6,6.8
V/H/S/2,6.2,5.8
Vai que da Certo,5.9,5.8
Vi ar bast!,6.9,7.2
Viva la liberta,7,7.3
Vivir es facil con los ojos cerrados,6.9,7.3
Wadjda,7.6,7.9
Warm Bodies,6.9,7.3
The Way Way Back,7.4,7.5
We Are What We Are,5.8,5.5
We're the Millers,7,7.3
Welcome to the Punch,6.1,6.2
White Bear,8,8.2
White House Down,6.3,6.9
The Wine of Summer,7.5,7.9
Witching and Bitching,6.3,6.3
The Wolf of Wall Street,8.4,8.1
The Wolverine,6.8,6.8
World War Z,7,7.2
The World's End,7,7
Zipi y Zape y el club de la canica,5.4,5.9
Zombie Hunter,3.5,3.4
Zum Geburtstag,5.6,6.4
2 Days in New York,6,6.2
21 Jump Street,7.2,7.3
A Late Quartet,7.1,7.1
About Cherry,4.8,4.9
Abraham Lincoln: Vampire Hunter,5.9,6.1
Act of Valor,6.5,6.8
Ahi va el diablo,5.6,5.8
All I Want Is Everything,no data,no data
The Amazing Spider-Man,7.1,7.5
American Mary,6.2,6.7
American Warships,2.8,3.8
Amour,7.8,7.9
The Angels' Share,7,7.1
Anna Karenina,6.5,6.9
Arachnoquake,2.8,3.3
Arbitrage,6.7,6.5
Argo,7.8,8
Attack of the 50ft Cheerleader,4.6,3.8
Augustine,6.1,6
The Avengers,8.2,8.4
Bachelorette,5.2,5.5
Bad Parents,3.3,3.3
Barbara,7.1,7.3
Barfi!,8.3,8.4
Batman: The Dark Knight Returns part 1,8,7.8
Battleship,5.9,6.2
The Bay,5.6,5.6
BearCity 2: The Proposal,6.4,6.3
Beasts of the Southern Wild,7.3,7.5
Berberian Sound Studio,6.3,5.9
Best Man Down,6.5,6.3
Beyond the Hills,7.6,7.7
Big Miracle,6.3,6.8
Bikini Spring Break,3,3.1
Bitchkram,5.8,6.2
Black Rock,4.7,4.8
Bletchley Circle,7.7,8.1
Blood Fare,3.1,3.6
Blue Like Jazz,5.9,6.1
The Body,7.2,7.5
The Bourne Legacy,6.7,6.9
Brave,7.1,7.5
The Broken Circle Breakdown,7.7,8.1
Bullet to the Head,5.8,5.6
Byzantium,6.5,6.7
Call Girl,6.7,6.6
Call Me Kuchu,7.5,7.8
The Campaign,6.2,6
Celeste and Jesse Forever,6.5,6.8
Cheesecake Casserole,6.7,6.2
Chernobyl Diaries,5,4.9
Chronicle,7.1,6.9
Cigarette Ki Tarah,3.3,7
Citadel,5.4,5.6
Cloud Atlas,7.6,7.7
Cockneys vs Zombies,5.9,6.1
Cocktail,6,6.3
The Company You Keep,6.4,6.4
Compliance,6.4,6.4
Contraband,6.5,6.5
Cosmopolis,5.1,4.9
Croczilla,4.3,4.3
Dabangg 2,5,5.2
The Dark Knight Rises,8.6,8.6
Dark Shadows,6.2,6.4
Das Leben ist nichts fur Feiglinge,6.6,6.9
Das Wochenende,5.7,6.7
Dead Man's Burden,5.4,5.4
Decay,3.9,3.5
Den skaldede frisor,6.5,6.7
The Devil Inside,4.1,4.2
The Dictator,6.4,6.2
Django Unchained,8.5,8.5
The Door,6.3,7.1
Dredd 3D,7.1,6.8
Eega,7.9,7.7
Elementary,7.9,8.1
End of Watch,7.7,7.6
English Vinglish,7.9,8
Entrance,4.9,4.4
Ernest & Celestine,7.8,8
Evangelion: 3.0 You Can (Not) Redo,6.9,7
Excision,6,6.3
The Expendables 2,6.8,6.8
Extracted,6.4,6.6
The Factory,5.6,6
Fast Girls,5.8,6.8
Fat Kid Rules the World,6.5,6.7
Fin,4.9,5
The Five-Year Engagement,6.2,6.1
Flight,7.3,7.2
Flukt,5.9,6.2
For a Good Time Call...,5.7,6.4
Foreign Letters,6.4,6.1
Four Assassins,3.6,3.6
Frances Ha,7.5,7.6
Frankenweenie,6.9,7.2
Future Weather,5.8,6.1
Gambit,5.7,5.8
Game Change,7.4,7.6
Gayby,6.1,6.1
Ginger and Rosa,6.1,6.4
Girl in Progress,5.2,5.8
Girl Vs. Monster,4.9,6.4
Gone,5.8,6.2
Goodbye,7.2,7.7
Grabbers,6.2,6.3
The Grey,6.8,6.5
The Guilt Trip,5.7,6
Gyo,5.8,6.1
Hannah Arendt,7.1,7.4
Hannibal,8.5,8.6
The Haunting of Whaley House,3.8,4
Hemingway & Gellhorn,6.3,6.5
The History of Future Folk,7.1,7.3
Hit and Run,6.1,6.3
Hitchcock,6.9,7
The Hobbit: An Unexpected Journey,8,8.2
Holy Motors,7.1,7.1
Hope Springs,6.3,6.4
Hotel Transylvania,7,7.4
House at the End of the Street,5.4,5.9
The Hunger Games,7,7.9
Hyde Park on Hudson,5.8,5.9
I Belong,6.7,6.6
If I Were You,6.5,7.4
Ill Manors,7,7.1
The Impossible,7.5,7.9
In The Dark Half,5.4,6
Inch'Allah,6.8,6.9
Interview with a Hitman,5.7,5.7
Iron Sky,6,5.9
It's a Disaster,6.5,6.4
Jack and Diane,4.2,4.8
Jack Reacher,7,6.8
Jagten,8.3,8.3
Jayne Mansfield's Car,6.3,6.3
John Carter,6.6,6.7
John Dies at the End,6.5,6.4
Kahaani,8.2,8.2
Kapringen,7.2,7.3
The Key and the Frame,no data,no data
Killer Joe,6.8,6.5
Killing Them Softly,6.3,5.8
Kiss of the Damned,5.5,5.7
Klip,5.8,6.4
Kon-Tiki,7.3,7.4
La cinquieme saison,7.1,7.1
Lake Effects,4.9,6.2
Lawless,7.3,7.5
Le grand soir,5.8,6.1
Le prenom,7.2,7.4
Les Miserables,7.6,8
