CHARACTER	DIALOGUE
MOTHER	You feeling any better?
THE KID	A little bit.
MOTHER	Guess what.
THE KID	What?
MOTHER	Your grandfather's here.
THE KID	Mom, can't you tell him that I'm sick?
MOTHER	You are sick, that's why he's here.
THE KID	He'll pinch my cheek. I hate that.
MOTHER	Maybe he won't.
GRANDFATHER	Hey! How's the sickie? Heh?
MOTHER	I think I'll leave you two pals.
GRANDFATHER	I brought you a special present.
THE KID	What is it?
GRANDFATHER	Open it up.
THE KID	A book?
GRANDFATHER	That's right. When I was your age, television was called books. And this is a special book. It was the book my father used to read to me when I was sick, and I used to read it to your father. And today, I'm gonna read it to you.
THE KID	Has it got any sports in it?
GRANDFATHER	Are you kidding? Fencing. Fighting. Torture. Revenge. Giants. Monsters. Chases. Escapes. True love. Miracles.
THE KID	It doesn't sound too bad. I'll try and stay awake.
GRANDFATHER	Oh. Well, thank you very much. It's very nice of you. Your vote of confidence is overwhelming. All right. The Princess Bride, by S. Morgenstern. Chapter One. Buttercup was raised on a small farm in the country of Florin.
GRANDFATHER (O.S.)	Her favorite pastimes were riding her horse and tormenting the farm boy that worked there. His name was Westley, but she never called him that. Isn't that a wonderful beginning? Yeah. It's really good. Nothing gave Buttercup as much pleasure as ordering Westley around.
BUTTERCUP	Farm boy. Polish my horse's saddle. I want to see my face shining in it by morning.
WESTLEY	As you wish.
GRANDFATHER (O.S.)	"As you wish" was all he ever said to her.
BUTTERCUP	Farm Boy. Fill these with water-- --please.
WESTLEY	As you wish.
GRANDFATHER (O.S.)	That day, she was amazed to discover that when he was saying, "As you wish," what he meant was, "I love you."
GRANDFATHER (O.S.)	And even more amazing was the day she realized she truly loved him back.
BUTTERCUP	Farm Boy, fetch me that pitcher.
WESTLEY	As you wish.
THE KID (O.S.)	--hold it, hold it--
THE KID	What is this? Are you trying to trick me?--Where's the sports?--Is this a kissing book?
GRANDFATHER	--wait, just wait--
THE KID	--well, when does it get good?
GRANDFATHER	Keep your shirt on. Let me read. Westley had no money for marriage. So he packed his few belongings and left the farm to seek his fortune across the sea.
GRANDFATHER (O.S.)	It was a very emotional time for Buttercup-- I don't be-leeve this.
BUTTERCUP	I fear I'll never see you again.
WESTLEY	Of course you will.
BUTTERCUP	But what if something happens to you?
WESTLEY	Hear this now: I will come for you.
BUTTERCUP	But how can you be sure?
WESTLEY	This is true love. You think this happens every day?
GRANDFATHER (O.S.)	Westley didn't reach his destination. His ship was attacked by the Dread Pirate Roberts, who never left captives alive. When Buttercup got the news that Westley was murdered-- --murdered by pirates is good--
GRANDFATHER (O.S.)	She went into her room and shut the door. And for days, she neither slept nor ate.
BUTTERCUP	I will never love again.
GRANDFATHER (O.S.)	Five years later, the main square of Florin City was filled as never before to hear the announcement of the great Prince Humperdinck's bride-to be.
HUMPERDINCK	My people... a month from now, our country will have its 500th anniversary. On that sundown, I shall marry a lady who was once a commoner like yourselves-- --but perhaps you will not find her common now. Would you like to meet her?
HUMPERDINCK	My people... the Princess Buttercup!! Buttercup's emptiness consumed her. Although the law of the land gave Humperdinck the right to choose his bride, she did not love him. Despite Humperdinck's reassurance that she would grow to love him, the only joy she found was in her daily ride.
VOICE	A word, my lady?
VIZZINI	We are but poor, lost circus performers. Is there a village nearby?
BUTTERCUP	There is nothing nearby; not for miles.
VIZZINI	Then there will be no one to hear you scream--
INIGO	What is that you're ripping?
VIZZINI	It's fabric from the uniform of an Army officer of Guilder.
FEZZIK	Who's Guilder?
VIZZINI	The country across the sea. The sworn enemy of Florin. Go!
VIZZINI	Once the horse reaches the castle, the fabric will make the Prince suspect the Guilderians have abducted his love. When he finds her body dead on the Guilder frontier, his suspicions will be totally confirmed.
FEZZIK	You never said anything about killing anyone.
VIZZINI	I've hired you to help me start a war. That's a prestigious line of work with a long and glorious tradition.
FEZZIK	I just don't think it's right, killing an innocent girl.
VIZZINI	Am I going mad or did the word "think" escape your lips? You were not hired for your brains, you hippopotamic land mass.
INIGO	I agree with FEZZIK.
VIZZINI	he's really getting Oh. The sot has spoken. What happens to her is not truly your concern--I will kill her-- And remember this--never forget this--
VIZZINI	--when I found you, you were so slobbering drunk you couldn't buy brandy-- he can while Vizzini --and you--friendless, brainless, helpless, hopeless--Do you want me to send you back to where you were, unemployed in Greenland?
INIGO	That Vizzini, he can fuss.
FEZZIK	...fuss... fuss... I think he likes to scream at us.
INIGO	Probably he means no harm.
FEZZIK	He's really very short on charm.
INIGO	Oh, you've a great gift for rhyme.
FEZZIK	Yes, some of the time.
VIZZINI	Enough of that.
INIGO	Fezzik, are there rocks ahead?
FEZZIK	If there are, we'll all be dead.
VIZZINI	No more rhymes now, I mean it.
FEZZIK	Anybody want a peanut?
VIZZINI	We'll reach the Cliffs by dawn.
VIZZINI	Why are you doing that?
INIGO	Making sure nobody's following us.
VIZZINI	That would be inconceivable.
BUTTERCUP	Despite what you think, you will be caught. And when you are, the Prince will see you all hanged.
VIZZINI	Of all the necks on this boat, Highness, the one you should be worrying about is your own.
VIZZINI	Stop doing that. We can all relax, it's almost over--
INIGO	You're sure nobody's following us?
VIZZINI	As I told you, it would be absolutely, totally, and in all other ways, inconceivable. No one in Guilder knows what we've done. And no one in Florin could have gotten here so fast. Out of curiosity, why do you ask?
INIGO	No reason. It's only, I just happened to look behind us, and something is there.
VIZZINI	What?
VIZZINI	Probably some local fisherman out for a pleasure cruise at night through eel-infested waters.
VIZZINI	Go in, get after her!
INIGO	I don't swim.
FEZZIK	I only dog paddle.
VIZZINI	Veer left. Left. Left! Do you know what that sound is, Highness? Those are the Shrieking Eels--if you doubt me, just wait. They always grow louder when they're about to feed on human flesh.
VIZZINI	If you swim back now, I promise, no harm will come to you. I doubt you will get such an offer from the Eels.
GRANDFATHER (O.S.)	She doesn't get eaten by the Eels at this time.
THE KID	What?
GRANDFATHER	The Eel doesn't get her. I'm explaining to you because you looked nervous.
THE KID	Well, I wasn't nervous.
THE KID	Well, maybe I was a little bit concerned. But that's not the same thing.
GRANDFATHER	Because I can stop now if you want.
THE KID	No. You could read a little bit more... if you want.
GRANDFATHER	"Do you know what that sound is, Highness?"
VIZZINI	Those are the Shrieking Eels.
THE KID (O.S.)	We're past that, Grandpa.
THE KID	You read it already.
GRANDFATHER	Oh. Oh my goodness, I did. I'm sorry. Beg your pardon.
GRANDFATHER (O.S.)	All right, all right, let's see. Uh, she was in the water, the Eel was coming after her. She was frightened. The Eel started to charge her. And then--
VIZZINI	Put her down. Just put her down.
INIGO	I think he's getting closer.
VIZZINI	He's no concern of ours. Sail on! I suppose you think you're brave, don't you?
BUTTERCUP	Only compared to some.
INIGO	Look! He's right on top of us. I wonder if he is using the same wind we are using.
VIZZINI	Whoever he is, he's too late-- --see? The Cliffs of Insanity.
VIZZINI	Hurry up. Move the thing! Um... that other thing. Move it! We're safe--only FEZZIK is strong enough to go up our way--he'll have to sail around for hours 'til he finds a harbor.
INIGO	He's climbing the rope. And he's gaining on us.
VIZZINI	Inconceivable!
VIZZINI	Faster!
FEZZIK	I thought I was going faster.
VIZZINI	You were supposed to be this colossus. You were this great, legendary thing. And yet he gains.
FEZZIK	Well, I'm carrying three people. And he's got only himself.
VIZZINI	--I do not accept excuses. I'm just going to have to find myself a new giant, that's all.
FEZZIK	Don't say that, Vizzini. Please.
VIZZINI	Did I make it clear that your job is at stake?
FEZZIK	He has very good arms.
VIZZINI	He didn't fall? Inconceivable!!
INIGO	You keep using that word--I do not think it means what you think it means. My God! He's climbing.
VIZZINI	Whoever he is, he's obviously seen us with the Princess, and must therefore die. You, carry her. We'll head straight for the Guilder frontier. Catch up when he's dead. If he falls, fine. If not, the sword.
INIGO	I want to duel him left-handed.
VIZZINI	You know what a hurry we're in.
INIGO	Well, it's the only way I can be satisfied. If I use my right--tch-- over too quickly.
VIZZINI	Oh, have it your way.
FEZZIK	You be careful. --people in masks cannot be trusted.
VIZZINI	I'm waiting!
INIGO	Hello there.
INIGO	Slow going?
MAN IN BLACK	Look, I don't mean to be rude, but this is not as easy as it looks. So I'd appreciate it if you wouldn't distract me.
INIGO	Sorry.
MAN IN BLACK	Thank you.
INIGO	I do not suppose you could speed things up?
MAN IN BLACK	If you're in such a hurry, you could lower a rope, or a tree branch, or find something useful to do.
INIGO	I could do that. In fact, I've got some rope up here. But I do not think that you will accept my help, since I am only waiting around to kill you.
MAN IN BLACK	That does put a damper on our relationship.
INIGO	But I promise I will not kill you until you reach the top.
MAN IN BLACK	That's very comforting. But I'm afraid you'll just have to wait.
INIGO	I hate waiting. I could give you my word as a Spaniard.
MAN IN BLACK	No good. I've known too many Spaniards.
INIGO	You don't know any way you'll trust me?
MAN IN BLACK	Nothing comes to mind.
INIGO	I swear on the soul of my father, Domingo Montoya, you will reach the top alive.
MAN IN BLACK	Throw me the rope.
MAN IN BLACK	Thank you.
INIGO	We'll wait until you're ready.
MAN IN BLACK	Again. Thank you.
INIGO	I do not mean to pry, but you don't by any chance happen to have six fingers on your right hand?
MAN IN BLACK	Do you always begin conversations this way?
INIGO	My father was slaughtered by a six- fingered man. He was a great swordmaker, my father. And when the six-fingered man appeared and requested a special sword, my father took the job. He slaved a year before he was done.
MAN IN BLACK	I have never seen its equal.
INIGO	The six-fingered man returned and demanded it, but at one-tenth his promised price. My father refused. Without a word, the six-fingered man slashed him through the heart. I loved my father, so, naturally, challenged his murderer to a duel... I failed... the six-fingered man did leave me alive with the six-fingered sword, but he gave me these.
MAN IN BLACK	How old were you?
INIGO	I was eleven years old. When I was strong enough, I dedicated my life to the study of fencing. So the next time we meet, I will not fail. I will go up to the six-fingered man and say, "Hello, my name is Inigo Montoya. You killed my father. Prepare to die."
MAN IN BLACK	You've done nothing but study swordplay?
INIGO	More pursuit than study lately. You see, I cannot find him. It's been twenty years now. I am starting to lose confidence. I just work for Vizzini to pay the bills. There's not a lot of money in revenge.
MAN IN BLACK	Well, I certainly hope you find him, someday.
INIGO	You are ready, then?
MAN IN BLACK	Whether I am or not, you've been more than fair.
INIGO	You seem a decent fellow. I hate to kill you.
MAN IN BLACK	You seem a decent fellow. I hate to die.
INIGO	Begin!
INIGO	You're using Bonetti's defense against me, ah?
MAN IN BLACK	I thought it fitting, considering the rocky terrain--
INIGO	Naturally, you must expect me to attack with Capo Ferro--
MAN IN BLACK	--naturally-- --but I find Thibault cancels out Capo Ferro, don't you?
INIGO	Unless the enemy has studied his Agrippa--
INIGO	--which I have.
INIGO	You are wonderful!
MAN IN BLACK	Thank you--I've worked hard to become so.
INIGO	I admit it--you are better than I am.
MAN IN BLACK	Then why are you smiling?
INIGO	Because I know something you don't know.
MAN IN BLACK	And what is that?
INIGO	I am not left-handed.
MAN IN BLACK	You're amazing!
INIGO	I ought to be after twenty years.
MAN IN BLACK	There's something I ought to tell you.
INIGO	Tell me.
MAN IN BLACK	I am not left-handed either.
INIGO	Who are you?!
MAN IN BLACK	No one of consequence.
INIGO	I must know.
MAN IN BLACK	Get used to disappointment.
INIGO	Okay.
INIGO	Kill me quickly.
MAN IN BLACK	I would as soon destroy a stained glass window as an artist like yourself. However, since I can't have you following me either--
MAN IN BLACK	Please understand, I hold you in the highest respect.
VIZZINI	Inconceivable!
VIZZINI	Give her to me. Catch up with us quickly.
FEZZIK	What do I do?
VIZZINI	Finish him, finish him. Your way.
FEZZIK	Oh, good, my way. Thank you, Vizzini. Which way is my way?
VIZZINI	Pick up one of those rocks, get behind the boulder, and in a few minutes, the Man in Black will come running around the bend. The minute his head is in view, hit it with the rock!
FEZZIK	My way's not very sportsmanlike.
FEZZIK	I did that on purpose. I don't have to miss.
MAN IN BLACK	I believe you--So what happens now?
FEZZIK	We face each other as God intended. Sportsmanlike. No tricks, no weapons, skill against skill alone.
MAN IN BLACK	You mean, you'll put down your rock and I'll put down my sword, and we'll try to kill each other like civilized people?
FEZZIK	I could kill you now.
MAN IN BLACK	Frankly, I think the odds are slightly in your favor at hand fighting.
FEZZIK	It's not my fault being the biggest and the strongest. I don't even exercise.
MAN IN BLACK	Look are you just fiddling around with me or what?
FEZZIK	I just want you to feel you're doing well. I hate for people to die embarrassed.
FEZZIK	You're quick.
MAN IN BLACK	And a good thing too.
FEZZIK	Why do you wear a mask? Were you burned by acid, or something like that?
MAN IN BLACK	Oh no. It's just that they're terribly comfortable. I think everyone will be wearing them in the future.
FEZZIK	I just figured out why you give me so much trouble.
MAN IN BLACK	Why is that, do you think?
FEZZIK	Well, I haven't fought just one person for so long. I've been specializing in groups. Battling gangs for local charities, that kind of thing.
MAN IN BLACK	Why should that make such a difference?
FEZZIK	Well... ...you see, you use different moves when you're fighting half a dozen people than when you only have to be worried about one.
MAN IN BLACK	I don't envy you the headache you will have when you awake. But, in the meantime, rest well... and dream of large women.
HUMPERDINCK	There was a mighty duel--it ranged all over. They were both masters.
RUGEN	Who won? How did it end?
HUMPERDINCK	The loser ran off alone. The winner followed those footprints toward Guilder!
RUGEN	Shall we track them both?
HUMPERDINCK	The loser is nothing--only the Princess matters-- --clearly this was all planned by warriors of Guilder. We must be ready for whatever lies ahead.
RUGEN	Could this be a trap?
HUMPERDINCK	I always think everything could be a trap--Which is why I'm still alive.
VIZZINI	So, it is down to you. And it is down to me.
VIZZINI	If you wish her dead, by all means keep moving forward.
MAN IN BLACK	Let me explain--
VIZZINI	--there's nothing to explain. You're trying to kidnap what I've rightfully stolen.
MAN IN BLACK	Perhaps an arrangement can be reached.
VIZZINI	There will be no arrangement-- --and you're killing her!
MAN IN BLACK	But if there can be no arrangement, then we are at an impasse.
VIZZINI	I'm afraid so--I can't compete with you physically. And you're no match for my brains.
MAN IN BLACK	You're that smart?
VIZZINI	Let me put it this way: have you ever heard of Plato, Aristotle, Socrates?
MAN IN BLACK	Yes.
VIZZINI	Morons.
MAN IN BLACK	Really? In that case, I challenge you to a battle of wits.
VIZZINI	For the Princess?
VIZZINI	To the death?
VIZZINI	I accept.
MAN IN BLACK	Good. Then pour the wine.
MAN IN BLACK	Inhale this, but do not touch.
VIZZINI	I smell nothing.
MAN IN BLACK	What you do not smell is called iocane powder. It is odorless, tasteless, dissolves instantly in liquid, and is among the more deadlier poisons known to man.
VIZZINI	Hmm.
MAN IN BLACK	All right: where is the poison? The battle of wits has begun. It ends when you decide and we both drink, and find out who is right and who is dead.
