CHARACTER	DIALOGUE
MAN (O.S.)	Is something wrong?
MAN	Is there something the matter?
SOMERSET	No. No... it's just that everything here seems... so strange.
MAN	Strange? There's nothing strange about this place. The house'll need a little fixing up, that's for sure...
SOMERSET	No. I like the house, and this place.
MAN	I was about to say. Cause this place is about as normal as places get.
SOMERSET	That's what I mean. Strange.
CAB DRIVER	What's the big fuss?
SOMERSET	Why do you care?
CAB DRIVER	Well, excuse me all to hell.
CAB DRIVER	Crazy fucks.
CAB DRIVER	Where you headed?
SOMERSET	Far away from here.
TAYLOR	Neighbors heard them screaming at each other for like two hours. It was nothing new. But, then they heard the gun go off. Both barrels.
SOMERSET	Did the wife confess?
TAYLOR	When the patrolman came she was trying put his head back together. She was crying too hard to say anything.
SOMERSET	Why always like this? Only after the fact... this sudden realization, that if you shoot someone, or stick a knife in them, that person will cease to exist.
TAYLOR	Crime of passion.
SOMERSET	Yes. Look at all the passion splattered up on the wall here.
TAYLOR	This is a done deal. All but the paperwork.
SOMERSET	Did their son see it happen?
TAYLOR	I don't know.
TAYLOR	What kind of fucking question is that anyway?
TAYLOR	You know, we're all real glad we're getting rid of you, Somerset. You know that? I mean, it's always these questions with you... "Did the kid see it?" Well, who gives a fuck? Huh? He's dead. His wife killed him.
TAYLOR	Anything else has nothing to do with us.
MILLS	Uh, Lieutenant Somerset?
MILLS	I'm a little thrown. I just got in town like twenty minutes ago and they dumped me here.
SOMERSET	Since we're just starting out, I thought we could go to a bar... sit and talk for awhile. After that, we'll...
MILLS	Actually, if it's all the same, I'd like to get to the precinct house a.s.a.p. Seeing how we don't have much time for this whole transition thing.
MILLS	I need to start getting the feel of it all, right? Meet the people.
SOMERSET	I meant to ask you something, Mills, when we spoke on the phone. I can't help wondering... why here?
MILLS	I... I don't follow.
SOMERSET	All this effort you've made to get transferred, it's the first question that pops into my head.
MILLS	I'm here for the same reasons as you, I guess. Or, at least, the same reasons you used to have for being here before... before you decided to... quit.
SOMERSET	You just met me.
MILLS	Maybe I'm not understanding the question.
SOMERSET	It's very simple. You worked a nice, quiet town, but you fought to get here as if your life depended on it. I've just never seen it done that way before, Detective.
MILLS	Maybe I thought I could do more good here than there. I don't know. Look, it'd be great by me if we didn't start right off kicking each other in the balls. But, you're calling the shots, Lieutenant, so... however you want it to go.
SOMERSET	Let me tell you how I want this to go. I want you to look, and I want you to listen.
MILLS	I wasn't standing around guarding the local Taco Bell. I've worked homicide for five and a half years.
SOMERSET	Not here.
MILLS	I realize that.
SOMERSET	Well, over the next seven days, do me the favor of remembering it.
TRACY	What is it?
MILLS	It's okay.
TRACY	Honey... where are we?
DAVIS	Everything's like I found it. I didn't touch anything.
SOMERSET	What time did you confirm the death?
DAVIS	Like I said, I didn't touch him, but he's had his face in a plate of spaghetti for about forty-five minutes now.
MILLS	Hold on... you mean you didn't check for vital signs?
