CHARACTER	DIALOGUE
Dissolve to the stagecoach crossing the screen against a	
WHITE SCOUT	These hills are full of Apaches! They've burned every ranch in sight.
WHITE SCOUT	He had a brush with them last night. Says they're being stirred up by Geronimo.
CAPT. SICKELS	Geronimo?
CAPT. SICKELS	How do we know...
CAPT. SICKELS	...he's not lying?
WHITE SCOUT	He's a Cheyenne. They hate Apaches worse than we do.
CAPT. SICKELS	Clear the wire to Lordsburg.
N.C.O.	That's Lordsburg calling. They seem to have something urgent for you, sir.
CAPT. SICKELS	Well?
CAPT. SICKELS	What's wrong?
N.C.O.	Line's gone dead, sir.
Sickels impatiently indicates the sheet of paper on which	
CAPT. SICKELS	What did you get?
N.C.O.	Only the first word, sir.
CAPT. SICKELS	'Geronimo'.
VARIOUS VOICES	H'ya, Buck!... Howdy, Buck!... How's things in Bisbee, Buck? Have a good trip?
SHOTGUN GUARD	So long, Buck.
WELLS FARGO AGENT	Howdy, Buck. Got that payroll for the mining company?
BUCK	She's right here in this box.
WELLS FARGO AGENT	Give us a hand with this box, Jim.
BUCK	Jim, I'll pay you that $2.50 when I get through.
JIM	Okay.
BUCK	Now you kids, get away from them wheels!
BUCK	Well... sir, we ran into a little snow up there, quite bad, so you fellers better prepare for a good frost.
BUCK	Passengers out for Tonto...
BUCK	You folks might as well stretch your legs...
BUCK	...your limbs, ma'am. We're changin' horses here.
LUCY	Is there some place where I can have a cup of tea?
BUCK	Well, ma'am, you can get a cup o' coffee right there in the hotel.
LUCY	Thank you, driver.
BUCK	You ain't looking very pert, ma'am.
LUCY	I'll be all right, thank you.
BUCK	Yes, ma'am.
GIRL	Why, Lucy Mallory!
LUCY	Nancy! How are you, Captain Whitney?
NANCY	What are you doing in Arizona?
LUCY	I'm joining Richard in Lordsburg. He's there with his troops.
CAPT. WHITNEY	He's a lot nearer than that, Mrs. Mallory. He's been ordered to Dry Fork.
NANCY	That's the next stop for the stagecoach. You'll be with your husband in a few hours.
NANCY	I'm so glad to see you, Lucy. Sit down with us and have a cup of coffee. You must be tired from that long trip.
LUCY	Who is that gentleman?
CAPT. WHITNEY	Hardly a gentleman, Mrs. Mallory.
NANCY	I should think not. He's a notorious gambler.
BUCK	Hello, Mick. Howdy, Frank. Well, Marshal, I'm looking for my Shotgun Guard. Is he here?
CURLY	Out with a posse, Buck... tryin' to ketch the Ringo Kid.
BUCK	Ringo! I thought Ringo was in the pen.
CURLY	He was.
BUCK	Busted out? Well, good for him.
FIRST DEPUTY	It's my guess the Kid's aimin' to get even with them Plummer boys.
SECOND DEPUTY	Yeah, it was their testimony sent him to the penitentiary.
BUCK	All I can say is he better keep away from that Luke Plummer. Gosh, Luke's run every friend o' Ringo's out of Lordsburg.
BUCK	Last trip there I seen him hit a rancher with his gun barrel an' lay his head open like a butchered steer.
CURLY	You seen Luke Plummer? In Lordsburg?
BUCK	Yes sirree.
CURLY	You boys take care of the office for a coupla days.
CURLY	I'm goin' to Lordsburg with Buck. Goin' to ride shotgun.
BUCK	Oh lor', Marshal, when am I going to learn to keep my big mouth shut...
WELLS FARGO AGENT	Payroll, Mister Gatewood.
GATEWOOD	You know, ever since I opened this bank, I've been trying to tell those people to deposit their payrolls here six months in advance. It's good, sound business.
WELLS FARGO AGENT	It's good business for you, Mr. Gatewood.
GATEWOOD	Here's your receipt. Fifty thousand dollars.
GATEWOOD	And remember this -- what's good business for the banks is good for the country.
DOC	Now, my dear lady...
LANDLADY	Don't you 'dear lady' me, you old deadbeat! I'm keeping your trunk because you ain't paid your rent.
DOC	'Is this the face that launched a thousand ships...'
DOC	'...And burned the topless towers of Ilium?'
Cut back to Doc Boone raising his hand dramatically to his	
DOC	'Farewell, fair Helen.'
DALLAS	Doc! Doc!...
DALLAS	Doc! Can they make me leave town? When I don't want to go? Do I have to go?
SHERIFF	Now, Dallas, don't go makin' no fuss.
DALLAS	Do I have to go, Doc? Just because they say so?
SHERIFF	Now, Dallas, I got my orders. Don't blame these ladies. It ain't them.
DALLAS	It is them! What have I done, Doc? Haven't I any right to live?
DOC	We have been struck down by a foul disease called social prejudice, my child. These dear ladies...
DOC	...of the Law and Order League are scouring out the dregs of the town.
DOC	Come, be a proud, glorified dreg like me.
SHERIFF	You shut up, Doc. You're drunk.
DOC	I'm glorified, sir.
LANDLADY	Two of a kind.
LANDLADY	Just two of a kind.
DOC	Take my arm, Madame la Comtesse! The tumbril awaits. To the guillotine!
LANDLADY	Wait till I get my badge, girls. I'll join you.
PEACOCK	If you ever go East, brother, come out to my house for dinner. Nobody in St. Louis sets a better table than my dear wife, Agatha.
DOC	Jerry.
BARTENDER	Yes, Doc?
DOC	Jerry, in the past I will admit, as one man to another, that economically I haven't been of much value to you. But... ...you don't suppose you could... ahem... put one on credit?
BARTENDER	If talk was money, Doc, you'd be the best customer I got.
DOC	I'm leaving town, Jerry.
BARTENDER	Honest?
DOC	Yes, my dear fellow, and I thought you might, in memory of our many happy...
BARTENDER	All right, Doc, just this one.
DOC	Thank you, Jerry.
BARTENDER	Here's a man goin' with you on the stagecoach, Doc. He's an Easterner from Kansas City, Missouri.
PEACOCK	Kansas City, Kansas, brother.
DOC	Your health, Reverend!
PEACOCK	I'm not a clergyman, my name is Peacock. I'm a... ahem...
BARTENDER	He's a whiskey drummer.
DOC	What?
DOC	Well, well, how are you...
DOC	...Mr. Haycock!
PEACOCK	Peacock!
DOC	You don't need to tell me, sir. A familiar name, an honoured name! I never forget a face of a friend. Samples?
DOC	Rye!
MRS. GATEWOOD	I need five dollars, Henry.
GATEWOOD	Why certainly, my dear, certainly. What is it this time, a new...?
MRS. GATEWOOD	I want to pay the butcher. Dinner will be at twelve o'clock. I've invited the Ladies of the Law and Order League.
GATEWOOD	Don't you worry, my dear, I'll be there.
BUCK	All aboard for Dry Fork, Apache Wells, Lee Ferry and Lordsburg!
CURLY	I'll take that, Dallas.
DALLAS	Oh, thanks.
SHERIFF	In you go, Dallas, and a pleasant voyage.
DOC	Thank you, thank you, my friend.
PEACOCK	I'll take it, Doctor.
DOC	Oh no, no, no trouble at all. I'll carry it on my lap.
LADY	Mrs. Whitney, you're not going to let your friend travel with that creature.
NANCY	She's right, Lucy. Besides, you're not well enough to travel.
LUCY	It's only a few hours, Nancy. I'm quite all right.
NANCY	But you shouldn't travel a step without a doctor.
LUCY	There is a doctor, dear. The driver told me.
LADY	Doctor? Doc Boone? Why, he couldn't doctor a horse!
NANCY	Now, Lucy darling, you must be very careful, take good care of yourself -- oh, watch that step, now!
BUCK	Now, ladies, both ride facing forward, please!
NANCY	There we are!
