CHARACTER	DIALOGUE
LATER	Joe loads the corpse into the flatbed of his truck.
JOE (V.O.)	Time travel has not yet been invented. But twenty five years from now it will be. Once the technology exists, it will be relatively cheap and available to the public at large. And so. It will be instantly outlawed, used only in secret by the largest criminal organizations. And then only for a very specific purpose. Joe drives up and parks his truck, removes the wrapped corpse
JOE (V.O.) (CONT'D)	It's nearly impossible to dispose of a body in the future. I'm told. Tagging techniques, whatnot. So when these future criminal organizations in the future need someone gone, they use specialized assassins in our present, called loopers.
JOE (V.O.)	And so. Thirty years from now. My employers in the future nab the target, they zap him back to me, their looper. And I do the necessaries. So the target has vanished from the future, and I've just disposed of a body that technically does not exist. Clean. The body slides down a long chute. Vanishes in a little Her bright red name tag: BEATRIX.
BEATRIX	Bon jour, Joe.
JOE	Bon jour, Beatrix.
BEATRIX	How's the French?
JOE	Slow. How's the coffee?
BEATRIX	Burnt. Cream in the coffee. White clouds boil deep down. Slips down a narrow passage, which ends at a steel wall with
JOE	Two, Jedd. Joe fishes the two gold bars from his jacket.
DALE	Hey Joe. Be at the Belle tonight?
JOE	Yup. Dale hands four gold bars through the slot as Joe retrieves
DALE	Four, Jedd. Puts a bebop LP on a turntable.
LATER	On the bed, shooting at the ceiling with his fingers.
JOE	Bon jour, mademoiselle. Bang!
JOE	Yeah Seth? Yeah. Ok. A VAGRANT approaches and SETH pulls a gun, identical to
SETH	Walk around! Around, I'm not kidding. Wide around, ya shit. The vagrant crosses the street. Joe pulls up.
JOE	Seth.
SETH	Hi Joe.
JOE	That's new. Seth kicks the bike.
SETH	Thanks. Goddamn thing. You going to the Belle?
JOE	Slat Bikes are all junk. Stick with rubber on the road.
SETH	Yeah but Gat Men pull up in them, they get respect.
JOE	They get respect cause they run the town. How much did that thing set you back? How much? Seth holds a quarter idly in his palm.
SETH	I was gonna pull up in it. Tonight. Heads or tails, call it in the air. The coin lifts, floats several inches in the air, quivering.
JOE	Congratulations. You're pulling up with me instead. Joe notices the floating quarter.
JOE (CONT'D)	And don't, if we're going in, don't do that.
SETH	Chicks dig TKs.
JOE	It's tacky, don't do it. Seth catches the quarter, sullen.
JOE (V.O.) (CONT'D)	When the TK mutation started appearing in the general populace it was on every magazine - âNext Step in Evolution, what's next.â Everyone got tested. But turns out this was it, and now it's just a bunch of assholes thinking they're blowing your mind by floating quarters.
JOE (V.O.)	Big heads. Small potatoes. Drives past, revving the engine.
BIG CRAIG	No loopers in the club on Wednesdays, Joe. Gat men only. Seth backs towards the door, Joe stops him.
JOE	We'll stick backstage, just meeting up. In and out.
BIG CRAIG	Packing your blunderbusses?
JOE	Hardly. Right Seth?
SETH	Hardly. I'm with Joe. Big Craig pats them down, waves them in.
SETH	So are we - hey - Joe has vanished. Seth stops meekly, butted by passing men.
MADAME	No loopers on Wednesday, Joe. Gat Men only.
JOE	So I've read. He ducks out.
SETH	Hey, Joe. We leaving? Cuz, what- Joe? And Seth loses them again, butted back by passing men.
JOE	What?
DALE	Zach. In there right now, with Abe. Dale makes a quarter float above his palm. Joe rolls his
JOE	For what?
DALE	He closed his loop. This lands heavily on Joe.
JOE	No shit? The door at the bottom of the stairs opens, and ZACH, another The loopers watch him in awe.
JOE (V.O.) (CONT'D)	There's a reason we're called loopers.
JOE (V.O.)	Time travel in the future is so illegal, that when we sign up for this job we agree to a very specific proviso. Zach raises his gun.
JOE (V.O.) (CONT'D)	If our employers in the future get busted up by the law, their first priority is going to be erasing any trace of their relationship with us ever existing. A flash of light, and a HOG TIED MAN with a sack over his Zach fires, and the man's chest explodes.
JOE (V.O.) (CONT'D)	So. If they're busted, and if we're still alive 30 years from now, they'll find our older self and zap him back to us, like any other job. Zach rips open the back of the corpse's jacket, revealing
JOE (V.O.) (CONT'D)	This is called closing your loop. Zach freezes. Looks at the shape of the corpse's face
JOE (V.O.) (CONT'D)	And you get paid out a mythic amount of money, and you get a handshake and get released from your contract. Enjoy the next 30 years.
JOE (V.O.)	This job doesn't tend to attract the most forward thinking people.
ZACH	So are we celebrating? At the bottom of the stairs, a skinny young thug in ratty
KID BLUE	No loopers on fucking Wednesdays! The loopers collectively flip him off.
ZACH	Suck one, kid!
IN THE CAR	Jammed with Seth and Loopers, Joe at the wheel. Still so
IN THE CAR	Joe stares at the kid, frozen. A moment. Then spins the
JOE	Sell that goddamn slat bike back. That's a lot of stupid money.
SETH	I got stupid money. Seth holds his hand under fuzzy dice hanging from Joe's
JOE	Alright. Seth stumbles toward his door, checks his pants.
SETH	I think I did something. You know what? TKs are special. Fuck you.
JOE	Hey Seth. Seth slumps against the car. Alright, Zach. What's his payout, 30? 40? If that? That's not going to last you 30 years. And it won't get you overseas.
SETH	Overseas...
JOE	So in five, ten years you're back to riding the rails, or worse you're like Kid Blue, working as a gat man, wagging your dick at loopers and roughing up shop clerks for payoff money.
SETH	Fuckin Kid Blue.
JOE	Save a little something. Alright? Cause that'll be yours, and then you've got yours and that's all that matters, your life is your own.
SETH	I gots mine you gots yours. I wish I was smart like you. Saint Joe. Seth pats Joe's cheek, and waddles off towards his apartment.
BEATRIX	Bon jour Joe.
JOE	Ravi de te voir, Beatrix.
BEATRIX	Ooh la la.
JOE (OVER SPEAKER)	Two, Jedd. Jedd opens a slot and takes two gold bars from Joe, then Marks in a notebook Joe's name, the date and the number â2'.
DALE	What's that, fourth loop closed this month? Dale casually makes a fork float above his palm, lifting his
JOE	Fourth. On the stage, flinging her legs with a line of can-can
SUZIE	Hey.
JOE	You working a shift tonight?
SUZIE	Yeah. Yeah, but one of the gat men bought me out already. For the night.
JOE	Oh.
SUZIE	Sweetie. I gotta work. She leaves him watching her go. He turns - sees Kid Blue leaning in the shadows. He's seen Joe, flopped on the bed, stirs. Then wakes with a jump, Goes to the door. A screen shows nobody in the hall outside.
JOE	Jesus, Seth.
SETH	They're gonna be here any minute, are they here?
JOE	No, they're not here. Who?
SETH	Christ. Joe. Christ. Joe's eyes focus a bit, he tunes in to the situation. Turns What are you doing? Right. Smart.
JOE	Seth, sit down here. CRASH! Seth knocks something over in the dark. Joe opens
SETH	Late to my own funeral. Mom always said...
JOE	Tell me now.
SETH	Christ, Joe. Late to my own goddamn funeral. Can you help me?
JOE	Seth, what did you do?
SETH	You can protect me a little, right? Just so they don't... jeez. Oh jeez. This is like a nightmare. This is a nightmare. I knew then what he did so I don't know why I asked. What did you do? Seth lifts his eyes to Joe.
SETH	He was singing. Seth, with his gun raised, hesitates.
