CHARACTER	DIALOGUE
VOICE (O.S.)	Defy reason. Defy everything you know. Now we move in on one of the homes. Not the nicest on the
ON THE TELEVISION	A commercial for PETER VINCENT. A Las Vegas institution, Peter's wiry, hot -- a rock and roll bad boy. He's cutting a
TELEVISION ANNOUNCER	Peter Vincent's "FRIGHT NIGHT." The family DOG is up on the coffee table eating what's left
TELEVISION ANNOUNCER (CONT'D)	Something's moving in the dark. Also on the table -- a role-playing game in progress.
TELEVISION ANNOUNCER (CONT'D)	Only at The Hard Rock. Nightly Wednesday Through Sunday. Now we hear what at first sounds like a MUFFLED ARGUMENT
DISTANT VOICE	Get off her!! More voices yelling, something being thrown. An ugly We creep down a dark hall toward a cracked door, light seeps He's nice-looking, a little nerdy -- and he's in a blind We get a glimpse of the horrible scene behind the door. A ADAM goes to his FATHER'S SIDE OF THE BED and now we see ADAM gets down under the bed, desperately reaches for the
ADAM	Come on, come on, come on... He gets it. But the GUN HAS A GUN LOCK. Adam has to dig in
ADAM (CONT'D)	Come on, come on! He finds them, struggles to unlock the gun with shaking THE BED IS TURNED OVER in one violent throw. Adam is Brutally strong, veins dark and visible under the skin... Adam reacts in horror. He knows he's dead.
DISC JOCKEY (O.S.)	.we're looking at a nice day here in Clark County, hitting a season low of only 89 degrees...
DISC JOCKEY (O.S.)	.so get out there and enjoy this beautiful Wednesday, people. We SWOOP CLOSER and find that RADIO comes from a passing The FOR SALE SIGNS and brown lawns don't seem nearly so We SWOOP UP AGAIN and see beyond Shadow Hills, past the WALL The wheels of a DIRT BIKE as it zooms down the street.
CHARLIE	You want me to take you apart, huh? Charlie's 17 and has the slightly awkward feel of someone who
CHARLIE (CONT'D)	I will. I'll sell you for parts. Don't think I won't-- Charlie stops, embarrassed. DORIS -- a neighbor -- watches She's super pretty in a wholesome way -- except for her
DORIS	Nothing doing, huh?
CHARLIE	The thing's got no ambition. Can I -- uh, give you a hand?
DORIS	I got it. Thanks. She walks away -- her sweatpants have the word "LUCKY" across
JANE	Don't leer at the neighbors, kid. Jane, 40's, attractive and frazzled, wears a REAL ESTATE He and his mom have had an affectionate, teasing relationship
CHARLIE	She's the one who put a word on her butt. I'm just reading it. Jane eyes a LARGE DUMPSTER FULL OF CONCRETE that sits in
JANE	Is he ever going to move that thing?
CHARLIE	You need to get over it, Mom. Attitude. You've been tense or something. School?
CHARLIE	School's great, actually.
JANE	Amy?
CHARLIE	Good. Hasn't dumped me yet. He says this like he's surprised. Jane nods. Getting it.
JANE	That'll teach you to get so tall and handsome. Getting what you want is stressful. Especially when you're not used to it. More to lose.
CHARLIE	Are you reading those books again? The Power of Whatever the Hell? She laughs. He glances at the DUMPSTER.
