CHARACTER	DIALOGUE
EMMA	I don't know.
ADAM	What about "Comrades-in-Fuck"?.
EMMA	No.
ADAM	What if we say we're in the Axis of Fuck? we formed a Fuck Alliance. We're neighbors 'on.. Fuck Street.
EMMA	What's wrong with "buddies'?
ADAM	Who says "buddies"?
EMMA	Yeah, you're right.
BOY	It tickles. Yeah. It does other stuff. But there's a boy on the, edge of the group : A sweet. face, 'and
ADAM	Hey. -
EMMA	Hey. A 'long' pause'. -They're not looking at each other. Then
ADAM	Do you want to, freak?
ADAM	You freak, good.
EMMA	Okay.
ADAM	"No, I don't want no scrubs"--
EMMA	I don't get it.'
ADAM	Urn. She doesn't want a -scrub; Because he's hanging out of his. best friend's ride, trying to -holler at her. Katie, in another part of the dance floor, is in the middle
CAMP RULES!	Emma scowls at her, looks at Adam.
EMMA	Let's go to the dumpster- We're not even going out. But I feel like I've known you.my whole life. So.
ADAM	I've enjoyed camp. There's all kinds of fun activities. For example, I learned how to-archer.
EMMA	That's good. That'll be useful if you ever make a time machine and go back'to the medieval ages:-and then your-time machine breaks, and you get attacked by knights.
ADAM	You're funny. It's weird. 'FR+fAï¿½1A My life's pretty.fucked ug'.
ADAM	My parents are gettinga divorce..' That's why I had-to go--to carp. SO. The couple making out next to them rolls over.really close.
EMMA	Marriage sucks my ' butt .
ADAM	Yeah. it sucks it. It sucks it. all 'ni-ight.
EE+MA	People aren't meant to be together forever. .'
ADAM	I just want to find a girl Who's really nice. And she likes to eat hummus. Suddenly, another CAPPER comes up.'
CAMPER	Are. you guys gonna make out?..
EMMA	We just got here. Well people are waiting. WIDEN TO REVEAL a line of awkwardly coupled Campers waiting =
EMM.A	Do you want to- Adam leans in and kisses her. with tongue . ' They're both pretty .
ADAM	I like frenching with you.
EMMA	Okay. Adam starts crying, trying to hide it.
EMMA'(CONT'D)..	Are you crying?
ADAM	Pretty much.'
EMMA	Why are-you crying?
ADA	Because- because camp'-s almost over-
EMMA	Jesus.. Exwaa pats him a'couple times on the shoulder.
EMMA (CONT'D)	Look. I'm not really an affectionate person. Emu a, very uncomfortable, puts her-arm around him. He lets
ADAM	Can I finger you?
. EMMA	Na.
ADAM	Okay. Just like the first scene; A. group of guys are.staring at a The-hot blonde, KATIE 11, is wearing her sexy-little "I'm sorry Miss Jackson,.I'AM FOR She's dancing with a -hot athletic guy,, SCOTTIE', ..who is trying At the edge-of the'group, two guys that don't look,that great
ELI	I'd like to give her a Roman Face Mask.
ADAM	iï¿½lhat?
.ELI.	It's where your balls are hanging over her eyes and your-dick is hanging over her nose. In-the manner 'of- a mask. .
VANESSA	Uggh. I'm gonna go get more beer. - Okay. I want to get'y"ou.wasted" tonight.
VANESSA	I'm just getting a beer. Vanessa walks away.
ELI '	She's not gonna let-you put it in.
ADAM	And that'.s totally -fine with me.
SH	e thinks sex is more fun when you re -in love. Eli stares at him, disbelieving. -
ADAM (CONT'D)	- 1 don t know.,She"s from :Canada. They don't have guns.. Their computers are run 'by tiny mice.
ELI	okay, well I'm from the United States, and I want to give that girl a penis mask.
ADAM	Why? That's not even hot.
ELI	Um. Yeah it is.
ADAM	You think it's hot to just sit there with your penis.on her face? You don't? Scottie looks over and smiles at the guys.. One of his nipple
ELI (CONT'D)	Look. Scottie's got a gay nipple.
ADAM	What do you mean?
ELI	Look at it.
ADAM	Oh yeah. That nipple is definitely more gay.= You can tell by the way it wants to get legally married to' the other nipple.
ELI	.,My dads are gay. I'm not ashamed of
I LOVE MY GAY DADS!	.Some people around him cheer.. Some Frat Boys look over,
ADAM	Whoa . I know that, girl.
ELI	She's got bat.eyes.
ADAM	What?
ELI	She's got angry bat eyes. Like staring at you from the dark. Its. pretty hot . I'd fuck.a bat. A bat in a cave. A hot bat in a cave. Adam starts to walk -over to her.
ELI (CONT'D)	You know who else-is hot? Your girlfriend.
ADAM	Hi, T-
EMMA	Hello Adam Kurtzman,. of Camp Weehawken: I'm Emma. I held you while you cried.,
ADAM	Emma. Whoa. Yeah. Whoa. I was totally in love with you.
ELM	You were?
ADAM	No. Hi. ,You:'re here. This is crazy. Do you go here?
EMMA	No, I grew,up 20 minutes away. Ypsilanti,.Midhigan. The land of my birth. 'l go to MIT.
ADAM	Wow. So grew up-to-be a lot smarter than nip.
EMMA	Uh-huh. 'It's scary actually, how smart I am. Sometimes my neck gets sore because my:brain is so.big.
ADAM	My neck gets sore. when I-eat string, cheese. Sometimes.. so what are you' doing Here? -At a party of Frat.
EMMA	I'm trying,to get someone to rufee me'. I keep holding out my cup..
ADAM	I'll rufee.you. I was gonna save it for a Freshman but whatever- I'll take you out to.the alley,. I'll light some candles- Some girls near by give Adam a dirty look and walk away.
