CHARACTER	DIALOGUE
HICKS (CONT'D)	Since the beginning -- the two have been locked forever in combat... The vampires were quicker, stronger and had the gift of flight. Quick glimpses of a bloody, brutal battle. Men screaming.
WHOOSH!	With a HOWL, we see A MAN plucked off the ground, his body
HICKS (CONT'D)	But man had the sun. THE CAMERA TILTS DOWN to find another GROUP OF MEN -- more
HXCKS (V.0.) (CONT'D)	And so it went like this over many years. As man and vampire both evolved -- the wars became bloodier. From afar, we see GIANT STACKS OF CORPSES as hydraulic Stands at the base of one of the mammoth pyres. Even from
HICKS (V.0.) (CONT'D)	Then came THE PRIESTS -- The Man turns and we see his face is shadowed by a large
HICKS (V.0.) (CONT'D)	-- Specially trained warriors in the art of vampire combat. They single-handedly turned the tide for the humans. Quick glimpses of a GROUP OF PRIESTS battling a FURY OF
HICKS (V.0.) (CONT'D)	Over time the vampire threat faded. The once fierce race now fatally diminished. A shadow of what they once. were. Through heavy smoke, we see a pile of VAMPIRE CORPSES, a
HICKS (V.0.) (CONT'D)	The remaining vampires were put Into camps and -- by decree of the High Clergy the Priests disbanded. The former warriors to be integrated as members of regular society. We see a WAX SEAL pressed onto an ancient parchment. The
HICKS (V.0.) (CONT'D)	The human race thrived in relative quiet. The vampire menace quickly forgotten for other, more modern threats. And the few surviving Priests faded Into quiet obscurity. The chamber is closed. We see an encrusted key turning in a
.s.	Our story begins with the rusty SCRAPE of a windmill... He smiles, waving to her. His wife. Aaron sits surrounded, a lattice work of vines covering the
SHANNON (O.S.)	Supper's on! He smiles, studying a. stunning RUBY RED FLOWER, separate from
THE KITCHEN	SHANNON PACE carries a bowl filled with a steaming green
SHANNON (CONT'D)	You been spending an awful lot of time behind that door. Makes a woman suspicious.
AARON	Special project. It's taking a little more time than I thought.
SHANNON	Nothing special about milkweed. Unless you like a thorn in the finger.
I AARON	It's not Milkweed. Not this year.
SHANNON	What is it?
AARON	You'll see. His eyes skate to her face moving in for the kiss -- but he's Yuck. Pershing-stew again. Their DAUGHTER (13). Already a heartbreaker. This girl is I can't do it anymore. This outpost. Being all cooped up like this. I'm going
AARON	Honey...we know this hasn't been easy for you -- In two years someone else'll study the soil and this'll be their outpost. But for right now -- this is my job. I don't know what it's like to have a best friend. To have any friends. I want to have a crush. I want secrets. I want a life. Shannon looks at her husband. She knew this day would come.
SHANNON	Aaron. She's thirteen -- She should be with children her own age. Aaron lets out a breath.
AARON	Okay. Next year, we'll figure out a way to get you to a school close by. In town.
AARON	N year -- that's still plenty of time for you to have a "crush". Lucy deflates, knowing this is as good as it's going to get
AARON (CONT'D)	Tomorrow I'm heading in town to file. You come with, help your old man out, get a change of scenery. OK? Now c'mon, stew's getting cold. Bow your heads and say grace. The family clasps hands. Whatever their differences, there's
LUCY	Dear Lord we thank you for what we are about to receive. Blessing us with your gifts... She.speaks with her eyes clenched shut, words spoken
LUCY (CONT'D)	We thank you for the earth and the sky and for your bounty through Christ our Lord -- She.stops, opening her eyes -- staring at the plates and They're RATTLING.
LU C Y (CONT'D)	Daddy?
AA RON	Shh. He cocks his ear, heading a low rumble. Although he's never heard the sound before...he knows it can' Trying to remain calm, Aaron goes to the window.
OUT THE WINDOW	Framed by a BLOOD MOON hanging over the horizon, a DOZEN BLACK The Jesus figurine falls off the table, SHATTERING to the Aaron looks at Shannon, an expression on his face she hasn't What's going on? Aaron doesn't answer, Shannon helping him position pre-cut
AARON	Get by me. Shannon-and Lucy crouch at his feet. It's quiet. The RIDERS step from their machines. We don't get a look at The power goes out, everything going black. Daddy? We hear the Riders crawling over the outside of the house. Finally, the gun clicks empty and we're plunged back into Aaron is still standing, the house in shambles around him.
SHANNON!	From outside we hear the cycles revving.
SHANNON	Her body lying in the dirt, head lurching at an obscene' ere' g UNCT_URE MABKS in hem neck. Crying, he cradles his, wife. Feverishly looking around for He keeps screaming but it's no use -- as the-motorcycles fade They've taken her. The CAMERA TILTS to the MOON hanging above the plain. it
