CHARACTER	DIALOGUE
NINA	I had the most amazing dream last night. I was dancing the White Swan.
NINA (CONT'D)	Different choreography, like the Bolshoi's. It was the prologue, when Rothbart casts his spell.
ERICA	You're in a good mood.
NINA	I'm just excited to get back.
ERICA	Off-season always makes you grumpy.
NINA	Look how pink. So pretty. 2A.
ERICA NINA	Pretty. Pretty.
NINA (CONT'D)	Plus he promised to feature me more.
ERICA	He certainly should. You're the most dedicated dancer in the company. What's that?
NINA	What?
ERICA	There.
ERICA (CONT'D)	Sweet girl.
VERONICA	Can't believe she's back.
GALINA	Of course she is.
VERONICA	She can't take a hint? Company's broke. No one comes to see her anymore.
SOLOIST 1	No one comes to see ballet period.
VERONICA	That's not true, I heard the Royal had one of their best seasons yet.
GALINA	He needs to try something new.
VERONICA	No, someone new.
SOLOIST 1	Like who?
VERONICA	Like someone who's not approaching menopause.
NINA	I think it's sad.
VERONICA	What's sad?
NINA	Beth's such an amazing dancer.
GALINA	So's my grand-mother.
NINA	Fonteyn danced into her 50's...
VERONICA	Yeah, we know.
NEW GIRL	Soloists?
NEW GIRL (CONT'D)	Great.
NEW GIRL (CONT'D)	Fucking got off the wrong stop and had to hoof it from 79th.
BALLET MISTRESS	To the back, fondu, to the back, plie. Fourth, fourth, and one and fifth, to the back... Like this. Push it. Why can't you do this? It needs to be looser. Relax. Let it flow.
LEROY	We all know the story: virginal girl, pure and sweet, trapped in the body of a swan. She desires freedom, but only true love can break the spell.
LEROY (CONT'D)	Her wish is granted in the form of a prince.
LEROY (CONT'D)	But before he can declare his love, her lustful twin, the Black Swan, tricks and seduces him.
LEROY (CONT'D)	Devastated, the White Swan leaps off a cliff, killing herself. But, in death, finds freedom.
LEROY (CONT'D)	Good morning, company.
LEROY (CONT'D)	We open our season with Swan Lake. Done to death, I know. But not like this. We strip it down. Make it visceral and real. And a new production needs a new Swan Queen. A fresh face to present to the world.
LEROY (CONT'D)	But which of you can embody both swans? The white and the black?
LEROY (CONT'D)	All the soloists I touched... Please go to your scheduled rehearsals this afternoon.
LEROY (CONT'D)	And the girls I didn't touch, meet me in studio B at five.
BETH	What?!
LEROY	So Nina, would you like to be the Swan Queen?
NINA	If you want me to be.
LEROY	Well, if I was just casting the White Swan, she'd be yours.
LEROY (CONT'D)	But I'm not.
LEROY (CONT'D)	Maestro, Odile's Coda.
LEROY (CONT'D)	Show me your Black Swan, Nina.
LEROY (CONT'D)	Come on, not so controlled.
