CHARACTER	DIALOGUE
MICKY	Will you help me finish this? He turns and kinda smiles as leans away with the rake, then
DICKY	You knocked my block off! He resets his head, punches Micky.
MICKY	You knocked my block off! He resets his head, Micky throws again, Dicky mimes going
MICKY	-six, seven, eight. [takes Dicky's hands] Can you continue? [Dicky nods] Who's the president?
DICKY	Five o'clock. Micky waves his hands like Dicky's done. Dicky throws another
DICKY	He's down! Micky Ward is down! 4- 3-2-1, it's ovah! He's out! A surprising ovahhand right! Dick Ecklund Jr. is BACK, right hereon HBO, ladies and gentlemen! PAN REVEALS, HBO documentary camerman, and a PRODUCER taping
DICKY	The Pride a Lowell is back! He pulls Micky up INTO A BROTHERLY ARM BUMP/HUG HANDS My brothah's gonna beat Mamby, next week, on ESPN, sorry HBO! Camera crew laughs as DICKY helps Micky up, HOLDS BROTHERS' Dicky walks like a hero down the streets of working class
DICKY	Look who's here! I'm comin' back, Lowell! Micky's gonna win, we got HBO here! Look at this -- He walks down the street like he's running for office, people
DICKY	Ray Ray! Smile, you're gonna be in my movie! HBO's makin' a fuckin' movie about me! And my brothah's gonna win next week! He grabs Micky's arm again, they are trailed by the road crew 4 LOWELL MAN ON THE STREET INTERVIEWS. What Dicky & Micky meagh
DICKY	Meet my muthah! We're back on HBO, His mother, ALICE WARD, 57, caught off guard, smoking, waves
ALICE	NO! JESUS! I'm not ready! Catch a glimpse of her tough, sexy, fighter's nose, years of
DICKY	My sistahs! Six of Alice's seven daughters ARRIVE, look up as the camera
DICKY	That's Red Dog, Sherry, the baby, Beavah, Pork, Little Alice, Donna, and Tar. They follow my muthah everywhere!
MICKY	I'm Mary, the eighth sister. Alice runs for the bathroom. Dicky chases after her through Dicky grabs and pulls her onto the crowded little dance THROUGH THE CROWD MICKY STARES AT CHARLENE FLEMING, 25, tall laughing sit along the wall at tables. Micky just drinks
HBO PRODUCER	I'm confused, George's whose father? - Who knows how many fathahs, Alice ain't prejudice, she gives everybody a chance! Alice punches Dicky in the arm. Dick Ecklund Sr. is Dicky's father
SHERRY	And Donna's, Gail's and Phyllis's fathah.
SHERRY	And even though I'm an Eklund, and so is Cindy and Cathy, George is really our dad. George is my Poppa.
MICKY	But we got the Eklund name.
ALICE	Dick Ecklund and I were separated. It's not like I was foolin' around. Producer looks confused.
TAR (CINDY)	Georgie's fingahs are so fat he can't dial the phone. Pan to George Ward, holding a roofing invoice, trying to dial
GEORGE	Shut up, Tah. Alice and everyone laughs. George reading the roofing
ALICE	That's not helpin', George.
RED DOG (GAIL)	Look at that fat thing! They all crack up.
GEORGE	You can't beat that ass, come on. George pats his son's shoulder as he stands behind Micky at She glances up at him once in the midst of her bartending.
CHARLENE	Are you gonna say anything? Are you gonna order a drink? Are you gonna just stand there lookin' at my ass? Your father looks at my ass but at least he talks. Micky looks at her.
CHARLENE	He thinks you're the greatest, but he didn't tell me you're mute.
MICKY	You're Kenny Fleming's sistah.
CHARLENE	Oh, you talk. You pave streets, right?
MICKY	I do, and I'm a fightah.
CHARLENE	I heard you're a steppin' stone.
MICKY	A steppin' stone?! I'm no steppin' stone. What do you mean steppin' stone?
CHARLENE	The guy -- they use -- against othah fightahs to move the othah fightahs up. Micky and Charlene stare at each other. He is taken aback.
MICKY	Maybe I had a few -- tough fights, but that's not who I am. [she stares at him, gauging him]. Next's gonna show who I am.
DRUNK GUY	He's gonna lose again! [Micky looks away, pissed, like he's gonna leave]. Scotch & soda one for me and one for Charlene, move that sugar ass and get the drinks! Micky suddenly slaps the guy fast twice with one hand, the
MICKY	Be nice! Be respectful. Don't disrespect her. Charlene watches, slightly turned on.
DICKY	Don't hurt ya hands, we got a fight next week! - What you say to my bruthah? What you say to me? OTHER BARTENDER plunks down the drunk's drinks.
DRUNK GUY	I'm sorry. I'm sorry, Micky.
DICKY	And whatta ya say to me?
DRUNK GUY	I'm sorry, Dicky.
DICKY	That's right, and I'm takin' ya drink. My bruthah's gonna beat Saoul Mamby! This guy's gonna be a champion, he's a great guy, a great fightah. He takes the guy's drinks, kisses smiling Micky on the cheek.
MICKY	That's my big brothah. Taught me everything i know. HBO's doin' a movie about 'im.
CHARLENE	Everybody's talkin' about it. But who are YOU fightin'? Saoul, Sal, Saul? Mamby, Mamby. Momby. What kinda name is Saoul Mamby?
MICKY	Black. And Jewish.
CHARLENE	Where'd they find a guy like that?
MICKY	He's no joke, Formah World Champ.
CHARLENE	Formah champ.
MICKY	But I match up good against him.
CHARLENE	What's that mean?
MICKY	I'm lightah, not gonna brawl him, I'm gonna outbox him.
CHARLENE	I didn't know there was a difference.
MICKY	Brawl, ya slug it out, I hit you, you hit me; boxin', like a chess game, I pick my punches to take him down. I'm gonna go head, body, head, body, see I go up his side, I hit him here, arm comes down, I go back up [demonstrates on her, close, looks at her shy] I'd like to maybe take you out some time. Charlene smiles at Micky's awkwardness, drinks. A DRUNK GUY
CHARLENE	Are you married?
MICKY	Married? Would I ask you out if I was married?
CHARLENE	It happens all the time, trust me.
MICKY	I'm not married. I wanna get to know you bettah. I could take you to dinnah and a movie, how 'bout that? I'm not married. I got a daughtah I see every othah weekend. Let me take you out.
CHARLENE	When?
MICKY	Saturday I get back from Atlantic City. She holds his gaze a moment. She picks up a pen and starts
MICKY (CONT'D)	Next Saturday. Dinnah and a movie. A fight breaks out next to Micky, jostling him but he remains Why is Gail the toughest?
SHERRY	Cuz she's quiet, but she'll straighten anyone out. Gail makes a fist, cracks up, covers her missing teeth.
HBO CAMERAMAN	Whose your mother's favorite?
TAR	The princesses.
SHERRY	The girls. They all crack up.
RED DOG	They never had to do nothin', never take out the garbage, or clean--
SHERRY	You can never wake 'em up, shhh, the babies ah sleepin'.
MICKY	That's cuz we hadda train! Come on!
SHERRY	[STARTS CRYING] This is ah family and they're makin' a movie, it's us
RED DOG	She's the baby, Sherry's the baby, very emotional.
TAR	Ah mothah's excited about the movie, Dicky comin' back. And we hope Micky wins (crosses herself). Dicky's six years older than me. (pause) I used to carry his bags (pause) to his workouts, some of his fights. He's a born fighter, very natural talent. I always hadda work harder, and he's been my teacher. He's -- ya know - [real love] Dicky, nobody talks like him, moves like him, he fought Sugar Ray Leonard, ten rounds, he's the hero of Lowell. Everybody knows Dicky.
HBO PRODUCER	He's s'pposed to be trainin' you right now, right? Is he still coming or did we mix this up? He'll be here -- should be --
MICKY	He kinda goes on his own schedule sometimes. He'll be here. -- You know where he is -- They turn and look: MICKEY O'KEEFE, 50, COP IN UNIFORM, walks
MICKEY O'KEEFE	You gotta fight next week, Micky, you gotta be trainin' on time.
MICKY	He'll be here.
MICKEY O'KEEFE	Come on, I can do the mits for ya, but then I gotta get back to work. He jumps into the ring and holds the mits for Micky who hits
ALICE	What's he doin'? Where's Dicky?
MICKY	Look at Alice! All dressed up for the movie!
ALICE	Outta the ring, O'Keefe, you can't do what my Dicky does!
MICKEY O'KEEFE	Your Dicky ain't here, Alice. Where could he possibly be, Ma? Undah the cabbage patch?
ALICE	Oh, Micky. Micky's a clown. Dicky went to the store for me.
MICKY	Yeah. He'll be here.
ALICE	Get outta the ring, O'Keefe, Dicky's the numbah one trainah, should be that way in the movie.
MICKEY O'KEEFE	Jesus, I come by to help! I gotta go back to work anyhow, it ain't fair to Micky. He needs to be trainin'. He's not bein' handled right.
ALICE	Don't -- he's not part of this, forget him. He's numbah two man
ALICE	You need me walkin' in again? - I wasn't ready last night, but I'm ready today. She's all dressed up! Look at her!
MICKY	Alice is dressed up. Producer nods for cameraman to turn to door. ALICE RE-ENTERS.
ALICE	That's the Golden Gloves, before that the Silvah Mittens, Micky did that too. Micky used to follow his big brothah everywhere, Dicky taught ya everything, right, honey? Micky raises eyebrows, nods.
MICKY	He's not only a great fighter, he's also a pretty great trainer.
ALICE	My Dicky had went pro at 12, Rockingham Race Track with a 26 year old jockey. Both weighed 106 pounds. Dicky lied he was 18. In the ring, push in on Micky looks up, eyes wide.
MICKY	Tell 'im about Sugar Ray, Ma. Dicky knocked down Sugar Ray Leonard. In '78 -- we got the offah to fight Sugah Ray Leonahd.
MICKY	He just won the Gold Medal at the Olympics, Sugar Ray. He was the, ya know, the big new welter weight at that time.
ALICE	And Dicky was just a kid from Lowell.
MICKY	Dicky was undefeated!
ALICE	Dicky had never been knocked down in his professional career, neither had Sugar Ray. They were both 21- yeahs-old.
MICKY	It was Dicky's first ten roundah. I know ya could question the judgement, first ten roundah against Sugar Ray Leonard, right? But as his managah, how could I not take a Sugah Ray? Do you see what I'm saying? It was the biggest thing that evah happened to Lowell.
MICKY	It was huge. People still talk about it to this day. It was a great fight.
ALICE	Tonight my son is gonna surprise everybody and beat Sugar Ray Leonard. Believe it, I know it. Micky and Sugar Ray are described over HBO clips.
ALICE	It's true! Sugar Ray had a hard time hitting Dickie, didn't really knock him down, but Dicky knocked Ray down! I wore a new white dress. This fight was gonna change our lives forevah, and it did. BACK TO VIDEOTAPE, 2ND ROUND, Dicky, 21, bobbing moving BACK TO THE TAPE, Sugar Ray seems to either punch or pull think so either Larry, he was wrestled down. Not a knockdown."
DICKY	Wasn't a knockdown. Dicky kneeling smoking a crack pipe. He exhales crack smoke
DICKY	BooBoo put ya hands up, stand like Sugah Ray I gotta get ready for my movie!
BOOBOO	Why they doin' a fuckin' movie on you? Legend-a Lowell, BooBoo! Comeback! Come on! The Fighter 8/28/09 GREEN DRAFT 14. Karen, 33, Dicky's Cambodian girlfriend, sitting on a stained
DICKY	I stahted the ovahhand right in the 8th. Slippin' his left, settin' him up for the knockdown in the 9th.
DICKY	THERE IT IS! First knock downa Sugar Ray's career!
WOLFIE	Ain't ya 'sposed to be trainin' Micky in the movie right now? That's not til 9.
BECKY	It's 11:45, Dick.
DICKY	What?!
DICKY	Where'd you fuckin' pahk the cah, BooBoo?
BOOBOO	I didn't pahk it, you did! They are on the street of row houses, CAMBODIAN IMMIGRANTS.
DICKY	Fuckit, I'll run, I need the Dicky starts running down the street ...BooBoo shakes his
BOOBOO	Roadwork?! Are you crazy?
WOLFIE	He runs great even when he's high. Hey, Pappa! George looks up as he kneels, roofing, and sees Dicky. Kids
DICKY	Quackah!
MICKY	Quackah! Look who decided to show up, Dicky Donuts.
ALICE AND SISTERS	Ahh! Dicky! Quackah!
