CHARACTER	DIALOGUE
MAN	What a marvel... what a marvel... As its door opens and the man enters. Dora!
VOICE	Yes... The man crosses to the stove with his bundle of wood. The voice . Can you help me with the ice? The man dumps the wood into a box by the stove as his wife enters . I expected you hours ago.
MAN	You can't imagine what just happened. I was coming back on the Lublin road when the wheel came off the cart thank heavens it was the way back and I'd already sold the geese!
WIFE	How much?
MAN	Fifteen groshen, but that's not the story. I was struggling to direction of Lvov. How lucky, you think, that someone is out this late.
WIFE	Yes, very remarkable.
MAN	But that's the least of it! He stops to help me; we talk of He takes the stare as a sign that she can't place the name. The chacham from Lodz, who studied under the Zohar reb
WIFE	God has cursed us.
MAN	What?
WIFE	Traitle Groshkover has been dead for three years. Quiet. Wind whistles under the eaves.
MAN	Why do you say such a thing! I saw the man! I talked to him!
WIFE	You talked to a dybbuk. Traitle Groshkover died of typhus in Pesel Bunim's house. Pesel told me-she sat shiva for A rap at the door. Neither immediately responds. Finally, to her husband:
MAN	For some soup, to warm himself. The wind moans. He helped me, Dora!
THE DOOR	We are looking in from the outside as it unlatches and creaks in the foreground, who has arranged his face into a strained background the wife stares, hollow-eyed.
MAN	REB GROSHKOVER! You are welcome here! Reverse on REB GROSHKOVER: a short, merry-looking fellow with silk hat and spectacles. He gives a little squeal of delight.
REB GROSHKOVER	You are too kind, Velvel! Too kind! Yes, your cheeks are pink and your legs are stout! What a wife you have!
MAN	Yes! A ray of sun, a ray of sun! Sit!
WIFE	My husband said he offered you soup.
REB GROSHKOVER	Yes, but I couldn't possibly eat this late, or I'd have nightmares. No, no: no soup for me!
WIFE	I knew it.
REB GROSHKOVER	I see! You think I'm fat enough already!
WIFE	No. A dybbuk doesn't eat. REB GROSHKOVER stares at her, shocked. The wife returns the stare. The husband looks from wife to REB GROSHKOVER, apprehensive. REB GROSHKOVER bursts into pealing laughter.
REB GROSHKOVER	What a wife you have!
MAN	I assure you, REB GROSHKOVER, it's nothing personal; she heard a story you had died, three years ago, at Pesel Bunim's house. This is why she think you are a dybbuk; I, of course, do not believe in such things. I am a rational man. Oh my. Oh my yes. What nonsense. And even if there were spirits, certainly... He thumps his chest. I am not one of them!
WIFE	Pesel always worried. Your corpse was left unattended for many minutes when Pesel's father broke shiva and left the room-it must have been then that the Evil One- She breaks off to spit at the mention of the Evil One. -took you!
REB GROSHKOVER	"My corpse!" Honestly! What a wife you have!
WIFE	Oh yes? Look, husband... one check... Then he left the room. He came back, and shaved the other... You were already gone!
REB GROSHKOVER	I shaved hastily this morning and missed a bit-by you this makes me a dybbuk? It's true, I was sick with typhus when I stayed with Peselle, but I recovered, as you can plainly see, and now I-hugh! REB GROSHKOVER looks slowly down at his own chest in which the ice pick. REB GROSHKOVER stares at the ice pick. The wife stares. The husband stares. Suddenly, REB GROSHKOVER bursts out laughing: What a wife you have! The husband can manage only a shocked whisper:
MAN	Woman, what have you done? shakes his head.
REB GROSHKOVER	Why would she do such a thing? I ask you, Velvel, as a rational man: which of us is possessed?
WIFE	What do you say now about spirits? He is unharmed!
REB GROSHKOVER	On the contrary! I don't feel at all well. One does a mitzvah and this is the thanks one gets?
MAN	Dora! Woe, woe! How can such a thing be!
REB GROSHKOVER	Perhaps I will have some soup. I am feeling weak... Or perhaps I should go... He smiles weakly at Dora.. One knows when one isn't wanted. He walks unsteadily to the door, opens it with some effort, and moaning wind and snow to be swallowed by the night.
MAN	Dear wife. We are ruined. Tomorrow they will discover the body. All is lost.
WIFE	Nonsense, Velvel... She walks to the door... Blessed is the Lord. Good riddance to evil and shuts it against
BLACK	A drumbeat thumps in the black. Music blares: the Jefferson Airplane. Grace Slick's voice enters: And all the hope inside you dies Don't you want somebody to love. . . with a small black pinhole center. This white half-globe is a field. The flesh tone glows translucently, backlit. We are drifting and, as we do so, the music grows louder still. A pull back-a reverse on the preceding push in-from the cheap of a transistor radio. The Jefferson Airplane continues over extremely compressed. The pull back reveals that the earpiece is lodged in someone's ear and trails a white cord. room, many voices speaking a foreign language in unison. A classroom, The radio is on a desktop but hidden from in front by the book book is written in non-Roman characters. We are in Hebrew school. desk in a cinderblock classroom whose rows of desks are occupied girls of about twelve years of age. It is dusk and the room is At the front of the room a gray-haired man in a worn suit and DANNY straightens one leg so that he may dig into a pocket. With make sure he isn't being watched, he eases something out:
TEACHER	Mee yodayah? Reuven? Rifkah? Mah zeh "anakim"? Efsheh mashooach ba-avodah? At the cut to the light the Jefferson Airplane music jumps up a multi-flared image of a blinking eye. Reverse: the inside of a human ear. Fleshy whorls finely veined, dark. Objective on the DOCTOR's office: the DOCTOR is peering through an early-middle-aged man, LARRY Gopnik. The Jefferson Airplane music continues.
DOCTOR	Uh-huh.
HEBREW SCHOOL	Close on Hebrew characters being scribbled onto the blackboard The TEACHER, talking. A bored child, staring off. His point-of-view: a blacktopped parking lot with a few orange marshy field, and distant suburban bungalows. Close on another child staring at something through drooping His point-of-view: very close on the face of a classroom clock. hum. Its red sweep-second hand crawls around the dial very, very DANNY Gopnik hisses:
