CHARACTER	DIALOGUE
GILMAN	Kid didn't even move. You see that? Where's your survival instincts, boy? The boy says nothing. He readjusts his bookbag and resumes Hey! Gilman grabs the boy's shoulder and spins him around- The hell you going? You hear me talking to you? One of the other football players, MASON, walks over and
MASON	This is the kid whose old man robbed the truck stop last year. Gilman curls his meaty hand around the back of the boy's neck I C_ONTTNTT f 1
GILMAN	You the one with the convict daddy? The boy stares back at Gilman, unblinking.
MASON	That's him.
GILMAN	What's the matter, you about to piss your pants? Answer me. The boy says nothing, never looking away from the bully. You a tough guy like your daddy? Gilman shoves the boy, forcing him to stumble backwards. The You want to play tough guy with me? Huh? Provoked by the boy's lack of fear, by the insolence of his
MASON	Right cross to the face... and he's down! The football players laugh, looking down at the fallen boy.
GILMAN	What's the matter? You want some more? The boy doesn't look away. The bully swings, cracking the boy Let's get out of here. Walking back to the car, Mason slaps Gilman on the shoulder.
MASON	You gave that little pissant something to think about. Gilman grins and looks back at the boy, expecting him to be
GILMAN	You got to be kidding me. I'm gonna knock the-- But Gilman's words die in his throat as he sees something The boy is far smaller and weaker than Gilman, but he fights Everything stops. Mason, clutching his wounded hand, quits Even Gilman, moaning on the ground, hushes and tries to crawl But the boy is more shocked than-any of them. He stares with The other football players pile in, slam the doors shut, and
KAYLA	It's okay... shh... it's okay. Logan pants, chest heaving, eyes wild, gripping the tattered I'm right here with you. Okay? I'm right here with you. Kayla, a full-blooded Innu, wears her long black hair pulled The war dreams or the one where you're a kid? Logan takes a deep breath, finally calming down. He relaxes
LOGAN	The one where I'm a kid. Kayla runs her fingers through his thick hair, kissing his I cut you.
KAYLA	It's nothing. Just a scratch. She kisses him. We need new sheets again, baby. LOCALS roam through the carnival, lining up to ride the Tilt- A CARNY BARKER of the old school, wearing a patched-suit and
CARNY BARKER	Come see the notorious Bird Man! Half-man, half-eagle, is he an angel from Heaven or a spawn of Satan? Ladies and gentlemen, tonight is your last chance to see the creature you've all been hearing about: We follow two BOYS who hand the barker their tickets, pull The crowd hushes. A tall man in a hooded robe shuffles toward, Finally BEAK throws off his robe and raises his wings to the But when he flaps his gray wings and caws at the onlookers,
SHERRLENE	I'm gonna knock with three.
BEAK	Are you kidding me? He throws down his hand in disgust.
SHERRLENE	You always hold out for gin. You could have knocked a while ago.
BEAK	Yeah, well, I'm an eternal. optimist. Sherrlene tallies the points.
SHERRLENE	All right, I'm gonna hit it. You want to come look for shells with me on the beach tomorrow?
BEAK	I don't want to scare away any tourists.
SHERRLENE	Aw, sweetie, it's winter. No tourists. I'll come get you in the morning. Sherrlene collects her things, stands, and kisses Beak on the
BEAK	Goodnight, Sherrlene.
SHERRLENE	Night, Beak. Sweet dreams. Sherrlene closes the door behind her and Beak flips through
BEAK	You forget your purse? All right, all right, I'm coming. He stands and opens the door.
BEAK	Show's over, pal. VICTOR CREED is shrouded in shadows, but when he grins his
VICTOR CREED	Show's never over for you, freak..
BEAK	You want money? There's twenty bucks on the dresser. That's all I
VICTOR CREED	I just want to hear you talk a minute before I cut your lungs out. Creed shoves Beak back into his seat, picks up the bottle of
BEAK	You're the one that's been killing mutants. Creed wipes his lips with the back of his clawed hand. But you... you're one of us.
VICTOR CREED	Us? There's no us. There's you and there's me, and in a minute, just me. Creed smiles down at his feathered target. Beak tries to
BEAK	Please... I never hurt anybody, my whole life...
VICTOR CREED	Let me show you how it's done.
LOGAN.	Smells like government. Behind Logan, two approaching men in dark suits and black One of the newcomers, STRYKER, was a colonel in the Special CHRISTOPH NORD, A.K.A. AGENT ZERO, looks more like a death I even showered today. Logan turns, the axe gripped in his hand. Been a long time, Logan. You haven't aged a day. Everyone else gets old and gray, but not you.
LOGAN	How'd you find me?
STRYKER	We never lost you, my friend. I believe you know my colleague? Logan and Agent Zero stare at each other. There is a history We're with the Department of Agriculture now.
