CHARACTER	DIALOGUE
SPECIAL FORCES LEADER	We have visual onthetarget. Confirm 'go' for UAV launch.
COLONEL THOMPSON	Alpha One, you're confirmed 'go': active UAV at GPS papa, zulu, three, zero.
PENTAGON TECHIE #1	We have system control.
COLONEL THOMPSON	Activate laser mic.
CALLISTER	Is it him?
TRANSLATOR	Four males, one of them's speaking with a.. I think it's a Rakhshaniâ¢dialect, consistent with our intel on Al=Khoei.
COLONEL THOMPSON	Gimme voiceprint analysis. The screen pops to an AUDIO WAVEFORM of the conversation.
CALLISTER	I'm not taking 37% to-the President... John, weigh in here? He looks to a plasma: the PRESIDENT'S CABINET is assembled via
DIRECTOR OF NATIONAL INTELLIGENCE	CIA and NCTC concur this is the target based on reliable Intel from the Brits.
TECHIE	Sire they're pulling off the highway.
TECHIE #2	We have abort recommendation. The ANALYSIS ARRAY reads: "RECOINDATION: ABORT MISSION." The
COLONEL THOMPSON	If it's him, this guy comes out of hiding once in a lifetime, we can't let him go.
CALLISTER	Alright, stay with him... THE SATELLITE VIEW shows the caravan approaching the commune. INTERCUTTING - THE PENTAGON OPS ROOM: the computer pinpoints
TECHIE	We've got AK-47's, RPC's, Chaparral guided missiles --
COLONEL THOMPSON	Looks like a training camp. THE DESERT: Bodyguards cluster around a TURBANED:MAN as he
TECHIE	51%. 'Abort' rec holds. THE DESERT: Now our guy DISAPPEARS into the crowd as they begin
CALLISTER	What is that, a weapons cache?
ANALYST	Sir, the placement of stones around the pit, markers for the Five Pillars of Islam... I think it's a funeral. Everyone trades looks -- this just got even more complicated.
TECHIE	Sir, striking a funeral would put us in violation of the Geneva convention.
COLONEL THOMPSON	Once this guy's gone, he's gone. The PENTAGON GENERAL COUNCIL pipes in --
PENTAGON GENERAL COUNCIL	"Hors de Combat" -- legally we'd be open to international prosecution. But we have no independent intel verifying it's in fact a funeral, and the presence of weapons certainly leaves room for interpretation.
TECHIE #2	I have POTUS calling from Air Force One.
CALLISTER	Everyone agree this is the best course of action? No one dissents. Callister picks up:
CALLISTER (CONT'D)	Mr. President, we have.a.51% identity match on Majid Al-Khoei. There is some possibility he's at a funeral, but we don't know. Regardless, counsel thinks we can claim 'Overriding Legal Authority.' Also, you should be aware we have an abort recommendation, but your cabinet, the Speaker, the Joint Chiefs urge a 'go.'
THE PRESIDENT (V.0.)	You left yourself out of the lineup. Callister pauses. AS THE MESSAGE ON THE MONITOR STARTS
CALLISTER	Yessir... we gauge our strategy by two standards: the highest probability of success with the least amount of collateral damage. At 51% probability, we don't have either one.
GENERAL THOMPSON	And if it is Al-Khoei and he walks, Sir, we're putting our people at risk. There's a long silence as the President considers.
