CHARACTER	DIALOGUE
SCOTT BRUMBERG	Great show, Ram. Ya turned it out. As always.
SCOTT BRUMBERG (CONT'D)	Sorry. I was sure the gate'd be bigger.
FAN #1	Yo, Ram. Think you could...?
FAN #1 (CONT'D)	I was there.
FAN #2	My first match ever was you versus Davey Diamond at the Spectrum.
FAN #2 (CONT'D)	You were awesome.
KID'S VOICE (O.S.)	Ram!
ANOTHER KID'S VOICE (O.S.)	Raaam!
RANDY	Oh, my... look out!
RANDY (CONT'D)	Suplex!
RANDY (CONT'D)	Tombstone piledriver! Catch you maniacs later...
RANDY	C'mon, Len. Don't be such a fuckin' ballbreaker.
LEN THE MANAGER	You'll get in when I get my rent.
RANDY	You know I'm good for it.
LEN THE MANAGER	Sure. You're good for it every time this happens.
RANDY	Can I at least park in back?
LEN THE MANAGER	Twenty bucks.
RANDY	Thanks, Meg.
RANDY	Hey, Wayne.
WAYNE	Do we not know how to knock?
WAYNE (CONT'D)	Let's try that again.
WAYNE (CONT'D)	Come in! Oh, hi, Randy! What can I do for you?
RANDY	Do you have any extra shifts you could throw my way?
WAYNE	What's the matter, they raise the price of tights?
WAYNE (CONT'D)	Let's see what we got.
RANDY	Pretty much anything weekday...
GREGG	I'm tellin' ya, bro, it's identical to the German.
RANDY	I tried Mexican sus once. Gave me bitch tits.
GREGG	Years ago, right? Mexican's way better now.
RANDY	I don't want this.
GREGG	Bro, it's the same.
RANDY	I want my German.
GREGG	I don't have any.
RANDY	Yeah?
GREGG	What are you doing?
GREGG (CONT'D)	That's my own stash. That's my last one.
RANDY	Danke schoen.
SPOTTER	Push it out----you got this!
RANDY	How ya doin', Glor?
FRONT-DESK WOMAN	Hey, babe. Four's open.
RANDY	Don't leave it in too long. All those pieces broke off last time.
KOREAN LADY	Okay, okay, no problem.
NICK VOLPE	Listen up, only saying it once. Vic Storm, you're up first against D- Day. Second, Shawn McPride and Funkmaster Garry B. Slick. Third, Frankie Cirillo and Rob Dynamo versus J.T. Anvil and The Ultimate Freak. Fourth, Teddy Brewski and Lex Lethal. Intermission. Fifth, Samoan Savages versus the Disco Brothers. Sixth, the Irish Warrior and Vyper. Seventh, "Sandman" Steve Sambuca versus Hollywood. Last but not least, for the strap, Kid Loco versus Randy The Ram. Got it? Good.
RANDY	Right there, you post me. Hard. I show color.
RANDY (CONT'D)	You post me again. Again. You're fuckin' whalin' on my ass.
LEX LETHAL (O.S.)	Ram.
LEX LETHAL (CONT'D)	There's some chick out here looking for you.
RANDY	Who?
LEX LETHAL	Some chick.
RANDY	Ring rat?
LEX LETHAL	I don't think so.
RANDY	What's up, kiddo?
RANDY (CONT'D)	Long time no see.
RANDY (CONT'D)	Whatcha doing here? Here to root on your old man?
RANDY (CONT'D)	That's okay----as long as you're not rooting against me!
STEPHANIE	Is there someplace we can talk?
RANDY	I'm on in a sec.
STEPHANIE	It won't take much of your time.
RANDY	What's up?
STEPHANIE	I'm here because...
STEPHANIE (CONT'D)	I came to make amends.
RANDY	Amends?
STEPHANIE	I'm supposed to talk to people I've hurt.
RANDY	Ohh... 12-stepper.
STEPHANIE	AA.
RANDY	Good for you. That's great.
STEPHANIE	Thank you. I'm sure you mean that.
RANDY	I do. So's that it?
STEPHANIE	I need to apologize.
RANDY	For what?
STEPHANIE	For anything I've done or said over the years. All the anger at you.
RANDY	Okay...
STEPHANIE	Like the last time I saw you... I'm sorry for what I said.
RANDY	Don't worry about it.
STEPHANIE	Do you even know what I said?
RANDY	Sure.
STEPHANIE	What did I say?
RANDY	It was about your mom. And me. Like, how I was bad.
STEPHANIE	You have no idea.
MAN'S VOICE (O.S.)	Raa-am!
MEATHEAD #1	Whassup, yo? Randy The Ram!
MEATHEAD #2	We gonna see some action tonight?
RANDY	Tonight's forecast calls for severe butt-whoopin's with a 100 percent chance of pain.
MEATHEAD #1	Could we get a picture?
RANDY	No problemo.
MEATHEAD #1	Think you could...?
STEPHANIE	No problemo.
MEATHEAD #1	Thanks a lot, yo. Kick some ass out there.
RANDY	You know it, broski!
RANDY (CONT'D)	What?
STEPHANIE	Same shit.
RANDY	They're fans.
STEPHANIE	Same old shit.
RANDY	I hafta. It's work.
STEPHANIE	I'm in the middle of saying something important and you drop it for the fucking wrestling.
RANDY	I didn't ask them to come over.
STEPHANIE	It's like I'm 10 all over again.
RANDY	Are we almost done with this?
STEPHANIE	This what?
RANDY	This ATTACK.
STEPHANIE	Yeah. We're done.
KID LOCO	Look at this loser! How pathetic.
RANDY	Let's go home.
TRIO	Ram Jam! Ram Jam! Ram Jam!...
WHOLE CROWD (O.S.)	RAM JAM! RAM JAM! RAM JAM!...
MEDIC	Ram, man, you popped that crowd.
NICK VOLPE (O.S.)	Yo, Ram. Got a sec?
RANDY	For you, needledick? Always.
NICK VOLPE	Do you realize what's coming up? May 6th...
NICK VOLPE (CONT'D)	20th anniversary of you and Ayatollah at the Garden.
RANDY	Holy shit...
NICK VOLPE	I know. Time fuckin' flies.
RANDY	Whatcha thinkin'?
NICK VOLPE	Two words: Re. Match.
NICK VOLPE (CONT'D)	I'm doing a big Fanfest thing down in South Carolina that weekend. I wanna main-event it with you two.
RANDY	Yeah?
