CHARACTER	DIALOGUE
MARIA	Hey. Are you okay?
MARIA	Peter? What's the matter?
DOUG (O.S.)	Karen!
KAREN	I'll never get used to this.
DOUG	Maybe we should find a different train station.
KAREN	A public display of affection is considered rude in Japan. OMITTED
KAREN	What's that?
DOUG	We walk past this temple every day, Karen --
KAREN	Yeah, but I've never seen this before.
KAREN	It's a Buddhist ritual. The incense smoke carries the prayers to the spirits of his ancestors, to help them remain at peace.
DOUG	It's amazing. You're like this infinite storehouse of wisdom. Or trivia. I'm not sure which.
KAREN	It's not trivia. It's what they believe. And it's far better, by the way, than your little pollution ritual.
KAREN	What?
DOUG	Nothing. I just -- I like that about you. You seem to be able to remember everything that's really important.
DOUG	Except the time.
KAREN	Oh, crap --
KAREN	C'mon, you're gonna be late.
KAREN	Uh-uh. Seven years of bad luck. And I might have a vested interest in those years.
DOUG	Is that right?
KAREN	Maybe.
DOUG	Will I see you tonight?
KAREN	I'll call you when I get home.
DOUG	Fourteen. I hate odd numbers.
2d 2d	Through the front doors, we see Doug kiss Karen again. They
ALEX	Karen!
ALEX	
KAREN	I just came by to pick up some books I left here. I'm not scheduled to work today --
ALEX	I know. But are you free? Do you have class?
KAREN	Just a test to study for. Why?
ALEX	Your wish has been granted.
ALEX	It's Yoko's case, but she didn't show up for work this morning, and I can't reach her at home. She must be sick, or something. And she has the damn house key.
KAREN	What's this phrase?
ALEX	"Mild dementia with severe lethargy." Apparently she sleeps through most of the day. Her daughter-in-law doesn't work, so she'll probably be there.
ALEX	You're the one who's been bugging me about getting out there on your own. Besides, it's an English-only house.
ALEX	Here's the address. Use the wall chart if you need help -- and don't forget to bring a map.
ALEX	Don't worry Karen, you're ready. OMITTED
5a 5a	Karen walks down the populated sidewalk, weaving through
KAREN	Hello? Mrs. Williams?
KAREN	Is anyone here? Karen stands in the doorway, surveying the room. The place
KAREN	Oh my God... are you alright? -- Emma sits on the back porch, staring vacantly. But her
KAREN	Okay, Emma. Let's try again: my name is Karen. Do you remember? I'm from the Health Center. I'm substituting for Yoko, just for today.
KAREN	Looks like you need a new Band-Aid. How'd this happen, Emma? Would you like a bath? Maybe that will help you feel better. Karen turns on the water, puts the stopper over the drain.
KAREN	It's okay, Emma. Karen uses a sponge to bathe Emma, her robe rolled to her
KAREN	Nice one, Karen. Karen steps into the foyer with the vacuum cleaner. She
KAREN	How did you get up there? Karen steps into the hallway and listens. There it is again,
KAREN	Hello? The sounds immediately stop as Karen enters the MASTER Karen is on her cell phone:
KAREN (INTO PHONE)	Yes, he was shut in a closet! There was tape around the -- No, they're not home yet. I don't know, Emma hasn't said a word to me -- He's still upstairs -- yes, I'm sure he's Japanese -- But -- Yes, alright, Alex. Just please get here as soon as you can.
KAREN (IN JAPANESE)	Hello there.
Really creepy.	The boy just stares at her. My name is Karen. What's yours?
THE BOY	Toshio. Karen enters the room as the ANSWERING MACHINE picks up, the
MATTHEW & JENNIFER (ON MACHINE)	"Konnichiwa! Matt and Jennifer aren't around, leave a message."
SUSAN (ON MACHINE)	"Hey, guys, it's Susan. Matt, are you there? Pick up...
SUSAN (ON MACHINE) (cont'd)	Okay, well, I'm leaving work now so you can try my cell, or just call me at home later."
SUSAN (ON MACHINE)	"I just wanted to make sure Mom is okay. Yesterday was... a bit weird, and -- I'm just a little worried."
SUSAN (ON MACHINE)	"Listen, just give me a call when you can, okay?"
EMMA (O.S.)	...I've told them over and over... I've told them over and over...
KAREN	Emma, who were you talking to?
EMMA	I just want her to leave me alone.
KAREN	You should get some rest, Emma. MATTHEW and his wife JENNIFER are in bed. He sleeps soundly,
MATTHEW	You're up?
JENNIFER	Mmmmmm.
MATTHEW	I wonder if Mom's okay. She's been sleeping ever since we got here.
JENNIFER	Not at night.
JENNIFER	I told you, Matthew, you can sleep through anything.
MATTHEW	I'm sorry, sweetheart. It was probably just the move -- I'm sure she'll get back on schedule.
MATTHEW	You seen my travel mug?
JENNIFER	I didn't unpack it yet.
MATTHEW	Maybe you should say something to the helper, what's her name?
JENNIFER	Yoko.
MATTHEW	Who knows? Maybe there's something she can suggest.
JENNIFER	Yeah. Maybe.
MATTHEW	I miss seeing this every morning. No response from his wife. He turns to see Jennifer looking
MATTHEW	Hey, kiddo. You okay?
JENNIFER	I went for a walk yesterday. Just to explore. I got lost and couldn't find anyone who could speak English, who could help me. I felt so... stupid.
MATTHEW	This will get easier soon, for Mom, for all of us. I promise.
JENNIFER	Or else?
MATTHEW	Or else I'll tell the company it's just not working out, and that we're going back to the States with or without my old job. They can get someone else to crunch their numbers.
MATTHEW	But until then -- promise me you'll give it a good try, okay Jen?
JENNIFER	Deal.
MATTHEW	Is this Yoko's bike?
JENNIFER	I think so.
MATTHEW	It's been here all night.
MATTHEW	I'll probably be home late, maybe around nine or so.
JENNIFER	I knew you'd forget.
JENNIFER	Dinner, your sister? At seven?
MATTHEW	Oh yeah. Right.
JENNIFER	You were going to cook.
MATTHEW	I have a big conference. They usually run long.
JENNIFER	I'll do the shopping. Just call me if you're going to be late. CLOSE ON the same package, a microwaveable soup bowl, now
JENNIFER	If you need something, all you have to do is say so --
JENNIFER	Who's -- who's there?
MATTHEW	Sorry I'm late, it took awhile to wrap things up.
MATTHEW	Jen? Susan? Matthew turns on the lights. The room has reverted to its
MATTHEW	What the hell? --
MATTHEW	Mom? Are you alright?
MATTHEW	Where's Jennifer, Mom?
MATTHEW	Did Yoko come today, Mom? Remember? The pretty girl?
MATTHEW	Jen? Are you up there?
MATTHEW	Dammit.
MATTHEW	Jennifer? What is it --
MATTHEW	What's wrong? What happened???
MATTHEW	I'll... I'll call an ambulance... Matthew runs into the kitchen grabbing A LARGE BOOK on one of
MATTHEW	Dammit!
MATTHEW	Jesus Christ...
MATTHEW	`Ambulance'... "kyukyusha".
MATTHEW	Who are you? What -- what are you doing here? The DOORBELL rings. Then a few more times.
SUSAN	Hello?
SUSAN	You guys in the kitchen? Susan walks in, puts the wine on the table. Looks around.
SUSAN	I thought you guys were gonna cook!
SUSAN	Hi, Mom. How are you feeling?
SUSAN	I guess I came at a bad time, huh?
SUSAN	I'll give you guys one minute to finish whatever you're doing up there and get your butts down here.
SUSAN	I mean it, guys.
SUSAN	Well, I warned you. Prepare to be emotionally scarred.
SUSAN	Matthew! Don't scare me like that!
SUSAN	What's going on? Where's Jennifer?
MATTHEW	She went out. Something came up.
SUSAN	I hope she's not long. I'm absolutely starving.
