CHARACTER	DIALOGUE
Jon Hurwitz and Hayden Schlossberg	BILLY CARVER (mid-20s, good looking, "romantic") is sitting
MAN (O.S.)	Billy Boy! J.D. BANKS (mid-20s, always looking for a good time) enters
J.D.	Get your ass ready! It's almost five o'clock and this bad boy needs to get his drink on! J.D. notices his friend pining over the photo.
J.D.	Oh God. Give me that. I'm burning it once and for all. J.D. snatches the photo, and pulls out his lighter. Just as
BILLY	Don't!
J.D.	Dude, it's been six months. You have to move on. BILLY nods knowingly.
J.D.	You know what'll cheer you up? Some hot chick riding your jock all night long.
BILLY	You're such a romantic, J.D.
J.D.	It would help get your mind off of Sarah. BILLY ponders this for a moment.
BILLY	Whatever. Even if I wanted to meet other women, I wouldn't even know what to do. I've been out of the game so long.
J.D.	Billy, you come out with me tonight, and I promise you'll get laid.
BILLY	Sounds tempting, but I can't. Berenson needs me to update the financial models for his meeting with the foreign investors.
J.D.	So what? It's Friday! You have all weekend to do that.
BILLY	No I don't. The Germans are taking an earlier flight back, so the meeting's been moved to tomorrow. J.D. thinks for a moment.
J.D.	Well, why don't you just get somebody else to do your work then?
BILLY	Who? J.D. gets a big smile on his face. He has an idea.
BILLY	Harold, listen, I need you to update these models for me.
HAROLD	But aren't you supposed to...
BILLY	I know, but something came up. I have to meet with some clients tonight, so I won't be able to get to it. It's your responsibility now. Okay? Harold doesn't like this, but before he even has a chance to
J.D.	And make sure it's in tomorrow by nine o'clock sharp. With all the downsizing going on around here, we wouldn't want to have to tell Berenson that you've been slacking. He's just dying to figure out who he should fire next.
HAROLD	Uh...okay...no problem... BILLY drops a big stack of papers on Harold's desk.
BILLY	Wow! I can't believe how easy that was!
J.D.	Dude, how do you think I get all my shit done? I'm telling you -- those Asian guys love crunching numbers. You probably just made his weekend. The guys have reached J.D.'S CONVERTIBLE. Now get ready. It's time we embark on...Operation Get Some! And with that, J.D. presses a button in his car that causes Intercut:
HAROLD	Fuck.
KUMAR	Mononucleosis or mono is an infection caused by the Epstein-Barr virus. Symptoms may include fever, sore throat, headaches, white patches on the back of your throat, swollen glands, sluggishness and loss of appetite.
DR. WOODRUFF	Excellent, Kumar. I have to say you're one of the best applicants I've ever interviewed. Not that it's a surprise. Your father is very respected in his field. You know he and I had some pretty wild times when we were in med school.
KUMAR	Really?
DR. WOODRUFF	Yeah. We started our own basketball team-- the Hemoglobin Trotters... Yeah, we were crazy. Kumar nods and smiles. Woodruff finally stops laughing...
DR. WOODRUFF	Anyway-- just one more question. What are some potential symptoms of pancreatitis?
KUMAR	Let's see. There might be epigastric tenderness, diffuse abdominal tenderness... Suddenly, we hear what sounds like be a match being lit, a
KUMAR	I'm sorry. Can you hold on one second? Kumar stands up and answers his cell phone.
KUMAR	Kumar's phone. Kumar speaking. Oh, hey. Nothing important. I can talk. What's up? Dr. Woodruff is offended. He takes a sip of from a mug of
HAROLD	I'm not gonna be able to partake in our usual Friday night ritual. I've gotta stay late at the office.
KUMAR	Fuck that shit! We had plans! Dr. Woodruff can't believe Kumar's choice of words.
HAROLD	I know, but I gotta get this work done.
KUMAR	Oh come on! When has getting high ever prevented you from finishing your work? Dr. Woodruff is so shocked that the mug of coffee simply
HAROLD (O.S.)	Listen, I'd love to go home, but...
KUMAR	No fucking buts! I just bought a quarter of the finest herb in New York City, and I'm not smoking it alone. So you're just gonna have to chill the fuck out, bring your work home, and prepare to get blazed, because in a couple of hours I expect both of us to be blitzed out of our skulls. Got it?...Okay good. See you later. Kumar hangs up the phone and sits back down. Dr. Woodruff is
KUMAR	Okay, where was I? Oh yes. More symptoms of pancreatitis. Um...decreased bowel sounds, possibly fever, dehydration, and sometimes even shock.
DR. WOODRUFF	Mr. Patel. This is supposed to be a proper interview. Do you actually believe after the way you've behaved that I would ever even consider recommending you for admission?
KUMAR	No. I'd actually be pretty surprised. Dr. Woodruff is flustered. He doesn't know how to react.
KUMAR	Look, I'm just interviewing so my dad will keep paying for my apartment. I'm not really planning on going to med school.
DR. WOODRUFF	But...you have perfect MCAT scores!
KUMAR	Well, I'm not an idiot. Dr. Woodruff is at a loss for words. Kumar notices a framed picture of a HOT TEENAGE GIRL on Dr.
KUMAR	Wow! Is this your daughter? A disturbed Dr. Woodruff grabs the portrait out of Kumar's
HAROLD	Yes! Right in front... Harold carefully lines up his car to parallel park. As he
HAROLD	Those assholes. The driver, COLE (20's, asshole, high energy, intense, loud COLE is joined in the jeep with his EXTREME SPORTS PUNK
COLE	This is America, dude! Learn how to drive!
EXTREME SPORTS PUNK #1	Better ruck tomorrow! Frustrated, Harold turns around and continues driving...
HAROLD	Okay, be yourself. Don't be nervous.
HAROLD	So Maria, what's been going on?
MARIA	Oh, nothing. It's just been a long week. How about you?
HAROLD	My week was great. Work wasn't too bad. I caught up on some sleep. Plus, the guy who works next to me decided to bathe for a change.
MARIA	Really?
HAROLD	Oh wait, I meant the exact opposite of that. Work sucked. I barely slept. And the guy next to me still smells like crap. But a man can dream, right?
HAROLD	So what are you up to tonight?
MARIA	Actually, I'm probably gonna work out a little bit, clean up the apartment, and then go over to my boyfriend's place. He's cooking me a really nice dinner.
HAROLD	Really?
MARIA	Oh wait, I meant the exact opposite of that. I'll actually probably just sit on my ass, eat a pint of Hagaan Daz, and watch Blind Date.
HAROLD	That sounds awful. Harold laughs, as does Maria. They smile at each other...
