CHARACTER	DIALOGUE
To Princeton University's Director	of Admissions: In considering me for a scholarship you have asked for, and have every reason to expect, an essay from me about myself. And, as a clever high school graduate, I of course realize the subtext of this essay about who I am and why I want to enter Princeton, is actually to make clear to you why you should have me. I have gotten tips, from friends who have preceded me to college, that being a Latina, with my grades, list of activities and relative poverty, I am as good as in if I simply do the dance and work in a word like "bipolarization" every so often. And while I love dances -- this dance of self is one I am afraid to master. I prefer to write about my mother. eleven years ago was a watershed not because of my father's imprisonment but because it was my first day at school....
There was never any pretense that	the gorgeous, vital, clever, temperamental animal that was my mother ever for a heartbeat considered having any life of her own. She ignored all her needs and was alive only for me. It was terrific. At the time. As she clears her throat and says directly into camera. The girl and woman are enormously excited over this word even la mejor possible. good one." This was my mother's instruction to me. SERIES OF SHOTS 9
My mother dealt with our	considerable problems of survival by talking..Always she discovered her own best thoughts by sifting through her own words. The mother stops talking in mid-sentence, realizing she has
Each night my mother promised me a	wonderful life.. Each night I looked for a new expressive way to tell my mother how much I loved her. The child is ardent..clutching at her heart...kissing her and every time I looked up my mother was in the process of saving us.
Desperation in her hands was our	weapon.
With this weapon she had her	marriage annulled - usually impossible for the poor - and somehow convinced an associate of my father's to transport two Mexicans North in style. How you doing? Hi. How are you? I am fine.. ..happy, merry, joyful, glad, contented, frisky. As they taxi. Are you her mother, sister..what? The mother says, "solo español"---"only Spanish." The daughter..who, with this gentlest of prods, repeats the same
My mother's prayer for us, which	she made me repeat exactly, represented a stunning look into our future. "Please God, let only the bad things change." Telephone? Por favor. Por favor. He glances over..this is not lechery, it is art
My mother had redefined her own	passions. Blaming herself for the father she gave me, she would never again be lured by a man's rough edges..She had decided that goodness would be her catnip. Texas... The mother hurries her along in the direction of distant Texas.
Mamá, Texas..	She raises her fingers like pistols. Shoots, blows in them GIRL mother's anguish. She loved and lived to talk. Now, as if by a witch's spell, words were no longer her bridge but her barrier. In a very real sense she feared she had left herself behind.
We moved into a place managed by my	mother's aunt. My mother worked two jobs in two local stores paying a total of 450 dollars a week... Cristina taking a snack from the refrigerator..smiling at the If only I could have stayed six. The CAMERA MOVES QUICKLY from the child to: BACK TO SCENE... music plays and we focus on Cristina, now She runs toward the boy -- he sees the force of nature coming
That quickly it was clear she could	no longer work two jobs and leave me to my own at night. The following morning she did something about it. A boy I never saw again had changed our lives. Este es Stone Canyon. POV. Please? Don't worry..I'm not mad...I was looking for decoration to put on the glass so people would stop walking into it and instead of taking what they had in stock, which was awful, I special ordered. I'll design something myself which I should have done in the fi... heroine, seeing the blood flow from her aunt's nose,
..and what difference does that	make when your nose is bleeding. Shut up, Deborah. Deborah grabs at paper towels, gets an ice pack from the experience. Was that strange to give you money..I just felt badly that.. She pockets the cash. daughter live in the apartment I manage. Yolanda, who worked for you, lived there before she went back home. That's how I heard about the job. You're gorgeous. On our gal..as she, not understanding the word, smiles and Vistosos. Our gal thrown. Not knowing how now to react. compliment. It's more of an accusation. DEBORAH
This is my daughter Bernice and	this is my mother, Evelyn Norwich.. Excuse me...Glad you're okay. Good luck. gal smiles back in appreciation. my interview. You understand, Mom. Strength of character..empathy..big heart..taste for futility - God I love you. eyes with disapproval her mother's empty glass. Stop. It's just a conversation - not an interview. Please sit. Don't you want to get out of the sun? indicates a shaded seat. Deborah is protected by hat, Let's just talk. I have two children. My husband works nights..he's a chef and has his own place. company until ten months ago when have two children. I like the house to be like me in that I'm very loose and meticulous at the same time. It's all about first names and closeness here but I care about the place, you know. It's what they used to call homemaker.. two visitors exchange a wide-eyed look. Which Deborah I'm not leaving time for you to translate. says, in Spanish, "this woman is very strange. The
Too bad for you that it just never	occurred to you to check on how much Spanish I know. I'm sorry what I say about you...don't hold it against her. not an idiot - I talk for an hour and you say two words. What did you say? squirms - unusual for her.
Never mind. You got your nose	bopped. I got my feelings hurt. Onward. Monica paraphrases what has happened, her translation is I will major in linguistics and make sociology my sub- concentration. Because it has been my experience that the barriers of language are more than we dare admit. That, as much as we translate, finally we will never understand each other. My mother's name, for example, beautiful in Spanish, becomes leaden and awful when pronounced by a non-Latin. five Spanish words.. pronounces Flor in the Latin way...lots of RRRR's with a pronounces it flat like the "floor" we walk Florrrrr. Florrrrr. Florrrrr. Florrrrr. FLOR is beginning to feel criticized...she takes a Is there some school of the ear I'm flunking out of right now? says to Monica, in Spanish, a tip to pronounce her name. She says..If you curl your tongue and let it be loose you will have it..that it's hard for Americans.. She says it's great that you try so hard. Many people wouldn't bother. She gets me.... smiles at Flor, who returns the smile. lemonade. pours some for Flor and Monica. Then she closes her eyes
Florrrrr.	is perfect..Flor grins at Deborah's victory...claps her Sublime. feels relief..free for a moment from the dark Thanks. What you just did with me is just what kids need..patience and encouragement. Alright, money... rises like a shot to take off.. Look forward to seeing you. she leaves. Love you... ... the job is six days a week, seven to seven..the kids and all housekeeping, how much a week would you like? translates..Flor, embarrassed a bit by the directness, question..if you ask for too little it means you don't value
yourself..too much and you're	taking advantage. So? Flor is dumbstruck by the challenge of this pop quiz but not One thousand dollars. Deborah falls for it until Flor laughs..others join...Deborah Six hundred dollars. Flor shoots her a look of fear...a tense beat. Deborah kisses her..sort of on the mouth. In the midst of As he moves on, we see in the background the workers unwrap
She came down to check on the party	and realized the gardeners hadn't finished rolling the sod. We can do it. Come on. She falls over the roll..getting filthy..but it gives and Why... do... I... care.. so.. much.. about.... CRAP? And now she wins.. the cylinder of grass rolls all the way
Can you believe they left without	finishing? As she looks at her handiwork - John looks at her..A looking. look at it. the answer she wanted.. anybody's just a half hour late. hits a switch at the door and the backyard area is now Okay..We're okay here. Why can't everything be like sod? There's no wait, no dung, nothing you have to do right and yet it's perfect. It covers up all your dirt and makes things immediately pretty..then, the miracle, if you just give it time, it roots and you can't tell it from the real thing. No reaction. Nothing to say. don't have anything particular to say. out a knife and kill me all together. crushed, she prepares to exit. minute..Deb..stop..come on. I'd like to figure this one out. What would have been the great thing for me to say after you said the sod sentence?..Really. DEBORAH compared the sod to life, if you had said, "Exactly!" She turns to leave. I'd have to think the same way you do. It's worth a try...I had something else to tell you...it'll come to me..
Could we have a table for two,	please? Flor says something to her in Spanish..the daughter waves it Before her daughter can translate.
Dancing!	The hostess laughs..They are seated at the two ends of a Flor scoffs -- says she's making six hundred dollars a Flor, encouraging her daughter's spirit of adventure, places buy you a drink. The daughter translates...the hostess points out the early This is very embarrassing but-- "what's wrong with you? I'm with my daughter for God's sake!" Then hostess, Flor and finally Cristina laugh. Cristina Jumbo Shrimp. Deborah runs past..She is clearly upset..She is also more JOHN getting up. You don't have to get up yet but are you thinking seriously about it? Georgie gets up..
You as mad at me as Mom 'cause of	what happened? John pauses..aware his answer will have repercussions but FLOR
Morning. Good too.	notices the French Toast. demurs. Bernice holds out one slice on a spatula,
Thanks.	mother enters on her way upstairs. She is thoughtful, prepares a plate for her mom while, in the b.g., a French toast so I made breakfast. I don't want to be teased about it.. No sarcasm. No tough love. Just try it and if by any chance you have a positive reaction... right now. I have to do something about your brother. has that happened? I got up early to do this. At least taste it, for God's sakes! does.. Oh God, it's good. DEBORAH By the way, you could do without this. The approval rug pulled out from under her, Bernice looks at Chum is nudging Flor with the ball and Flor was about to ON Flor's stunned reaction to the outburst. This is me being nice.. Then using her hands to demonstrate. Trust me on that one. CLOSE UP ON Chum going nuts with Deborah's hand passing in tip. Girlfriends. Could you make some coffee? Cafe? Deborah directs her to the most complicated cappuccino Skylight over the shower allows a beam of God's warmth. There maniacally calm. No..it's not. Because I understand your side. This is a fight. We're having a fight. Yo, I feel anger. Deborah turns from the sink revealing one brown eye and one John exits into the.. can't take this calm thing you've DEBORAH your way of letting me know there's something deeply wrong with me because I'm not calm. Let's not go all over the place..Can't we... If you're going to talk to me please have the decency to raise your voice. Let's make a break for it. signals her with his eyes and head and then takes a large walks to him...he puts an arm around her shoulder. And Nobody's watching. They've been masquerading as us for a while here..I'll distract them - you make a break for it and I'll meet you outside. about this. No. I'm not. I mean this..let's get away from those two in case they're as miserable as they look.. JOHN Come on, baby. is looking at her with wit and conviction..trying to change the subject..Forget for a moment that you won't support me with Georgie.. Well, I don't think... makes a noise of frustration to stop him..It works. John my mind more and more. Do you do that calm thing for the purpose of infuriating me? What? Why would ... Why would anyone do something to someone they love for the purpose of messing them up? Okay. hates that look of isolation on her face..He needs to make able to read each other...take advantage of it..The answer to the question is,"absolutely not." Now take a look and tell me if you believe me. CLOSE on JOHN'S EYES. Open, smiling, trusting. Trying to get a laugh out of her. just want me to feel badly about myself..Sorry, honey. Great God in heaven save me. Boy meets girl.
Hi.	He turns with a start to see Flor smiling at him. Gorgeous had found someone... You work here? You're going to help with the house and kids? any English at all? The sound of feet on the stairs..Deborah and Georgie enter. press two for Spanish. Flor...John. This is Flor. JOHN Hi, Flor. Deborah reacts, grabs some coffee and pushes Georgie along. Look, I'll take Georgie to school. ropes. Flor is trying to figure out what's expected of her then She sniffles. Flor nods uncertainly. A small voice from the night. Yeah. Well you said you would..You said you wanted to. I asked you five times. Then when I have the whole party paying attention you refused. As she puts the car in gear...Georgie sings insanely well. Georgie. She presses a button on her dash and a glass partition comes Look, it will take you anywhere and then back home. If you figured out how to make coffee on that thing it's all downhill. The MALE SPANISH VOICE talks about imminent left turns. Flor you're going to have to learn English. Not the best place to stand, fella. No. It's me. You're the new helper, huh.. bugged. Two people head for John almost simultaneously. PEG, an arty The Maitre D' enters. MAITRE D'
