CHARACTER	DIALOGUE
CLAIRE (V.O., CONT'D)	It's like, you get this box, and you're sure you know what's in it.
CLAIRE (V.O., CONT'D)	You shake it, you weigh it, and you're totally convinced you have it pegged. No doubt in your mind. script is copyright © 1998 John August But then you open it up, and it's something completely different. Bing! Wow! Bang! Surprise! I mean, it's like you and me here.
CLAIRE	I'm not saying this is anything it's not. But c'mon. This time yesterday, who'dda thunk it? `X' Christmas MUZAK plays. A baby CRIES.
Containers of frozen orange juice spin endlessly on the	
RONNA	Paper or plastic? CONTINUED: 4
RONNA	Paper or plastic?
RONNA	Paper or plastic?
STRINGY HAIRED WOMAN	Both.
STRINGY HAIRED WOMAN	You didn't double my coupons.
RONNA	They're at the bottom. In red. Where it says, double coupons.
STRINGY HAIRED WOMAN	You can't do that. You can't put bleach in the same bag as food. It's poison.
STRINGY HAIRED WOMAN	Don't think you're something you're not. I used to have your job.
RONNA	Look how far it got you.
CLAIRE	Don't.
SIMON	Why not?
CLAIRE	She's been on for fourteen hours.
SIMON	Ronna?
RONNA	No.
SIMON	I haven't asked you yet.
RONNA	Answer's still no.
SIMON	Are you menstrual? Pre-menstrual, post- menstrual? CONTINUED: 6A
RONNA	One of the three. Okay, Simon. In case you haven't heard the buzz, the scoop, the word on the street, I'm getting evicted. Tomorrow. So pardon me if I'm not in a holly-jolly mood right now.
SIMON	Ronna, they wouldn't evict you at Christmas. You'd be ho-ho-homeless.
SIMON	Is that why all the overtime? How much do you owe?
RONNA	Three eighty.
SIMON	That's nothing.
RONNA	More than I got.
SIMON	I'll give you twenty right now for a blowjob.
SIMON	Handjob?
SIMON	Ronna, do you want my shift?
RONNA	Serious? * CONTINUED: 6B
SIMON	I haven't punched in yet. * She only half-believes him. Simon's not prone to benevolence.
SIMON [CONT'D]	Look, my best mates are going to Las Vegas * this weekend. I've never been -- I'm told it's incredible. If you took my shift, I could go with them. Everybody wins. Cash up front.
RONNA	Deal.
SIMON	Ronna? Are you certain I couldn't have a blowjob?
VOICE ON INTERCOM *	Available cashier to the front. * VOICE ON INTERCOM * Repeat, cashier to the front. * All eyes look up to the voice of God.
CLAIRE	One of us has to go.
MANNIE *	Dead celebrities? * RONNA * Loser goes up. Steve McQueen. * She rips open a case of Snapple, taking one. *
CLAIRE	M...M...
CLAIRE	Michael Landon.
MANNIE	Lucille Ball. CONTINUED: 9
RONNA	Burt Lancaster. Can you drive?
CLAIRE	L...L...
MANNIE	If you don't mind The Beast.
RONNA	I love The Beast.
CLAIRE	Lane Staley. Alice in Chains.
RONNA	He's not dead yet.
MANNIE	It's true.
CLAIRE	Lewis Carroll. Alice in Wonderland.
MANNIE	Carole Lombard.
RONNA	Lee Marvin.
CLAIRE	M...M...
MANNIE	Don't say Molly Ringwald.
CLAIRE	Martha Raye.
MANNIE	Nice. Robert Mitchum.
RONNA	Shit! M. M. MMMMMMMMalcolm X.
CLAIRE	You can't say Malcolm X.
RONNA	He's famous, he's dead.
MANNIE	That's like a rule or something. Nothing starts with X.
RONNA	That's not my problem.
MANNIE	You can challenge.
CLAIRE	Okay, I challenge. Give me one dead celebrity that starts with X.
RONNA	This is bullshit. I am not working the * fucking register.
RONNA	X...X...There is one. I know I thought of one before.
SWITTERMAN	Break was over four minutes ago. Who's up front?
RONNA	I am.
MANNIE	Xerxes.
RONNA	What?
MANNIE	Xerxes. Some dead pharaoh guy. Starts with X.
RONNA	That wasn't it. I never heard of fucking "Xerxes."
MANNIE	Pharaoh coulda saved your ass.
VOICE (O.S.)	There's an opera about him.
ADAM	Xerxes. I took music appreciation twice.
