CHARACTER	DIALOGUE
	Harron and Guinevere Turner
Draft	
	goat cheese profiteroles and I also have an arugula salad. For entrées tonight I have a swordfish with onion marmalade, a rare-roasted partridge
white porcelain plates descend on very pale pink linen	
	grilled free-range rabbit with herbed French fries. Our
(V.O.)	sitting in Pastels, this nouvelle Northern California
(V.O.)	notice that my friends and I all look and behave in looking. We all have light tans. Right now I'm in a
PATTEN	are the rules for a sweater vest?
	do you mean?
	Clarify.
	is it strictly informal-
	can it be worn with a suit?
	
	discreet pinstripes you should wear a subdued blue or
	avoid matching the vest's pattern with your socks or
PATTEN	think so?
	look like you consciously worked for the look.
PATTEN	point. Excuse me, gentlemen.
	Patten looks puffy. Has he stopped working out?
	looks that way, doesn't it?
	he just take our plates away?
	took them away because the portions are so small he
	Bateman won't give the maitre d' head.
	that Reed Robinson over there? you freebasing or what? That's not Robinson.
	is it then?
	Paul Owen.
	not Paul Owen. Paul Owen's on the other side of the
	is he with?
	a bottle of wine  the weasel from Kicker Peabody.
PATTEN	don't have a good bathroom to do coke in.
	you sure that's Paul Owen over there?
	McDufus, I am.
	handling the Fisher account.
	bastard.
	Jew bastard.
	Jesus, McDermott, what does that have to do with
	I've seen the bastard sitting in his office on the
	spin a dreidel, McDermott, not a menorah. spin a dreidel.
	my God. Bateman, do you want me to fry you up fucking potato pancakes? Some latkes?
	Just cool it with the anti-Semitic remarks.
	I forgot. Bateman's dating someone from the
	voice of reason. The boy next door. And speaking
	$470.
PATTEN	bad. is pouring vintage champagne into flutes. Price is
	week I picked up this Vassar chick-
PATTEN	God, I was there. I don't need to hear this again.
	I never told you what happened afterwards. So I pick up this Vassar chick at Tunnel-hot number, big
	wait. May I ask where Pamela is during all
	fuck you. I want a blowjob, Bate-man. I want a chick gonna let me-
PATTEN	don't want to hear this. He's going to say something
	prude. Listen, we're not gonna invest in a co-op or jet down to Saint Bart's. I just want some
	so we're back at my place and listen to She's had enough champagne by now to get a fucking
PATTEN	let you fuck her without a condom?
	is a Vassar girl. She's not from Queens. She only-are you ready? would only give me a handjob, and get this...she kept
	suppose he doesn't want the car. Price, ask if he takes American Express.
	take Amex, dude? rope and welcomes them inside.
	this theory out now that if you can catch the virus through having sex with someone who is infected, hemophilia, leukemia, diabetes, dyslexia, for
	not sure, guy, but I don't think dyslexia is a
	who knows? They don't know that. Prove it.
	shaking. You open it.
	That's not a helluva lot, is it?
	it's just the light.
	
	
	a fucking milligram of Sweet'n Low!
	definitely weak but I have a feeling if we do of it we'll be okay.
	want to get high off this; Bateman, not sprinkle it my fucking All-Bran.
IN STALL	you keep it down, I'm trying to do drugs!
	UP!
	down. Let's do it anyway
	guess you're right... IS, IF THE FAGGOT IN THE NEXT STALL THINKS IT'S OKAY!
IN STALL	you!
	FUCK YOU!! dude. Steroids...Okay, let's do it.
	the spirit.
	after eleven. Those aren't good anymore. It's cash bar. That'll be twenty-five dollars.
(V.0.)	name is Patrick Bateman. I am years old. I live in the American Garden
	I believe in taking care of myself, in a
(V.O.)	I remove the icepack, I use a deep lotion. In the shower, I use a gel cleanser, then a honey-almond body
(V.O.)	I apply an herb mint facial masque which leave on for ten minutes while I prepare the rest of my
(V.O.)	always use an after-shave lotion with little no alcohol because alcohol dries your face out and makes is an idea of a Patrick Bateman, some of abstraction, hut there is no real me, only an something illusory, and though I can hide my cold
(V.O.)	is hard for me to make sense on any given
