CHARACTER	DIALOGUE
	is so not a dream. stadium clock sets at 5:00. The crowd goes crazy. Josie takes a deep, nervous breath and smiles, "Oh God." images of Josie play across rows of TV sets. A crowd has gathered.
	wasn't supposed to be like this. I was just trying to do my job. And then things happened. Well, life happened. And now I'm here. clock starts to tick down. The crowd yells again. me. I am not the kind of girl who does things like this. I mean, two months ago you couldn't have picked me out of a crowd... with office workers. Bustling with activity. The camera searches the crowd. you. I'm over there. camera swings to Josie entering. Rhoda, a young copy assistant, tails her, pen and paper in hand. American calls for "er". Standard British is "re". So go for "er", unless you're a pompous American, then go for British. keeps negotiating the maze, leaving Rhoda in her wake. Theater. Last night. We were supposed to go, remember? stops at a desk where Merkin Burns, officious office assistant, is talking on the phone. He picks his nose with abandon as he talks, ignoring Josie.
	way. No way. No way. Ech, hold on.
	removes his finger from his nose and uses it to pick up a pink message. He holds it out to Josie. Disgusted, she takes it by one corner. No way. No way-- still standing there.
	do you think we could get some more yellow highlighters? I checked the box and we're-- swivels his chair 180 degrees so his back is to Josie and continues with his phone call. I'm back, so-- sighs, walks to her door. It's marked with a lopsided nameplate: Josie Geller, Copy Editor. She adjusts the plate so it's perfectly straight. enters, reads the messsage still gingerly held in two fingers, and drops it into the trash can. She hangs her coat squarely on the back of her door, takes five pencils from her pencil pot, one by one sharpens them in her pencil sharpener, and then lays them out neatly in a row. She smiles, satisfied, ready for another day. who I did it with last night... in Op/Ed.
	told!
	did. Yesterday you said, and I quote, "I have a date with Roger from Op/Ed tonight and I'm going to do it with him." that doesn't mean it was going to happen for sure. just stares at her.
	it didn't happen for sure. Strauss, late 30's, would probably clean up well, enters. He tosses some copy onto Josie's desk. down. Septuplets story. I need it back by five. Hopefully the copy's not a mess.
	is hoped that it's not a mess. "Hopefully" is an adverb. It means "with hope". You have it defining the copy, and I'm pretty sure the copy doesn't have feelings. and Anita just stare at Josie. excuse me for caring about words. You and Roger in Op/Ed. man! Who told?
	in Op/Ed. Don't make me send you another memo about my policy on inter-office dating. office. And they're not dating. They're having sex.
	what is your policy? That if you're not getting any, no one can? flounces off.
	many times have I fired her?
	Six-- turns to exit.
	Gus--did you see the story idea I left on your desk?
	blind foster home mother. It was good. I got Cahoon on it.
	Cahoon. Yeah, he's--good.
	we've been over this. You're a great copy editor. Maybe my best copy editor. You're not a reporter.
	done five of my ideas.
	know what separates us office flunkies from the reporters? don't have to be in the office Christmas show? flack jacket.
	jacket.
	Tom, Dick, and Harry thinks he can write. But a journalist gets in there, right where the bombs are. He's aggressive. Grabs the bull by the balls. don't think I can grab bulls' balls?
	you don't want a reporter's life. They're very--messy. You're all about order. Control. And getting me my copy by five. can be out of control. smiles. On his way out he re-adjusts Josie's nameplate so it hangs at an angle. Tormented, Josie waits a beat. She can't take it, and runs to the door and straightens it. by five. a pretty depressing kitchenette area. Anita and Josie eat lunch--Anita eats Chinese out of a container, Josie has three baggies of perfectly cut food in front of her.
	honest. Do you think I'm aggressive? ponders a moment. Remember when they took your office chair in for repairs and forgot to return it?
	stood for like a month. an affable African-American woman in her 40's, enters and puts three microwave meals in the microwave.
	because I'm not out of control doesn't mean I can't write.
	deep inside, don't let anyone tell you you're not. Look at me. Every day I come to this paper and I pour my heart and soul into what I do. I feel it, passionately, to the core of my being. write obituaries.
	if you can make a busted aorta sound good--honey, that's art. microwave dings off. Cynthia fishes the three Lean Cuisines out. Anita and Josie share a look.
	aren't they only diatetic if you eat them one at a time?
	eat 'em one at a time. maybe Gus has a point. It wouldn't kill you to relax and have some fun. Roger's got a friend, Marshall in editing? The one with the lazy eye? Maybe we could double date. it.
	swear to God, Jos. When is the last time you went on a real live date? concentrating on my career right now. you own any colored underwear? Stripes? Anything?!
	
	You're way under 30, you're cute, some guys find white Carter's underwear sexy you talk to his nose, you don't even notice the eye. laughs in spite of herself. right guy is out there. I'm just not going to kiss a whole bunch of losers to get to him. but sometimes kissing the losers can be a fun diversion.
	I finally get kissed, I'll know. and Cynthia trade looks.
	If you've never kissed a guy, we got bigger problems than the underwear.
	kissed guys. I've just never kissed a guy. Felt that thing--
	thing"? Is that what you kids are calling it these days?
	thing. That moment. You kiss someone and it's like the world around you gets all hazy and the only thing in focus is you and this other person and you know that one person is the person you're meant to be kissing for the rest of your life. And for that one moment you've been given this amazing gift and you want to laugh and cry at the same time because you're so lucky you found it, and so scared that it will all go away. and Cynthia take this in.
	girl. You are a writer. a Mailbox Etc. store, but dressed in a Tahitian theme. Cardboard hula dancers hold Fedex envelopes. Geller, 23, good-looking, wears a smock with "Tiki Post" emblazoned across it over a Hawaiian shirt. He stands watch at the cash register. Maylik, 50, proud owner, rearranges a display. The place is empty.
	Monty--you think we'll get any business today? handing out a free lei to every customer! What do you think?
	think maybe people are scared off by the tiki torches.
	is scary. Robbie, let me tell you a little something about the mail business. I've been in it over thirty years. And in those thirty years, the only thing that's changed is the Elvis stamp and some gun laws. People are bored! They wanna shake things up!
	thought people just wanted their mail delivered on time. walks into the store, triggering Hawaiian music. Monty puts a lei over her head. Welcome!
	Monty. It's just my sister. takes the lei off her neck. Josie hands Rob an envelope. Rob rifles through the cash inside. Jos. I'll pay you back. Bambi thanks you, too. indicates a beat-up wreck of a yellow car parked outside.
	is so--weird that you name your car.
	it's not. Guys name their penises. car's going to bankrupt you. just needs a new windshield wiper.
	I bought the windshield last week. I'm a hubcap away from owning more of Bambi than you do. hands the money back.
	what? Take it. I don't want it. hands it back.
	take the money, okay? It's no big deal.
	it is. It's just one more thing to add to your "things that make you a better person than me" list.
	person than I.
	know this woman. She works in admissions at Lakeshore Community? She might be able to get you in for the Fall semester. Maybe she could get you the baseball scholarship, and I could help and--
	not going to college, Jos. And I'm not playing anymore baseball. This is my life. is a luau that sells packing material!
	this luau is going to be all mine!
	can you just give up like that? You had a real shot at playing college ball and you let one case of mono stop everything. Don't you want more? To move out of Mom and Dad's? Pay your own bills?
	yay! And then I could be as happy as you!
	your information, I am very happy. Deliriously happy. I lead a very happy life! exits. The music starts up again.
	again! pan around the neatest and quietest walk-up you've ever seen. Lots of books on shelves. find Josie sitting at her small table putting the finishing touches on a needlepoint pillow. She turns it over and we see it says: "LOVE". She holds up the final product to a terrarium, lookup up at her two turtles.
	What d'you think, guys? Where should it go? looks around the living room. that? Bedroom? Great idea! walks into the bedroom with the pillow. perfectly arranged Laura Ashley bedroom. We pan over to the bed. It is completely covered in needlepoint pillows. Josie places the latest one on top of the others and smiles. packed with the NEWSPAPER STAFF. Hyram Rigfort, 65, white-haired, dignified owner of the paper presides. Anita and Josie sit next to each other. Next to Anita sits Roger from Op/Ed, a good-looking guy in his 30's.
	me start out by saying that I was very impressed by the investigative piece Dutton did on pesticides in our supermarkets. older man, Dutton, smiles proudly.
	since the Trib did a better piece on the same subject, you're fired. face falls. Everyone looks horrified. heard me. Out. Out. shuffles out. Josie takes a big bite of donut. Happy March everybody! March Mr. Rigfort.
	celebrate, I've decided it's time for another undercover feature! looks underwhelmed.
	all know that some of my best inspiration comes from personal experience. Who knew that my botched foray into hair plugs would lead to last month's award-winning expose -- "hair today, gone tomorrow"? Hat's off to you, Bruns. pan over to Bruns, a reporter whose hair is missing in odd-looking clumps. He nods sadly.
	should I say "hat's on"! And what about when my wife had that affair with Gil, her ski instructor and Howard went undercover as an expert slalom skier. smiled wanly. Both his arms are in casts. Camera pans the room as Rigfort continues, picking out different reporters.
	last night I'm sitting around the dinner table with my family. The wife, the two nannies, the boys, and we're eating chicken with this peanut sauce. stops at a Chef Boyardee look-alike.
	chef. I like it.
	on, Gus. So, we're eating this peanut sauce and suddenly the younger kid starts choking. stops at a Nurse Ratchet look-alike. smelling undercover ER nurse. out he's allergic to peanuts. And I think -- holy shit. I don't even know my own kids. I mean, who knows if they're even mine? And it got me thinking. How much do we know about kids today? What are they thinking? How many of them are allergic to peanuts? Boom. It hit me -- "My Semester In High School." stops at a bald guy, the jerks over one seat to Josie. What's your name. Josie Geller.
	enroll on Friday. crowd hubub. Josie's in shock.
	But--I'm not a reporter yet...
	none of these geezers could pass for a day under 40. Have fun. Rigfort exits. is so excited she can hardly speak to Anita.
	finally happening, Anita! I'm going to write! looks concerned. own undercover feature - "Written by Josie Geller".
	- Maybe you should turn it down. beat. Josie's face falls.
	don't think I can do it.
	- It's just a lot of pressure for your first piece, that's all. I mean, it's not a half-page article, it's a major undercover piece, Jos. Look what Rigfort did to Dutton - and that guy's his cousin! enters.
	worry, I'll straighten all this out. I don't want it straightened out. this is way out of your league. takes in Anita and Gus. just so I'm clear here -- neither of you think I can do this.
	that's not what we're --
	when you wanted to seduce the guy in the mailroom and you didn't think you could learn Spanish fast enough, who quizzed you on your verbs? looks down, chastened. Josie.
	Gus - when you picked up knitting, who showed you how to hold the needles? did.
	knit?
	this is my chance. beat.
	not holding your job for you, Geller. jumps up and down and hugs Gus, who is clearly uncomfortable. make me send you the memo on hugging in the workplace. smiles. Gus exits.
	do believe in you, Jos. Anything you need, I'll help you out. sits, motions to the brown paper bag.
