CHARACTER	DIALOGUE
HOTEL MANAGER O.S.	Hey, you! You gotta message.
WHITE	What?
MANAGER O.S.	Message in d'box! You deaf?
MANAGER O.S.	Got my money?
WHITE	What? I... How long have I been here?
MANAGER O.S.	Jeez, too damn long if you ask me! What about the two weeks y'owe me...
VOICE O.S.	What is your name... What is your name...
MANAGER O.S.	Hey! I'll be back later.
MANAGER O.S.	Yeah. Well, y'better be. Gesundheit! ...but you told me the meeting was ten-thirty.
BUMSTEAD	I know, sir, but I can't make it at nine-thirty... It's - um - well, inconvenient...
BUMSTEAD	Yes, sir... I understand... Yes... But, I've done fine so far without an assistant...
BUMSTEAD	But... But I... I... Nine-thirty. Yes.
VOICE O.S.	There you are.
MYSTERY MAN	You are lost, yes?
MYSTERY MAN	Co-operate. Do not make this difficult.
MYSTERY MAN	You will not shoot, yes. There is a place in your mind, a corner of darkness...
BUMSTEAD	Good evening, sir.
STROMBOLI	Yes. This way.
MORTICIAN	Welcome, gentlemen. Youíre early. Here for the examination, right?
STROMBOLI	The handiwork of an extremely sick individual.
STROMBOLI	Youíve read the reports. Not much to go on. We know nothing about him, except that he likes to cut them... Always the same type of blade. Forensics match in each case... Anyway, it's all in the reports, read them for yourself.
STROMBOLI	Why are you wearing that thing on your face?
BUMSTEAD	Germs, sir. These places are full of them.
STROMBOLI	I see. One thingís for sure, heís ambitious. Youíll be a busy man from now on.
MORTICIAN	You can say that again.
BUMSTEAD	What about Thompson, sir? Wasnít this his case?
STROMBOLI	Thompson suffered a kind of severe delusion or some damn thing. Anyway he isnít with us any longer. The case is yours. Go through his files. Take what you need. By the way, howís your mother?
BUMSTEAD	Sheís getting better, thanks. She... Very good...
STROMBOLI	Letís go, Bumstead. So much to do and so little time.
FIGURE 1	We are looking for Jonathan White.
MANAGER	What for?
MAN 1	Which room is he in?
WHITE (nods)	The noodles. Iíll have some noodles.
WOMAN	We call.
BUMSTEAD	A real shame... YAAAAAAAAAH!
MAN 1	Donít fall asleep. Might never wake, yes. Fifty-six.
VOICE	Fifty-six... Fifty-six... Where have you been? The doctorís been worried about you.
WHITE	What? Who are you?
FREDRICK	Címon, letís go! We donít have any time.
WHITE	Hold it a minute. Letís start at the beginning, huh?
FRERICK	Shit! Quick! Run!
WHITE	Shit.
COP	We got another one upstairs Great.
BUMSTEAD	Dammit!
MISS CRENSHAW	Sorry, sir.
BUMSTEAD	Donít ever sneak up on me like that! Who are you?
MISS CRENSHAW	Patricia Crenshaw.
MISS CRENSHAW	Iím your new assistant.
BUMSTEAD	I didnít requisition a secretary.
MISS CRENSHAW	The Chief-Inspector thought you might need a hand. Oh.
MISS CRENSHAW	Iíve taken the liberty and had Inspector Thompsonís office searched, as I believe you instructed. All clear now, sir. They found several more traps and things were filed under pretty strange categories... Poor man.
BUMSTEAD	Good.
MISS CRENSHAW	You wonít regret this, sir.
BUMSTEAD	Fine.
WHITE	Keep newspapers here, birth certificates, records of deaths, that kind of thing?
LIBRARIAN	Which would you like first?
WHITE	Okay. Newspapers.
LIBRARIAN	Are you alright? Sure. Iím fine. Mmm-hmm. Stairs at the end of the hall. Third floor. Turn left. Section C-7. Row 35, near the toilets.
LIBRARIAN	Donít mention it...
WHITE	Iím trying to reach nine zero eight triple two. I canít get through... What?!... Shit!
WHITE	It is?... Which area is that number listed in?... Is that near the ocean?... The ocean... Never mind. Have a Jonathan White listed?... WHITE. Seventeen? All Johns? I see... Never mind.
CRENSHAW O.S.	Coffee?
BUMSTEAD	What? I donít drink coffee. A cup of tea would be good. Milk and no sugar.
CRENSHAW	Making progress?
BUMSTEAD	These are the investigations of a madman. He has fabricated an entire bizarre paranoid delusion with no internal logic whatever. This is a mess. A horrible mess. Itís the second time now.
BUMSTEAD	Look at this!
BUMSTEAD	You typed this report?
MISS CRENSHAW	Yes, sir. Anything wrong?
BUMSTEAD	Wrong? Look at this!
MISS CRENSHAW	It seems fine.
BUMSTEAD	Fine? Look here!
BUMSTEAD	How can I submit this?
MISS CRENSHAW	Iím sorry...
BUMSTEAD	Do you wash your hands before you type things?
MISS CRENSHAW	Why, yes.
BUMSTEAD	Well be more careful, please.
CRENSHAW	Inspector Bumsteadís office... Yes... Yes...
MISS CRENSHAW	Yes, sir. The Chief-Inspector said he would see you now.
STROMBOLI O.S.	Enter!
STROMBOLI	What is it?
BUMSTEAD	A formality. I need to speak with Thompson. Officially I need your written permission.
STROMBOLI	Why do you want to speak to him?
BUMSTEAD	A hunch. He might be able to... Bumstead, donít be so paranoid. Leave him alone - heís a sad case.
BUMSTEAD	Itís extremely important to my investigation...
STROMBOLI	Iíll be the judge of that. Anything else?
BUMSTEAD	Actually, I was wondering, sir, if you could let me have a few uniforms, to follow up for me... Absolutely not. Up to my ears in cases right now - canít spare anyone.
BUMSTEAD	Lost something?
STROMBOLI	What makes you think that! If you would learn to concentrate on facts, not get so side-tracked - you might get things done faster, Bumstead...
WHITE	I need something to keep me awake.
BARBER	Looks like you need a haircut to me.
WHITE	Thanks. Just some pills.
BARBER	Only two bucks. Shave as well... Your sign says you sell drugs - well, Iím here to buy some. Okay?
BARBER	Relax. Sure!
BARBER	Tell you what - let me cut yer hair, give ya watcha need half price. Canít argue at that! I donít want a haircut.
BARBER (talks fast)	Cut hair when I was in the navy, yíknow - havenít lost the touch. Bet youíre happy ëbout that. Huh!
WHITE	Sell maps?
BARBER	What of? The city. I need to get to the ocean.
BARBER	Nope. No maps. Ocean, huh? On vacation?
BARBER	Grandpa thought customers might like some mood music. Nice...
BARBER	You still look familiar. Itís driving me nuts! Sure I donít know ya from somewhere? Not me.
BARBER	Mnunn. Cold lately. That night, couple weeks ago. That was real cold. Remember that?
WHITE	Not really...
BARBER	Yeah, Iím like that. Senility says the wife. But she sure canít complain. Heh. The erector set still works good. And this ainít no fucking rug! Gíhead. Feel it! All mine!
GRANDPA	Yes! Feeeeel it! THINK I MADE STUPID MISTAKE. HOPE THINGS DONíT GET BACK TO YOU. SORRY. - FREDRICK.
PRIEST	Beware! The night is deadly. There is a criminal among us.
PRIEST	It could be she! The innocent across the street!
PRIEST	Or the temptress next door!
PRIEST	Or mister nervy stranger at the back!
PRIEST	You are thinking it could be anyone? And youíre right! Why, it could even be Mother!
PRIEST (continues sermon)	Evil stalks our streets. It seeks to hide in our hearts. Have you not evil within you now?
GAUNT WOMAN	He took my little boy! Iíll rip out his eyes!
OLDER PRIEST	You have sinned?
WHITE	NO. Ah...
PRIEST	I am listening. Thereís a... woman. I don't know but I think I, ahh...
PRIEST	You fornicated?
WHITE	No. I, ah...
PRIEST	You seem restless.
WHITE	Someoneís after me.
PRIEST	Then we must call the police.
WHITE	No. I mean... that isnít necessary.
PRIEST	I see. Then who is after you? What sins have you committed?
WHITE	Just let me sit here for a moment? Iíll go soon, and stop bothering you.
PRIEST	Youíre the murderer? Yes! That must be it! Donít kill me!
WHITE	Shut up! Listen. Walk out quietly. Understand?
PRIEST	Donít kill me!
WHITE	Shut up!
PRIEST	Please...
WHITE (not so quietly)	Iím not going to kill you, okay! CRIMINAL! Itís him! Rip out his eyes! What do you want? Tell me! Do not make us hurt you...
MYSTERY MAN	It will be inconvenient, yes...
BUMSTEAD	How long have you been here?
COP	Maybe ten minutes... Thatís strange.
BUMSTEAD	Spinning backwards?
COP	Yours too?
BUMSTEAD	I want prints over here...
WHITE	I want to see the doctor. It's important.
NURSE	What time was your appointment? Look! Tell him I'm here. Now.
NURSE (scared/standing)	Yes, certainly... Who should I say?
WHITE	No idea. Just get him...
MAN 1	It has failed.
MAN 2	This is becoming dangerous, yes!
MAN 3	Let's get this over with.
MAN 5	What about the dance-steps! This is my responsibility, we must resolve this issue, yes?
MAN 5	Sorry.
MAN 3	The situation has changed. This one is in possession of knowledge... ...to avoid influence, yes.
MAN 4	A freak!
MAN 1	Impossible!
MAN 3	It gets interesting, yes.
MAN 2	Stop this! It has gone too far! Tell Mister Black!
SCHREBER	You remember nothing? Who you are? What you've done?
WHITE	You know something about me?
SCHREBER	Ah, that would be cheating, wouldn't it? Is there nothing you remember? Not even a detail? You must try.
WHITE	You think I haven't been trying! It's like there was never anything there. Just water.
SCHREBER	Water?
WHITE	Waves... A beach. A woman whispering. That's all. I need to stay awake. Do you have any pills?
SCHREBER	What does she say? The woman.
WHITE	Asks my name. Over and over. Just like a broken record. Only thing is, I can't answer. I've no idea what my name is.
SCHREBER	Your name is John White.
WHITE	That's what people keep telling me.
SCHREBER (indicates pills)	And what's this about? Why?
SCHREBER	Bad dreams?
WHITE	Yes.
SCHREBER	Tell me about them...
WHITE (interrupts)	Yeah well, why don't I ask some questions for a change.
SCHREBER	If you like.
WHITE	You're supposed to be my doctor, right?
SCHREBER	That's right. I am your doctor.
WHITE	Known me for long?
SCHREBER	Well... Am I a killer?
SCHREBER	I cannot say... You don't know the answer to that?
WHITE	I told you, I can't remember a thing! Look, you know something about me, out with it! Let's end this bullshit! I want answers!
SCHREBER	We won't get anywhere like this. Please. Let's take things in easy steps...
SCHREBER	Put simply... a penetration of the left parieto-occipital area of the cranium... complicated by inflammation that resulted in adhesions of the brain to the meninges. Without going into detail... the formation of scar tissue altered the configuration of the lateral ventricles, producing incipient atrophy of the medulla... Look. It was a simple question. Can someone kill and not remember it? I'm sorry. I get carried away sometimes. Possible? I'm... ah, afraid so.
WHITE	Did she drown? The woman you told me about?
SCHREBER	Not exactly. She was found in a canal, disembowelled. Throat cut. Blood drained. The body wrapped in a bed-sheet.
WHITE	Horrible...
SCHREBER	You remember nothing, eh? Let me show you something.
SCHREBER	Formation of memories is the most important of brain functions.
SCHREBER	We are little more than a sum of memories. From them we reference who we are, where we're going. Without a past we are nothing. This is why you are so interesting.
WHITE	I'm nothing then.
SCHREBER	Anything but, my friend.
SCHREBER	It feels no pain.
WHITE	Can I get my life back?
SCHREBER	Maybe.
SCHREBER	We know of two kinds of memory. Firstly, declarative memory.
SCHREBER	And then there is procedural memory.
SCHREBER	Follow?
SCHREBER	Research on simple animals can be... useful. To show us where memory storing systems are located, for example. I am building an experiment with hamsters next. Cute little things.
SCHREBER	Listen to me talk! You must be hungry.
SCHREBER	Whole damn wing lost power. Wiring's old. Keep meaning to get it fixed. Here we are.
SCHREBER	Ah. Beautiful! Head and all! Just how I like 'em!
WHITE	I'm sorry. About before.
SCHREBER	I don't blame you for getting angry. You are in a frustrating situation. You must be patient though. Trust me completely. I'm here to help. I have to talk to you.
SCHREBER	It can't wait?
