CHARACTER	DIALOGUE
MS. BERRY	"Work." Today we're going to share what our parents do for work. QUICK CUTS of a series of five-year olds standing beside
JEFF	My dad is a truck driver.
MELINDA	My mommy is a doctor.
CAROLYN	My dad is a librarian and my mom is a vegetarian.
THEODORE	My father is a struck-sher-al- engine-ear. My mother is an actress. She works at Denny's.
KELLY	My daddy works at a place where they make stuff, and my mommy is a mommy.
ELLIOT	My father is a postal worker. The QUICK CUTS end with MAX:
MAX	My mom's a teacher. As Max starts to sit:
MS. BERRY	And your dad? My dad? He's . . . a liar.
MS. BERRY	
A liar? I don't think you	mean "a liar."
MAX	Well... he wears a suit and goes to court and talks to the judge and-- Oh! I see-- you mean he's a lawyer.
FLETCHER	A dark street. . . a stormy night... two desperate men struggle... one man is taken to the hospital, the other to ja il. The prosecutor wants you to believe this is an open-and-shut case of a poor man, brutally victimized. He nods at the victim - - a fragile OLD MAN in his 70's.
FLETCHER (CONT'D)	Well, for once I agree with t he prosecutor. This is an open-and shut case -- but the true victim is my client. Fletcher's CLIENT is a 250 pound brute in a suit.
FLETCHER (CONT'D)	Put yourself in his shoes for a moment--walking home from church, alone, in a frightening part of the suburbs. As he describes his client's movements, Fletcher ACTS THEM You're nervous, timid, looking over your shoulder -- when suddenly, you encounter him-- pouncing from the shadows. You quiver in fear. The streetlight flashes on something shiny in his hand-- a knife?
FLETCHER (CONT'D)	And in that terrifying instant you do what any respectable citizen would -- you defend y ou rse lf. Only after you shatter his arm and collarbone do you realize it's all a mistake... the man was merely walking away from an ATM machine, the apparent flash of metal caused by his bank card. He reveals the weapon in his hand is only a credit card. As you stand over his crumpled, though potentially still-dangerous form, your he art goes out to him. You want to help. First, you gather up the many bills he dropped, to stop them from bl owi ng away. Second, in an effort to get the name and number of someone to notify, you take his wallet. Finally, you leap into the man's Lexus to head for assistance, when suddenly a police car speeds up. You breathe a sigh of relief: "Someone to look -after the injured man! Oh joy!" But do the police applaud your initiative? Do they hail your heroism? No-- they arrest you and throw you in the slammer! He walks along the jury box: · And why? Why does the State turn its massive power against this individual?
IMPRESSIVE	moment, then answers his own Discrimination, But this time it's not based on race. Not based on gender. Not based on religion, No--this time it's discrimination based on size! . I know what the prosecution wants you to think - - i t ' s always the big guy's fault. Is that what we've come to as a society -- persecuting people because they're large? Fletcher points accusingly at the opposition.
FLETCHER (CONT'D)	Shame on you, Mister Prosecutor! Shame on you! The state is trying to barbeque my client on the spit of Justice. Only you can douse the flames. The decision is your s. And please...don't let your emotions run away with y ou . The fact that my client is a family man, raising his sons alone after the tragic death of their mother, has absolutely no bearing on this case. In the front row we see two sad-faced YOUNG CHILDREN.
FLETCHER (CONT'D)	Instead, let cold reason be your guide as you decide the fate of this church-going, orphan-rasing widower! Fletcher returns to his seat. Jurors, dab their eyes.
LAWYER	How's it going, Fletcher?
FLETCHER	Another gratifying day serving Justice. Fletcher's huge client catches up to him.
CLIENT	Hey great job, Mr. Reid. I wish there was some way I could show my appreciation.
FLETCHER	Stay out of my neighborhood after dark. A PUBLICIST carrying, a clipboard approaches Fletcher.
PUBLICIST	Mr. Reid, do you have a · moment-?
FLETCHER	No, I'm late picking up my son.
PUBLICIST	-Because a couple of reporters want to interview you about your big win today. Fletcher instantly shifts directions. How's my hair? And he's off to woo a GANG OF REPORTERS.
MAX	What time is it?
AUDREY	I ' m sure he just got tied up in court again. Finally, Fletcher's BMW pulls up. Max races to him,
