CHARACTER	DIALOGUE
IN THE RING	Hale and Deakins circle each other. Hale is shaking cobwebs out
DEAKINS	You know what happened there?
HALE	Hell, I barely know what day it is.
DEAKINS	I set you up. I fake right, go left three times in a row. You expect it again, I take the right in hard. That's what boxing's all about. Make your opponent think you're gonna do one thing, then do another. Like Ali in Zaire, using the rope-a-dope on Foreman. Everyone thought Ali's arms were getting destroyed, when he was really just letting Foreman tire himself out. Eighth round, Ali starts hitting, George's got nothing left -- fight's over.
HALE	The fact that I can't feel the left side of my face -- that's okay, right? Deakins laughs. Hale seizes the relaxed moment and suddenly Take notice -- the fight is getting real. They move to the ring.
DEAKINS	Several of Hale's punches land. Deakins staggers back, caught
HALE	He cocks his arm back. He could finish Deakins off. But he
DEAKINS	Seizes the opportunity and slugs back.
THE CROWD	Loves it.
HALE AND DEAKINS	Now Deakins has the upperhand. He backs Hale around the ring.
DEAKINS	Don't watch my hands -- watch my shoulders. That's where the punch starts. Ready? Deakins hits Hale hard in the face, sending him back.
THE SPECTATORS	Are circling the ring, following the fighters, cheering.
DEAKINS	You were looking at my hands. Let's try it again. Ready? Deakins hits Hale hard. He's got Hale on the run.
DEAKINS	Come on. Focus. Ready? My shoulders. Ready? Deakins fakes left, puts everything into one big uppercut. It
HALE	Lands, dazed, blood trickling out of the corner of his mouth.
DEAKINS	He's in silhouette, the lights above him.
HALE	Looks up at Deakins, catches his breath.
HALE AND DEAKINS	Deakins offers his hand. Hale pushes it aside. Deakins ignores Hale grabs the top rope and flips himself over, landing on his
HALE'S LOCKER	Is in sunlight. On the inside of his locker door are pictures
DEAKINS' LOCKER	On the shady side of the room. Nothing on the inside of his
HALE	Here.
HALE'S HAND	Slams a twenty dollar bill down on the bench.
DEAKINS	I can't take that.
HALE	Oh, shut up.
DEAKINS	Really. I feel bad. How many times have we fought and how many times have you won?
HALE	Jerk.
DEAKINS	Well, if you insist. Deakins grins, folds the bill and jams it into his flightsuit.
DEAKINS	You know why I beat you?
HALE	Because you've been boxing for twenty years and you're much better at it than I am?
DEAKINS	You don't want it enough. You had me today. I was back on my heels. But you didn't close the door.
HALE	We were just sparring.
DEAKINS	Life isn't sparring, Hale.
HALE	I think I saw that on a T-shirt. Deakins pulls out the twenty dollar bill; hands it back to Hale.
DEAKINS	Here.
HALE	No, that's yours.
DEAKINS	If you weren't giving it everything you've got, then I don't want it.
HALE	No, I mean -- that's yours, literally. I took it out of your wallet when you were in the shower. Deakins laughs, puts the money away.
DEAKINS/HALE	General.
BOONE	Gentlemen. Deak?
DEAKINS	Sorry. What's the mission, General?
BOONE	Simulate a border penetration. Hug the ground. Scare some cows. See if anyone can spot you.
HALE	The usual ...?
BOONE	No, actually, it's a little unusual. You're carrying a couple of nukes tonight, fellas. Palmdale's afraid low-level gamma and x-ray diffusion might screw up the peripherals. They asked us to send a couple on a run, see if anything glows.
HALE	'61s?
BOONE	Big ones. '83s.
HALE	Ooh. Crowpleasers.
HALE AND DEAKINS	Enter and walk under the plane, nodding to the ground crew. Hale But instead of the usual dials and gauges on the control panels,
INTERCUT WITH BOMBS	Being loaded into the bomb bays. When they've been clamped into
DEAKINS	Ready for rollout.
THE GHOST	An enormous black flying wing.
HALE	You know, these exercises are fantastic. I mean, when that day comes and we finally go to war against Utah, we are really going to kick ass.
A PARK RANGER TRUCK	Drives up, stops. The driver's door open, and out gets...
A RANGER	We don't see his face in the dark. He switches on a flashlight,
RANGER	Park Ranger. I'd like to talk to somebody about this fire. We hear a man and a woman -- JIM and WANDA, 60s -- wake up.
JIM (O.S.)	Wha--? Oh, hell.
WANDA (O.S.)	I'll talk to him, Jim. Wanda, you stay put. Jim comes out of the tent, the ranger's light in his face.
JIM	I know -- no wood fires in the Park. It's just -- Wanda's got a cold and I wanted her to stay warm.
RANGER	Sir, you see any other hikers, campers anywhere around here?
JIM	Not this time of year. What's the fine for something like this?
RANGER	Your life. Jim grins. But the ranger pulls out a pistol and shoots Jim,
BAKER	Done.
HEADLIGHTS	Come on and two Humvees roll in and four men get out. Three of
MR. PRITCHETT	A neatly groomed man, 40s, with a perpetually sour attitude. He
PRITCHETT	Jesus. Do you think maybe you could get him out of the fire? Unless you like that smell.
DEAKINS	Weren't you going to call Taylor today about the Aurora Project?
HALE	Yeah. Turns out he wants people with more fighter hours.
DEAKINS	What'd you say?
HALE	What could I say?
DEAKINS	Jesus. You are such a pussy. You never fight for anything. Hale is stung. Pissed, he goes on the offensive.
HALE	Yeah, well you know what your problem is?
DEAKINS	Because I said what your problem is, you're gonna--?
HALE	You fight too much. Right? You said it yourself -- you should be at least Wing Commander by now. Maybe you would be if you didn't insist on telling people what they're doing wrong all the time.
DEAKINS	I'm usually right though, aren't I? Hale shakes his head, grins. Deakins clicks on his mike.
DEAKINS	Ghost 7 to McMurran. Hey, Wilkins, you old bag of dirt, your boys in Utah still awake?
WILKINS	Ready and waiting, Mr. Deakins. And tell our favorite hotshot, he's not gonna lose us tonight.
DEAKINS	Wilkins says you won't lose them tonight.
HALE	Tell Colonel Wilkins I could fly this puppy up his ass without him knowing.
DEAKINS	Hale says ... if anyone can catch him it'd be you.
CU RADAR SCREEN	The Ghost makes a prominent blip on the screen.
WILKINS	Everyone get a fix! They're about to turn out the lights!
DEAKINS	Ready, Major?
HALE	On your word.
DEAKINS	Go to war.
THE COCKPIT	everything goes quiet.
CU RADAR SCREEN	The Ghost's blip disappears.
WILKINS	Lost 'em on active! Who's still got 'em?
IR CREWMAN	Got their heat signature, sir. Their engines may be cold, but the air is colder.
CU COMPUTER SCREEN	Half of the screen shows a waveform, like a voiceprint. The
DEAKINS	Descend to 400 feet AGL. River valley approach.
HALE	Airspeed lock at point-seven Mach. Blue line descent on throttle to 400 feet AGL. Hale pulls back on the throttle. The plane descends.
HALE	Time to limbo down. How low can we go. Driving along the blacktop. The driver is not Baker. It's...
TERRY CARMICHAEL	Pretty, late 20s. Her radio squawks.
CLYDE (V.0.)	Terry? You been through the Needles entrance tonight?
TERRY	No. Why?
CLYDE (V.0.)	Mrs. Parker called --
TERRY	Oh, God. What is it this time? UFO abduction? Ritual human sacrifice?
CLYDE (V.0.)	She said she saw a bunch of trucks going through the Needles entrance an hour ago and thought they looked suspicious.
TERRY	Yes, well, this is a woman who chopped off one of her own fingers because it'd "turned on her."
CLYDE (V.0.)	Thing is, she said one of the trucks was ours, and you're the only one out.
TERRY	She was probably hallucinating, but I'll check it out.
IR CREWMAN	Lost 'em.
WILKINS	Stay on it. They're gonna have to come up for air sooner or later.
DEAKINS	We're under the radar. Proceed to primary target. Hale hits a button, lets go of the stick -- they're on
HALE	I tell people I became a pilot because I wanted to fly cool planes. It's also for this. When we're up here, I feel... closer ... I don't know.
DEAKINS	To God? Is that what you're going to say? That you feel closer to God up here? Hell, Hale, with the payload we're carrying, we are God. Deakins notices something odd on his screen. He checks between
DEAKINS	Hale, take a look out your side. I think our terrain following is off. It's got us two klicks from the left flank ridge. Hale turns to look out the window on his side.
HALE'S POV	Looking out the window. There's some movement in the reflection
HALE	Turns his head back toward Deakins.
HALE	Deak, you can't smoke in here -- But then Hale sees it's not a cigarette that Deakins is pulling
A GUN	And Deakins levels it right at Hale's head and his finger starts
HALE	Grabs Deakins' hand, pushing up as...
DEAKINS	Pulls the trigger and the gun FIRES.
HALE	The bullet cuts a line through the top of his helmet, punching
DEAKINS AND HALE	Deakins goes for another shot, but Hale grabs the gun and pushes
THE BULLET	Tears through Hale's harness, blowing apart a shoulder strap.
HALE AND DEAKINS	Hale brings Deakins' gun hand hard against Hale's own helmet.
THE PLANE	Is banking towards a ridge-line cliff wall.
HALE	Sees it, yanks on the stick.
THE PLANE	Banks hard away from the cliff, just missing. Buttons include ONE, TWO, LOCK, LEFT, RIGHT, OPEN, CLOSE, ARM
HALE	No! He pulls at Deakins' arms.
CU COMPUTER SCREENS	Graphics of bomb racks rotate, the B-83 nukes -- labeled and
HALE AND DEAKINS	Deakins hits Hale with the back of his hand, knocking him back.
CU COMPUTER SCREENS	The nukes rotate out of the release position. RELEASE and
HALE AND DEAKINS	Deakins grabs a fire extinguisher, swings it, getting Hale in
TERRY	Clyde, tell Mrs. Parker that there's nothing weird going on. No truck, no UFOs, and, except for the odd human head on a stick, no sign of Satan. She feels it before she hears it or sees it.
THE GHOST	Rushes over Terry, no more than fifty feet above the ground. The
TERRY	Holy shit.
DEAKINS' HAND	AUTO to MANUAL. Deakins grabs Hale's EJECTION HANDLE.
HALE AND DEAKINS	Hale tries to push the handle down as Deakins pulls it up as...
DEAKINS	Suddenly lets go of Hale's hand, then hits Hale hard under the
HALE	His head snaps back as Deakins pulls.
HALE'S EJECTION SEAT HANDLE	Pop, hiss like a huge vacuum-sealed can is being opened.
HALE'S POV	As he rockets up out of the cockpit.
HALE	When the chute opens, he almost spills out because of the
TERRY	Somebody ejected!
WILKINS	They're not due for another halfhour.
DEAKINS	This is Deakins! Hale lost it! I have to punch out! Deakins pulls his second handle. BLAM! WHOOSH! He's gone. He
CU RADAR SCREEN	The Ghost's blip suddenly disappears from the screen. A chorus
WILKINS	That's not good.
LIEUTENANT COLONEL SAM RHODES	40s, short grey hair: he could snap your neck with a look.
THE HELICOPTER	And it lifts up and flies off.
IN THE SAND	Something glints in the searchlights but the helicopter moves on.
RHODES	Hold it. Come back. The lights sweep back, find... Sticking out of the sand.
BAIRD	Enters. Baird, 60s, is the White House Chief of Staff. His
BAIRD	So, do I wake the President?
CHAIRMAN	Where is he -- Las Vegas? Computer convention. Some information superhighway crap.
CHAIRMAN	Let him sleep for now. We're going out with this. Rick's team prepared it. The chairman nods toward RICK. Baird reads, mumbling.
BAIRD	"United States Air Force ... heavy-lift cargo plane ... down over the Utah desert ... status of crew not determined at this time ... yadda yadda ... Nice bullshit, Rick. Baird hands it to Rick, who starts for the door.
GILES (O.S.)	That's a mistake. The room quiets. All eyes on...
GILES	Baird's intensely competent assistant.
BAIRD	Giles ...?
GILES	Aviation Week has been following this plane's development for years. They have stringers who spend their vacations sitting in lawnchairs all night long by the Whiteman perimeter fence just in case one of these things takes off. The boys in those lawnchairs know one took off tonight. They're going to know when it doesn't come back. And when we put out a press release saying a C-130 went down in Utah, they're going to put two and two together. Aviation week will run a story, everyone'll know what really happened and we're going to look real stupid. We might as well tell the truth.
BAIRD	The truth? How the hell did you get this job? A few chuckles in the room. Baird looks at the Chairman --
BAIRD	Rewrite it. What Giles just said. Rick grits his teeth and hurries out. Baird looks at Giles.
BAIRD	I want you in Utah. Now. Giles nods, heads out. Baird grabs his arm.
BAIRD	You scare me sometimes.
GILES	Hell, sir. Sometimes I scare myself. And out Giles goes.
RHODES	Cockpit's empty! We're checking the payload!
WILKINS	Watch your needles!
INSIDE BOMB BAYS	Rhodes' light plays over the bomb racks -- empty.
RHODES	Colonel? We've got ourselves a Broken Arrow.
BAIRD	Broken Arrow?
CHAIRMAN	That's what we call it when we lose a nuclear weapon.
BAIRD	Oh, Jesus. I don't know what's scarier -- losing nuclear weapons or the fact that it happens so often that you people have a term for it.
WILKINS	Find the nukes, Sam. But be careful. I know they say those eggs can't be cracked, but if your geigers pick up more rads than you'd get off a toaster, I want you out of there. Wilkins to the CORPORAL.
WILKINS	Get the teams in. I want Colonel Rhodes and his men backed up.
CU COMPUTER SCREEN	Various views of a B-83 nuclear weapon. Creeley is briefing
BAIRD	They dropped from a plane but they didn't go off...?
CREELEY	They have to be armed to detonate.
BAIRD	Then they're destroyed?
CREELEY	They're designed to survive crashes intact. They can lie in a pool of burning jet fuel for five hours without any problem.
BAIRD	How did this happen?
CREELEY	In his last transmission, Colonel Deakins said Major Hale lost control. He probably hit weapons release by accident. Believe me, when a plane's auguring in, you start pushing every button you can. Baird stands, looks at a picture of a Ghost shakes his head.
BAIRD	Hell, we should take the cost of the plane out of major Hale's salary. Although I guess at two billion dollars a pop, that could take a while.
HALE	Spins, grabs the shirt of the figure and cocks his arm about to
TERRY	She seizes Hale's hesitation and punches him hard.
HALE AND TERRY	Hale is stunned. Terry starts to get up, reaching for her gun.
HIS POV	Jarring, racing over rock and then...
HALE	Pulls up fast, almost not fast enough.
HALE'S POV	He's stopped right at the edge of a fifty foot drop.
TERRY (O.S.)	That would be the wrong way.
TERRY	Is walking slowly, calmy, up behind Hale, pistol out.
TERRY	Turn around. Look, I --
TERRY	Gimme your hands. Hale sticks his hands behind him. Terry handcuffs them.
HALE	I'm going to tell you something I can't tell you. Terry puts away her gun, spins Hale around and starts marching
HALE	There were nuclear weapons on that plane. The guy I was flying with is trying to steal them. Terry reacts to that, but keeps Hale moving.
HALE	I have to stop him, and I need your help. Look, pal, all I know is, I saw you come down, I come in to help you and you grab me, kick me and run away.
HALE	I only ran because you punched me.
TERRY	What, we're ten years old now? "You started it. No you started it."
HALE	He has men on the ground. I --
TERRY	Save it. My dog's waiting for his breakfast. Terry starts to push Hale along again and...
HALE	Jumps up and through the handcuffs.
TERRY	Reaches for her revolver, but...
HALE	Grabs it from her, puts it to-her head, but not before...
TERRY	Whips a knife from her belt and puts it under Hale's chin.
HALE AND TERRY	Don't move. A beat while they catch their breath.
HALE	This isn't a stand-off, okay? I've got a gun.
TERRY	Yeah, well, I never keep my gun loaded. Terry taps her belt.
CLOSE ON HER BELT	A line of bullets.
HALE AND TERRY	Terry holds out her hand. Hale lets the revolver swing down on
HALE	Moves fast, grabs Terry's knife hand, then kicks her legs out
HALE	I'm telling you the truth.
TERRY	This is a good way to convince me.
HALE	I could kill you now. Right? Terry nods, bewildered and more than a little scared.
HALE	I need your help. Terry looks at Hale for a long moment. She's still holding the
ON THE DEVICE'S SCREEN	Green, like a radar screen. It's blank, and then two dots
RHODES	Got 'em!
TERRY	I've got a radio in the truck. We can call McMurran and get the Marines in here.
HALE	Deakins'll be monitoring any radio transmissions out of here. That's what I'd do.
TERRY	Who is this guy?
HALE	Someone I would've trusted with my life. You've gotta get to a phone.
TERRY	Me? What are you going to do? Wait. You're gonna go after this guy? Isn't he going to have a lot guns and shit? I don't want to sound insulting or anything, but ... you're just a pilot.
HALE	I don't have any choice. The nukes are my responsibility. Besides... I do have one thing going for me.
TERRY	What's that? Hale sticks...
A TWENTY DOLLAR BILL	Under a rock.
HALE	The last thing in the world he expects is for me to come after him. Hale walks off into the light of the rising sun. Terry looks at Rhodes comes down the last few feet of rope to the bottom of the
RHODES	We've got one intact. Let's go find the other one. Rhodes starts off along the bottom of the crevice.
A HUMVEE	climbs up the slope toward the helicopter.
MCKELLAR	Grabs his rifle, hops out of the helicopter.
NOVACEK AND LETT	Are in the Humvee. Novacek sticks his head out.
NOVACEK	Hey, you guys need any help?
MCKELLAR	It's an Air Force training exercise, sir. I'm going to have to ask you to leave.
NOVACEK	Hey, no problem. We just --
LETT	Whips out a silenced rifle and shoots.
MCKELLAR	Barely has time to raise his rifle before he's hit. He drops.
ANOTHER HUMVEE	Drives up fast. Get out. Johnson wears radio headgear. Pritchett is furious.
NOVACEK	Picks up McKellar's half-eaten candy bar, takes a bite.
BAKER	Any sign of Deakins? Novacek, mouth full, shakes his head.
PRITCHETT	He better be dead.
DEAKINS (O.S.)	Sorry to disappoint you, Mr. Pritchett. They all look over to see...
DEAKINS	Walk out of the shadows, smoking a cigarette. While soldierly
PRITCHETT	You said nothing would go wrong!
DEAKINS	Well, point of fact, nothing has.
PRITCHETT	You didn't drop the nukes where you were supposed to!
DEAKINS	Ah, but we always planned on the search and rescue team finding the weapons for us, and they have. Mr. Pritchett, I really have thought of everything. Johnson walks up, pointing to his radio headgear.
JOHNSON	Newsflash. Two gunships just left from McMurran and they're headed this way.
PRITCHETT	You thought of that?
DEAKINS	That'll take care of itself.
PRITCHETT	What about the other pilot? We saw him eject.
DEAKINS	You don't have to worry about Major Hale. He's probably hiding behind a rock somewhere, praying I don't find him.
JOHNSON	Someone else might find him. A Ranger called her base, said she saw a pilot come down and was gonna go look for him. Deakins thinks it over, turns to Novacek.
DEAKINS	Get ready. You'll go when the clean-up's done. Novacek nods, goes to the helicopter. Ext. Canyonlands - 4wd trail Hale and Terry are hurrying along a 4WD trail toward Terry's
TERRY	Is that the new uniform?
HALE	Yeah. Less constricting.
TERRY	The dayshift guy left some work clothes in the truck. You can have them if you want. Hale nods. His feet crunch on something.
TERRY	Don't walk there.
HALE	Don't walk where?
TERRY	On that black stuff. That's cryptogamic soil. It's very fragile. One footprint takes centuries to repair.
HALE	That's a new one. Endangered dirt. Terry gives Hale a look.
RHODES	Hello? McMurran? Come in. Suddenly, there's a soft popping sound and Reed drops.
RHODES	Reed? What the --? Rhodes looks down, sees blood on Reed. Before he can say
WILKINS	Sam? Sam, are you there? Sam?
THE RED LASER BEAN	Dances along the wall, heading for them.
RHODES	Raises his pistol and shoots at the source of the laser.
PRITCHETT AND DEAKINS	Pritchett looks at Deakins -- another part of the plan? Deakins
