CHARACTER	DIALOGUE
by	David Kitay Steven J. Jordan
Design by	Mona May Debra Chiate Scott Rudin
crew	Den Abraham..............set dresser Barry M. Berg............unit production manager Alan 'Doc' Friedman......make-up Richard Graves...........assistant director Raul Gutierrez...........assistant to Scott Rudin William Hiney............art director Lawrence Karman..........camera operator Mark Kusy................set dresser James LaBarge............set dresser Alyson Dee Moore.........foley James Muro...............steadicam operator Wendy Murray.............set dresser Patricia Nedd............foley Nina Paskowitz...........hair styles Karyn Rachtman...........music supervisor Patrick Romano...........stunt co-ordinator Marcia Ross..............casting Daniel Silverberg........assistant director Jeffrey T. Spellman......location manager Amy Wells................set decorator Diana Williams...........assistant director and my own personal comments. hit the little speaker  next the character's name to hear the lines from the movie (They're it. It's amazing the things you pick up when watching a scene 50 you're reading this then you must have some interest her. Enjoy. pacey578@rocketmail.com OK, you're probably thinking, "Is this, like Noxema commercial, or what?!" But seriously, I actually have a way life for a teenage girl. I mean I get up, I brush my teeth, and pick out my school clothes.
Girl"	Bowie a litigator. Those are the scariest kinds lawyers. Even Lucy, our maid, is terrified of him. He's so good he gets please don't start with the juice again. you need your vitamin C. my briefcase? been a couple of months now, so I say we go out Malibu.
	tell me those braindead low-lifes have been again.
	are your parents. And don't try sneaking out the office. Dr. Lovitz is coming by to give you a flu shot. Josh is in town. He's coming for dinner.
	he's your step-brother! you were hardly even married to his mother and was five years ago. Why do I have to see Josh? divorce wives, not children.
	it!
a girl" No	four wheel drive, dual side airbags and monster sound system. I don't why that came out of nowhere. both know what it's like to have people be jealous of us. I must give her snaps for her courageous fashion
	Cher. and I were both named after great singers of past who now do infomercials.
	with Dr. Seuss? at least I wouldn't skin a Collie to make my
	Faux.
	That was a stop sign! totally paused! OK. is so possesive. me about it. This weekend he called me up and all "Where were you today?" and I'm like "I'm at my house"... and her boyfriend, Murray are in this dramatic I think they've seen that Ike and Tina Turner movie just many times. Now I have to say to her... why do you put up with it? You could do so much
	sh, sh. Here he comes.
Salt n'	why don't you be answering any of my pages? hate when you call me Woman! you been all weekend? What's up? You been jeepin' behind my back?
	but speaking of vehicular sex, perhaps you can to me how this cheap K-mart hair extension got into the back seat your car.
	don't know where that came from. That looks like of your stringy something on others you got up here... me. I do not wear polyester hair, OK. Unlike people I know, like Shawanna. I'm outie.
	do you gotta go there? it that time of the month again? don't know why Dionne is going out with a high school They're like dogs. You have to clean them and feed them and they're all oppressed people be allowed refuge in America? will take the con position. Cher will be pro. Cher, two minutes. to come to America. But some people are all "What about the strain our resources?" But it's like, when I had this garden party for father's birthday right? I said R.S.V.P. because it was a sit-down dinner. people came that like, did not R.S.V.P. so I was like, totally I had to haul ass to the kitchen, redistribute the food, squish you very much. Amber? Replying? Hall, how can I answer that? The topic is Haiti she's talking about some little party. It was his fiftieth birthday! If she doesn't do the assignment, I can't mine. So, does anyone have any further thoughts Cher's oration? Elton? Comments? I can't find my Cranberries CD. I've gotta do the Quad before somebody snags it. afraid I can't permit that. Any further insights? had an insight, Mr. Hall. all ears. the way my kids are going to feel about Nine Inch Nails, so I really torment my Mom anymore, huh? Well, it's a little off the subject of Haiti, tolerance is always a good lesson, even when it comes out of nowhere. with that in mind, I'm going to distribute you cards. Now, is there a Christian Stobich in this class? Hall? The buzz on Christian is that his parents
joint	so he'll be spending one semester in Chicago one semester here. I think it is a travesty on the part of the legal you for that perspective Cher. could all conversations please come to a halt. the next period? die. a dark cloud settled over first period. got a C in debate?!
	
	you get your report card? I'm toast. How'd you do? totally choked. My father is going to go ballistic me.
	Hall was way harsh! gave me a C minus. he gave me a C, which drags down my entire average.
	call ya, OK? to 1972. Wasn't my Mom a betty? She died when I was just a baby. A Ma. 98 in geometry. Pretty groovy, huh?
Plastic Trees	waa, waa. who's watching the Galleria? the flannel shirt deal. Is that a nod to the crispy Your face is catching up with your mouth. went by Dad's office.
	is not your Dad. Why don't you torture a new family. just because my mother marries someone else, mean he's my father. Kato, that's exactly what it means. sure want to. sure you do. got a place in Westwood, near School. you go to school on the East Coast? I hear at N.Y.U. aren't at all particular. you're funny. God, you just got here and already you're playing Commando! In some parts of the Universe, maybe not in Contempo but in some parts, it's considered cool to know what's going on you, Josh. I so need lessons from you on how be cool. Tell me that part about Kenny G again? did at Easter.
	don't think so. head does. Josh, have you given any thought to our little about Corporate Law?
	you know, but I think I'd really like to check Environmental Law. for? Do you want to have a miserable, frustrating
	Josh will have that no matter what he does. least he knows what he's doing. And he's in good I'd like to see you have a little bit of direction. have direction. towards the mall. reminds me, where's your report card? not ready yet. do you mean, "it's not ready yet?" some teachers are trying to low-ball me, Daddy. I know how you say, "Never accept a first offer", so I figure good.
	Yeah, Jake, what? NO! Not the afternoon.
	are such a brown-noser. and you are such a superficial space-cadet. What you think you can get teachers to change your grades? In the morning. the fact that I've done it every other semester.
some action"	told my P.E. teaher an evil male had broken my heart, she raised my C to a B. so miserable. I can't eat, I can't sleep, I can't STOEGER slime, they're slime, I mean they're horrible, feel bad, don't feel bad, I know, and you see they're all like this. I promised Miss Giest I'd start a letter writing to my congressman about violations of the clean air act. unresearched, unstructured, and unconvincing, AS IF! I needed to find sanctuary in a place where I could gather my thoughts what's wrong? Are you suffering from buyer's or something? no! Nothing like that. It's just that, we've shopping all day and I still don't know what to do about Mr. Hall. have tried everything to convince him of my scholastic aptitude, but was brutally rebuffed. over it, OK. He's a miserable little man who wants that's it! We've got to figure out a way to make Hall sublimely happy. 47, and he earns minor duckets for a thankless job. What that man winds do shake the darling buds of May but thy summer shall not fade. Phat! Did you write that? it's like a famous quote. where? notes. know you're going to be better now. Now, you run and I'll see you third period and you will try to remember to bring OK. my God! She actually looked happy! classic! Berkenstock, 38 tardies. By far the most tardies the class. Congratulations.
