CHARACTER	DIALOGUE
by	
	
	
	
	
	
	
STEWART	
	wanted her to give him some money."
WALLER	Put your hand up! I will not have girls talking out of turn in my class!
STEWART	morning, gels.
STEWART	Waller . . . class . . . this is Juliet Hulme. Juliet is joining us from St. Margaret's, and prior to that she spent some time at Queenswood in the Hawkes Bay.
	am actually from England, Miss Stewart.
STEWART	course . . . Juliet's father is Dr. Hulme, the Rector of the University.
STEWART	travelled all over the world, and I'm sure she'll be very eager to share her impressions of exotic lands across the seas with the gels of 3A. I'll leave you to it, Miss Waller. Juliet.
WALLER	can sit over here, Juliet. Waller gestures to a desk at the front. She gives Juliet a cardboard name card.
WALLER	use French names in this class. You can choose your own. Waller returns to the blackboard and starts writing.
WALLER	irregular verbs in the present subjunctive. . . "qu'il vienne". . .
	me, Miss Waller . . . you've made a mistake.
	doutais qu'il vienne" is in fact the spoken subjunctive.
WALLER	is customary to stand when addressing a teacher . . . "Antoinette."
	should have written "vint." Waller frowns, glances at the board, and hastily rubs out the offending word.
WALLER	mumble) Oh! I must have copied it incorrectly from my notes.
	don't have to apologise, Miss Waller. I found it frightfully difficult myself . . . until I got the hang of it.
WALLER	teacher, MRS. COLLINS, comes in, carrying a pile of paper and a box of paints. She starts to distribute them around the tables.
COLLINS	I thought we'd do some life drawing today. Pair off into twos and decide who wants to model and who wants to draw.
COLLINS	Juliet. . . you haven't got a partner.
	s all right, Mrs. Collins. I'm sure I can manage without one. Collins scans the class.
COLLINS	. . . are you with anybody?
COLLINS	You can come here and pair up with Juliet.
COLLINS	might want to change the colour- make it a bit darker . . . that's very nice, Joan.
COLLINS	heavens, Juliet! What on earth is this???
	George and the Dragon.
COLLINS	Pauline?
	I haven't gotten around to drawing her yet. I was going to pop her on a rock, but I seem to have run out room.
	I don't know if you've noticed, Mrs. Collin but I've actually drawn St. George in the likeness of world's greatest tenor-Mario Lanza!
COLLINS	I know it's very clever, Juliet, but when I set you a topic, I expect you to follow it. Now put that down and start again!
	
	. . . Mackerel. We'll have them for lunch tomorrow.
	have 'em now, while they're fresh, eh, Nora?
	shoves his hand away.
	think you'll find our Mr. Bayliss is not keen on seafood. I've got lamb chops in the 'frigerator.
	as HONORA puts the frying pan on the stove.
	me . . . would you mind if I put my long-playing record on?
	partial to a nice bit of mackerel, aren't you, STEVE?
	Well . . . actually, I'm not much of a fish man, Mr. Rieper.
	at his album.
	have been splashing out!
	Oh! . . . I've got my board money . . .
	starts fishing in his pockets.
	
	Tell us! How'd it go? disappears into the lounge.
	with pride. STEVE is emptying his pockets on the bench. HONORA pats STEVE's hand.
	worry about it now. We'll sort it out after dinner. You go put your record on.
	Day!
	I think she's very talented!
	Ya gotta be quick in this house, mate!
stares misty-eyed at the album cover. HERBERT	out.
	
	
	it! You're spoiling it! Go away! is the Phys Ed period and the 31 other girls of 3A are lying on their backs in the quad doing leg stretches to tinny music. MRS. ZWARTZ, the teacher, is patrolling the rows of flexing bodies.
	I have another look?
	so impressive!
	
	was in bed for months during the war, ravaged by respiratory illness.
	Mummy and Daddy sent me to the Bahamas to recuperate. I didn't see them for five years-but we're together now and Mummy's promised they'll never leave me again.
HONORA	over her, looking very concerned.
	
	turns your bones to chalk. It took them two years to drain all the muck out.
	up! All the best people have bad chests and bone diseases! It's all frightfully romantic!
	Paul!
	
	evil Prince Runnymeade is escaping! Get him, Paul!
	blighter's gone to ground!
	Jonty! Jonty-stop it! Go away! We're not playing anymore . . . go on, bugger off!
	God . . . I'm so sorry!
	
	course it matters! It's Mario!
	
	broke Paul's record!
	must buy her another one!
	thank you. Well, Juliet's told us all about you. I hear you're fond of opera.
	one shall we play?
	can study while we're playing records! Why don't you go back outside, mmm? I'll be finished soon.
	Paul? Oh, God! Paul . . . are you all right?
	
	
	
	You've been eating onions.
	toad!
	"There's a light in her eye, Though she may try to hide it, She cannot deny, There's a light in her eye."
	"Her face is a dream, like an angel I saw . . .
	
JULIET	"But all that my darling can scream . . ." . . then break down into convulsive laughter. They turn and flee back into the bushes.
	I wish James would do a religious picture . . . he'd be perfect as Jesus!
	says the Bible's a load of bunkum!
	we're all going to Heaven!
	not! I'm going to the Fourth World! It's like Heaven, only better because there aren't any Christians.
	an absolute Paradise of music, art and enjoyment.
	will be there . . . and Mario! Only they'll be saints.
	
	be known as He!
	. . .
	
	. . .
	
	. . .
	
	. . .
	
	not! Orson Welles! The most hideous man alive!
	give praise to . . . the saints! over.
	it's all right. It's from Whitcomb and Tombs . . .
	V.O.) I decided that my New Year's resolution is to be more lenient with others. Bayliss wanders in.
	Pikelets! Yum!
	
	Not till two-thirty . . .
	is a private function! Go away!
	retreats, hurt and confused. HONORA in a plate of scones.
	on! Sausage rolls.
	
	Pauline hurriedly work together, setting out plates and cutlery.
	who I've found!
	off her pinny as HERBERT Juliet into the dining room.
	Juliet.
	Mrs. Rieper . . . it's so nice to meet you.
	so, in a blazing fury, Charles runs Lancelot Trelawney through with his sword . . . leaving Deborah free to accept Charles's proposal of marriage!
	HERBERT a glance. HONORA at Juliet.
	heard your mother on 3YA. The Woman's Session has lots of lively debate.
	actually, Mummy's left that programme now . . she's far too busy with The Marriage Guidance Council.
	sound like a queer mob!
	
	wouldn't want my private business being discussed with a complete stranger!
	no . . . Mummy's awfully good at it.
	She has deep discussions with unhappy couples and persuades them to have another go at it. In two years, she's only had four divorces. She should really be working for the U.N.!
	
	that?
	not sure . . . but it's proving to be very popular!
	a glance. up.
	up, Yvonne.
	
	at Juliet.
	tells us you're good at making models.
	adore anything to do with the arts.
	pretty handy with model making, too, eh?
	never cottoned on to Plasticine like you girls, but I enjoy making things out of wood.
	you a carpenter, Mr. Rieper? HERBERT his head.
	work at Dennis Brothers Fish Supply.
	the manager!
	a young man-JOHN-into the dining room.
	
	excuse us.
	Breakfast is between seven and nine . . . the bedroom's small, but it's very clean and comfortable.
	
	Mr. Rieper . . . it's a novel, and we'll be sending it to New York. That's where all the big publishing houses are based.
	Is that a fact! You'd better put me name down for an advance copy!
	Pauline and Juliet look at each with knowing smiles.
	
	V.O.) . . . but we hope the book will help them to do so a little, though no one could fully appreciate us.
	clutches his wounded shoulder as he gallops into the courtyard.
	awaits his return in their private boudoir at the very top of the tower.
	smells her scent from 50 paces and urges his steed onward!
	flings open the door and launches himself at the bed, ravishing her!
	yes!
	I bet she gets up the duff on their first night together!
	you wouldn't understand. launches himself at Juliet, and they roll on the sand, grappling.
	eight and a half and incredibly stupid!
	. . . Pauline and I have decided the Charles and Deborah are going to have a baby. An heir to the throne of Borovnia.
	calling him Diello.
	thought it up.
	
	
	I should go, too!
	Hilda suddenly stands.
	Julie! Julie!
	Paul!
	
	so beautiful!
	light streams on Pauline and Juliet. Pauline look up as the clouds above them open. Juliet stands as if in trance. She offers her hand to Pauline.
	with me.
	V.O.) Today Juliet and I discovered the key to the Fourth World. We have had it in our possession for about six months, but we only realised it on the day of the Death of Christ. We saw a gateway through the clouds. Everything was full of peace and bliss. We then realised we had the key . . .
	V0.) We have an extra part of our brain which can appreciate the Fourth World. Only about 10 people have it. On two days every year we may use the key and look into that beautiful world which we have been lucky enough to be allowed to know of . . .
	
	. . . Breathe! . . . It's coming! . . . Oh, God!
	a boy! Deborah . . . we've got a son and heir!
	shall call him Diello.
	such an incredible woman.
	couldn't have done it without you, Charles. is presiding over Form 4A.
	. . the Empress Deborah has the difficulty fending off her husband, who tries his way with her morning, noon and night . . . s glare deters them.
STEVE	
	. . However, the Queen's biggest problem is her renegade child, Diello. He has proven to be an uncontrollable little brighter, who slaughters his nannies whenever the fancy takes him . . .
STEVE	That's enough, Juliet! rips the essay out of her hand and waves it under her nose. I suppose this is your idea of a joke?
	
STEVE	I suppose you think it's witty and clever to mock the Royal Family . . . to poke fun a the Empire, with this . . . rubbish!
	not rubbish!
STEVE	Sit down, Pauline!
	really don't understand why you are upset, Mrs. STEVE I merely wrote an essay on the Royal Family as requested.
	doesn't say it has to be the Windsors! (Yelling) Sit down!
STEVE	(To Juliet) A girl like you should be setting an example! To your seat!
starts coughing. Mrs. STEVE	face darkens.
STEVE	Stop it, Juliet!
	
	
