CHARACTER	DIALOGUE
HIBERNATING GROUNDHOGS	A family of groundhogs is nestled together in their burrow GIL HAWLEY, Executive Producer of the Action News, sticks his
HAWLEY	Christ, what a pit. Phil" The sleeping figure rouses himself and looks out at Hawley. What?
HAWLEY	It's February first, Phil. You know what tomorrow is? Phil sits up and.thinks hard. He's in his mid-thirties, smart,
PHIL	Oh, no! Not again. He jumps up and exits the office with Hawley right behind him.
PHIL	Forget it! I'm not going. Phil ducks into the studio.
PHIL	Get away from me. I'm working.
HAWLEY	So what's the outlook? We gonna get that blizzard? Phil shakes his head and points to the chart which is headed
PHIL	No way. All that moisture coming up from the Gulf is going to miss us completely and take a dump on Harrisburg.
HAWLEY	Good, 'cause you're going up to Punxsutawney to cover the groundhog story tomorrow morning and I want you back here in time to do the five.
PHIL	Jesus, Gil, give me a break, will you! I covered the goddamn groundhog last year and the year before that.
HAWLEY	And you'll do it :next year and the year after, too. When I worked in San Diego, I covered the swallows coming back to Capistrano for ten years in a row.
PHIL	You should've killed the guy who made you do that.
HAWLEY	I wanted to do it.
PHIL	Then you should've killed yourself. I don't want to get stuck with the groundhog for the rest of my life. It's a cute story. He comes out, he looks around, he wrinkles up his little nose, he sniffs around a little, he sees his shadow, he d oesn't see his shadow-- it's nice. People like it.
PHIL	Many people are morons.
HAWLEY	Just do it.
PHIL	What'11 you give me? Hawley looks across the studio and sees RITA HANSON enter, a
HAWLEY	I'll give you Rita. Rita, could you come here for a second? I got a little job for you. Rita is relatively new to the station, but very competent, You can't send Rita out on a story like this. She's just a cub, a pup, still wet behind the ears. Look at her. Her ears are sopping wet. This needs a Woodward or a Bernstein. It's a big story. People need to know. What's the story?
HAWLEY	The Punxsutawney Groundhog Festival.
RITA	Gil, if it's all right with you I ' d rather follow-up on the nurses' strike. You can do the nurses when you get back. Just take the squeaky wheel here up to Punxsutawney and get him back in one piece. Okay?
RITA	Yeah, okay. Hawley exits leaving Phil and Rita alone in the studio. She You know, this could be extremely interesting.
RITA	I've never done a weather story before. What's Punxsutawney like?
PHIL	Oh, it's an enchanted place. A magical world. It's the Constantinople of the whole Western Appalachian-Susquehanna Drainage system.
RITA	Do you always joke?
PHIL	About 70 to 80% of the time. Inside I'm actually a very shy and sensitive person.
RITA	A lot of people around here think you're not very sincere.
PHIL	Tell me the names of these people.
RITA	I'll line up a crew and transportation. If you don't feel like driving, we can all go up in the van together.
PHIL	I think I'll take my own car. I ' m not that fond of my fellow man. RITA Nice attitude.
PHIL	Nice face. Why don't you ride up with me?
RITA	No, thanks. STEPHANIE DECASTRO , an attractive, dark-eyed, dark-haired
PHIL	They don't really think of me as a weatherman around here. More of a "personality," but with the credibility of a first-class broadcast journalist. Once you look at my tape I think you'll see what they mean. Stephanie enters and stands in the doorway looking at Phil for I just want to know one thing: did I do something wrong or are you just tired of me or what? I have to know. Phil sighs.
PHIL	Dan, can I call you back? I've just been handed something and I better get on it... ...Okay, thanks. You didn't do anything wrong, Stephanie, and I ' m not tired of you. It's just that I don't have time for a real relationship right now. I told you that the first time we went out.
STEPHANIE	Everybody says that at the beginning of a relationship.
PHIL	I'm different. I really meant it! Things are really starting to move for me now. I ' m not going to be doing the weather for the rest of my life. I was just talking to the CBS guy about a network job. I want that. This is just the beginning for me. I can't waste any more time.
STEPHANIE	Are you saying our relationship was a waste of time?
PHIL	Our relationship? We went out a total of four times! And only twice did anything happen. It was fun but I don't see that as a big commitment.
STEPHANIE	I had our charts done. My astrologer says we're extremely compatible. There may even be some past lives involvement here.
PHIL	See? So we've already done this. Let's move on. Next case.
STEPHANIE	You know what's wrong with you, Phil? You're selfish. You don't have time for anyone but yourself.
PHIL	That's what I ' m trying to tell you. You don't want to be with me. You can do better. Look, Stephanie, if I ever said or did anything to mislead you I'm sorry for that, but right now I have to do this groundhog thing and I don't have a handle on it yet. He throws some papers and his datebook into a briefcase and
PHIL (CONT.)	I'll tell you what. I ' m going to do some serious thinking while I ' m in Punxsutawney, okay? He pats her on the shoulder and brushes past her, leaving her
PHIL (V.O.)	I'm on my way to Punxsutawney... Punx^su-taw-ney....Work or fun? I think that all depends on you.
PHIL	. . . . I thought maybe you could meet me up there tonight and let me vulgarize you for about seven hours....So I ' m supposed to spend the night in Punxsutawney all alo ne? Thanks.
A SIGN	"Welcome to Punxsutawney - The Original Weather Capitol of the The mini-convoy passes some fast food places on the outskirts The van pulls into the parking lot at a Quality Inn. The Phil takes one look at the motel and shakes his head.
PHIL	Rita! I can't stay here. Rita is already helping Larry unload equipment from the van. Prima donnas.
RITA	It's okay. I'll handle it. She crosses to the Lexus where Phil is trying to make another
RITA	What's the problem, Phil?
PHIL	I hate this place. I stayed here two years ago and I was miserable. It's like a minimum security prison. I'm not staying here.
RITA	You're not staying here. I ' m not?
RITA	No, Larry and I don't care but I thought you might, so I booked you at a very nice bed and breakfast on Cherry Street. Here's the address. She hands him a card. Great. That's great. That's the mark of a really good producer. Making the talent happy.
RITA	Whatever I can do.
PHIL	Really? Will you be my love slave?
RITA	Whatever I can do within reason. Would you like to have dinner with Larry and me?
PHIL	No thanks, I've seen Larry eat. Why don't you ditch Larry and let me take you someplace nice?
RITA	You mean like a date?
PHIL	Yeah.
RITA	Oh, no.
PHIL	Okay. I get it. You're a little intimidated by me, you're all excited about the shoot tomorrow, you want everything to go just perfect. I understand. You just get some sleep. Tomorrow will be great.
RITA	Well, that's something to look forward to. I'll see you in the morning. He drives off, leaving her standing there shaking her head.
LARRY	Did he actually call himself "the talent?" Larry snorts and continues unloading their gear. A digital clock-radio changes from 5:59 to 6:00 AM. The radio
DEEJAY	Okay, campers, rise and shine, and don't forget your booties because it's COOOLD out there Phil grimaces and swings out of bed.
SIDEK ICK	It's cold out there everyday. W hat is this-- Miami Beach? The deejay laughs. Phil shakes his head at the cheesy repartee
DEEJAY	Not hardly. And you can expect hazardous travel later today with that, you know, blizzard thing--
SIDEKICK	That "blizzard thing?" Phil splashes some water on his face and prepares to shave.
SIDEKICK (CONT.)	Oh, here's the report: the National Weather Service is calling for a big blizzard thing.
DEEJAY	Yes they are, but there's another reason today is very special--
SIDEKICK	Es pec ia lly cold--
DEEJAY	Especially cold, okay, but the big question on everybody's lips--
SIDEKICK	Ch ap pe d lips--
DEEJAY	:--on their chapped lips, right-- Do you think Phil's going to come out and see his shadow?
SIDEKICK	Punxsutawney Phil. Phil looks up at himself in the mirror, admiring his own face.
DEEJAY	That's right, rodent lovers!
BOTH DEEJAYS	Groundhog Day1 SOUND EFFECT of GRUNTING GROUNDHOGS. Phil grunts at his reflection in the mirror.
PHIL	Never again.
CHUBBY MAN	Morning .
PHIL	Morning .
CHUBBY MAN	Think it'll be an early Spring?
PHIL	I ' m predicting March 21st.
MRS. LANCASTER	Did you sleep well, Mr. Connors?
PHIL	Like a Roumanian orphan, Mrs. Lancaster.
MRS. LANCASTER	Would you like some coffee?
PHIL	I don't suppose it1 d be possible to get an espresso or a capuccino around here. I don't really know --
PHIL	Forget it. This '11 be fine. I wonder what the weather's going to be like for all the festivities.
PHIL	My guess is it'11 be cold and overcast, high today in the low 30's, dropping to the low 20's tonight, but I'm predicting that all that moisture coming up from the Gulf is going to miss us and dump some locally heavy snow, possibly blizzard conditions with travel advisories in the Harrisburg area and maybe as far east as .Philadelphia. You want to talk weather, you asked the right guy. He heads for the door. Oh, will you be checking out today, Mr. Connors?
PHIL	Unfortunately yes. Phil exits. An OLD BUM is sitting on the sidewalk leaning against a
MAN (O.C.)	Hey, Phil! A big pie-faced man, NED RYERSON, comes huffing and puffing
NED	Phil! Phil Connors! I thought that was you! Phil looks at him vaguely.
PHIL	I 'm sorry. Have we-- uh--
NED	My oh my! Phil Connors. Don't say you don't remember me, 'cause I sure as heckrfire remember you. Well? Phil stares, trying to remember.
NED	Ned Ryerson? Needlenose Ned? Ned the Head. Come on, buddy. Case Western High?
PHIL	Ned?
NED	I see you clicking through that brain of yours. Click-click, c li ck- cli ck, click-click--Bing! Ned Ryerson, did the whistling trick with my belly button in the talent show. Bing! Ned Ryerson, got the shingles real bad senior ^year^ almost didn't graduate. Bing again! Ned Ryerson, went out with your sister Mary Pat a couple of times-- 'til you told me not to anymore. Well? Ned Ryerson.
NED	Bing!
PHIL	So what're you doing with yourself, Ned?
NED	Phil, I sell insurance.
PHIL	No kidding.
NED	Do you have life insurance, Phil? 'Cause if you do, I bet you could u s e more-- who couldn't?--but I got a feeling you don't have any. Am I right?
PHIL	You know, Ned, I ' d love to talk to you but I really have to-- Phil starts to walk away,,but Ned won't take the hint.
NED	That's okay. I'll walk with you. When I see an opportunity, I charge it, like a bull. Ned the Bull, that's me now. Some of my friends live and die by actuarial tables, but I think it's all just a crap shoot anyhoo. Ever heard of single .premium life? That could be the ticket for you, buddy. God, it's good to see you! Hey, what're you doing for dinner?
PHIL	Dinner? Umm, I don't think that's going to work for me. As they continue walking, Phil steps into what looks like a
NED	Hey, look out for that first step! It's a doozy! Phil looks at him with murderous contempt. Stomping her feet against the cold, Rita looks at her watch and
RITA	How could he be late?
LARRY	Prima donnas.
RITA	It's just so-- inconsiderate.
