CHARACTER	DIALOGUE
Arabian nights	'Neath Arabian moons A fool off his guard Could fall and fall hard Out there on the dunes. side of the river Jordan, on sale today, come on down! Heh, heh. Look at this! Yes! Combination hookah and (taps it on table), will not--(it falls apart)--it broke. Ooohhh! Look at this! Pulls out Tupperware) I have never seen one of these intact before. This is the famous Dead Sea Tupperware. Listen. (Pries it open, interested in the exceptionally rare. I think then, you pulls the MAGIC LAMP out from his sleeve.) Do not be things, it is not what is outside, but what is inside that counts. (Another pan, this one slower to left. A young man who liked this lamp was more than what he seemed. A diamond in the rough. Perhaps you would like nightscape.) , where a dark man waits, with a dark thousand apologies, O patient one. You have it, then? had to slit a few throats to get it. (Pulls out coming to you. What's coming to you! Awk! Awk! Cave of wonders! By Allah! Now, remember! Bring me the lamp. The rest of the It is I, Gazeem, a humble thief. Know this. Only one may enter here. One whose forget it. Look at this. Look at this. I'm so ticked off that I'm molting! (He flies up to Patience, Iago. Patience. Gazeem was obviously less than worthy. (Extremely sarcastically) Oh, there's a big surprise. That's an incred--I think I'm gonna have a heart attack and die from not surprise! What're we gonna do? We got a big problem here,a big prob- Yes, we do. Only one may enter. I must find this (Looks back, then down, then at the bread.) All 2: You won't get away so easy! You think that was easy? 1: Getting into trouble a little early today, aren't Trouble? No way. You're only in trouble if you ...and this time--(A screeching sound from ABU, Hello! Come on, let's get outta here! Gotta keep...one jump ahead of the breadline One swing ahead of the sword I steal only what I can't afford That's everything!
One jump ahead of the lawmen	That's all, and that's no joke These guys don't appreciate I'm broke! Just a little snack, guys! You're my only friend, Abu! Who?!? He's become a one-man rise in crime Tell you all about it when I got the time!
One jump ahead of the slowpokes	One skip ahead of my doom Next time gonna use a nom de plume. One jump ahead of the hitmen One hit ahead of the flock I think I'll take a stroll around the block. Outrage! Scandal! Let's not be too hasty Otherwise we'd get along! WRONG! 2: You idiot--we've ALL got swords!! One hop ahead of the hump! Street rat! One trick ahead of disaster Scoundrel! They're quick--but I'm much faster Take that! Wish me happy landin' All I gotta do is jump! your fleas will mourn you. I don't buy that. If only they'd look closer Would they see a poor boy? No siree. They'd find out, there's so much more to me. rich, live in a palace, and never have any problems at all. stormed out! Oh, father. Rajah was just playing with him, JASMINE to pet and hug him.) You were just playing with that overdressed, self-absorbed Prince Achmed, weren't you? (She cuddles with RAJAH, enjoying the Dearest, you've got to stop rejecting every suitor that comes to call. The law says you... ...must be married to a prince. The law is wrong. You've only got three more days! Father, I hate being forced into this. (She takes I want it to be for love. Jasmine, it's not only this law. (She hands him going to be around forever, and I just want to make sure you're taken care of, provided for. Try to understand. I've never done a thing on my pond, petting the fish.)I've never had any real friends. (RAJAH looks up at her and growls.) sleep.) I've never even been outside the palace walls. But Jasmine, you're a princess. Then maybe I don't want to be a princess. (She Oooohhh! Allah forbid you should have any daughters! He looks up startled and sees JAFAR.) Ooh, oh. Ah, Jafar--my most trusted advisor. I am in desperate need of your wisdom. My life is but to serve you, my lord. (He bows.) (In the parrot voice) Awk! Wit's-end. Oh, ha ha. Have a cracker, pretty polly! (He Your majesty certainly has a way with dumb animals. divine a solution to this thorny problem. If anyone can help, it's you. Ah, but it would require the use of the mystic blue Uh, my ring? But it's been in the family for It is necessary to find the princess a suitor. will be fine. Everything...will be...fine. The diamond. Here, Jafar. Whatever you need will be fine. (Still hypnotized) Yes...that'll be...pretty good. Then I'd grab him around the head. Whack! Whack! that addlepated twit. And then I stuff the crackers down his throat! Ha begins to climb again, and is helped up by RAJAH, hangs there, distracting his attention.) Hey, get your paws off that. Blah blah blah! Why, you! Get away from here, you filthy ape! 2: Sugar dates, sugar dates and figs! Sugar 3: Would the lady like a necklace. A pretty necklace for a pretty lady. really very sorry. (He's obviously deeply in love with her.) Wow! You'd better be able to pay for that. (Mystified) Pay? No one steals from my cart! Oh, I'm sorry sir. I don't have any money. Please, if you let me go to the palace, I can get some from the Sultan. Do you know what the penalty is for stealing? (whispering) What are you doing? (whispering back) Just play along. You know this girl? Sadly, yes. She is my sister. She's a little She said she knows the Sultan! She thinks the monkey is the Sultan. Tragic, isn't it? (He leans forward, picking foot.) But, no harm done. (Walks over to Jasmine.) Now come along sis. Time to see the doctor. (To a camel standing nearby) Oh, hello doctor. No, no, no. Not that one. (To ABU, whose Yes, o mighty evil one. There he is. My diamond in the rough! That's him?!?! That's the clown we've been Let's have the guards extend him an invitation to Well, you do kinda stand out. (He stares at her, I mean, uh, you don't seem to know how dangerous Agrabah can be. (He lays a plank between the I'm a fast learner. Right. C'mon, this way. (They go inside the roof go.) Whoa. Watch your head there. Be careful. Is this where you live? Yep. Just me and Abu. Come and go as we please. Well, it's not much, (he pulls back the curtain and Palace looks pretty amazing, huh? Oh, it's wonderful. I wonder what it would be like to live there, to have servants and valets... Oh, sure. People who tell you where to go and how It's better than here. Always scraping for food You're not free to make your own choices. Sometimes you feel so-- You're just-- (in unison) --trapped. What does it matter? I ran away, and I am not going back. Really? (He takes a bite from the apple in his Why you! Abu says that--uh--that's not fair. What? Oh did he? Yeah, of course. And does Abu have anything else to say? Well, uh, he wishes there was something he could do to help. Oh, boy! Hmm, tell him that's very sweet. and JASMINE: They've found me! (To each other) They're My father must have sent them-- Do you trust me? What? Then jump! Hey, get off of me! Let go of him. (Not realizing she is the princess) Look what we (standing up and pulling off the hood of her cloak) The princess? (peeking out from the vase) The princess? What are you doing outside the palace? And with That's not your concern. Do as I command. Release Well, I would, princess, but my orders come from Oh, uh, princess. Awk! Jafar, I'm stuck! How may I be of service to you? (He spreads out his The guards just took a boy from the market, on your Your father's charged me with keeping peace in What was the crime? I can't breathe, Jafar! Why, kidnapping the princess, of course. If you could just--(JAFAR kicks him back inside the He didn't kidnap me! I ran away! (Walking away as if shocked) Oh, dear! Oh, why What do you mean? Sadly, the boy's sentence has already been carried What sentence? (with a sinister tone) Death. (JASMINE gasps.) How could you? (She runs from the room crying.) I think she took it rather well. (They both get a (from a distance) Yoo-hoo! Aladdin? Hello! Don't worry, Abu. I'll never see her again. I'm a gotta marry a prince, she deserves it. (Rubbing his wrists) I'm a--I'm a fool MAN: You're only a fool if you give up, boy. MAN: A lowly prisoner, like yourself. But together, I'm listening. MAN: There is a cave, boy. A cave of wonders. Filled Treasure enough to impress even your princess, I'd wager. So why would you share all of this wonderful treasure with me? MAN: I need a young man with strong legs and a strong Ah, one problem. It's out there, we're in here? It is I, Aladdin. Proceed. Touch nothing but the lamp. C'mon, Abu. (to ABU hiding under the shoulder of Uh oh! Just a handful of this stuff would make me richer Abu, will ya knock it off? over and wraps around the pair.) Hey, whoa! You see, we're trying to find this lamp. (CARPET motions for them to follow it.) I think he knows where it is. Oh. Huh? Uh oh! VOICE: You have touched the forbidden treasure. (ABU and the shrine melt into lava.) Now you will never again see the light of day! MAN: Throw me the lamp! I can't hold on. Give me your hand. MAN: First give me the lamp! MAN: Giving you your reward. (JAFAR returns to his There, there, there, my child--we'll set it right. Now, tell me everything. entrance) That two faced son-of-a-jackal! (Calmer) Whoever he was, he's long gone with that lamp. Aha! there's something written here, but it's hard to make out. outta there! (GENIE uses the lamp end of himself as a microphone.) Nice to be back, ladies and gentlemen. Hi, where ya from? (Sticks the mic in ALADDIN's face.) What's your name? Uh, Al--uh--Aladdin. (Says his name as if he's discovered something ALADDIN's name on it, circled by chase lights. The Hello, Aladdin. Nice to have you on the show. Can we call you 'Al?' Or maybe just 'Din?' Or how bout 'Laddi?' (GENIE disappears, then a dog wrapped in plaid jumps in.) Sounds like 'Here, boy! (Shaking his head) I must have hit my head harder (Still a dog) Do you smoke? Mind if I do? (Dog didn't singe the fur! Hey, Rugman! Haven't seen you in a few millennia! Slap me some tassel! Yo! Yeah! (CARPET flies over and high fives the GENIE. that or I'm gettin' bigger. Look at me from the side--do I look different to you? Wait a minute! I'm--your master? (Slaps a diploma in ALADDIN's hand and a be taught!! What would you wish of me, (as Arnold Schwarzenegger) the ever impressive,(inside a cube) the long contained, (as a ventriloquist with a dummy) often imitated, (tosses the dummy aside) but never duplicated-- duplicated, duplicated, duplicated. (Says it like a ring announcer at a boxing match.) Sullivan) Right here direct from the lamp, right here for your enjoyment wish fulfillment. Thank youuuuu! Whoa! Wish fulfillment? Three wishes to be exact. And ix-nay on the caballeros come out of the slot.) Uno, dos, tres. substitutions, exchanges or refunds. (The duck drops with the secret word "Refunds.' (To ABU) Now I know I'm dreaming. (Music for "Friend Like Me" begins) Master, I don't think you quite realize what you've got here! So why don't you just ruminate, whilst I illuminate the possibilities. (GENIE lights up like a
Well Ali Baba had them forty thieves	Scheherazadie had a thousand tales But master you in luck 'cause up your sleeve You got a brand of magic never fails!
You got some power in your corner now	Some heavy ammunition in your camp You got some punch, pizzazz, yahoo and how See all you gotta do is rub that lamp And I'll say
Mister Aladdin sir	What will your pleasure be? Let me take your order, jot it down You ain't never had a friend like me No no no!
Life is your restaurant	And I'm your maitre' d! C'mon whisper what it is you want You ain't never had a friend like me.
Yes sir, we pride ourselves on service	You're the boss, the king, the shah! Say what you wish, it's yours! True dish How about a little more Baklava? Try all of column 'B' I'm in the mood to help you dude You ain't never had a friend like me
Can your friends do this?	Do your friends do that? Do your friends pull this out their little hat Can your friends go poof! Well looky here Can your friends go Abracadabra, let 'er rip And then make the sucker disappear?
So don't you sit there slack jawed, buggy eyed	I'm here to answer all your midday prayers You got me bona fide, certified You got a genie for a charg? d'affairs! I got a powerful urge to help you out So what you wish I really want to know You got a wish that's three miles long, no doubt So all you gotta do is rub like so, and oh!
