CHARACTER	DIALOGUE
NEWSIES	A Musical Feature Film
Written by	Tzudiker and Noni White Fallon and Tom Rickman Menken and Jack Feldman
WALT DISNEY PICTURES	500 South Buena Vista St. - REVISED Pressmen bundle the papers and toss them into carts. See
KLOPPMAN	Ink's wet, the presses are rolling, the papers are stacking -- rise and shine, make a dime, no news without the Newsies -- etc. Jack jumps out of his bunk and shakes the BOY below.
JACK	Wake up, Crutchy -- The World is waitin'. CRUTCHY Tell Mr. Pulitzer my yacht was lost at sea. Jack laughs and tosses him his crutch. The dorm is now THAT'S MY CIGAR...
SNIPESHOOTER	YOU'LL STEAL ANUDDER. The boys begin to wake, KID BLINK yawning, stretching, HEY BUMMERS, WE GOT WORK TO DO the floor: pants pulled SPECS on, suspenders hitched SINCE WHEN DID YOU BECOME CRUTCHY AH, STOP YOUR BAWLIN' ALL WHO AST YOU! MUSH, cross-eyed and skinny with big ears and lisp, play-
NEWSIE	Hey, whattaya?
MUSH	How'd you sleep, Jack?
JACK	On me back, Mush. MUSH You hear that, you hear what he said? I ast how'd he sleep --
CRUTCHY	Jack, this look like I'm fakin' it? He hobbles towards Jack on one crutch.
JACK	Who says you're fakin' it?
CRUTCHY	The streets are fulla fakes these days -- it's hurtin' the rep of genuine articles like myself. I gotta find me a new sellin' spot, where they ain't used to seein' me. Jack smiles; Mush taps Crutchy on the arm... sings. MUSH TRY BOTTLE ALLEY OR THE HARBOR
RACETRACK	TRY CENTRAL PARK IT'S GUARANTEED JACK TRY ANY BANKER, BUM OR BARBER Jack rinses his face, takes SKITTERY * KID BLINK I SMELL MONEY YOU SMELL FOUL MET THIS GIRL LAST NIGHT * CRUTCHY MOVE YOUR ELBOW RACETRACK PASS THE TOWEL FOR A BUCK I MIGHT THROUGH IT ALL down the stairs, greeting A MIGHTY FINE LIFE EVERY MORNING WE'S FREE AS FISHES SURE BEATS WASHING DISHES WHAT A FINE LIFE and Mush as the boys file CARRYING THE BANNER out. HOME-FREE ALL JACK What's your leg say, Crutch? Feel like rain?
CRUTCHY	No rain -- partly cloudy, clearin' towards evenin'. Who ya sellin' wit, Jack?
JACK	Ain't decided yet. Jack spots a passing wagon and helps Crutchy on board --
DAVID	Les, hurry up, willya? Why do I gotta be saddled with you?
LES	Why do I gotta be saddled with you?
DAVID	Come on -- They'll run out of papers!
KID BLINK	'Mornin', Officer. I'm keepin' my eye on you, Blink.
KID BLINK	And I'll keep my eye on you, too, sir.
OFFICER	Get moving! Blink and the boys race into an alley --
RACETRACK	AIN'T THEY AS PRETTY AS A PITCH'A SNODDY Race picks up his THAT MAKES IT TEN GAMES OUT the pile of change in his hand. RACETRACK A PLEASURE DOING BUSINESS WICH'YA WHO WANTS TO TRY THEIR LUCK AGAIN?
BOOTS	I'm wiped out -- my mother'll murder me -- if I had one. The wagon passes -- Jack, Mush and Crutchy get out.
