CHARACTER	DIALOGUE
BANG!!	A shock chord as we cut from black to a harshly toplit A man is talking into a cellular phone. He is a paunchy but powerful looking black man, bald with a gray fringe. man whose life has been shaped by the violence of the docks. In the distance a foghorn moans. We are pulling back.
BLACK	Yeah. .'Cause he's an asshole. Tell him no... Tell him no too... Him, tell fuck you... Yeah... Uh huh... The continuing pull back shows that we are inside a huge The room is lit by bare bulbs, its farthest reaches falling into darkness.
BLACK	No, I'll be a few minutes here. Guy comin' up, thinks he's gonna muscle me outs my property... Does it matter? Just another tough guy...Yeah, okay... Another hard-looking man is approaching.
CONTINUED	
MAN	They're drivin' up. Black nods.
BLACK	Get their pieces. We got a surprise for those fuckers. We are tracking towards a chain link fence which is swinging open to admit two midnight blue Lincoln Continentals. The cars stop in the foreground and eight men get out, eerily backlit in the mist of the riverfront.
3 SLOW TRACKING - ROBERT G. DURANT	is a well-dressed and immaculately groomed man of forty. wears a powder blue, polyester leisure suit. His nose has been broken several times from his years in the Mexican boxing league. He was almost a contender. walks with a pronounced limp. is a large black man with a quiet, studied cool. is a wiry twenty-year old who looks about in short, jerky stylishly dressed, with slicked back, black hair. His protruding Adams apple bobs as he swallows. wears a permanent psychotic smile. is middle-aged and balding. His spare tire hangs over the has a thatch of blond hair, he spits out tobacco juice between his wide spaced front teeth. 11 They are approached by a group of fifteen dock workers, 11 ready to kick some ass.
DOCK WORKER	Okay, against the car, ladies. You're c gonna stand for a search. 12 The eight visitors assume the position, placing their 12
DOCK WORKER #2	Bunch a cuties.
DOCK WORKER #3	Put skirts on 'em, I'd marry one. From the other Dock Workers, hearty male laughter. The visitors bare up in silence. As the visitors are led in, into the beams of the car headlights, escorted by the dock workers. The Dock Workers take up positions around Durant and his men. stands waiting for them. He eyes Skip, the limper.
BLACK	Bum leg?
SKIP	No leg. I was engaged to a girl with a wooden leg once. Skip brightens. Yeah? What happened?
BLACK	I hadda break it off. 15 The dock workers laugh. Black indulges his wens' laughter, then cuts
BLACK	okay, let's cut the crap here. Durant, I got just three things to say to you. One He holds up a chubby finger.
BLACK	I ain't selling my property. He flashes a second finger.
BLACK	Two. Nobody muscles Eddie Black Especially a bunch of fucks. He flashes a third finger.
PPY	Number three, if you guys is unha with that, which I can already is, then we can cutcha balls of f if that'll be more satisfactory. The last shot echoes away to leave silence -- except for continues to hop in place for balance. Smiley, after a watchful pause to make sure everyone is dead, sticks out his left arm at waist level. Skip grabs the arm for support, stops hopping, and there
ROBERT G. DURANT	the elegantly suited leader, takes out a cigar and a gold-plated cigar trimmer. SNIP--he trims the and of As he walks towards the dumbly apprehensive Black:
DURANT	Now let's consider my points, one by one...
GUZMAN	puts a full nelson on Black. Trumayne, grabs Black's right hand and holds it out, fingers splayed, towards Durant.
DURANT	One... He slips one of Black's fingers into his cigar trimmer.
DURANT	.1 try not to let my anger get the better of me. SNIP! Black screams. As Durant goes for another finger:
DURANT	...Two: I don't always succeed. SNIP! Black screams. Reaching for another finger:
DURANT	...Three: I've got seven more points. Looking down on the lonely waterfront building, we hear Black's screams. Making jerky little movements this way and that.
EYE'S POV: AN ENORMOUS NOSE	We pull focus through the nose, then back to sharp focus again. The nose fills the screen, every pore a cavern, every blemish a mountain.
EYE	Blinking.
NOSE	The nostrils flare slightly.
EYE	Looking.
NOSE	Still. Suddenly it is hit by a flash of light as -- B- DEEEE -- we hear the automatic wind of a camera and its B-DEEEEE! B-DEEEE! We get rapid-fire left and right nose profiles.
22 WIDER	We are in a lab. DR. PEYTON WESTLAKE, an earnest scientist in his early thirties, is straightening up from thenfro eof o The nose belongs to YAKITITO YANAGITA a Japanese graduate' student wearing a lab smock and glasses with thick, coke
PEYTON	Now, if everything goes according to plan, in a couple of months your nose will be on the lips of every American... He is feeding the prints into the input slot of a computer. The nose is broken down into thousands of points. As each
PEYTON	We've finally got the Imager working how we want it. 24 We pan to the Holographic Imaging Cylinder. The glass 24 24P A three dimensional holographic image of Yakatito's nose 24P 25 Peyton glances from the Imager to the computer. He types 25
PEYTON	Bio-press checks out okay... He glances to... As it hums to life. It is a box containing linear rows of allow each pin to rise or fall individually, per computer command. A smooth synthetic substance is being sprayed evenly atop the surface of the pins. The sprays halts; the programmed heights, molding the solidifying synthetic substance into an exact replica of Yakatito's nose. No more bunching. Looks perfect.
PEYTON	I don't know about perfect, but it looks like your nose. Down to the millimole... No, the bio-press won't be a problem. It's the synthetic
WOULD	skin's instability. If the
A SKINU	just hold up -- Y give me victim and a photograph of his old face -- he'll get more than a nose. We're talking complete reconstruction
MAYBE EVEN	damaged skin tissue. make him better looking. Hey, what's the time?
YAKITITO	fumbles for the stopwatch that hangs around his neck.
YAKITITO	Ninety-eight minute and change.
PEYTON	Let's check in our friends.
PEYTON	moves to a microscope.
27P MICROSCOPE P.O.V.	Cells swimming in an agar-protoplasm bath.
29 A COMPUTER MONITOR	that is connected to the microscope. Amino acid content - 64.0% Membrane potential - 120 millivolts DNA content - 00.000047 millimoles Collagen congeners - 22.8% 29 Peyton punches in some data, and... 29 generated image of a protein molecule. Beneath it, the
EPIDERMIS	On the right half of the screen, another image forms. It
STRUCTURAL MATCH	The molecules rotate in synchronization. A loud beeping tone. Suddenly, the synthetic molecule begins to waver and spin randomly. Oh no...
31 VIEW THROUGH MICROSCOPE 31	The unstable cells fragment. Peyton shoves himself away from the microscope.
PEYTON	Fragmentation. Time? Yakitito checks his stopwatch.
YAKITITO	Ninety-nine minute. Again.
32 CONTINUED	He stares dumbly at the stopwatch, frozen. He repeats,
YAKITITO	..Ninety-nine minute. Cells always break up at a ninety-nine minute. He punches away at a keyboard and takes the readout.
PEYTON	Electrolytes, temp and glucose concentration. all normal.
YAKITITO	But still this ninety nine minute. Yakitito makes a notation of the time on a lab sheet.
PEYTON	Pacing, thinking;
PEYTON	Why? What is destabilizing it? Vivification process was cake. Tissue rejection? We licked that. We're close. We're smart guys. So why can't we make these cells stable? Hokay. Let's try a ten percent alkalinity. Get those suckers too drunk to fragment.
YAKITITO	posts the completed lab sheet on a wall covered with hundreds of similar sheets.
YAKITITO	We already try ten. He pokes at a section of lab sheets.
YAKITITO	And twenty. And twenty-two... We try all phase of alkalinity. He punches the wall. CONTINUED
YAKITITO	But still a ninety-nine minute! Three month ago, ninety nine minute. Ten month ago... ninety nine minute... BAM BAM... Yakitito punches the wall again and again. Peyton calmly taps a plastic dunking bird that slowly bobs.
PEYTON	A word of advice, Yakitito. Don't get emotionally involved. Watch. Analyze. Remain object ---
BAM!	He is cut off as Yakitito punches the wall again and again to punctuate his speech.
YAKITITO	Maybe I am lousy scientist.
MAYBEOI	listen to father, get in Anaheim! Get drunk on Sake nightly, forget I am failure!
PEYTON	Quick, Yakitito. A basketball appears in Peyton's hands. He tosses it to
YAKITITO	Catches the ball.
PEYTON	The most striking characteristic of thermionic emission.
YAKITITO	Throws the ball away.
KE	No, always you ask me question to ma me calm down! I no want to calm down!
PEYTON	catches the ball, dribbles and throws it back to Yakitito.
PEYTON	The answer, Yakitito.
YAXITITO	snags the ball angrily from the air. It is most strongly depending on temperature! He throws it at Peyton, who grabs it, and pump-fakes Yakitito, not letting him have the ball.
PEYTON	Go on! Again he pump-fakes. Yakitito flinches.
YAKITITO	This means the temperature of the emitter is not critical as long as it is sufficiently high and as long as pure metals with high operating temperatures such as tungsten or tantalum are used. Peyton tosses him the ball. Yakitito catches it. Calm now. He blinks.
YAKITITO	Amazing. It work every time. of aides. JULIE HASTINGS, a young attractive woman who has apparently been awaiting their arrival rises from a chair and crosses the lobby to greet them. She is dressed in a
JULIE	Mr. Strack, my name is Julie Hastings. I'm here from Pappas and Swain to represent you in the Von Hoffenstein negotiation.
STRACK JR.	How do you do? And please, call me Louis. This is my father who-- Strack Sr. interrupts his son's introduction.
STRACK SR.	I don't want some fancy-ass woman to do my negotiating. Where's Herb Gorson?
JULIE	Gorson's tied up in litigation this week. Don't worry--I've done my homework.
STRACK SR.	scowls, ungraciously accepting her. I'll stop worrying when you get Von Balibreaker's price down to sixty million... He turns and starts striding down the hallway, the others following.
STRACK SR.	.If he goes that low, lock him up. The Stracks and Julie are seated at a table next to a large Seated across from them are Baron Hugo Von Hoffenstein, a and cold beady eyes. He is accompanied by his attorney Myron Katz. Liveried waiters are just clearing the table and serving
KATZ	We want to be reasonable here. We said we were interested in selling the pier frontage and we are interested in selling. But frankly Mr. Von .will not be robbed. Seventy-five strikes us as a fair price for this parcel. We're ready to conclude a deal here and now at that price.
JULIE	Then I guess we're only missing one element here.
KATZ	What's that?
JULIE	An interested party. Strack Jr. tries to suppress a smile. Waiters bring in the wine and pour a tasting portion for He rolls the wine in his glass, eyes appraising Julie. Wine is poured around.
JULIE	.Mr. Katz, I've found that in the real estate business, three factors determine a property's worth. CONTINUED
34 CONTINUED	Katz leans forward, listening.
JULIE	...Location. Location. And... location. Frankly, you have none of the above. Your fair price is fair for midtown commercial, not for riverfront.
KATZ	It's worth more to your client, given his plans for the area.
JULIE	if my client can spin straw into gold, he'll still pay market price for straw. As a matter of fact--
VON HOFFENSTEEN	--Business is business. Deals vill come and go, but ze velt vill pause for a beautiful voman...and a fine wine.
JULIE	Our offer stands at forty-eight.
VON HOFFENSTIEN	Smiles a worldly smile.
