CHARACTER	DIALOGUE
MCCLANE'S VOICE	Holy shit, whoa, whoa -
MCCLANE	I'm here, I'm here, false alarm, let's just let her down nice and easy -
COP	Sure. At the impound lot. Next time, read the sign.
MCCLANE	You don't understand, I'm just meeting my wife's-plane - you gotta give me this car back.
COP	Sure. Tomorrow 8 to four, you pay 40 bucks, we give it back.
MCCLANE	This is my mother in law's car. She already hates me because I'm not a See, I'm a cop. LAPD. How about some team spirit?
COP	I was in LA once. Hated it.
MCCLANE	I can relate to that. Hate it myself- Hey, that's a plastic fender, Jesus- See, I used to be a New York cop still got my ID somewhere -I only moved 'cause my wife got promoted - look, maybe we can settle this right here, we're in Washington, heartbeat of Democracy, one hand washes the other He realizes the truck is DRIVING AWAY one way while the cop is
MCCLANE	Hey, c'mon, it's Christmas -
COP	So Ask Santa to bring you another car. You son of a - BEEP drowns out his last word. McClave sweeps aside his coat, McClane shoves his way through some people - when they GLARE at
MCCLANE 1ST NEWSCASTER	.and that White Christmas INFORMATION GIRL may be here for a while, if (pointing) that new storm front moves Right over there. to the Metro area this afternoon as predicted. McClane nods, serves across the slick linoleum. Correspondent Leonard Adkins is in a warmer clime, with a story that grows hotter by the minute.
2A WITH MCCLANE 2A	he fairly SKIDS to a halt at a line of PHONE BOOTHS - and outside
A	and gifts. McClane's BEEPER goes off again. Ho - ho - ho... A plane TAKES OFF. We PULL BACK and realize we're in a MOTEL
2ND NEWSCASTER	Security was tight today at Escalon airport in the Republic of Val Verde, where government authorities escorted General Ramon Esperanza to the military transport that will bring him to the United States to stand trial for narcotics trafficking. A HAND thrusts in front of the CAMERA - FINGERS clenching and
6 WIDER 6	A half naked MAN is doing Tai Ch'i EXERCISES. This is COLONEL On the TV, the words "FILE TAPE" blink under Esperanza's IMAGE,.
