CHARACTER	DIALOGUE
The complete script	Compiled by Corey Johanningmeier Portions copyright (c)1989 by Walt Disney Co. And it's hey to the starboard, heave ho Look out, lad, a mermaid be waitin' for you In mysterious fathoms below. Isn't this great? The salty sea air, the wind blowing in your face . . . (Leaning over side.) Oh yes . . . delightful . . . . King Triton? 2: Why, ruler of the merpeople, lad. Thought every good sailor knew about him. Merpeople! Eric, pay no attention to this nautical nonsense. Heave. ho. Heave, ho. In mysterious fathoms below. (Fish sighs and I'm really looking forward to this performance, Sebastian. Oh, Your Majesty, this will be the finest concert I have ever con- ducted. Your daughters - they will be spectacular! Yes, and especially my little Ariel. Yes, yes, she has the most beautiful voice. . . . [sotto] If only daughters: Ah, we are the daughters of Triton. Great father who loves us and named us well: Aquata, Andrina, Arista, Atina, Adella, Allana. And then there is the youngest in her musical debut, Our seventh little sister, we're presenting her to you, To sing a song Sebastian wrote, her voice is like a bell, She's our sister, Ar-i . . . (Very angry.) Ariel!! Flounder, hurry up! (Catching up.) You know I can't swim that fast. There it is. Isn't it fantastic? Yeah . . . sure . . . it - it's great. Now let's get outta here. Who, me? No way. It's just, it, err . . . it looks - damp in there. All right. I'm going inside. You can just stay here and - watch for O.K. Yeah - you go. I'll stay and - what? Sharks! Ariel! (He tries to fit through porthole.) Ariel . . . I can't . . . I mean- (Laughs.) Oh, Flounder. (Wispering.)Ariel, do you really think there might be sharks around Flounder, don't be such a guppy. I'm not a guppy. (Gets pulled through porthole.)This is great - I Oh, are you okay? Yeah sure, no problem, I'm okay . . . Shhh . . . (Seeing a fork.) Oh my gosh! Oh my gosh! Have you ever seen anything so wonderful in your entire life? Wow, cool! But, err, what is it? I don't know. But I bet Scuttle will. What was that? Did you hear something? (Distracted by pipe.) Hmm, I wonder what this one is? Ariel . . Flounder, will you relax. Nothing is going to happen. (Laughing.) Flounder, you really are a guppy. I am not.
Scuttle!	(Looking through the telescope the wrong way, shouting.) Whoa! Scuttle - look what we found. Yeah - we were in this sunken ship - it was really creepy. What? What is it? It's a dinglehopper! Humans use these little babies . . . to of hair that humans go nuts over! A dinglehopper! What about that one? (Holding pipe) Ah - this I haven't seen in years. This is wonderful! and Flounder: Oohhh. Now, the snarfblat dates back to prehistorical times, when humans used (Still contemplating pipe.) Maybe you could make a little planter Uh, I'm sorry, I've gotta go. Thank you Scuttle. (Waves.) Anytime sweetie, anytime. As a result of your careless behaviour - Careless and reckless behaviour! - the entire celebration was, er - Well, it was ruined! That's all. Completely destroyed! This concert was to be the pinnacle of my distinguished career. Now thanks to you I am the laughing stock of the entire kingdom! But it wasn't her fault! Ah - well - first, ahh, this shark chased us Seagull? What? Oh - you went up to the surface again, didn't you? Nothing - happened. . . . Oh, Ariel, How many times must we go through this? You could've been Daddy, they're not barbarians! They're dangerous. Do you think I want to see my youngest daughter I'm sixteen years old - I'm not a child anymore - Don't you take that tone of voice with me young lady. As long as you live under my ocean, you'll obey my rules! But if you would just listen - Not another word - and I am never, NEVER to hear of you going to the Hm! Teenagers. . . . They think they know everything. You give Do you, er, think I - I was too hard on her? Definitely not. Why, if Ariel was my daughter, I'd show her who was You're absolutely right, Sebastian. Of course. Ariel needs constant supervision. Constant. Someone to watch over her - to keep her out of trouble. All the time - And YOU are just the crab to do it. Ariel, are you okay? If only I could make him understand. I just don't see things the way he bad.
Look at this stuff	Isn't it neat? Wouldn't you think my collection's complete? Wouldn't you think I'm the girl The girl who has ev'rything? Look at this trove Treasures untold How many wonders can one cavern hold? Lookin' around here you'd think Sure, she's got everything
I've got gadgets and gizmos aplenty	I've got whozits and whatzits galore But who cares?
No big deal	I want more I wanna see Wanna see 'em dancin' Walkin' around on those Flippin' your fins you don't get too far Legs are required for jumpin', dancin' Strollin' along down a (What's that word again?) street
Up where they walk	Up where they run Up where they stay all day in the sun Wanderin' free Wish I could be Part of that world If I could live Outta these waters? What would I pay To spend a day Warm on the sand? Betcha on land They understand Bet they don't reprimand their daughters Bright young women Sick o' swimmin' Ready to stand
And ready to know what the people know	Ask 'em my questions And get some answers What's a fire and why does it (What's the word?) burn? Wouldn't I love Love to explore that shore above? Out of the sea Wish I could be Part of that world Sebastion!? Ariel - what, are you mad? How could you - what is all this? Oh. I see. Your collection. Hmmm. IF YOUR FATHER KNEW ABOUT THIS
PLACE HE'D -	You're not gonna tell him, are you? Oh, please, Sebastian, he would never understand. Ariel. You're under a lot of pressure down here. Come with me, What do you suppose?. . . Ariel? Ariel! (Whistles.) Max, here boy. Hey, come on, mutt, whatcha doing, huh Hey there, sweetie! Quite a show, eh? Scuttle, be quiet! They'll hear you. Oooh, I gotcha, I gotcha. We're being intrepidatious. WE'RE OUT TO I've never seen a human this close before. Oh - he's very handsome, (Looking at Max) I dunno, he looks kinda hairy and slobbery to me. Silence! Silence! It is now my honour and privilege to present our Ah, Grimsby - y'old beanpole, you shouldn't have. I know. Happy birthday, Eric! (Large, gaudy statue of Eric is Gee, Grim. It's, err, it's, err - it's really somethin'. . . . Come on, Grim, don't start. Look, you're not still sore because I didn't Oh, Eric, it isn't me alone. The entire kingdom wants to see you Well, she's out there somewhere. I just - I just haven't found her yet. Believe me, Grim, when I find her I'll know - without a doubt. It'll Hurricane a'commin'!! Stand fast! Secure the riggin'! (Storm hits.) Look out! . . . (Ship crashes and all are thrown overboard except Max.) (Opens Eric's eyelid.) It's hard to say. (Puts his ear against Eric's No, look! He's breathing. He's so, beautiful.
What would I give	To live where you are? What would I pay To stay here beside you? What would I do to see you Smiling at me?
Where would we walk?	Where would we run? If we could stay all day in the sun? Just you and me And I could be Part of your world Eric! Oh, Eric. You really delight in these sadistic strains on my A girl - rescued me. . . . She was - singing . . . she had the most - Ah, Eric, I think you've swallowed a bit too much seawater. Off we We just gotta forget this whole thing ever happened. The sea king piece. I don't know when I don't know how But I know something's starting right now Watch and you'll see Some day I'll be Part of your world What is with her lately? Oh, she's got it bad. What? What has she got? Isn't it obvious, Daddy? Ariel's in love. Ariel? In love? (Picking petals off a flower) He loves me . . . hmmm, he loves me Ariel, stop talking crazy. I gotta see him again - tonight! Scuttle knows where he lives. Ariel - please. Will you get your head out of the clouds and back I'll swim up to his castle. Then Flounder will splash around to get his Down HERE is your home! Ariel - listen to me. The human world -
