CHARACTER	DIALOGUE
RAND PELTZER	walks through the owd. An American businessman.1-He
RAND	Hi. I'm from out of town... on business from the U.S. The woman nods and smiles.
AN ORIENTAL MAN	passes by. He is very old. Deep wrinkles. Long white
RAND	I'm looking for a present... for my son. The woman nods. She searches through her wares. She
RAND	He's not really involved in sports... The woman puts away the basketball. She picks up a Sony
RAND	No. I want something unusual... something he can't get at home... something different..
A HAND	reaches out and grabs Rand's arm. Startled, he turns.
ORIENTAL MAN	I can help you. He leads Rand away from the booth.
ORIENTAL MAN	I offer something very different. Very unusual. Rand is puzzled. The Oriental leads him to a doorway.
ORIENTAL MAN	Follow me. He opens the door, motioning for Rand to follow. Rand
ORIENTAL MAN	Come. Take a look. It will cost you nothing. You won't be disappointed. The Oriental enters. Rand shrugs and follows.
INSIDE	Rand follows the man up a narrow, dark set of stairs. Rand crinkles his nose. It su,Qlls bad in here. Rand is very puzzled. The Oriental rests the box on a stack of crates. He opens A TINY CREATURE is inside'. The animal is eleven inches tall and stands; upright on The creature is smiling. It lets out a giggle. The Oriental claps his hands. The creature leaps from the box, onto Rand's shoulder. The Oriental claps his hands again. The creature hops back into the box. It stares at Rand
RAND	What is it?
ORIENTAL MAN	It is called ' Mogwai ' . A very rare and intelligent animal. I found it in the fields near my home It will obey all orders. It learns fast. The Oriental looks at Mogwai and claps his hands.
ORIENTAL MAN	--Mogwai leaps to the ground. It scurries across the floor, Mogwai removes a raw tuna from the crate. It tears off a
ORIENTAL MAN	And if you are ever in need of a song... He claps his hands to the creature.
ORIENTAL MAN.	Music. Mogwai begins to hum, in an unearthly falsetto. It's Rand watches with wide eyes. He feels like a child again.
RAND -	How much?
ORIENTAL MAN	One hundred American Dollars. Cash. Rand removes five twenties from his wallet. He gives The Oriental smiles and claps his hands. Mogwai jumps
ORIENTAL MAN	It never sleeps. It will eat any- thing... but prefers raw meat. It must always be kept indoors during the day. It lives in shadow. It hates bright light. Direct sunlight will kill it. Rand nods. He takes Mogwai from his shoulder and puts it
ORIENTAL MAN	Your son will enjoy his new friend. Rand smiles and exits. The Oriental takes a bite from Mogwai is inside of a small plastic pet box. The creature's
RAND	Yes, Fred. The Tai-Chan account is definite. MmmHmm. My plane l eaves in twenty minutes. See you in Pennsylvania. He hangs up. He picks up his bags and walks to the check-
THE CHECK-IN GIRL	tags Mogwai's box and puts it on the conveyer belt.
CHECK-IN GIRL	Don't worry, sir. Your pet will be safe. Rand smiles. She nods.
RAND	What does it mean?
STEWARDESS	Devil. She moves to the next passenger. Rand stares. Surprised. Confused. Children ice skate along a large,. frozen lake. Kingston's business district. Chilly gas station atten- A Pharmacy owner hangs "Merry Christmas" (in sparkling Telephone line workers share hot coffee from a thermos.
INSIDE.	Crowded. Several peoplestandin line.
BILLY PELTZER	a bank teller, writes out a receipt for a customer. Billy is 26 years old. His sturdy build and good looks are râ¢ Finishing the transaction with his customer, Billy looks to
BILLY	Next.
MRS. DEAGLE	an elderly woman, walks to Billy's window. She's a real
TRACY ALLEN	another teller, works beside Billy. Tracy is pretty. Big Tracy counts out some cash to a customer. She's trying
GARY LUCIA	the bank security guard, is trying to make her laugh. He Meanwhile, Billy gives the check back to Mrs. Deagle.
BILLY	I can't cash this, M'am. Your last check hasn't cleared.
MRS. DEAGLE	Don't you recognize me?
BILLY	No, M'am. I'm sorry...
MRS. DEAGLE	My name is Mrs. Julia Deagle! My husband manages the.Sparkle Market! We've been banking here for sixteen years!
BILLY	T at's very nice, M'am. But your c eck hasn't cleared and...
MRS. DEAGLE	That's the problem with this world. It's a mess because of people like
BILLY	It's not my.fault your check didn't clear, M'am,
MRS. DEAGLE	Don't get smart with me, oung man.
BILLY	I wasn't getting smart, I was...
MRS. DEAGLE	Where's the president? I want to see the bank president! Billy rubs his eyes. Tense. Embarrassed.
ROLAND FRESCO	the bank's Vice President, walks over to Billy and Mrs.
ROLAND	What seems to be the problem, M'am?
MRS. DEAGLE	My name is Mrs. Julia Deagle. This young teller is being very rude! I demand that you fire him! Roland looks at Billy. Billy rolls his eyes. Roland Now,-Mrs. Deagle...I'm sure this isn't that serious. I'm sure an apology would fix things right up. Wouldn't it? The woman shrugs.' Roland turns to Billy.
ROLAND	Apologize to the woman, Billy. Billy leans to Roland.
BILLY	I. didn't do anything wrong.
ROLAND	Just apologize. Roland.leans back and smiles at Mrs. Deagle. Billy sighs. He needs his job.
BILLÂ°	I'm sorry, Mrs. Deagle. She nods and smiles. Roland puts his hand on the woman's
ROLAND	Come back to my desk, Mrs. Deagle. I'll personally take care of your banking problems. Roland walks back to his office with Mrs. Deagle. Billy just sits. Angry. Humiliated. He calls the next lb.
BILLY	Next.
TRACY	stands in the lobby, putting on.her coat. Billy moves to
BILLY	Let me. He helps her on with the coat.
BILLY	You look very pretty today. Thanks, Billy.
BILLY	I mean.. .not that you don't look pretty every day...But you look especially pretty today. You're cute. Gary walks up. He puts his arm through Tracy's.
GARY	Let's go. I'm hungry. Hey, Peltzer...Whydidn't you stand. up to that old bag, today? Billy shrugs. Embarrassed. Gary notices the book. He takes it from Billy's hand.
GARY	What's this?
BILLY	It's a book. You read 1t. Billy exchanges a smile with Tracy. Gary isn't amused.
GARY	I know that, asshole. I meant what's it about?
BILLY	King Arthur. . .Sir Lancelot... Knights of the Round . Table... Dragons...
GARY	Aren't you a little old for that kinda' junk? Beats T.V. I'll take 'Monday Night Football' over this crap any day. C'mon. Let's go. Tracy gives a wave to Billy. She and Gary walk away. Gary notices Billy. Gary nudges the others.
GARY	What a nut. Laughin' to himself. That's the kind of guy who'll shoot a president. I don't see anything wrong with him. I'm sure he's very intelligent.
GARY	Yeah, and those are the guys who always crack. The real smart guys. He's gotta be a psycho. 26 years old, still lives with his parents. Doesn't have a girlfriend. He's always alone. Real weirdo. The others agree. Tracy doesn't. She likes Billy.
CAR RADIO (V.0.)	.And the snow keeps coming, folks. Looks like we're gonna have a White Christmas. Another three inches is expected tonight... Billy looks out of his side window and sees
PETE FOUNTANE	walking home from school. Pete is 16 years old. A chunky, Suddenly, Pete.slips on the ice. Bam. Right on his ass. Billy stops the car. He gets out and hurries to Pete.
BILLY	Pete...You okay? Pete nods. Billy helps him up. Pete brushes himself off.
BILLY	You want a ride home?
PETE	Thanks. That'd be nice. Billy helps Pete pick up his schoolbooks.
BILLY	Lancelot raises Excalibur and... Wham! He knocks the Black Knight down ! Then with-another swing... Wham! He finishes him off!
PETE	Wow... Billy digs into his pocket and gives Pete the copy of
BILLY	Here. You can borrow it. Pete takes the book.
PETE	Hey, Billy...You know so much about Vikings and stuff...You should write one of these stories yourself.
PETE	Really? 'Savage Hearts Of The Round Table'. A Trilogy Of Honor., Adventure nd Romance by William :C. P.eltzer
PETE	Sounds gre t. When can I read it? I've only got about 70 pages done... But as soon as it's published, you'll get one of the first copies. Speci- ally autographed by the author. Pete smiles. Billy makes a turn. He pulls into the parking
DOUGAL'S ANTIQUES	A huge, three story home, with an antique shop set up on Billy and Pete get out of the car and enter the store.
DORRY DOUGAL	the 64 year old storekeeper, stands behind the counter.
DORRY	
BILLY	Hi, Dorry. Is it ready yet? Dorry smiles. He reaches to a shelf behind the counter. Billy watches with.wide eyes. Pete is curious.
DORRY	It's an authentic replica of an Eleventh Century sword. Billy's eyes examine every inch of the sword. It's
DORRY	I got most of the rust off...But there were a couple spots that wouldn't budge. Billy runs his finger along the blade.
DORRY	Careful. It's sharp. A big smile covers Billy's face.- He's in love with the
BILLY	What do I owe you?
DORRY	Two hundred. You can pay me twenty a week. Billy pulls a twenty from his wallet and pays Dorry.
BILLY	Thanks, Dorry.
DORRY	My pleasure, son. Billy and Pete exit the store. All are decorated for Christmas. Some are simple and
' HE PELTZER HOME	blends in with the others. But it's a little nicer, Billy's Pinto pulls into the drive. He gets out, sword
BARNEY	a friendly Irish Setter, greets Billy. He pets the dog
LYNN PELTZER	Billy's Mother. 53 years old. Slightly heavy. Well
LYNN	Billy? Is the'.t you honey?
BILLY	sighs.He hates to be called "honey".
LYNN (O.S.)	Dinner will be ready in ten minutes. Okay. He hurries upstairs w Iith
1 I i	Furnished with a sing Ile bed, two chairs, ajdesk and dresser. The walls are covered with Medieval drawings, a poster of Billy enters. He rests the sword on his bed. He unwraps He turns to the mirror and poses with the sword. He holds He takes a few swings with the sword. He stops and smiles to himself. A real warrior.
DINING ROOM	Billy sits at the table, eating dinner with Lynn.
LYNN	How was work?
BILLY	Okay.
LYNN	Have you asked that Tracy girl out yet?
LYNN	I was just curious.
BILLY	Yeah,.well it's none of your business. Nervous,Lynn popsvalfum with her wine. I guess it's none of my business that your clothes are washed and ironed, or that you have a hot meal on the table...
BILLY	No. It isn't. I'm old enough to take care of that stuff myself. I'm old enough to get a place of my own.
LYNN	Don't start that again. Your Father's coming home tonight.
BILLY	Good. I think we should talk about it.
LYNN	It'll put him in a bad mood.
BILLY	No, it'll put you in a bad mood. Lynn and Billy exchange a glare. They look down at their A few silent, uncomfortable moments pass. Lynn looks back to Billy. She smiles. Time for the
LYNN	Billy, honey...
BILLY	Stop calling me 'honey'. She smiles and tries again.
LYNN	Dad and I just don't want you to have to struggle like we did. We want to help, until you can support yourself as a writer.
BILLY	Bit it's gonna take me another- year to finish my novel. . .and what if it doesn't get published?
LYNN	It'll get published.
BILLY	But what if it doesn't? Are you gonna take care of me until I'm old and grey, working on my 25th unpublished novel?...
LYNN	If it takes that long, yes. Don't you understand?.. .I've got to 'leave now! I rve got to try and make it on my own now! Before Lynn.can reply, A VOICE INTERRUPTS.
RAND (O . S . )	Is anybody home? Lynn stands and whispers to Billy.
LYNN	Please, let's forget about this. Just for tonight. Okay? Billy pauses. Finally gives in and nods. Suitcases rest on the floor.' Beside them, is, Mogwai's Billy enters. Rand sees him. Billy .. , Billy walks to his Father. They embrace.
BILLY	Hi, Dad. They hold each other for a second. Lynn closes the front
RAND	Not now. I've got a surprise for both of you. Come on. He leads them into the living room. Lynn and. Billy exchange Lynn and'Bill are startled. They stare at the creature in Barney hates it. He growls at Mogwai. Rand lights a cigarette. He turns to Mogwai and claps Lynn and Billy are amazed...
BILLY	What is it? A.monkey? A rat?.
RAND	Your new pet. Mj Oh, yeah?... Mogwai starts to sing, humming in that unearthly falsetto.
BILLY	What's that?
RAND	He's singing.
BILLY	Sounds kind of creepy. Barney still growls.
RAND	Barney! Be a good dog and go up- stairs! Barney reluctantly hops off Billy's lap and exits.
LYNN	I think he's just darling. Mogwai. Rand holds the creature out to Billy.
RAND	Hold him.
BILLY	Maybe later.
