CHARACTER	DIALOGUE
SALKIND	PRODUCTIONS N.V. Rights Reserved
TEACHER	And now, who can give me the electron wave functions for Kryptonian covalent bonding?
	The cube root of the wavelength over the log of the integral of the speed of squared.
	Well, maybe that was a bit too easy... CAMERA ROAMS ON through the city, following the sound of a strange, ethereally beautiful singing. The CAMERA discovers the source of the sound: an ARTIST sculpting a beautiful crystalline object with a MATTERWAND. The wand makes the singing noise as it creates matter out of energy. The Artist, whose name is ZALTAR, sometimes whistles along in counterpoint. .
	are you making:
ZALTAR	going to be a tree, I think.
	a tree?
ZALTAR	something they have on Earth. You know, where your cousin went.
KARA	is Earth?
ZALTAR	you study six-dimensional geometry in
KARA	I know the equations---I just can't see it in head.
ZALTAR	Even I have trouble with that sometimes. Earth is in space. And we're in inner space.
KARA	don't understand.
ZALTAR	till you're older. Here -- watch this. This is one of the four Power Sources of the City. borrowed it from the Guardians. Look what I do with it. touches his MATTER.WAND to the OMEGAHEDRON and the wand instantly becomes charged with flickering light. He touches his wand to the tree sculpture---and the comes alive with dancing lights and shadows. Kara claps her hands with delight the spectacle. Zaltar steps back and admires his handiwork. He carefully puts down the at his feet, takes a small flask from his belt, and drinks.
ZALTAR	You see, a tree is a living thing.
KARA	Can you create life?
	No, no, just the illusion of life. A kind of maybe. A pale shadow of the real But it is lovely, the way the light plays the surface. . .
VOICE	Kara.
KARA	here, mother.
	Kara, you shouldn't be so near the Edge a grown-up.
KARA	sorry, Mother.
ZALTAR	was keeping an eye on her. puts her arm around her daughter affectionately, showing she's not really angry. Together they watch Zaltar's latest sculpture, flickering with the play of inner light and shadow.
	Thank you, Zaltar, but she has to obey the rules.
	You and your husband have been kind to me, I have something to tell you: I'm going Soon.
ALURA	where? bends down to Kara and hands her his matterwand.
	Put your fingers there, Kara. And press hard.
	Good. Now, go make something pretty. sounds with the wand on the plaza nearby. Zaltar speaks to Alura in a low, confidential voice.
	discovered a new way into the Phantom
ALURA	the phantom Zone is for criminals.
ZALTAR	big. And empty. I'm tired of limiting myself Argo City. I want to do something new. I'm to repeat myself here with this airy, stuff....
	But Zaltar---you founded the city! It's yours. We all just refugees from Krypton when you gathered together and brought us here, to the inner dimension. can't abandon us now. You have a responsibility to us!
	an artist, Alura. My work comes first. Other come second.
ALURA	can you create beauty...with a selfish heart? spiky insect-creature flies closer and closer around the little girl's head, buzzing angrily. Her look of delight turns to fear. She tries to shoo the creature away. It flies off toward the thin membrane that encloses the city.
	Power Source!
	I'm sorry... I didn't know.
ZALTAR	It was my fault. You aren't old enough to use wand. I shouldn't have given it to you.
ALURA	the Power Source, Zaltar.
ZALTAR	couldn't be helped. The city will have to make do three.
ALURA	what will happen?
ZALTAR	Guardians will be angry. They may even me to the Phantom Zone. You see, I didn't have permission to borrow it. I must go to them...
	here George. It's the perfect spot. Nice view.
GEORGE	You sure are a good cook, Selena. Man, that looks pretty to eat.
SELENA	eat it quick. It won't look too pretty when it's covered with ants.
GEORGE	Selena, I've been thinking. It's time I settled I don't know a nicer lady to settle with than you.
	Why George, are you proposing?
GEORGE	me, Selena. The hardware store doesn't bring much now, but...
	George---I thought you'd never ask.
	What the heck is that?
	squirrel Frisbee?
	That's funny. I'd swear I know just what this is, I've never seen it before.
	Hey, where you going?
SELENA	got things to do.
GEORGE	about my proposal?
SELENA	me next week. Maybe we can have lunch.
	My truck!
	But Kara, you are too young to go.
	I am almost an adult. This is what I want.
	But Kara, no one has ever gone from here to The journey is dangerous.
KARA	was my fault we lost the Power Source.
ZOR-EL	ago. And it was Zaltar who stole it.
KARA	allowed it to escape the City.
ALURA	since we told you how your cousin Superman sent there as an infant, all you have wanted to do visit this place.
KARA	I do want to go. But someone must go. Our shows the Power Source has finally the Earth. It could destroy everything unless brings it back.
ZOR-EL	will return it.
KARA	haven't you been able to contact him? He should returned from the neutron galaxy ages ago. He be dead. what can you, a mere girl-
KARA	have super powers there. Like him. We can't wait. lights are fading. Look around you. When I was a the City was bright and shining. Look at it now.
ALURA	What do your teachers think?
TEACHER	It would be sad to lose one of our finest young ones the dimension barrier-- but the City cannot last much without the Power Source. It is her future she's for, Zor-El.
ZOR-EL	well, let it be done. embraces Kara emotionally, fighting back the tears. Kara too is struggling to control her own emotions.
	Don't worry, Mother, I'll be all right. I've studied transmissions from Earth. I know their customs.
	But they are such strange, unstable people.
KARA	Then I will learn to act strange like them.
KARA	I have made clothing and copies of their money, I be fine. father puts his hand on her shoulder .
ZOR-EL	Be brave, my .daughter. Be wise.
KARA	As brave as my father. As wise. it to powder in her hand, and blows the fine dust away with a blast of superbreath.
	Be careful. Nigel is going to try something.
SELENA	Don't worry about old Nigel, I can take care of him. just a sore loser.
MAN	I don't want much, Selena. I have simple tastes.
	do you want?
ELDERLY MAN	Europe.
SELENA	sorry, but I already promised Bianca she could Switzerland. You know how she loves to ski.
ELDERLY MAN	problem. She can have it. I hate mountains.
	up, Nigel. It's not the end of the world.
	It may well be. I know how you won that election You can't fool me.
SELENA	have plans Nigel. You could come with me... going places.
NIGEL	You're not going anywhere. Except back to nowheresville. too impatient, Selena. Look around you--all people have served years and years of apprenticeship. of their families have been in the Craft for generations. can't join and take over our whole organization in a few months.
	I just did. Because I have the Power.
NIGEL	You're going to pay a terrible price. The power of Shadow tricky. Use it too much and it takes over.
	taught me all! need to know. I'll be safe, as as I don't go too far.
NIGEL	
NIGEL	Sorry. Forgot you were trying to quit. snags a glass of champagne off the tray of a nearby waiter and sips it insolently.
	Nigel, get out of here. And don't come slithering shakes his head.
	You need me, Selena. I'm the only one who can save from a terrible fate.
SELENA	need you like an Eskimo needs a lawnmower. Now rubber.
	Make me.
	Balefire on you, Selena!
SELENA	You Scorpios can never take a joke. quests have fallen silent, staring at the altercation between the two of them.
NIGEL	You think you are on top now. Well there is someone to challenge you. I saw it in the cards this morning.
SELENA	him out.
	You won't last a year, Selena. The cards don't lie!
BIANCA	Let's not let one rotten apple spoil the party. I give you first woman in eight hundred years to head Circle: Selena!
	Thank you, sisters and brothers of the Craft. It is a honor you have given me, and I will try to be And when my secret plans are revealed -- will learn that we are on the threshold of and influence undreamed of when Nigel was leader.
SELENA	And now, ,I call upon the Great Mother--the spirit Nature --- to bless all our endeavors in the year...
MAN	this Nigel's doing?
	It's a warning, that's for sure.
ELDERLY MAN	Maybe it was just an accident.
SELENA	There's no such thing as an accident. Everything has if you can read the signs.
MAN	Then what does it mean??? shrugs and puts aside her cards.
	Don't ask me. I can't read the signs worth spit.
	Geeze, another barfy new student. They're really the bottom of the barrel these days.
MR. DANVERS	Don't you believe in knocking?
	yes. Knocking. The pre-entry signal. I forgot. gives her a strange look, does not put it down to smart-aleckyness, as he normally would.
DANVERS	can I do for you?
LINDA	Linda Lee. cousin wrote you.
. DANVERS	Wrote me?
	The letter's in your files. Under K, for Kent.
LINDA	I mean, it would probably be there, if you received it.
MR. DANVERS	Here it is. Oh...of course. You're the orphan. I'm so sorry your parents. We'll try to make you happy here.
DANVERS	...since your school records were lost in the fire, we'11 you out easy first. You'll have English, Latin, History, Art, Chemistry, Math, Biology Computing. Later on, you can add some electives. think we'll put you in "G" dorm. opens the door and ushers her into the dorm.
MONITOR	Man on the floor!
	Oh, MR. Danvers, come in and park it.
MR. DANVERS	Lucy, your roommate still home with anorexia?
	It wasn't anorexia. It was the food.
MR DANVERS	Linda, this is Lucy Lane. You can room with her. her around, Lucy; I believe you know her MR., uh, Kent. Lucy turns into a bundle of She grabs Linda's suitcase and leads into the room chattering away excitedly.
	Wow, you're Clark's cousin?? Fabuloso! Clark's a My sister Lois was a real nerd to let that one away. You'll love it here, we have a great dorm, really insane characters, I mean radical craziness...
	can do that.
LUCY	sweat. When's the rest of your stuff arriving?
	isn't any.
	is all your clothes?
	I have money to buy more, but I haven't had a since...
LUCY	what?? Did you have a fire at your house or
LINDA	rather not talk about it.
LUCY	not...an orphan are you?
LINDA	cousin Clark is my only relative on Earth.
LUCY	wow, I should've known. Me and my big mouth. Listen, can borrow any of my clothes you want. Any time.
	Thank you. You're very kind.
	I'm real sorry, Linda, I should've known it was tragic if you show up without a Here, try on this. And this.
	did that deliberately.
LUCY	a beast.
LUCY	you do that?
	Must've been a defective puck.
LUCY	Keep an eye peeled for Myra. She's out to get you.
	what for?
	She just hates anybody who isn't afraid of her.
	they in?
	Listen to the screams when I shut off the cold water.
	But, Myra, why don't you shut off the hot water and them an ice bath? If you shut off the cold it, scald them.
	So they lose a little skin. Serve 'em right.
DANVERS	Now, this is the kind of problem that used to take before the computer. It still takes a long without certain algorithms. Are you with us?
	Uh, yes, MR. Danvers.
	The answer is 5,271,009,010.
DANVERS	You may go, Linda. But try not to clown around in future.
	the car!
	I said stop, I didn't say run into a brick wall.
BIANCA	is it?
SELENA	Coffer of Shadow. Look at it.
SELENA	does it mean?
	The danger. The one Nigel spoke of. It must be near .
	fiddlesticks. What could be dangerous about a game?
BIANCA	
	It must be the girls. One of the girls.
BIANCA	which one?
	Drive on. We have already attracted enough
	We'll bide our time and keep watch. Young girls can't keep a secret. If one of them's up to find out.
BIANCA	then, like great cats---we pounce! And destroy!
	Bianca, try not to be so bloodthirsty when you're at wheel. OK?
BIANCA	mistress.
	Hey, Linda, you in there? Uh-huh. How much longer you gonna be? Not long. I'm cutting my hair.
	You're a maniac! Let me do it for you. You'll look awful.
	I can manage, thanks.
	I cut my own hair once. I looked so awful the only was to go totally punk!
	Your hair looks the same.
	It was just a trim.
	Hey guys, Gloria just got a package from home.
LUCY	in it?
	A hair dryer that makes popcorn!
LUCY	Pig-out time. Come on Linda.
	thanks. You go on.
LUCY	sure? it ever so humble, There's no place like my darling...
LINDA	Is it you? Where are you??? Argo City. Have you found the Power Source?
LINDA	this world is so big. I don't know where begin to look. Kara, be careful. There is some terrible evil force coming you. I can feel it. Keep to your disguise. Let no one who you are.
	But why? I have super powers. Nothing can hurt me. There are more powers in the universe than we know. more than we can imagine. Be careful, Kara. And home safely. pleasures and palaces Where'ere I roam, Be ever so humble, There's no place like home."
. DANVERS	Five billion, two hundred and seventy-one million, thousand, and ten.
DANVERS	No plans for the weekend, Linda?
	MR. Danvers.
DANVERS	Can't have you moping around the campus. Why don't come home with us for dinner?
	love to.
	Is he your entertainment for tonight?
SELENA	He will be. In about five minutes.
