CHARACTER	DIALOGUE
By	Dean Georgaris Based on the novel by Richard Condon and the screenplay by George Axelrod Daniel Pyne, August 18, 2003
Approximately sixty four hundred hours	before Desert Storm, we were on a routine recon inside Iraqi-controlled terrain, assessing troop strength for what Saddam Hussein promised to be the mother of all wars ... but turned out to be just a little warm up for the whomping he got a few years later. ... this way --? road less travelled. Marco is seemingly unflappable, completely engaged by life. down the highway for every Tom, Dick and Qadhafi to take a whack at. Laurent swings his finger on the arc of approach. LAURENT And here. And here, here, here, here --
Dammit.	refers to some satellite surveillance maps -- contractors to do the work in '86, as part of their asset security program. Hired an Iraqi firm, in fact, who, now, well -- only they know where the little Nordic fuckers are planted. Sgt. Shaw! response. we RUSH TOWARD: A SOLDIER IN A LAWN CHAIR, face lifted Sergeant.
Yes sir.	RAYMOND I'll "rally" the troops. hatch it? -- CPL. AL MELVIN grunts, then they all look up, almost in Beat. He shuts the door again. He shifts his shoulders, walks back into the darkness. the other enlisted personnel? MARCO Maybe I enjoy your company, Sergeant. special treatment because of my mother's position -- member of the Lucky Sperm Club your benefits include unlimited suck-up from High-ranking Officers hoping to curry Congressional favor for their future career moves. But. If you want to ride in the Bradley, hey, I got no objections. Trust me, sir, I don't wish to ride in the Bradley with the others, I'm just ... The men don't care for me very much. you don't really like them, either. Marco follows Laurent's gaze out the side window -- hardware rat-fucked by a coupla used Toyotas. He grabs a fire extinguisher and aims it at flames flaring MARCO THE HUMMER - SAME TIME -- careens suddenly away, exposing a 22 ANOTHER ENEMY WITH A ROCKET LAUNCHER -- slides around an 23 their heads -- Were you scared? THICK DARK SMOKE momentarily blankets the road. Silence.
Scared?	You don't really have time to be scared. Uneasy rustling of an o.s. audience. Somebody coughs. An -- the Bradley, in flames. -- the Hummer, on its side in the ditch, headlights aglow -- temporarily deaf from the explosion of the Bradley ... -- SOLDIERS WITH GAS MASKS lean out of the open doors of the WITH MARCO -- his shirt pulled up over his mouth and nose, -- and tries to pull him to safety ... knees buckling ... he MARCO'S P.O.V. - THE HUMMER -- is no longer stalled on its 29 own life and safety, Sgt. Shaw single- handedly engaged an entire company of the enemy -- Sgt. Shaw repeatedly attacked from a mobile position, confounding the enemy -- Nam, Raymond Shaw was awarded the Congressional Medal of Honor. I signed the recommendation myself. A hand shoots up. Marco nods toward it. ANOTHER SCOUT concussion -- lost focus -- Sgt. Shaw took command -- A disheveled man comes into the back of the room noisily, as:
The Medal of Honor is the highest award	to which any soldier can aspire. From the jungles of Iwo Jima to the desert of Kuwait, what these brave men I've talked about today did will never be forgotten. Since 1917, only 827 medals have been given to a total of more than 30 million Americans in arms. Only three have been awarded in the last 40 years. Who knows? Maybe someday one of you fine boys will earn one yourself in defense of this great nation. A SCOUTMASTER, thin, bearded, stands up: 488 -- just like to thank you, for coming to talk to us, about the Medal of Honor, and your interesting experiences in the Armed Services. MARCO claimed the Army as a trade ever since a young gunnery officer who grew up with Hernando De Soto left Spain for a look at the upper Mississippi. My life is in service to my country. Something causes Marco to hesitate. Then, as if he'd rehearsed it: He sits down. Spattering of polite applause.
Major Marco.	Marco turns, stares blankly into the eyes of the bedraggled- From your unit. Desert Storm. Marco stares hard. Melvin looks like a homeless guy, his I have these dreams, Major. MELVIN Baker. Raymond Shaw. See, I remember it happened the way you just said. And then I don't.
Well, we had a pretty rough time over	there, Al, it was hairy, and -- it was a long time ago, now. Memories shift. Marco stares at him. face falls, disappointed. Fumbling in his clothes, write it down, every night, after I wake up, I try to get it all -- it doesn't always go together -- all of what I can remember, and -- -- Al, you know, maybe you should be going to the VA and talking to a doctor, I mean if these dreams are really -- notebook DROPS BETWEEN THEM, and PAGES SCATTER on the Shaw saving us, but it does not make sense -- it should have been you. And Shaw, he -- We've got to move on -- -- Marco rocks back on his heels as he stares down at a maybe, if you had the dreams ... You need money --?
No. No sir.	Self-conscious (people are staring) Melvin shoves the
-- here --	Marco already digging for a crumpled twenty. Melvin waves It was great seeing you. And good luck to you. Melvin just scowls sadly at Marco. Flash of glass, a door Marco stops, looks at her blankly. longer. I'm worried about you. He takes the romance novels out of his grocery bag and hands longer. I'm worried about you. He takes the romance novels out of his grocery bag and hands
None of these involve slave traders or	sheiks, Abby. I checked. What do I owe you? A smile. She does.
