CHARACTER	DIALOGUE
LONG SHOT	The quadrangle of Army buildings is quiet and deserted. A SIX MONTHS BEFORE PEARL HARBOR
MEDIUM SHOT	A small thin soldier in an undershirt and fatigue pants backs
MAGGID	Fine way to pass the time. Good for the mind.
PREW	Hello, Maggio.
MAGGIO	Prew...?
PREW	I transferred out of Fort Shatter.
Maggio notices the marks on the sleeves where the stripes	
MAGGIO	You quit the Bugle Corps...? Prew nods. Maggio jerks his head toward the sign.
MAGGIO	To here...?
PREW	That's what the orders say.
MAGGIO	You made a bad mistake. This outfit they can give back to Custer.
MAGGIO	The Captain ain't in yet.
PREY	I'll look around.
MAGGIO	Maybe we borrow some money from a twenty per cent man and take a real trip to town some night.
PHEW	Maybe.
TRUCKING SHOT ALONG COMPANY STREET	
MEDIUM SHOT	The Dayroom has a pool table, ping-pong table, a radio, etc.
MEDIUM CLOSE SHOT	The triangle of balls is already racked on the table. Prew What're you think you're doing!? Why ain't you out in the field with the Compny? What's your name?
PREW	Prewitt. Transfer from Shafter.
WARDEN	Yeah. I heard about you.
PREW	I heard about you, too, Warden.
WARDEN	Well, put up that cue and come along. This here's a rifle outfit, Prewitt. You ain't suppose to enjoy yourself before sundown. The Man's very particlar about little things like that.
TRUCKING SHOT	as Prew and Warden walk along the porch, Warden a few paces
MEDIUM SHOT	as Prew and Warden enter. Maggio is sweeping the room.
WARDEN	Mazzioli! Grant went to the hospital yesterday. Did you make up his sick record? Did you make a note for the morning report?! You're the Compny Clerk. The lousy Sickbook is your job!
MAZZIOLI	Those medics didn't get the Sickbook back till late yesterday -- I'll tend to it right now --
WARDEN	Thanks. I already done it for you.
ANOTHER ANGLE	Maggio has swept his way over to Prew. He stops sweeping now,
MAGGIO	But you the beat bugler they got over at Shatter. You probly the best on this whole Rock.
PREW	That's true.
MAGGIO	Well, friend, I feel for you. But from my position I can't quite reach you.
WARDEN	Ten-sh-HUT!
HOLMES	At ease. Good morning, men. Anything special this morning, Sergeant Warden? I've only a few minutes.
WARDEN	New man here, sir.
HOLMES	Oh, yes. Bring him in. Holmes goes into his office. Warden jerks his thumb toward
PREWITT	Sir, Private Robert E. Lee Prewitt reporting to the Compny Commander as ordered.
HOLMES	At ease. They sent your service record over... Twenty-two years of age... born in Kentucky... enlisted first at Fort Myer, Virginia... Bugle Corps... re-enlisted for overseas duty... Fort Shafter... First Bugler... Prewitt, I always make it a policy to talk to my new men. It's important for an officer and his men to understand each other. Now I have a fine smooth-running outfit.
ANGLE FEATURING WARDEN	Holmes cannot see Warden who is grinning at Prewitt with
HOLMES	Plenty of room for advancement for a man who knows how to soldier. But he's got to show me he's got it on the ball. I don't know what you've been used to in the Bugle Corps, but in my outfit we run it by the book. What kind of trouble were you in over there?
PREW	No trouble, sir.
HOLMES	What made you transfer out, then?
PREW	It's a personal matter, air.
HOLMES	Oh. I see...
HOLMES	Something you wanted to ask, Sergeant?
WARDEN	Who? Me? Whv, yes, air. You had Corpral's stripes in the Bugle Corps, Prewitt. You took a bust to buck Private to transfer to an Infantry Compny. Why? Because you like to hike?
PREW	I dint have no trouble if that's what you mean.
WARDED	Or was it just because you couldn't stand to bugle?
PREW	It was a personal matter.
WARDEN	That's up to the Compny Commander's discretion to decide.
PREW	All right. I was First Bugler at Shafter for two years. The topkick had a friend who transferred in from the states. Next day he made him First Bugler over me. And you asked out on account of that!?
PREY	Maybe I just ain't sensible... But that's the reason.
WARDEN	His feelings were hurt! Kids they send us now!
HOLMES	I've got a mighty sour Company Bugler here... but I suppose you wouldn't want that job.
PREY	No, air.
HOLMES	Well, we'll get your stripes back for you, maybe an extra one for good measure. You know why you were sent over here when you requested transfer?
PREW	No, sir.
HOLDS	I pulled a few strings. I'm the Regimental Boxing Coach, Prewitt. I saw your fight with Connors in the Bowl year before last. With any luck you should have won it. I thought for a while, in the second round, you were going to knock him out.
PREW	Thank you, sir.
MEDIUM CLOSE SHOT HOLMES	My Regiment got beaten last year in the finals, as you know. But I mean to win this year. And I will. All I've needed was a top middleweight. Next year I'll hang your picture up there with the others, my boy.
PREW	I'm sorry, air. But I quit fighting.
HOLMES.	Quit fighting? When? What for?
PREW	I just stopped, sir... After -- Maybe you heard about what happened...
HOLMEB	You mean that fallow you hurt -- the one that went blind?
CLOSE SHOT PREW	Prew's lips are drawn tight. He nods almost imperceptibly.
MEDIUM SHOT	During this shot Maggio can be seen in b.g. through door to
HOLMES	Yes, it's too bad about that. I can understand how you feel. But those things happen in this game. A man has got to accept that possibility when he fights.
PREW	That's why I decided I would quit, sir.
HOLMES	But on the other hand, look at it this way. What if all fighters felt like that?
PREW	They don't.
HOLMES	Would you have us disband our fighting program because one man got hurt?
PREW	No, sir. I dint say --
HOLMES	You might as well say stop war because one man got killed. Our fighting program is the best morale builder we have off here away from home.
PREW	I don't want it disbanded, sir. But I don't see why any man should fight unless he wants to.
HOLMES	It looks to me like you're trying to acquire a reputation as a lone wolf, Prewitt. You should know that in the Army it's not the individual that counts. If a man wants to get ahead he has certain responsibilities to fulfill that go beyond the regulations. It might look as though I were a free agent, but I'm not. Nobody is.
HOLMES	Maybe you'll change your mind. In the meantime just don't make any mistakes in my outfit. I've got to go into town. Is there anything else for me today, Sergeant?
WARDEN	Yea, sir! The Compny Pond Report's got to be made out. It's due TOMORROW --
HOLMES	You make it out. Is that all?
WARDEN	No, sir!
HOLMES	Well, whatever it is, you fix it. If there's anything that has to go in this afternoon, sign my name. I won't be back.
WARDEN	He'd strangle on his own spit if I weren't here to swab out his throat for him. Come on. I'll show you the Supply Room.
MEDIUM SHOT	as Prew and Warden enter and walk through. Maggio bobs his
MEDIUM SHOT WARDEN AND PREW	as they come out of the Orderly Room. Prew hoists his
WARDEN	Know what you did just now? When you turned down Dynanite Holmes' boxing squad? You put your head in a noose. Things are soft for a boxer in his Compny. Otherwise, you better know how to soljer.
PHEW	I can soljer with any man.
WARDEN	This ain't the Bugle Corps -- this is straight duty.
PREW	I'll take my chances.
WARDEN	be the Royal Hawaiian?
PREW	Who's she?
WARDEN	His wife. Captain Holmes'.
WARDEN	You'll fight, Prewitt. You'll fight because Captain Holmes got a bee in his hat he needs a winnin team to make Mayor. And if you don't do it for him you'll do it for me. I only been in this outfit eight months myself but I learned one thing. My job is to keep him happy. The more he's happy the less he bothers me and the better I run his Compny. So we know where we stand, don't we, kid?
PREW	I know where I stand. I don't believe that's the only way a man can get along. A man's got to make up his own mind and go his own way. It he don't, he's nothin...
WARDEN	Maybe back in the days of the pioneers a man could go his own way. But not in our time, kid. Today you got to play ball. You got to divide it all by two.
MEDIUM SHOT SHOOTING INTO SUPPLY ROOM	
WARDEN	Lava! Can't I once walk by this Supply Room and find you workin with both hands!
LEVA	I can't do no better on what you people pay me.
WARDEN	Draw some supplies for this man. That's G Compny barracks over there. Get rid of your bags and come back here, and Leva'll find you a cart to lug your stuff over in. Save you makin four five trips.
PREW	Okay.
WARDEN	I just hate to see energy wasted. Any kind. Besides, you'll be needin yours.
MEDIUM CLOSE SHOT WARDEN AND LEVA	
LEVA	Her and them sweaters.
LONG SHOT KAREN FROM WARDEN AND LEVA'S POV	
WARDEN'S VOICE	Army women... They're cold, they got no more warmth than a diamond. There's no pleasure in them...
LEVA'S VOICE	Yeah, but this one knows the score... Like I been tellin you.
WARDEN'S VOICE	Is that right?
LEVA'S VOICE	Okay, not around here. But I was back at Fort Bliss with Holmes. When they was married only a year or two. I heard plenty about the lady then. Plenty.
WARDEN'S VOICE	You heard.
LEVA'S VOICE	Okay, never me. But a lot of them. I know some of the Use she played 'around with, don't tell me.
WARDEN'S VOICE	I ain't tellin you. You're tellin me.
KAREN	Good morning, Sergeant.
MEDIUM SHOT	
KAREN	I'm looking for my husband.
WARDEN	Captain Holmes just went in town, ma'am.
KAREN	Oh. Of course, He was to have left some things for me. That he was to have purchased. Do you know anything about them?
WARDEN	No, ma'am, I don't. Is there anythin I can do for you?
KAREN.	No, thanks, Sergeant.
KAREN	He's been telling me quite a bit about you lately. My husband. He says you're very efficient.
WARDEN	Yes, ma'am.
KAREN	What is it that makes you so efficient, Sergeant?
WARDEN	I couldn't help it if I was born smart, ma'am.
KAREN	I love that. Well, good-bye, Sergeant.
LEVA	But man, she sure is one, ain't she?
WARDEN	One what?
LEVA	One woman.
WARDEN	I've seen better.
HOLMES	I'm sorry I'm so late. And about dinner, I --
KAREN	It doesn't matter.
HOLMES	-- I got tied up with General Slater. Bumped into him at the Officers' Club.
KAREN	Yes? What did the General have to say?
HOLMES	Success, he said. Success in war, success in peacetime... And not a word about my promotion... There are times I think the Old Man's just waiting to ship me down... I've had a bad day all around... started right off this morning... trouble with a new man...
KAREN	If you'd spend less time buttering Generals and more time with your Company, maybe you'd get that promotion.
HOLDS	The Company takes care of itself. Or my Topkick takes care of it.
KAREN	I went over there this morning looking for you.
HOLMES	I had some business to attend to in town. During the afternoon.
KAREN	From the way you look I gather your business wasn't too successful.
HOLMES	Now what does that mean?
KAREN	Dana. Give me credit for a few brains.
HOLMES	How many, times do I have to tell you I haven't any other women before you'll believe me?
HOLMES VOICE	If it were so, don't you think I'd admit it? The way things are between us now? What right have you to always be accusing me?
KAREN	What right?
TWO SHOT	They are both tense now. Holmes is out of the chair and
HOLMES	That again. How long will it be, I wonder, before I'm allowed to live that down? After eight years, how many times do I have to tell you It Was An Accident?
KAREN	That makes it all right, I suppose!
HOLMES	I didn't say that. I know what it's done to you, but --
KAREN	You know I hate to talk about it!
HOLM ES	How many times do I have to tell you I'm sorry, about that? How many times that I had no way of knowing -
KAREN	You had a way of knowing, Dana. I want to go to bed. Please get out of my bedroom.
MEDIUM SHOT WARDEN	The room is fairly well filled with soldiers. The click of
FULL SHOT AT POOL TABLE	Maggio, Prew and CHIEF CHOATE, a Corporal, are playing pool.
CHOATE	I'm coldern a Idaho winter tonight.
MAGGIO	Man, what I would not give to have this character in the corner poolroom in my home town: I'd dress him up on overhalls and a straw hat and put a grass in his teeth, and I would make a whole mint of ghelt off him!
WILSON	We'd of won last year if we had a good middleweight. You box as good as you used to over at Shatter we're a cinch this year.
THORNHILL	You ain't forget the Division champs get ten day furloughs, did you, son? Ey?
GALOVITCH	You no talk now, Prewitt. But out in field with us you sing different song. An don't think you are tough guy. Quickest way to stockade is BEING TOUGH guy.
HENDERSON	You heard him. Better think it over. Lissen, it's his right not to fight if he don't want. Without bein kicked around. Now, we playin pool. Whyn't you take off?
DHOM	You want a busted head, Maggio?
MAGGIO	No.
DHOM	Then keep your big nose out altogether. Trainin season starts next week --
PREW	I told you I quit fightin! I'm through! An that's all she wrote: You guys want to put the screws on, go ahead. I can take anything you hand out!
DHOM	Okay, Prewitt. No halts barred.
MEDIUM CLOSE SHOT WARDEN	His paper still on his lap. He has been watching. He wears a
PREW	Thanks.
MAGGIO	I just hate to see a good man get it in the gut.
CHOATE	You might as well get use to it, kid. You probly be seein it often before you die.
MEDIUM SHOT PREW AND CHOATE	In b.g. a few of the men are moving to and from the latrine
CHO ATE	... oh, sure, we got a few bad non- coms and we got Dynamite Holmes for a Captain. But I been around twenty years in this Army. They even up.
CHOATE	Take A Compny. They got the best Compny Commander I ever saw. But their Topkick -- he ain't no Warden.
WARDEN	Hello, kid. Everythin nice and comfy?
PREW	Never better.
WARDEN	'at's the lull before the storm, kid. Set yourself.
PREW	What's the deal with him, anyway? I can't figure him.
CHOATE	The Warden? He's a wild man. He was in the 15th when they seen their action in the Settlement in Shanghai. I heard about it down in the Philippes even. He got himself a DSC and a Purple Heart out of it but you'd never know it if I dint tell you. This next war comes, Warden'll be right in there, standin up on the skyline, trio to get himself killed, but nothing will ever touch him. He'll come through maddern, wildern, craziern ever. All I know is he's the best soljer I ever saw...
TRUCKING SHOT PLATOON OF MEN	carrying rifles, marching at attention. Prew is FEATURED in
CLOSE SHOT FEET OF MEN MARCHING	They are in perfect unison.
DHOM'S VOICE	Prewitt! Get in step, Prewitt!
GALOVITCH'S VOICE	Prewitt! Dis a drill, not picnic! Get in step! Prew hops again, changing step. He marches along. Dhom's
DHOM	Prewitt! Step out!
DHOM	You march like a drunk gooney bird! Corpral Paluso! Take this man to the track. Send him 'round seven laps double-time rifle at high port!
