CHARACTER	DIALOGUE
EXTREME CLOSE ON A CELL PHONE	resting face up on a black surface. A beat of silence -- is a pad and pen we now discover to the left of the phone. The hand picks up the pen, brings it to the pad, on which we find conference room. Amber sconces illuminate an enormous table, empty save for & YOUNG MAN at the far end - a lonely figure hunched over a laptop. Steadily tighten on JONATHAN MESSER (late 20s), trim build not entirely at ease in a suit. Likeable features suggest a gentle, intelligent demeanor. Grids of numbers from the laptop screen reflect off his of YOUNG MEN AND WOMEN at work are blurred like photos out of
JONATHAN	Do-you have tomorrow's Times yet? The grizzled OLD MAN behind the counter doesn't look up.
OLD MAN	It is tomorrow.
JONATHAN	Right. I forgot. The Old man grudgingly bends to cut the plastic on a fresh stack of newspapers. As he does, Jonathan glances at numerous
OLD MAN	Anything else?
JONATHAN	Uh - no. No that's it, thanks. floor marked by unlit neon: "FLEURS DE SOLANGE." He ascends the steps, his keys out --
WOMAN'S VOICE (O.S.)	Jonathan! The voice from nowhere startles him - he spins to find SOLANGE (50), a vibrant Haitian woman with a thick accent,
JONATHAN	Solange, you're up so late?
SOLANGE	So early, Jonathan. We open in one hour. So tell me, you have been out with a lady friend, oui? Je suis desole, madame, mais no.
SOLANGE	But why else does a young man come home at such an hour?
JONATHAN	Just working late, that's all.
SOLANGE	Every night working late, working late. Ah, you can't fool me. You are Mister Mischief maker - I know this! You come by
SOLANGE (CONT'D)	later and pick out something for your lady friend, oui?
Not much decoration other than a dated Jimmy Connors poster	channels on a small TV. Typical late night stuff: infommercials; CNN; a Brazilian soccer match; "Channel J" (public access) on which X-rated clips advertise phone sex.
JONATHAN (0.S.)	Excuse me. Fixing his coffee, Jonathan reaches past them. They barely
LAWYER 1	So, the Knicks win last night?
LAWYER 2	I'm pretty sure, yeah.
JONATHAN	Actually, they lost by 4. Both pause, turn to Jonathan. Jonathan smiles awkwardly.
JONATHAN	It was supposed to be a good game though.
LAWYER 1	Oh. Hey, so. did you get a chance to look over that memo from Watkins?
