M	CHARACTER	DIALOGUE
M	DR. EVIL	Gentlemen, are we all here? Good. As you know, my plot to high- jack nuclear weapons and hold the world hostage has failed. Again. This organization will not tolerate failure.
M	DR. EVIL	Mustafa...
M	DR. EVIL	Frau Farbissina...
M	DR. EVIL	I spared your lives because I need you to help me rid the world of the only man who can stop me now. We must go to London. I've set a trap for Austin Powers!
M	AUSTIN	Alright, luv! Love it! Turn... pout for me baby. Smashing!
M	AUSTIN	Crazy baby. Give me some shoulder. Yes! Yes! Yes! No. No. Show me love. Yes! And... done. Here you go, luv. I'm spent.
M	AUSTIN	Get these off to Fab Magazine right away.
M	SUPERMODEL 1	Austin, you've really outdone yourself this time.
M	AUSTIN	Thanks, baby.
M	SUPERMODEL 2	We could have another photo session back at my flat.
M	AUSTIN	Oh, behave!
M	SUPERMODEL 3	Austin, I love you!
M	AUSTIN	So many women, so little time.
M	MOD GIRL 1	It's Austin Powers!
M	AUSTIN	Judo chop! Judo chop!
M	AUSTIN	You might want to protest a bit louder next time, luv.
M	AUSTIN	Hello, Mrs. Kensington.
F	MRS. KENSINGTON	Hello, Austin
F	MRS. KENSINGTON	That'll be Basil Exposition, Chief of British Intelligence.
M	BASIL EXPOSITION	Hello, Austin. This is Basil Exposition, Chief of British Intelligence. You're Austin Powers, International Man of Mystery, and you're with Agent Mrs. Kensington. The year is 1967, and you're talking on a picture phone.
M	AUSTIN	We know all that, Exposition.
M	BASIL EXPOSITION	I just wanted to be extremely clear so that everyone knows what's going on at any given time. We've just received word that Dr. Evil, the ultimate square, is planning to take over the world.
M	AUSTIN	Dr. Evil? I thought I put him in jail for good.
M	BASIL EXPOSITION	I'm afraid not. Earlier this week, Dr. Evil escaped from Zedel Edel Prison in Baaden Baaden and now he's planning a trap for you tonight at the Electric Psychedelic Pussycat Swinger's Club in Picadilly Circus here in swinging London.
M	AUSTIN	Just where you'd never think to look for him. We'll be there.
M	BASIL EXPOSITION	Good luck, Austin.
M	AUSTIN	Thank you.
M	BASIL EXPOSITION	Oh, and Austin...
M	AUSTIN	Yes?
M	BASIL EXPOSITION	Be careful.
M	AUSTIN	Thank you. Let's go, baby!
M	MICK JAGGER	Hey Austin Powers, it's me, Mick Jagger.
M	AUSTIN	Hey, Mick!
M	MICK JAGGER	Are you more satisfied now sexually, Austin?
M	AUSTIN	Well, you can't always get what you want.
M	MICK JAGGER	"You can't always get what you want!" That's a great title for a song! I'm gonna write that, and it'll be a big hit.
M	AUSTIN	Good on ya, man.
M	MICK JAGGER	Groovy!
M	ANDY WARHOL	Austin Powers? Hi, I'm Andy Warhol.
M	AUSTIN	Hey, how are you?
M	ANDY WARHOL	Hungry.
M	AUSTIN	Here, have this can of Campbell's Tomato Soup.
M	ANDY WARHOL	I'm going to paint this can of soup and become famous and not give you any credit for it.
M	AUSTIN	If you can become famous, everyone will have their fifteen minutes of fame, man.
M	ANDY WARHOL	"Fifteen minutes of fame?" I'm going to use that quote and not give you any credit for that, either.
M	AUSTIN	Smashing!
M	QUEEN	Austin Powers, Britain owes you a debt of gratitude.
M	QUEEN	I understand you were wounded. Where were you hit?
M	AUSTIN	In the but-tocks.
M	QUEEN	That must be a sight. I'd kind of like to see that.
M	QUEEN	Nice buttocks.
F	MRS. KENSINGTON	We've got to find Dr. Evil!
M	AUSTIN	Wait, I've got an idea.
M	EVERYONE	Ohhh!
F	MRS. KENSINGTON	Austin, why in God's name did you strike that woman?
M	AUSTIN	That ain't no woman! It's a man, man. It's one of Dr. Evil's assassins.
M	AUSTIN	Where's Doctor Evil?
M	AUSTIN	I've got you again, Dr. Evil!
M	DR. EVIL	Not this time. Come, Mr. Bigglesworth! See you in the future, Mr. Powers!
F	MRS. KENSINGTON	My God! He's freezing himself.
M	DR. EVIL (V.O.)	I'll be back, Mr. Powers, when free love is dead, and greed and avarice once again rule the world.
M	RADAR OPERATOR	Commander Gilmour?
M	RADAR OPERATOR	Commander, this is Slater in SoWest Com Three. We have a potential bogey with erratic vectoring and an unorthodox entry angle.
M	COMMANDER GILMOUR	Is it one of ours?
M	RADAR OPERATOR	No. Log Com Bird Twelve says its metalurg recon analysis is a standard alloy, not stealthy, not carbon- composite. It does have an odd shape, sir.
M	COMMANDER GILMOUR	What are you saying, son?
M	RADAR OPERATOR	It appears to be in the shape of Bob's Big Boy, sir.
M	COMMANDER GILMOUR	Oh my God, he's back.
M	RADAR OPERATOR	In many ways, Bob's Big Boy never left, sir. He's always offered the same high quality meals at competitive prices.
M	COMMANDER GILMOUR	Shut up.
M	RADAR OPERATOR	Should we scramble TacHQ for an intercept?
M	COMMANDER GILMOUR	What's its current position?
M	RADAR SCREEN	It was over Nevada, but... oh my God! It's gone!
M	COMMANDER GILMOUR	Listen son, I want you to forget what you saw here tonight.
M	RADAR OPERATOR	Commander, I have to log it...
M	COMMANDER GILMOUR	That's a direct order. You didn't see a thing!
M	COMMANDER GILMOUR	Philips.
M	COMMANDER GILMOUR	Call the President
M	COMMANDER GILMOUR	Prepare the jet...
M	COMMANDER GILMOUR	Get my overnight bag.
M	COMMANDER GILMOUR	Philips, do me a favor and feed my fish.
M	COMMANDER GILMOUR	Not too much!
M	COMMANDER GILMOUR	I'm going to London, England.
M	BASIL EXPOSITION	As you know, gentlemen, Dr. Evil had himself frozen in 1967. Soon after, Austin Powers volunteered to have himself frozen, in the event Dr. Evil should ever return. We believe Dr. Evil has begun yet another plot to take over the world. And that, gentlemen, is why we're here.
M	COMMAND GILMOUR	Outstanding re-cap, Exposition.
M	BORSCHEVSKY	Who is this Austin Powers? Is he a British operative?
M	BASIL EXPOSITION	No, he worked freelance, an internationally renowned swinging photographer by day and the ultimate gentlemen spy by night.
M	FEMALE ANNOUNCER	Attention, Stage One, laser cutting beginning.
M	FEMALE ANNOUNCER	Laser cutting complete. Stage Two, warm liquid goo phase beginning.
M	FEMALE ANNOUNCER	Warm liquid goo phases complete. Stage Three, reanimation beginning.
M	FEMALE ANNOUNCER	Reanimation complete. Stage Four, cleansing beginning.
M	FEMALE ANNOUNCER	Cleansing complete. Stage Five, evacuation beginning. Evacuation com...
M	FEMALE ANNOUNCER	Evacuation... Complete! The cryogenic state of Austin Powers is now completed.
M	AUSTIN	Where am I?
M	BASIL EXPOSITION	You're in the Ministry of Defense. It's 1997. You've been cryogenically frozen for thirty years.
M	AUSTIN	WHO ARE THESE PEOPLE?
M	BASIL EXPOSITION	The shouting is a temporary side- effect of the unfreezing process.
M	AUSTIN	Yes, I'm having trouble controlling... THE VOLUME OF MY VOICE!
M	BASIL EXPOSITION	You might also experience a slight fever, dry mouth, and flatulence at moments of extreme relaxation. Austin, this is Commander Gilmour, Strategic Command, and General Borschevsky, Russian Intelligence.
M	AUSTIN	Russian Intelligence? Are you mad?
M	BASIL EXPOSITION	A lot's happened since you were frozen, Austin. The cold war's over.
M	AUSTIN	Thank God. Those capitalist dogs will finally pay for their crimes against the people, hey Comrades?
M	BASIL EXPOSITION	We won, Austin.
M	AUSTIN	Groovy. Smashing! Good on ya! Nice tie. Yea capitalism!
M	COMMANDER GILMOUR	Mr. Powers, the President's very concerned. We've got a madman on the loose in Nevada.
M	BASIL EXPOSITION	It's Dr. Evil.
M	AUSTIN	When do I begin?
M	BASIL EXPOSITION	Immediately. You'll be working with Ms. Kensington.
M	AUSTIN	You mean Mrs. Kensington?
M	BASIL EXPOSITION	No, Austin, Mrs. Kensington has long- since retired. Ms. Kensington is her daughter.
M	BASIL EXPOSITION	Vanessa's one of our top agents.
M	AUSTIN	My God, Vanessa's got a smashing body. I bet she shags like a minx. How do I tell them that because of the unfreezing process, I have no inner monologue? I hope I didn't say that out loud just now.
F	VANESSA	Mr. Powers, my job is to acclimate you to the Nineties. You know, a lot's changed since 1967.
M	AUSTIN	Well, as long as people are still having promiscuous sex with many anonymous partners without protection, while at the same time experimenting with mind-expanding drugs in a consequence-free environment, I'll be sound as a pound.
F	VANESSA	My mother's told me all about you.
M	AUSTIN	If it's a lie, goddamn her. It it's the truth, goddamn me. God, I hope that's witty. How's your mum?
F	VANESSA	My mother's doing quite well, thank you very much.
M	BASIL EXPOSITION	Yes, well...Agent Kensington will get you set up. She's very dedicated. Perhaps, a little too dedicated. She's got a bit of a bug up her ass. Good luck, Austin, the world's depending on you.
M	AUSTIN	Thank you, Exposition.
M	BASIL EXPOSITION	Oh, and Austin...
M	AUSTIN	Yes?
M	BASIL EXPOSITION	Be careful.
M	AUSTIN	Thanks.
F	VANESSA	Let's gather your personal effects, shall we?
M	CLERK	Danger Powers, personal effects.
M	AUSTIN	Actually, my name's Austin Powers.
M	CLERK	It says here, name Danger Powers.
M	AUSTIN	Danger's my middle name.
M	CLERK	OK, Austin Danger Powers: One blue crushed-velvet suit. One frilly lace cravat. One gold medallion with peace symbol. One pair of Italian shoes. One pair of tie-dyed socks, purple. One vinyl recording album: Tom Jones, Live at Las Vegas. One Swedish-made penis enlarger pump.
M	AUSTIN	That's not mine.
M	CLERK	One credit card receipt for Swedish- made penis enlarger pump, signed Austin Powers.
M	AUSTIN	I'm telling you, baby, that's not mine.
M	CLERK	One warranty card for Swedish-made penis enlarger pump, filled out by Austin Powers.
M	AUSTIN	I don't even know what this is. This sort of thing ain't my bag, baby.
M	CLERK	One book: Swedish-Made Penis Enlarger Pumps and Me: This Sort of Thing Is My Bag, Baby, by Austin Powers.
M	AUSTIN	OK, OK, man, don't get heavy, I'll sign. Just to get things moving, baby.
F	VANESSA	Listen, Mr. Powers, I look forward to working with you, but do me a favor and stop calling me baby. You can address me as Agent Kensington. We have to leave immediately. We've preserved your private jet just as you left it. It's waiting at Heathrow Airport.
M	AUSTIN	My jumbo jet? Smashing baby.
M	AUSTIN	Pretty groovy Jumbo Jet, eh? How does a hot chick like you end up working at the Ministry of Defense?
F	VANESSA	I went to Oxford and excelled in several subjects, but I ended up specializing in foreign languages. I wanted to travel -- see the world. In my last year I was accepted into the M.O.D. in the Cultural Studies sector. I thought I was off on an exciting career, but my job was to read everything printed in every country. It's very boring. My whole day is spent reading wedding announcements in Farsi. If I do well with this case, I finally get promoted to field operative...
M	AUSTIN	That's fascinating, Vanessa. Listen, why don't we go into the back and shag?
F	VANESSA	I beg your pardon?
M	AUSTIN	I've been frozen for thirty years, man, I want to see if my bits and pieces are still working.
F	VANESSA	Excuse me?
M	AUSTIN	My wedding tackle.
F	VANESSA	I'm sorry?
M	AUSTIN	My meat and two veg.
F	VANESSA	Mr. Powers, please. I know that you must be a little confused, but we have a very serious situation at hand. I would appreciate it if you'd concentrate on our mission and give your libido a rest.
M	AUSTIN	Have you ever made love to a Chigro?
F	VANESSA	A Chigro?
M	AUSTIN	You know, a Chigro... part Chinese, part Negro... Chigro.
F	VANESSA	We don't use the term 'Negro' anymore. It's considered offensive.
M	AUSTIN	That's right. You're supposed to say 'colored' now, right? Here's the stewardesses! Bring on the sexy stews!
M	FLIGHT ATTENDANT	Excuse me, did you say 'stewardess'? We're called 'flight attendants' now, thank you very much.
M	AUSTIN	Oh, I get it, it's like 'I'm not a whore, I'm a sex worker', baby.
M	FLIGHT ATTENDANT	My name is Mrs. Wilkenson. There are a few things we need to discuss. First of all, we're not wearing these.
M	FLIGHT ATTENDANT	Also, I have some questions about the itinerary. It says here, '4:30 - Dinner, 5:30 - Everyone Gets Naked and Covered with Baby Oil, 6:00 - Orgy'?
M	AUSTIN	Seems pretty straightforward, don't you think...listen darling, I think you're a fabulous bird. Can I get your telephone number?
M	FLGHT ATTENDANT	Sure, it's easy to remember. It's 777-FILM. We have to prepare the craft for take-off now.
M	AUSTIN	Smashing! When we land I'll give you a tinkle on the telling bone.
M	AUSTIN	Brrrr! She must be frigid. There's two things I know about life: one, Americans will never take to soccer. Two, Swedish girls and stewardesses love to shag! They're shag-mad, man! Let me ask you a question, Vanessa, and be honest.
F	VANESSA	Sure.
M	AUSTIN	Do I make you horny?
F	VANESSA	What?
M	AUSTIN	Do I make you horny? Randy, you know. To you, am I eros manifest?
F	VANESSA	I hope this is part of the unfreezing process.
M	AUSTIN	Listen, Vanessa, I'm a swinger... That's what I do, I swing.
F	VANESSA	I understand that, Mr. Powers, but let me be perfectly clear with you, perhaps to the point of being insulting. I will never have sex with you, ever. If you were the last man on Earth and I was the last woman on Earth, and the future of the human race depended on our having sex simply for procreation, I still would not have sex with you.
M	AUSTIN	What's you point, Vanessa?
M	COMPUTER VOICE	You've got mail!
M	BASIL EXPOSITION	Hello Austin. Hello Vanessa. This is Basil Exposition, from British Intelligence. There's a company in Las Vegas called Virtucon that we think may be linked to Dr. Evil. Many of the Virtucon executives gamble at the hotel/casino where you'll be staying. That's the first place you should look. Well, I'm off to the chat rooms.
M	AUSTIN	Thank you, Exposition.
M	BASIL EXPOSITION	Oh, and Austin...
M	AUSTIN	Yes?
M	BASIL EXPOSITION	Be careful.
M	PILOT	Ladies and gentlemen, we're beginning our final descent into Las Vegas International Airport. Flight attendants will be coming by to collect your drinks, and I'll ask you at this time to please return to the main cabin and put your bean- bags in the upright position.
M	DR. EVIL	Ladies and Gentlemen, it's been a long time, but I'm back. It's all gone perfectly to plan except for one small flaw. Because of a technical error, my right arm was not frozen. I was therefore by definition only partially frozen.
M	MUSTAFA	But my design was perfect! Your autonomic functions were shut down, and even though your arm wasn't frozen, the aging was retarded, therefore your right arm is only slightly older than the left.
M	DR. EVIL	Can't you see I'm only half a man? Look at me, I'm a freak!
M	MUSTAFA	But Dr. Evil, all you need to do is-- --work with this tennis ball. Squeeze it for twenty minutes a day. A few months of that and it'll be just as strong as the other arm...
M	DR. EVIL	And look what you've done to Mr. Bigglesworth!
M	MUSTAFA	We could not anticipate feline complications due to the reanimation process&emdash;
M	DR. EVIL	Silence!
M	MUSTAFA	Ahhhhhhhhh!
M	DR. EVIL	Let this be a reminder to you all that this organization will not tolerate failure.
M	DR. EVIL	Gentlemen, let's get down to business.
M	DR. EVIL	We've got a lot of work to do.
M	MUSTAFA (O.S.)	Someone help me! I'm still alive, only I'm very badly burned.
M	DR. EVIL	Some of you I know, some of you I'm meeting for the first time.
M	MUSTAFA (O.S.)	Hello up there! Anyone! Can someone call an ambulance? I'm in quite a lot of pain.
M	DR. EVIL	You've all been gathered here to form my Evil Cabinet. Excuse me.
M	MUSTAFA (O.S.)	If somebody can open the retrieval hatch down here, I could get out. See, I designed this device myself and...oh, hi! Good, I'm glad you found me. Listen, I'm very badly burned, so if you could just--
M	MUSTAFA (O.S.)	Ow! You shot me!
M	DR. EVIL	Right. Okay. Moving on. You shot me right in the arm! Why did--
M	DR. EVIL	Let me go around the table and introduce everyone. Frau Farbissina...
M	DR. EVIL	...founder of the militant wing of the Salvation Army. Random Task...
M	DR. EVIL	...a Korean ex-wrestler, evil handyman extraordinaire. Show them what you do.
M	DR. EVIL	Thank you, Random Task. Patty O'Brien...
M	DR. EVIL	...ex-Irish assassin. His trademark?
M	DR. EVIL	A superstitious man, he leaves a tiny keepsake on every victim he kills. Scotland Yard would love to get their hands on that piece of evidence.
M	PATTY O'BRIEN	Yes, they're always after me lucky charms!
M	PATTY O'BRIEN	What? What? Why does everyone always laugh when I say that? They are after me lucky charms.
M	PATTY O'BRIEN	What?
M	FRAU FARBISSINA	It's a television commercial with this little cartoon Leprechaun who is a benevolent imp who is very concerned that these children will steal his lucky charms which are foodstuffs fashioned into various shapes-- hearts, moons, clovers, what have you... It's a long story.
M	DR. EVIL	Finally, I come to my number two man. His name: Number Two.
M	DR. EVIL	For thirty years, Number Two has run Virtucon, the legitimate face of my evil empire.
M	NUMBER TWO	Over the last thirty years, Virtucon has grown by leaps and bounds. About fifteen years ago, we changed from volatile chemicals to the communication industry. We own cable companies in thirty-eight states.
M	NUMBER TWO	In addition to our cable holdings, we own a steel mill in Cleveland.
M	NUMBER TWO	Shipping in Texas.
M	NUMBER TWO	Oil refineries in Seattle.
M	NUMBER TWO	And a factory in Chicago that makes miniature models of factories.
M	NUMBER TWO	We also own the Franklin mint, which makes decorative hand-painted theme plates for collectors. Some plates, like the Gone With The Wind series, have gone up in value as much as two-hundred and forty percent, but, as with any investment, there is some risk involved.
M	DR. EVIL	Gentlemen, I have a plan. It's called blackmail. The Royal Family of Britain are the wealthiest landowners in the world. Either the Royal Family pays us an exorbitant amount of money, or we make it look like Prince Charles, the heir to the throne, has had an affair outside of marriage and, therefore, they would have to divorce.
M	NUMBER TWO	Um, Dr. Evil, Prince Charles did have an affair. He admitted it, and they are now divorced, actually.
M	DR. EVIL	People have to tell me these things. I've been frozen for thirty years, throw me a bone here. OK, no problem. Here's my second plan. Back in the Sixties I had a weather changing machine that was in essence a sophisticated heat beam which we called a "laser." Using this laser, we punch a hole in the protective layer around the Earth, which we scientists call the "Ozone Layer." Slowly but surely, ultraviolet rays would pour in, increasing the risk of skin cancer. That is, unless the world pays us a hefty ransom.
M	NUMBER TWO	Umm, that also has already happened.
M	DR. EVIL	Right. Oh, hell, let's just do what we always do. Let's hijack some nuclear weapons and hold the world hostage. Gentlemen, it's come to my attention that a breakaway Russian Republic called Kreplachistan will be transferring a nuclear warhead to the United Nations in a few days. Here's the plan. We get the warhead, and we hold the world ransom... ...FOR ONE MILLION DOLLARS!
M	NUMBER TWO	Don't you think we should ask for more than a million dollars? A million dollars isn't that much money these days.
M	DR. EVIL	All right then... ...FIVE MILLION DOLLARS!
M	NUMBER TWO	Virtucon alone makes over nine billion dollars a year.
M	DR. EVIL	Oh, really? One-hundred billion dollars. OK, make it happen. Anything else?
M	FRAU FARBISSINA	Remember when we froze your semen, you said that if it looked like you weren't coming back to try and make you a son so that a part of you would live forever?
M	DR. EVIL	Yes.
M	FRAU FARBISSINA	Well, after a few years, we got sort of impatient. Dr. Evil, I want you to meet your son.
M	DR. EVIL	My son?
M	FRAU FARBISSINA	Yes. Scott!
M	SCOTT EVIL	Hi.
M	DR. EVIL	Hello, Scott. I'm your father, Dr. Evil. I have a son! I have a son! Everyone, I have a son! Someday, Scott, this will all be yours.
M	SCOTT EVIL	I haven't seen you my whole life and now you show up and want a relationship? I hate you!
M	AUSTIN	You've preserved my Jag! Smashing!
F	VANESSA	Yes, we've had it retrofitted with a secure cellular phone, an on-board computer, and a Global Geosynchronous Positioning Device. Oh, and finally, this.
M	AUSTIN	Let me guess. The floss is garotte wire, the toothpaste contains plastic explosives, and the toothbrush is the detonation device.
F	VANESSA	No, actually. I don't know how to put this really. Well, there have been fabulous advances in the field of dentistry.
M	AUSTIN	Why? What's wrong with my teeth?
M	AUSITN	Which side of the bed do you want?
F	VANESSA	You're going to sleep on the sofa. I'd like to remind you, Mr. Powers, that the only reason we're sharing a room is to support our cover story that we're a married couple on vacation.
M	AUSTIN	So, shall we shag now, or shall we shag later? How do you like to do it? Do you like to wash up first? Top and tails? A whore's bath? Personally, before I'm on the job, I like to give my undercarriage a bit of a how's-your-father.
M	AUSTIN	I'm just joking, Vanessa. Trying to get a rise out of you.
F	VANESSA	Let's unpack.
M	AUSTIN	Gor blimey, nerd alert.
M	AUSTIN	Hey, who put this in here? Someone's playing a prank on me! Honestly, this isn't mine.
F	VANESSA	I'm sure.
M	AUSTIN	I think I'll give that stew a ding-a- ling.
M	MOVIE PHONE VOICE	Hello! And welcome to 777-FILM!
M	AUSTIN	I got her answering machine.
M	AUSTIN	I love Las Vegas, man. Oh, I forgot my x-ray glasses.
F	VANESSA	Here, use mine.
M	AUSTIN	I'm going to use a cover name. It's important that it be a generic name so that we don't draw attention to ourselves.
M	AUSTIN	Do you mind if I join you?
M	NUMBER TWO	Not at all.
M	DEALER	Seventeen.
M	NUMBER TWO	Hit me.
M	DEALER	You have seventeen, sir. The book says not to, sir.
M	NUMBER TWO	I like to live dangerously.
M	DEALER	Four. Twenty-one.
M	DEALER	Eighteen. Sixteen.
M	NUMBER TWO	I'll stay.
M	DEALER	Sir?
M	DEALER	Sir?
F	VANESSA	What's wrong?
M	AUSTIN	I can't see a bloody thing.
F	VANESSA	Oh, I forgot to tell you, they're prescription X-ray glasses. I have very bad astigmatism.
M	DEALER	Sir, the table is waiting.
M	AUSTIN	Uh, hit me.
M	DEALER	On an eighteen, sir?
M	AUSTIN	Yes, I also like to live dangerously.
M	NUMBER TWO	You're very brave.
M	AUSTIN	Cards are not my bag, man. Allow myself to introduce... myself. My name is Ritchie Cunningham.
M	AUSTIN	This is my wife, Enid.
M	NUMBER TWO	My name is Number Two.
F	VANESSA	Number Two? That's an unusual name.
M	NUMBER TWO	My parents were hippies. This is my Italian confidential secretary.
M	ITALIAN WOMAN	My name is Alotta Alotta Fagina.
M	AUSTIN	I'm sorry, I'm just not getting it. It sounds like you're saying your name is a lot of... never mind. Listen, cats, I'm going to crash. It's been a gas.
M	NUMBER TWO	Bye-bye, Mr... Cunningham?
M	AUSTIN	Peace, baby.
F	VANESSA	Why did you leave so soon?
M	AUSTIN	That cat Number Two has an X-ray eyepatch. I get bad vibes from him, man. Listen, we should go back to the room, but first I have to go to the naughty chair and see a man about a dog.
M	TEXAN	Good luck, buddy. You don't buy food, you rent it.
M	AUSTIN	Too right, youth.
M	AUSTIN	Uh, uh!
M	TEXAN	Hey pardner, just relax, don't force it! Use some creative visualization.
M	PATTY O'BRIEN	Ughhhhh...
M	AUSTIN	Who does Number Two work for?
M	TEXAN	That's right! Show that turd who's boss!
M	AUSTIN	Who does Number Two work for?
M	PATTY O'BRIEN	Go to hell.
M	TEXAN	Jesus Christ, what did you eat?
F	VANESSA	Hello Mum?
F	MRS. KENSINGTON	Oh, hello Vanessa. How was the flight? Great.
F	MRS. KENSINGTON	How's Austin?
M	VANESSA (V.O.)	He's asleep.
F	MRS. KENSINGTON	You didn't...
F	VANESSA	Oh, God no, I made him sleep on the couch.
M	MRS. KENSINGTON (V.O.)	I'm proud of you.
F	VANESSA	Why?
M	MRS. KENSINGTON (V.O.)	Because you managed to resist Austin Power's charms.
F	VANESSA	Well, God knows he tried, but I've been rather firm with him, Mummy. You didn't tell me he was so obsessed with sex. It's bizarre.
M	MRS. KENSINGTON (V.O.)	You can't judge him by modern standards. He's very much a product of his times. In my day he could have any woman he wanted.
F	VANESSA	What about his teeth?
F	MRS. KENSINGTON	You have to understand, in Britain in the Sixties you could be a sex symbol and still have bad teeth. It didn't matter.
F	VANESSA	I just don't see it.
F	MRS. KENSINGTON	Just wait. Once Austin gets you in his charms, it's impossible to get out.
F	VANESSA	Did you ever...
F	MRS. KENSINGTON	Of course not. I was married to your father.
F	VANESSA	Did you ever want to?
F	MRS. KENSINGTON	Austin is very charming, very debonair. He's handsome, witty, has a knowledge of fine wines, sophisticated, a world-renowned photographer. Women want him, men want to be him. He's a lover of love-- every bit an International Man of Mystery.
F	VANESSA	You didn't answer my question, Mum.
M	MRS. KENSINGTON (V.O.)	I know. Let me just say this: Austin was the most loyal and caring friend I ever had.
M	AUSTIN (V.O.)	Good morning, luv, who are you on the phone with?
F	VANESSA	Do you want to talk to him? No, it's been too long. Best to leave things alone.
F	VANESSA	I'm on with a friend! Look, I'd better go. I love you.
M	MRS. KENSINGTON (V.O.)	I love you, Vanessa.
M	AUSTIN	Good morning, Vanessa! I hope you have on clean underwear.
F	VANESSA	Why?
M	AUSTIN	We've got a doctor's appointment-- an evil doctor's appointment.
F	VANESSA	A limousine has just pulled up.
M	AUSTIN	Let me see.
M	AUSTIN	Hello, hello. That's Dr. Evil's cat.
F	VANESSA	How do you know?
M	AUSTIN	I never forget a pussy... cat.
F	VANESSA	Let's go get him!
M	AUSTIN	He's too well-protected right now.
F	VANESSA	We can't just sit here, Austin.
M	AUSTIN	Let me tell you a story. There's these two bulls on top of a hill checking out some foxy cows in the meadow below. The young bull says, 'hey, why don't we run down the hill and shag us a cow?', and the wise old bull replies, 'no, why don't we walk down the hill and shag all the cows?'
F	VANESSA	I don't get it.
M	AUSTIN	Well, you know... cows, and shagging.
F	VANESSA	Unfortunately, while you told that stupid story, Dr. Evil has escaped.
M	AUSTIN	No worries, luv. We'll just give Basil a tinkle on the telling bone...
M	AUSTIN	My God, Vanessa, you are so incredibly beautiful. Stay right where you are.
F	VANESSA	I hate having my picture taken.
M	AUSTIN	You're crazy. The camera loves you, Vanessa.
M	AUSTIN	Go, Vanessa, go!
M	AUSTIN	Alright, luv! Love it! Turn... pout for me Vanessa. Smashing! Crazy. Give me some shoulder. Yes! Yes! Yes!
M	AUSTIN	Show me love. Yes! Smashing!
M	AUSTIN	Great! Great! Smashing! Yes! Yes! Yes! No! No! Going in very close now.
M	AUSTIN	Give me eyes. Give me cornea. Give me aqueous humour. Coming in closer. Give me retina, Vanessa. Even closer. Give me optic nerve. Love it! And... done.
M	AUSTIN	I'm spent. What say you we go out on the town?
M	AUSTIN	Fancy a nibble?
