M	CHARACTER	DIALOGUE
M	YOUNG BRUCE	Rachel?
M	FEMALE VOICE (O.S.)	Rachel?! Master Bruce?!
M	YOUNG BRUCE	What're you doing?!
F	RACHEL	Kidnapping you. They'' pay a lot for precious Brucie.
F	RACHEL	Bruce, I can see you.
F	RACHEL	BRUCE?!!
F	RACHEL	MOM!! MISTER ALFRED!!
M	OLD MAN	A dream?
F	WAYNE	A nightmare.
M	OLD MAN	Worse than this?
M	OLD MAN	They are going to fight you.
F	WAYNE	I fought them yesterday.
M	OLD MAN	They will fight you every day. Until they kill you.
F	WAYNE	Can't they kill me before breakfast?
M	ENORMOUS MAN	You are in hell, little man...
M	ENORMOUS MAN (CONT'D)	...and I am the devil.
F	WAYNE	You're not the devil...
M	WAYNE (CONT'D)	...you're practice.
M	GUARD	Solitary!
F	WAYNE	Why?
M	GUARD	For protection.
F	WAYNE	I don't need protection.
M	GUARD	Protection for them.
M	VOICE (O.S.)	I often wonder at the riches to be found in dark places.
F	WAYNE	I thought the point of solitary confinement was the solitary part.
M	MAN	These men have mistaken you for a criminal, Mr.Wayne...
F	WAYNE	Who are you?
M	MAN	My name is merely Ducard. But I speak for Ra's Al Ghul. Have you heard the name?
F	WAYNE	I've heard the legends...master warrior, international mercenary, feared by the all the underworld... some even swear he's immortal.
M	DUCARD	Ra's Al Ghul uses theatricality and deception as powerful weapons. You have not escaped his notice- a man like you is here by choice... or because he is truly lost.
M	DUCARD (CONT'D)	Ra's Al Ghul and his League of Shadows offer a path to those that are capable of upholding our code.
F	WAYNE	Code? Aren't you criminals?
M	DUCARD	A criminal is simply a man that someone else thinks... ...should be put in jail.
M	DUCARD (CONT'D)	This world is run by tyrants and corrupt bureaucrats. Our code respects only the natural order of things- we're not bound by their hypocrisy. Are you?
M	DUCARD (CONT'D)	There is a rare flower- a blue double- bloomed poppy- that grows on the Eastern slopes. Tomorrow you will be released. Pick one of the flowers. If you can carry it to the top of the mountain, you may find what you are looking for.
F	WAYNE	And what am I looking for?
M	DUCARD	Purpose.
M	MALE VOICE (O.S.)	Bruce?
M	ALFRED	Will we be needing an ambulance, Master Wayne?
M	THOMAS	We have everything I need to set the bone. I'll take him for x-rays later.
M	ALFRED	Very good, sir.
M	THOMAS	He'll be fine.
M	ALFRED	Took quite a fall, didn't we?
M	ALFRED (CONT'D)	And why do we fall, Master Bruce?
M	ALFRED (CONT'D)	So that we might better learn to pick ourselves up.
M	CHILD (O.S.)	No one will help you.
F	WAYNE	I need food.
M	OLD MAN	Then turn back.
F	WAYNE	Ra's Al Ghul?
M	DUCARD (O.S.)	Wait.
M	DUCARD (CONT'D)	Fear has been your guide. But now you must advance or fear will keep you on your knees. We will help you conquer your fear. In exchange you will renounce the cities of man. You will live in solitude. You will be a member of the Leagues of Shadows. And you will be without fear.
M	DUCARD (CONT'D)	Are you ready to begin?
F	WAYNE	Ready? I... I can barely-
M	DUCARD	Death does not wait for you to be ready...
M	DUCARD (CONT'D)	Death is not considerate, or fair. And make no mistake- today, death is your opponent.
M	DUCARD (CONT'D)	Tiger Crane... Ju Jitsu... Skilled. But this is not a dance-
M	DUCARD (CONT'D)	Facing death you learn the truth...
M	DUCARD (CONT'D)	You are weak...
