M	CHARACTER	DIALOGUE
F	LOTTE	Sorry, hon. I didn't know Orrin Hatch was out of his pen. Good morning.
M	CRAIG	Morning.
F	LOTTE	Gotta run. Shipment of grub worms coming in first thing.
M	CRAIG	Enjoy.
F	LOTTE	Craig, listen, honey, I've been thinking... maybe you'd feel better if you got, you know, a job or something.
M	CRAIG	We've been over this. Nobody's looking for a puppeteer in today's wintry economic climate.
F	LOTTE	Well, you know, maybe something else until this whole puppet thing turns around.
M	CRAIG	The Great Mantini doesn't need a day job.
F	LOTTE	Craig, everyone can't be Derek Mantini. Well, grub worms are waiting. Do me a favor?
M	CRAIG	What?
F	LOTTE	Would you check in on Elijah? He seems to be a little under the weather this morning.
M	CRAIG	Which one is Elijah again?
F	LOTTE	The monkey.
M	CRAIG	Yeah. Okay.
M	TV ANNOUNCER	The crowd is enthralled as Derek Mantini, arguably the greatest puppeteer in the history of the world, performs "The Belle of Amherst" with his 60 foot Emily Dickinson puppet, directed by the inimitable Charles Nelson Reilly.
M	CHARLES NELSON REILLY	Beautiful, beautiful! Nyong-nyong.
M	CRAIG	Gimmicky bastard.
F	LOTTE	Is the trial date set?
M	CRAIG	May 11th.
F	LOTTE	Why'd you do it, Craig?
M	CRAIG	I'm a puppeteer.
F	LOTTE	Why, Craig. why?
M	CRAIG	I... puppeteer.
F	LOTTE	You know, maybe you should speak to someone about this.
M	MAN #1	Seven and a half, right?
M	CRAIG	Uh. yeah.
M	MAN #1	I'll take you through it.
M	MAN #1	Seven and a half.
M	CRAIG	Thank you.
F	FLORIS	Welcome to LesterCorp. May we meet your filing needs?
M	CRAIG	No, uh, my name is Craig Schwartz. I have an interview with Mr. Lester.
F	FLORIS	Please have a seat, Mr. Juarez...
M	CRAIG	Schwartz.
F	FLORIS	Pardon?
M	CRAIG	Schwartz.
F	FLORIS	I'm sorry, I'm afraid I have no idea what you're saying right now.
M	CRAIG	My name is Schwartz.
F	FLORIS	Money, Miss Warts?
M	CRAIG	Forget it.
F	FLORIS	Fork ah did?
F	FLORIS	Mr. Juarez?
M	CRAIG	Yes?
F	FLORIS	Yex?
M	CRAIG	I said "yes."
