M	CHARACTER	DIALOGUE
M	EDWARD (V.O.)	There are some fish that cannot be caught. It's not that they're faster or stronger than other fish. They're just touched by something extra. Call it luck. Call it grace. One such fish was The Beast.
M	EDWARD (V.O.)	By the time I was born, he was already a legend. He'd taken more hundred- dollar lures than any fish in Alabama. Some said that fish was the ghost of Henry Walls, a thief who'd drowned in that river 60 years before. Others claimed he was a lesser dinosaur, left over from the Cretaceous period.
M	EDWARD	I didn't put any stock into such speculation or superstition. All I knew was I'd been trying to catch that fish since I was a boy no bigger than you. And on the day you were born, that was the day I finally caught him.
M	EDWARD	Now, I'd tried everything on it: worms, lures, peanut butter, peanut butter-and-cheese. But on that day I had a revelation: if that fish was the ghost of a thief, the usual bait wasn't going to work. I would have to use something he truly desired.
M	LITTLE BRAVE	Your finger?
M	EDWARD	Gold.
M	EDWARD	I tied my ring to the strongest line they made -- strong enough to hold up a bridge, they said, if just for a few minutes -- and I cast upriver.
M	EDWARD (CONT'D)	The Beast jumped up and grabbed it before the ring even hit the water. And just as fast, he snapped clean through that line.
M	EDWARD	You can see my predicament. My wedding ring, the symbol of fidelity to my wife, soon to be the mother of my child, was now lost in the gut of an uncatchable fish.
F	WILL	Make him stop.
M	WILL'S DATE	What did you do?
M	EDWARD	I followed that fish up-river and down-river for three days and three nights, until I finally had him boxed in.
M	EDWARD	With these two hands, I reached in and snatched that fish out of the river. I looked him straight in the eye. And I made a remarkable discovery.
M	EDWARD	This fish, the Beast. The whole time we were calling it a him, when in fact it was a her. It was fat with eggs, and was going to lay them any day.
M	EDWARD	Now, I was in a situation. I could gut that fish and get my ring back, but doing so I would be killing the smartest catfish in the Ashton River, soon to be mother of a hundred others.
M	EDWARD	Did I want to deprive my soon-to-be- born son the chance to catch a fish like this of his own? This lady fish and I, well, we had the same destiny.
M	EDWARD AND WILL	We were part of the same equation.
F	SANDRA	Honey, it's still your night.
M	EDWARD	Now, you may well ask, since this lady fish wasn't the ghost of a thief, why did it strike so quick on gold when nothing else would attract it? That was the lesson I learned that day, the day my son was born.
M	EDWARD	Sometimes, the only way to catch an uncatchable woman is to offer her a wedding ring.
M	EDWARD	What, a father's not allowed to talk about his son?
F	WILL	I am a footnote in that story. I am the context for your great adventure. Which never happened! Incidentally! You were selling novelty products in Wichita the day I was born.
M	EDWARD	Jesus Christ.
F	WILL	Friend of yours? Did you help him out of a bind?
M	EDWARD	Come on, Will. Everyone likes that story.
F	WILL	No Dad, they don't. I do not like the story. Not anymore, not after a thousand times. I know all the punchlines, Dad. I can tell them as well as you can. For one night, one night in your entire life, the universe does not revolve around Edward Bloom. It revolves around me and my wife. How can you not understand that?
M	EDWARD	Sorry to embarrass you.
F	WILL	You're embarrassing yourself, Dad. You just don't see it. After that night, I didn't speak to my father again for three years.
M	WILL (ON PHONE)	William Bloom with the Associated Press if I could just...
M	WILL (V.O.)	We communicated indirectly I guess. In her letters and Christmas cards, my mother would write for both of them.
M	WILL (V.O.)	When I'd call, Mom would say that Dad was out driving. Or swimming in the pool.
F	WILL	True to form, we never talked about our not talking.
M	WILL (V.O.)	The truth is, I didn't see anything of myself in my father, and I don't think he saw anything of himself in me. We were like strangers who knew each other very well.
M	WILL (V.O.)	In telling the story of my father's life, it's impossible to separate the fact from the fiction, the man from the myth. The best I can do is to tell it the way he told me.
M	WILL (V.O.)	It doesn't always make sense, and most of it never happened.
M	WILL (V.O.)	But that's what kind of story this is.
M	YOUNG DR. BENNETT	Now, Mrs. Bloom, I'll need you to give me one good push. On three. One...
M	YOUNG DR. BENNETT	Grab that baby!
M	WILL (V.O.)	My father's birth would set the pace for his unlikely life. No longer than most men's, but larger. And as strange as his stories got, the endings were always the most surprising of all.
F	JOSEPHINE	Allo oui?
F	JOSEPHINE	Yes, he's here.
F	JOSEPHINE	It's your mother.
F	WILL	Hi. Uh-huh. Uh-huh.
M	WILL (CONT'D)	What does Dr. Bennett say? Okay. No, sure, let me talk to him. I'll wait.
F	JOSEPHINE	It's bad.
F	WILL	It's more than they thought. They're going to stop chemo.
F	JOSEPHINE	You need to go.
F	WILL	Probably tonight.
F	JOSEPHINE	I'm going with you.
F	WILL	You don't have to.
F	JOSEPHINE	I'm going with you.
M	EDWARD (O.S., PRELAP)	So which one's it gonna be? The Monkey in the Barn, the Dog in the Road?
F	WILL	The one about the witch.
M	EDWARD	Your mom says I can't tell you that one anymore. You get nightmares.
F	WILL	I'm not scared.
M	EDWARD	Neither was I. At first.
M	EDWARD	This all happened in the swamp outside of Ashton. Kids weren't supposed to go out in the swamp, on account of the snakes and spiders and quicksand that would swallow you up before you could even scream. But there were five of us out there that night: Me, Ruthie, Wilbur Freely, and the Price Brothers, Don and Zacky.
M	EDWARD	Not a one of us knew what was in store.
M	EDWARD	Zacky, turn your flashlight on!
M	ZACKY	I don't got any batteries!
M	DON PRICE	Then why'd you bring it?
M	ZACKY	I don't want to be in the swamp with a witch and no flashlight.
M	EDWARD	Is it true she got a glass eye?
M	WILBUR FREELY	I heard she got it from Gypsies.
M	EDWARD	What's a Gypsy?
M	ZACKY	Your momma's a Gypsy.
M	DON PRICE	Your momma's a bitch.
F	RUTHIE	You shouldn't swear. There's ladies present.
M	DON PRICE	Shit.
M	ZACKY	Damn.
M	WILBUR FREELY	Screw.
M	EDWARD	Turn off your flashlights! She'll see 'em.
M	ADULT EDWARD (V.O.)	Now, it's common knowledge that most towns of a certain size have a witch, if only to eat misbehaving children and the occasional puppy who wanders into her yard. Witches use those bones to cast spells and curses that make the land infertile.
M	ADULT EDWARD (V.O.)	Yet of the all the witches in Alabama, there was one who was the most feared. For she had one glass eye, which was said to contain mystical powers.
M	WILBUR FREELY	I hear if you look right at it, you can see how you're gonna die.
M	EDWARD	That's bull-s-h-i-t, that is. She's not even a real witch.
M	DON PRICE	You're so sure, why don't you go in and get that eye? I heard she keeps it in a box on her nighttable.
M	DON PRICE	Or are you too scared?
M	EDWARD	I'll go in right now and get that eye.
M	DON PRICE	Then do it.
M	EDWARD	Fine, I will.
M	DON PRICE	Fine, you do it.
M	EDWARD	Fine, I'm doing it.
F	RUTHIE	Edward, don't!
M	WILBUR FREELY	She'll make soap out of you! That's what she does, she makes soap out of people.
M	EDWARD	Ma'am, my name is Edward Bloom, and there's some folks'd like to see your eye.
M	DON PRICE	You get the eye?
M	EDWARD	I brought it.
M	DON PRICE	Let's see it.
M	ZACKY	I saw how I was gonna die. I was old, and I fell.
