M	CHARACTER	DIALOGUE
M	VOICE-OVER	A way out west there was a fella, fella I want to tell you about, fella by the name of Jeff Lebowski. At least, that was the handle his lovin' parents gave him, but he never had much use for it himself. This Lebowski, he called himself the Dude. Now, Dude, that's a name no one would self-apply where I come from. But then, there was a lot about the Dude that didn't make a whole lot of sense to me. And a lot about where he lived, like- wise. But then again, maybe that's why I found the place s'durned innarestin'. They call Los Angeles the City of Angels. I didn't find it to be that exactly, but I'll allow as there are some nice folks there. 'Course, I can't say I seen London, and I never been to France, and I ain't never seen no queen in her damn undies as the fella says. But I'll tell you what, after seeing Los Angeles and thisahere story I'm about to unfold-- wal, I guess I seen somethin' ever' bit as stupefyin' as ya'd see in any a those other places, and in English too, so I can die with a smile on my face without feelin' like the good Lord gypped me.
M	VOICE-OVER	Now this story I'm about to unfold took place back in the early nineties-- just about the time of our conflict with Sad'm and the Eye-rackies. I only mention it 'cause sometimes there's a man--I won't say a hee-ro, 'cause what's a hee-ro?--but sometimes there's a man.
M	VOICE-OVER	And I'm talkin' about the Dude here-- sometimes there's a man who, wal, he's the man for his time'n place, he fits right in there--and that's the Dude, in Los Angeles.
M	GEORGE BUSH	This aggression will not stand... This will not stand!
M	VOICE-OVER	...and even if he's a lazy man, and the Dude was certainly that--quite possibly the laziest in Los Angeles County.
M	VOICE-OVER	...which would place him high in the runnin' for laziest worldwide--but sometimes there's a man... sometimes there's a man.
M	VOICE-OVER	Wal, I lost m'train of thought here. But--aw hell, I done innerduced him enough.
M	DUDE	It's the LeBaron.
M	VOICE	We want that money, Lebowski. Bunny said you were good for it.
M	VOICE	Where's the money, Lebowski!
M	VOICE	Where's the money, Lebowski!
M	VOICE	WHERE'S THE FUCKING MONEY, SHITHEAD!
M	DUDE	It's uh, it's down there somewhere. Lemme take another look.
M	VOICE	Don't fuck with us. If your wife owes money to Jackie Treehorn, that means you owe money to Jackie Treehorn.
M	CHINESE MAN	Ever thus to deadbeats, Lebowski.
M	DUDE	Oh, man. Don't do--
M	BLOND MAN	You see what happens? You see what happens, Lebowski?
M	DUDE	Look, nobody calls me Lebowski. You got the wrong guy. I'm the Dude, man.
M	BLOND MAN	Your name is Lebowski. Your wife is Bunny.
M	DUDE	Bunny? Look, moron.
M	DUDE	You see a wedding ring? Does this place look like I'm fucking married? All my plants are dead!
M	BLOND MAN	The fuck is this?
M	DUDE	Obviously you're not a golfer.
M	BLOND MAN	Woo?
M	WOO	Yeah?
M	BLOND MAN	Wasn't this guy supposed to be a millionaire?
M	WOO	Uh?
M	WOO	Fuck.
M	BLOND MAN	What do you think?
M	WOO	He looks like a fuckin' loser.
M	DUDE	Hey. At least I'm housebroken.
M	WOO	Fuckin' waste of time.
M	BLOND MAN	Thanks a lot, asshole.
M	MAN	Hot damn, I'm throwin' rocks tonight. Mark it, Dude.
M	WALTER	This was a valued rug.
M	WALTER	This was, uh--
M	DUDE	Yeah man, it really tied the room together--
M	WALTER	This was a valued, uh.
M	DONNY	What tied the room together, Dude?
M	WALTER	Were you listening to the story, Donny?
M	DONNY	What--
M	WALTER	Were you listening to the Dude's story?
M	DONNY	I was bowling--
M	WALTER	So you have no frame of reference, Donny. You're like a child who wanders in in the middle of a movie and wants to know--
M	DUDE	What's your point, Walter?
M	WALTER	There's no fucking reason--here's my point, Dude--there's no fucking reason--
M	DONNY	Yeah Walter, what's your point?
M	WALTER	Huh?
M	DUDE	What's the point of--we all know who was at fault, so what the fuck are you talking about?
M	WALTER	Huh? No! What the fuck are you talking--I'm not--we're talking about unchecked aggression here--
M	DONNY	What the fuck is he talking about?
M	DUDE	My rug.
M	WALTER	Forget it, Donny. You're out of your element.
M	DUDE	This Chinaman who peed on my rug, I can't go give him a bill so what the fuck are you talking about?
M	WALTER	What the fuck are you talking about?! This Chinaman is not the issue! I'm talking about drawing a line in the sand, Dude. Across this line you do not, uh--and also, Dude, Chinaman is not the preferred, uh... Asian- American. Please.
M	DUDE	Walter, this is not a guy who built the railroads, here, this is a guy who peed on my--
M	WALTER	What the fuck are you--
M	DUDE	Walter, he peed on my rug--
M	DONNY	He peed on the Dude's rug--
M	WALTER	YOU'RE OUT OF YOUR ELEMENT! This Chinaman is not the issue, Dude.
M	DUDE	So who--
M	WALTER	Jeff Lebowski. Come on. This other Jeffrey Lebowski. The millionaire. He's gonna be easier to find anyway than these two, uh. these two... And he has the wealth, uh, the resources obviously, and there is no reason, no FUCKING reason, why his wife should go out and owe money and they pee on your rug. Am I wrong?
M	DUDE	No, but--
M	WALTER	Am I wrong!
M	DUDE	Yeah, but--
M	WALTER	Okay. That, uh.
M	WALTER	That rug really tied the room together, did it not?
M	DUDE	Fuckin' A.
M	DONNY	And this guy peed on it.
M	WALTER	Donny! Please!
M	DUDE	Yeah, I could find this Lebowski guy--
M	DONNY	His name is Lebowski? That's your name, Dude!
M	DUDE	Yeah, this is the guy, this guy should compensate me for the fucking rug. I mean his wife goes out and owes money and they pee on my rug.
M	WALTER	Thaaat's right Dude; they pee on your fucking Rug.
M	YOUNG MAN	And this is the study. You can see the various commendations, honorary degrees, et cetera.
M	DUDE	Yes, uh, very impressive.
M	YOUNG MAN	Please, feel free to inspect them.
M	DUDE	I'm not really, uh.
M	YOUNG MAN	Please! Please!
M	DUDE	Uh-huh.
M	YOUNG MAN	That's the key to the city of Pasadena, which Mr. Lebowski was given two years ago in recognition of his various civic, uh.
M	DUDE	Uh-huh.
M	YOUNG MAN	That's a Los Angeles Chamber of Commerce Business Achiever award, which is given--not necessarily given every year! Given only when there's a worthy, somebody especially--
M	DUDE	Hey, is this him with Nancy?
M	YOUNG MAN	That is indeed Mr. Lebowski with the first lady, yes, taken when--
M	DUDE	Lebowski on the right?
M	YOUNG MAN	Of course, Mr. Lebowski on the right, Mrs. Reagan on the left, taken when--
M	DUDE	He's handicapped, huh?
