M	CHARACTER	DIALOGUE
F	MELANIE	Hello, Mrs. MacGruder, have you ever seen so many gulls?
M	MRS. MACGRUDER	Hello, Miss Daniels.
F	MELANIE	What do you suppose it is?
M	MRS. MACGRUDER	There must be a storm at sea. That can drive them inland, you know.
M	MRS. MACGRUDER	I was hoping you'd be a little late, Miss Daniels. You see, he hasn't arrived yet.
F	MELANIE	You said three o'clock.
M	MRS. MACGRUDER	I know. Oh, I know. I've been calling all morning. Oh, you have no idea. Miss Daniels, they're so difficult to get, really they are. We get them from India, you know, when they're just little chicks, and then we have to...
F	MELANIE	Well, this one won't be a chick, will he?
M	MRS. MACGRUDER	Certainly not. Oh, no. Certainly not. This will be a full grown myna bird. Full grown.
F	MELANIE	And he'll talk?
M	MRS. MACGRUDER	Well, yes, he'll talk. Well, no, no. You'll have to teach him to talk.
F	MELANIE	Yes.
M	MRS. MACGRUDER	Yes. Oh my, I suppose I should call them again. They said three o'clock. Maybe it's the traffic. I'll call. Would you mind waiting?
F	MELANIE	I think maybe you'd better deliver him. Let me give you my address.
M	MRS. MACGRUDER	Oh. Oh, well, all right.
M	MRS. MACGRUDER	I'm sure they're on the way, though. Could I just call?
F	MELANIE	Well, all right, but...
M	MRS. MACGRUDER (O.S.)	Hello, this is Betty MacGruder at Davidson's. It's past three, you know. Well, how long do you think...? All right, would you check it please? Yes, I'll wait.
M	MITCH	I wonder if you could help me.
F	MELANIE	What?
M	MITCH	I said I wonder if you could help me.
F	MELANIE	Yes, what was it you were looking for, sir?
M	MITCH	Lovebirds.
F	MELANIE	Lovebirds, sir?
M	MITCH	Yes. I understand there are different varieties, it that true?
F	MELANIE	Well... yes, sir, there are.
M	MITCH	These are for my sister... her birthday you see. As she'll be eleven and... well, frankly, I wouldn't want a pair of birds that were too demonstrative.
F	MELANIE	I understand completely, sir.
M	MITCH	As the same time, I wouldn't want birds that were aloof, either.
F	MELANIE	No, of course not.
M	MITCH	Do you have a pair that are just friendly?
F	MELANIE	I think so, sir. Now then, let me see.
M	MITCH	Aren't these lovebirds?
F	MELANIE	No, sir, those are... redbirds.
M	MITCH	The sign says strawberry finches.
F	MELANIE	Yes, we call them that too. Ahhh, here we are, Lovebirds...
M	MITCH	Those are canaries, Miss. Doesn't this make you feel awful?
F	MELANIE	Doesn't what make me...?
M	MITCH	All these innocent little creatures caged up like this?
F	MELANIE	Well, we can't just let them fly around the shop, you know.
M	MITCH	I suppose not. Is there an ornithological reason for keeping them in separate cages?
F	MELANIE	Oh, certainly. It's to protect the species.
M	MITCH	I imagine that's very important. Especially during the moulting season.
F	MELANIE	Yes, that's a particularly dangerous time.
M	MITCH	Are they moulting now?
F	MELANIE	Some of them are.
M	MITCH	How can you tell?
F	MELANIE	Well... they get a sort of hangdog expression.
M	MITCH	Yes, I see. About those lovebirds, Miss...
F	MELANIE	Are you sure you wouldn't like to see a canary instead? We have some very nice canaries this week.
M	MITCH	All right. She smiles back.
M	MITCH	All right, may I see one, please?
F	MELANIE	Here, birdie. Here, birdie, birdie.
F	MELANIE	Oh! Ohhhhh!
M	MRS. MACGRUDER	What is it? Oh! Oh my, one of the birds is loose!
M	MITCH	Shhh! Shhhh!
F	MELANIE	There we are!
M	MRS. MACGRUDER	Oh, good! Oh, wonderful.
M	MITCH	Back into your gilded cage, Melanie Daniels.
F	MELANIE	What did you say?
M	MITCH	I was merely drawing a parallel, Miss Daniels.
F	MELANIE	But how... how do you know my name?
M	MITCH	A little birdie told me. Good day, Miss Daniels. Madam.
F	MELANIE	Hey, wait a minute!
F	MELANIE	I don't know you.
M	MITCH	Ahhh, but I know you.
F	MELANIE	How?
M	MITCH	We met in court.
F	MELANIE	We never met in court or anyplace else.
M	MITCH	That's true. I'll rephrase it. I saw you in court.
F	MELANIE	When?
M	MITCH	Do you remember one of your practical jokes that resulted in the smashing of a plate glass window?
F	MELANIE	I didn't break that window!
M	MITCH	No, but your little prank did. The judge should have put you behind bars!
F	MELANIE	What are you? A policeman?
M	MITCH	I simply believe in the law, Miss Daniels, and I'm not too keen on practical jokers.
F	MELANIE	What do you call your lovebird story if not a practical...
M	MITCH	Ahhh, but I really do want those birds.
F	MELANIE	You knew I didn't work here. You deliberately...
M	MITCH	Right. I recognized you when I came in. I thought you might like to know what it felt like to be on the other end of a gag. What do you think of that, Miss Daniels?
F	MELANIE	I think you're a louse.
M	MITCH	I am. Good day. Madam.
F	MELANIE	And I'm glad you didn't get your lovebirds!
M	MITCH	I'll find something else. See you in court some day.
F	MELANIE	That... that... who was that?
M	MRS. MACGRUDER	I have no idea.
F	MELANIE	Have you got a pencil?
M	MRS. MACGRUDER	What? Oh, yes, certainly.
M	MRS. MACGRUDER	They said the myna bird would be here later this afternoon. If you'd care to come back...
F	MELANIE	No, you'd better send him. May I use your phone?
M	MRS. MACGRUDER	Yes, certainly.
F	MELANIE	Do you have any lovebirds?
M	MRS. MACGRUDER	No, not in the shop. But I can order them for you.
F	MELANIE	How soon?
M	MRS. MACGRUDER	Well... well, how soon would you want them?
F	MELANIE	Immediately. Is this the Daily News? Melanie Daniels. Would you get me the city desk, please?
M	MRS. MACGRUDER	I might be able to have them by tomorrow morning. Would that be all right?
F	MELANIE	That would be just fine. Hello, Charlie, this is Melanie. I want you to do a favor for me. No, this is a small one. Pressure you? Why, Charlie darling, would I try to pressure you? Will you call the Department of Motor Vehicles for me and find out who owns this license plate? DKQ dash one seven six. Yes, a California plate. No, I'll stop up there in a little while. Is daddy in his office? Oh. No, no, I don't want to break in on a meeting. Just tell him I'll see him later. Thank you, Charlie.
