M	CHARACTER	DIALOGUE
M	Based on the novel by Robert Ludlum	and The 2002 Universal Film "The Bourne Identity" WHITE: 9/17/03
F	MARIE	Where were you, Jason? In the car.
M	BOURNE	Conklin up front.
F	MARIE	I'll get the book.
M	BOURNE	No. There's nothing new.
F	MARIE	You're sure? We should still -- we should write it down.
M	BOURNE	Two years we're scribbling in a notebook --
F	MARIE	-- it hasn't been two years --
M	BOURNE	-- it's always bad and it's never anything but bits and pieces anyway! You ever think that maybe it's just making it worse? You don't wonder that?
F	MARIE	We write them down because sooner or later you're going to remember something good.
M	BOURNE	I do remember something good. All the time. I remember you.
M	BOURNE	I'm trying, Marie, Okay?
F	MARIE	I worry when you get like this.
M	BOURNE	It's just a nightmare.
F	MARIE	I don't mean that. I worry when you try to ignore it.
F	MARIE	Sleep. Sleep now.
M	BOURNE	I should be better by now.
F	MARIE	You are better. And I think it's not memories at all. It's just a dream you keep having over and over.
M	BOURNE	But it ends up the same.
F	MARIE	One day it will be different. It just takes time. We'll make new memories. You and me.
M	MR. MOHAN	And your question, sir?
M	KIRILL	She's my sister. There's been a death in the family. This is the last place we know she called from.
M	BOURNE	We gotta go, Marie. We gotta go, now.
M	BOURNE	We're blown.
F	MARIE	No... How?
M	BOURNE	The Telegraph office.
F	MARIE	But we were so careful.
M	BOURNE	We pushed it. We got lazy.
F	MARIE	But you're sure?
M	BOURNE	He was at the campground yesterday.
F	MARIE	So...
M	BOURNE	It's wrong. Guy with a rental car and hundred dollar sneakers sleeps in a tent?
F	MARIE	That's crazy.
M	BOURNE	No. Not this. This is real. And he's right there...
F	MARIE	Where --
M	BOURNE	Back there -- at the corner -- Hyundai -- silver --
F	MARIE	...but you're not -- you're not sure...
M	BOURNE	We can't wait to be sure.
F	MARIE	I don't want to move again... I like it here.
M	BOURNE	Look, we clear out, we get to the shack, we get safe. We hang there awhile. I'll come back. I'll check it out. But right now we can't --
F	MARIE	-- where's left to go? --
M	BOURNE	-- there's places -- we can't afford to be wrong!
M	BOURNE	You drive.
F	MARIE	What?
M	BOURNE	Switch! You drive!
F	MARIE	-- where? -
M	BOURNE	-- make the left -- toward the bridge --
F	MARIE	Jesus! -- -- is he back there? --
M	BOURNE	-- not yet --
F	MARIE	-- it's just him? --
M	BOURNE	-- yeah -- one guy -- I don't think he was ready --
F	MARIE	-- hang on --
M	BOURNE	You keep going to the shack. I'll meet you there in an hour.
F	MARIE	Where are you going?
M	BOURNE	I'm going to bail on the other side and wait. This bridge is the only way he can follow.
F	MARIE	What if it's not who you think it is?
M	BOURNE	If he crosses the bridge, it is.
F	MARIE	There must be another way!
M	BOURNE	I warned them, Marie. I told them to leave us alone.
F	MARIE	Jason, please don't do this...it won't ever be over like this.
M	BOURNE	There's no choice.
M	BOURNE	At the end make the left, when I roll out do not slow down.
F	MARIE	I love you, too.
M	BOURNE	Tell me later.
M	TEDDY/RADIO (V.O.)	The seller has arrived.
M	TEDDY/RADIO (V.O.)	He's inside.
M	CRONIN	What have you got, Survey One?
M	TEDDY/RADIO (V.O.)	"Hub, this is Survey One. Mobile One is in motion. Seller is inside and waiting."
M	TEDDY/RADIO (V.O.)	"We are ready to go."
M	MIKE/RADIO	"This is Escort One. I'm clear."
M	CRONIN	"All teams -- listen up -- we are standing-by for final green."
F	KIM	Langley...
F	PAMELA	Martin?
M	MARSHALL	I'm here. So is Donnie and Jack Weller. We understand you're using the full allocation for this buy?
F	PAMELA	That's where we came out.
M	MARSHALL	It's a lot of money, Pam.
F	PAMELA	We're talking raw, unprocessed KGB files. It's not something we can go out and comparison shop.
M	MARSHALL	Still...
F	PAMELA	For a thief. A mole. I vetted the source, Marty. He's real. If it does nothing more than narrow the list of suspects, it's a bargain at ten times the price. Pamela, Jack Weller here. It's the quality that's at issue...
F	PAMELA	Yes, sir. I'm in total agreement. If they're fakes, they're expensive. Gentlemen, I've got the seller on site and in play. Quite honestly, there's not much more to talk about.
M	MARSHALL	All right Pam, your game, your call...
M	CRONIN/RADIO	"Final Green. You are go. are go for Final Green." Repeat, you
M	VIC/RADIO	"On my way up."
M	IVAN	Show me.
M	VIC	Here?
M	IVAN	Now. Show now.
M	VIC	This is everything? Is there.
M	IVAN	Is there. Is all there.
M	VIC	-- what the hell is that? -- alone -- you said alone --
M	VIC	-- who? -- who else is here? --
M	IVAN	-- no! -- not me! -- no other people! --
M	VIC	-- shut up! -- just shut the --
M	TEDDY/RADIO	"Hub? -- we just -- we lost power -- the building! -- the whole place just went dark! --"
