M	CHARACTER	DIALOGUE
M	FIGURE	Hello... What?... No, I don't work today... I'm playing hockey at two.
M	FIGURE (O.S.)	Why don't you call Randal?... Because I'm fucking tired... I just closed last night... Jesus... What time are you going to come in?... Twelve... Be there be twelve?... Swear...
M	FIGURE (O.S.)	Swear you'll be in by twelve and I'll do it... Twelve... Twelve or I walk.
M	DANTE	Next time, I get the bed.
M	DANTE	Shit.
M	DANTE	Shit.
M	DANTE	Shit!
M	DANTE	Thanks. Have a good one.
M	ACTIVIST	Do you mind if I drink this here?
M	DANTE	Sure. Go ahead.
F	CUSTOMER	Are you open?
M	DANTE	Yeah.
F	CUSTOMER	Pack of cigarettes.
M	ACTIVIST	Are you sure?
F	CUSTOMER	Am I sure?
M	ACTIVIST	Are you sure?
F	CUSTOMER	Am I sure about what?
M	ACTIVIST	Do you really want to buy those cigarettes?
F	CUSTOMER	Are you serious?
M	ACTIVIST	How long have you been smoking?
F	CUSTOMER	What is this, a poll?
M	DANTE	Beats me.
M	ACTIVIST	How long have you been a smoker?
F	CUSTOMER	Since I was thirteen.
M	ACTIVIST	I'd say you're about nineteen, twenty, am I right?
F	CUSTOMER	What the hell is that?
M	ACTIVIST	That's your lung. By this time, your lung looks like this.
F	CUSTOMER	You're shittin' me.
M	ACTIVIST	You think I'm shitting you...
F	CUSTOMER	What's this?
M	ACTIVIST	It's a trach ring. It's what they install in your throat when throat cancer takes your voice box. This one came out of a sixty-year-old man.
F	CUSTOMER	Unnhh!
M	ACTIVIST	He smoked until the day he died. Used to put the cigarette in this thing and smoke it that way.
M	DANTE	Excuse me, but...
M	ACTIVIST	This is where you're heading. A cruddy lung, smoking through a hole in your throat. Do you really want that?
F	CUSTOMER	Well, if it's already too late...
M	ACTIVIST	It's never too late. Give those cigarettes back now, and buy some gum instead. Here. Chewlies Gum. Try this.
F	CUSTOMER	It's not the same.
M	ACTIVIST	It's cheaper than cigarettes. And it certainly beats this.
F	CUSTOMER	Jesus!
M	ACTIVIST	It's a picture of a cancer-ridden lung. Keep it.
F	CUSTOMER	I'll just take the gum.
M	DANTE	Fifty-five.
