M	CHARACTER	DIALOGUE
M	MARTIN	Hooked it.
M	CLUB MEMBER #1	I'd come to the realization that everything I'd based my life on was false. And that my life had no meaning.
M	CLUB MEMBER #2	He gets this way when he hits over eighty-five.
M	CLUB MEMBER #1	It seemed like my life was slipping away, somehow. I was a knot in the middle of a wet rope. Everything was futile and nothing had value.
M	CLUB MEMBER #3	That's the way life is. The only meaning and value is what we create. Through structure, and discipline. Though they seem to limit our freedom, they actually give us great comfort. Your problem is you're looking for some great answer. Some ultimate truth. When what you really should do is go to work and go home.
M	CLUB MEMBER #2	And take golf lessons.
M	CLUB MEMBER #1	That's a tragedy. Can I finish my story please? I began my search for meaning. I was a Catholic, Jew, Scientologist, Sufi, Buddhist. I went to a Psychologist, psychiatrist, herbalist, nutritionist, a shaman, and a psychic. And they all pretty much say the same stuff.
M	CLUB MEMBER #2	A Jew, a shaman, and a herbalist are telling you the same thing? You're insane.
M	CLUB MEMBER #1	Basically the same thing. In a very evolved, esoteric way.
M	CLUB MEMBER #2	Insane.
M	CLUB MEMBER #1	To make a long story short...
M	CLUB MEMBER #3	--Thank God--
M	CLUB MEMBER #1	...at last I found the holistic system of systems that opened up the doors of heaven for me right here on earth. And everyday I see the world through the eyes of a child. A world of creation and wonder.
M	CLUB MEMBER #2	Jesus...
M	CLUB MEMBER #1	Overflowing with love.
M	MARTIN	Tell me about it.
M	CLUB MEMBER #1	P.P.P. Personal Pan Power. All the secrets of your universe are divided up into eight easily digestible slices.
M	CLUB MEMBER #1	See, see. It's in the accessible and everyday shape of a pan pizza. Each day you have a little slice of peace...
M	MARTIN	Oh I see. You got your individual slices of hope, dignity, confidence, self-love, justice, and harmony. You open 'em up and there's the sayings, stories, little bites of insight. It's the P.P.P. Six Day Week.
M	MARTIN	So you eat-- read it everyday?
M	CLUB MEMBER #1	Yes.
M	MARTIN	And these pan pizzas have opened up the doors to heaven?
M	CLUB MEMBER #1	Correct. That's for you. Keep it.
M	MARTIN AT CAR	He fishes out the laminated "Personal Pan Power" card, looks at it, and tosses it onto the ground. Police cars, now visible in the distance, wind into the long club driveway. Martin gets into his car and pulls away.
M	DRIVER	How was your day, today, sir?
M	MARTIN	Effective. But to tell you the truth, I've lost my passion for work.
M	DRIVER	Do you like the people you work with?
M	MARTIN	I work alone.
M	DRIVER	That's it then. That's it. I've always been alone. That's why I'm a good driver. I can handle it. See, I can think on my feet. I survive, I'm a thinker. And I can sit there in front of your house for two hours and it don't bother me. Some people can't do it! Some people are ranting and raving, "Tell them fuckin' people to get out here and get in this car, I can't-- I want a go!" Where you gonna go? You're gonna wind up back in your garage at seven o'clock at night. You ain't going nowhere. You leave your house in the morning you get back to your house in the evening. What's the big deal, right?
M	MARTIN	You understand the psychology of the job.
M	DRIVER	I do. Some guys can't adjust to it; they can't handle it.
M	DRIVER	You look like you're far away. Far away and thinking about other things. I'm right about that, aren't I?
M	MARTIN	No.
M	DRIVER	Well, let's just say that sometimes I'm right. Sometimes you are.
M	MARTIN	Sometimes I am. Sometimes. It's only natural.
M	DRIVER	It's only natural....
M	DRIVER	I been looking at you, and I've decided that I want to share something with you.
M	MARTIN	Okay.
M	DRIVER	Because your problem is you're bored. And you have a very big mind. I am part of what I call a brain syndicate.
M	DRIVER	I am part of a network of minds, a group of five people who are all connected, over hundreds, even thousands of miles, through the mind. We can think with each other, think for each other. I can be driving somewhere, sleeping with a woman-- whatever it is-- and at the same time be thinking a thought in someone else's mind, far away. Running someone else's brain.
M	MARTIN	Up on the right.
M	DRIVER	And when you think of it, it's not so surprising that a small group of people control the whole world, is it?
M	MARTIN	If it's not there, I can't proceed. Tell them.
M	MARTIN	Tom. I've been waiting for an answer. I'm only in town tonight.
M	MARTIN	What's different this time than the last time? I have to be down front...
M	MARTIN	...I don't bother to call anyone else because you always take care of me.
