M	CHARACTER	DIALOGUE
M	NARRATOR (V.O.)	The's right... New York. It's 1958 -- anyway, for a few mo' minutes it is. Come midnight it's gonna be 1959. A whole 'nother feelin'. The New Year. The future... ...Yeah ole daddy Earth fixin' to start one mo' trip 'round the sun, an' evvybody hopin' this ride 'round be a little mo' giddy, a little mo' gay... Yep...
M	NARRATOR (V.O.)	...All over town champagne corks is a-poppin'.
M	NARRATOR (V.O.)	...Over in the Waldorf the big shots is dancin' to the strains of Guy Lombardo... Down in Times Square the little folks is a-watchin' and a- waitin' fo' that big ball to drop...
M	NARRATOR (V.O.)	...They all tryin' to catch holt a one moment of time...
M	NARRATOR (V.O.)	...to be able to say -- 'Right now! This is it! I got it!' 'Course by then it'll be past. But they all happy, evvybody havin' a good time.
M	NARRATOR (V.O.)	...Well, almost evvybody. They's a few lost souls floatin' 'round out there...
M	NARRATOR (V.O.)	...This one's Norville Barnes.
M	NARRATOR (V.O.)	...Let's move in for a closer look.
M	NARRATOR (V.O.)	...That office he jes stepped out of is the office of the president of Hudsucker Industries. It's his office...
M	NARRATOR (V.O.)	...How'd he get so high? An' why is he feelin' so low? Is he really gonna do it -- is Norville really gonna jelly up the sidewalk?
M	NARRATOR (V.O.)	...Well the future, that's something you can't never tell about...
M	NARRATOR (V.O.)	...But the past... That's another story...
M	EXECUTIVE	-- So in the third quarter we saw no signs of weakening. We're up 18 percent over last year's third quarter gross and, needless to say, that's a new record...
M	EXECUTIVE	...The competition continues to flag and we continue to take up the slack. Market share in most divisions is increasing and we've opened seven new regional offices...
M	EXECUTIVE	...Our international division has also shown vigorous upward movement in the past six months and we're looking at some exciting things in R&D... Sub-franchising. Don't talk to me about sub-franchising; we're making so much money in sub-franchising it isn't even funny. Start building yours at Hudsucker Industries. Low pay. Long Hours. NO EXPERIENCE NECESSARY. Apply Personnel, 285 Madison Avenue.
M	EXECUTIVE (O.S.)	...Our owned-and-operateds are performing far above expectations both here and abroad, and the Federal Tax Act of 1958 is giving us a swell writeoff on our plant and heavies...
M	EXECUTIVE	...The news in the money market isn't good -- it's excellent... ...Our nominees and assigns continue to multiply and expand extending our influence regionally, nationally and globally. So, third quarter and year- to-date, we've set a new record for sales...
M	EXECUTIVE (O.S.)	...new record in gross...
M	EXECUTIVE (O.S.)	...new record in pre-tax earnings... ...new record in after-tax profit...
M	EXECUTIVE (O.S.)	...and our stock has split twice this year...
M	EXECUTIVE (O.S.)	...In short...
M	EXECUTIVE	...we're loaded.
M	HUDSUCKER	Ahem...
M	EXECUTIVE	...Mr. Hudsucker? Start building yours at Hudsucker Industries. Low pay. Long Hours. NO EXPERIENCED NECESSARY. Apply Personnel, 285 Madison Avenue.
M	HUDSUCKER	Aaaaaaaaahhhhhhhhh...
M	HUDSUCKER	...aaaaaaaaaaaaaaaaaaahhh...
F	MUSSBURGER	Pity to waste a whole Monte Cristo.
M	AN EXECUTIVE	He could've opened the window.
M	ELDERLY EXECUTIVE	Waring Hudsucker never did anything the easy way.
M	ADDISON	My God, why?! Why did he do it?! Things were going so well!
F	MUSSBURGER	What am I a headshrinker? Maybe the man was unhappy.
M	ADDISON	He didn't look unhappy!
M	EXECUTIVE	Yeah, well, he didn't look rich.
M	ELDERY EXECUTIVE	Waring Hudsucker was never an easy man to figure out. He built this company with his bare hands. Every step he took was a step up. Except of course this last one.
F	MUSSBURGER	Sure, sure, he was a swell guy, but when the president, chairman of the board and holder of eighty-seven percent of the company's stock drops forty-four floors --
M	PRECISE EXECUTIVE	Forty-five --
M	ELDERY EXECUTIVE	Counting the mezzanine --
F	MUSSBURGER	-- Then the company has a problem. Stillson, what exactly is the disposition of Waring's stock?
M	STILLSON	Well, as you know, Hud left no will and had no family. The company bylaws are quite clear in that event. His entire portfolio will be converted to common stock and will be sold over the counter as of the first of the fiscal year following his demise.
F	MUSSBURGER	Meaning?
M	STILLSON	Meaning simply that Waring's stock, and control of the company, will be available to the public on January first.
F	MUSSBURGER	You mean to tell me that any slob in a smelly T-shirt will be able to buy Hudsucker stock?
M	STILLSON	The company bylaws are quite clear.
M	ADDISON	My God! You're animals! How can you discuss his stock when the man has just leapt forty-five floors --
M	PRECISE EXECUTIVE	Forty-four --
M	ELDERLY EXECUTIVE	-- Not counting the mezzanine.
F	MUSSBURGER	Quit showboating, Addison, the man is gone. The question now is whether we're going to let John Q. Public waltz in and buy 87 percent of our company.
M	PIPE-SMOKING EXECUTIVE	What're you suggesting, Sidney? Certainly we can't afford to buy a controlling interest.
F	MUSSBURGER	Not while the stock is this strong. How long before Hud's paper hits the market?
M	STILLSON	January first.
M	AN EXECUTIVE	Thirty days.
M	ANOTHER EXECUTIVE	Four weeks.
M	ADDISON	A month at the most.
F	MUSSBURGER	One month to make the blue-chip investment of the century look like a round-trip ticket on the Titanic.
M	AN EXECUTIVE	We play up the fact that Hud is dead.
M	ALL	Long live the Hud!!
M	ANOTHER EXECUTIVE	We depress the stock --
M	YET ANOTHER EXECUTIVE	-- to the point where we can buy fifty-percent.
M	PRECISE EXECUTIVE	Fifty-one.
M	ELDERLY EXECUTIVE	Not counting the mezzanine.
