M	CHARACTER	DIALOGUE
M	STEWARD	Fine! Fine! She ought to like this. Open the door.
M	GUARD	Who's gonna take it in to her? You?
M	STEWARD	Oh, no. Mullison! Come on!
M	MULLISON	Not me, sir. She threw a ketchup bottle at me this morning.
M	STEWARD	Well, orders are orders! Somebody's gotta take it in. Fredericks!
M	FREDERICKS	Before I bring her another meal, I'll be put off the ship first.
M	STEWARD'S VOICE	Henri!
M	HENRI	No, Monsieur. When I leave the Ritz you do not say I have to wait on crazy womans.
M	ANOTHER WAITER (A COCKNEY)	My wife was an angel compared to this one, sir. And I walked out on her.
M	GUARD	Come on! Make up your mind!
M	LACEY	What's up? What's up?
M	STEWARD	These pigs! They're afraid to take her food in.
M	LACEY	That's ridiculous! Afraid of a mere girl! Why didn't you do it yourself?
M	STEWARD	Why -- I -- well, I never thought about --
M	LACEY	I never heard of such a thing! Afraid of a mere girl. I'll take it in myself.
M	LACEY	Can't get a thing done unless you do it yourself. Open the door.
M	LACEY	Afraid of a mere girl! Ridiculous.
M	ANDREWS	On a hunger strike, huh? When'd she eat last?
M	CAPTAIN	She hasn't had a thing yesterday -- or today.
M	ANDREWS	Been sending her meals in regularly?
M	CAPTAIN	Yessir. She refuses them all.
M	ANDREWS	Why didn't you jam it down her throat?
M	CAPTAIN	It's not quite that simple. I've dealt with prisoners in my time, but this one --
M	ANDREWS	Absurd! All this fuss over a snip of a girl. I'm going down to see her myself.
M	CAPTAIN	This is dangerous business, Mr. Andrews. After all, kidnapping is no child's play.
M	ANDREWS	What's this! What's happened here?
M	LACEY	She refused another meal, sir.
M	ANDREWS	Get another tray ready. Bring it here at once. Open the door.
F	ELLIE	What do you want?
M	ANDREWS	What's this about not eating?
F	ELLIE	I don't want to eat! And there's one more thing I don't want! Definitely! That's to see you.
M	ANDREWS	Know what my next move is? No more cigarettes.
F	ELLIE	Why don't you put me in chains?
M	ANDREWS	I might.
F	ELLIE	All right! Put me in chains! Do anything you want! But I'm not going to eat a thing until you let me off this boat!
M	ANDREWS	Come on, Ellie. Stop being silly. You know I'm going to have my way.
F	ELLIE	I won't stand for it! I won't stand for your running my life! Why do you insist on it!
M	ANDREWS	You ought to know why. Because --
F	ELLIE	Yes. I know. Because I'm your daughter and you love me. Because you don't want me to make any mistakes. Because --
M	ANDREWS	Because marrying that fool King Westley is --
F	ELLIE	You're wasting your time. I'm already married to him.
M	ANDREWS	Not so far as I'm concerned, you're not. Yes?
F	ELLIE	How many times have I told you not to bring any food in here.
M	ANDREWS	Wait a minute! Don't get excited! This isn't for you. Put it right here.
M	FIRST WAITER	Anything else, Monsieur?
M	ANDREWS	No. Everything seems quite satisfactory. I may want some more of that delicious gravy. I'll ring.
M	WAITER	Very good, Monsieur.
M	ANDREWS	Heavenly!
F	ELLIE	Smart, aren't you! So subtle.
M	ANDREWS	If Gandhi had a chef like Paul, it would change the whole political situation in India.
F	ELLIE	You can't tempt me. Do you hear? I won't eat!
M	ANDREWS	Please. I can't fight on an empty stomach. Remember what Napoleon said.
F	ELLIE	I hope you're not comparing yourself to Napoleon. He was a strategist. Your idea of strategy is to use a lead pipe.
F	ELLIE	Most humiliating thing ever happened to me. A bunch of gorillas shoving me in a car! That crowd outside the justice of the peace -- must have thought I was a criminal -- or something.
F	ELLIE	Where are you taking me?
M	ANDREWS	South America.
F	ELLIE	South America!
M	ANDREWS	We leave Miami in an hour. Soon's we get some supplies aboard.
F	ELLIE	You'll have a corpse on your hands! That what you'll have. I won't eat a thing while I'm on this boat.
M	ANDREWS	In that event, we won't need so many supplies.
F	ELLIE	What do you expect to accomplish by all this? I'm already married!
M	ANDREWS	I'll get it annulled.
F	ELLIE	You'll never do it! You can't do it!
M	ANDREWS	I'll do it if it takes every penny I've got. I'll do it if I have to bribe that musical comedy Justice of the Peace! I'll do it -- if I have to prove that you were dragged in, staggering drunk. You probably were. Mmm -- mmm. This filet mignon is divine!
F	ELLIE	What've you got against King Westley?
M	ANDREWS	Nothing much. I just think he's a fake, that's all.
F	ELLIE	You only met him once.
M	ANDREWS	That was enough. Do you mind handing me the ketchup?
F	ELLIE	You talk as if he were a gigolo -- or something.
M	ANDREWS	Never mind -- I'll get it myself. Gigolo? Why, you took the word right out of my mouth. Thanks.
F	ELLIE	He's one of the best fliers in the country. Right now he's planning a trip to Japan.
M	ANDREWS	You're going to finance him, I suppose.
F	ELLIE	Why not? Look what he's doing for aviation. It takes courage to do what he does. And character! At least he's accomplished something worthwhile. I suppose you'd like to have me marry a business man. Well, I hate business men -- particularly if you're a shining example.
F	ELLIE	Your whole life is devoted to just one thing. To accumulate more money. At least there's romance in what he's doing.
M	ANDREWS	He's no good, Ellie, and you know it. You married him only because I told you not to.
F	ELLIE	You've been telling me what not to do since I was old enough to remember. I'm sick of it!
F	ELLIE	Aw, listen, Dad. Let's not fight like this any more. I know you're worried about me -- and want me to be happy. And I love you for it. But please try to understand. You're not being fair, darling. This isn't just a crazy impulse of mine. King and I talked about it a lot before we decided to get married. Look -- why can't we give it a trial -- let's say -- for a year or so. If it's wrong, King and I will be the first to know it. We can get a divorce, can't we? Now, be a dear, and let me off the boat. Keeping me prisoner like this is so silly.
M	ANDREWS	You'll be set free when the marriage is annulled.
M	ANDREWS' VOICE	So there's no use being a stubborn idiot.
F	ELLIE	I come from a long line of stubborn idiots!
M	ANDREWS	A time will come when you'll thank me for this.
F	ELLIE	I won't thank you! I'll never thank you!
M	ANDREWS	Please don't shout.
F	ELLIE	I'll shout to my heart's content! I'll scream if I want to.
M	ANDREWS	Ah! Coconut layer cake. Nice and gooey, too. Just the way I like it.
M	ANDREWS	Ellie!
M	ANDREWS	It's my daughter! Go after her.
M	CAPTAIN	Lower the boats!
F	ELLIE	Thanks.
M	A MAN	Sorry, sir. She got away.
M	ANDREWS	Of course she got away -- too smart for you.
M	CAPTAIN	What a hell cat. No controlling these modern girls. They're terrible!
M	ANDREWS	Terrible! Nothing terrible about her. She's great! Marvelous youngster! Got a mind of her own. Knows just what she wants. She's not going to get it though. She won't get very far. Has no money.
M	CAPTAIN	What about that diamond wrist watch she had on -- she can raise some money on that?
M	ANDREWS	Holy Smoke! I forgot all about that. Send a wireless at once, "Lovington Detective Agency. Daughter escaped again. Watch all roads -- all transports and railroad stations in Miami. Have your New York office keep tabs on King Westley. Intercept all messages. Want her back at all costs!"
M	OFFICER	Yessir.
M	FIRST DETECTIVE	We're wastin' our time. Can you picture Ellie Andrews ridin' on a bus?
M	SECOND DETECTIVE	I told the old man it was the bunk.
M	OLD LADY	Here's your ticket, ma'am.
F	ELLIE	Oh, thank you. Thank you very much. Here.
M	OLD LADY	Oh, thank you. Thank you.
F	ELLIE	When does the bus leave?
M	OLD LADY	In about fifteen minutes.
F	ELLIE	Thank you.
M	SHORTY	Hey, what's going on here? I'd like to use that phone.
M	FIRST MAN	Shh! Quiet. This is history in the making.
M	SHORTY	What?
M	FIRST MAN	There's a man biting a dog in there.
M	SECOND MAN	Atta-boy, Petey, old boy! Atta-boy! --
M	PETER'S VOICE	I'm not going to stand for this any longer. In a pig's eye, you will!--
