M	CHARACTER	DIALOGUE
M	CHARLIE	Lyle?
F	LYLE	I've got the orbital data and SV clock corrections for each satellite that gets the signal. That'll make my reading as solid as the Precise Positioning Service that only the D.O.D. can use. We're talkin' 100 meter horizontal accuracy, 156 meter vertical accuracy, .340 nanoseconds time accuracy.
M	STEVE	Why can't he talk like a person?
M	CHARLIE	...Because he's not.
F	LYLE	I do need one more thing, Charlie.
M	CHARLIE	What's that?
F	LYLE	Someone to turn the goddamn homing device on. No signal, no score.
M	CHARLIE	Where're the Italians?
M	STEVE	Patience.
M	HANDSOME ROB	What's that shit?
M	HALF-EAR	A book. It's called reading. You should try it some time.
M	HANDSOME ROB	You wanna read something. Read between the lines.
M	HALF-EAR	Well here's something even you can relate to. Albert got a lotta trim. That genius thing is a babe magnet.
M	HANDSOME ROB	Lemme see that book. Hello?
M	JOHN BRIDGER	Hi, sweetie.
F	STELLA	Daddy. How are you?
M	JOHN BRIDGER	I'm sending you something.
F	STELLA	Really? Does it smell nice?
M	JOHN BRIDGER	No. But it's sparkly.
F	STELLA	Does it come with a receipt?
M	JOHN BRIDGER	I'm having it sent to you from the store.
F	STELLA	Why not bring it by yourself? We could have dinner.
M	JOHN BRIDGER	Be a long trip. I'm in Genoa.
F	STELLA	Let me guess. Checking out the birthplace of Christopher Columbus.
M	JOHN BRIDGER	Something like that.
F	STELLA	With your parole officer's approval.
M	JOHN BRIDGER	I think I've paid my P.O. my last visit. I liked the guy, but we never really connected.
F	STELLA	What are you into, Dad? Don't break my heart. You told me you were through.
M	JOHN BRIDGER	After this, I swear to you, I am.
F	STELLA	You promised me. Daddy, don't do this.
M	JOHN BRIDGER	Everything's going to be fine. I've got to go now. I love you. Bye.
M	JOHN BRIDGER	Italians?
M	CHARLIE	Not yet.
M	STEVE	Don't worry, they'll come through. You can trust these guys.
M	JOHN BRIDGER	I trust everyone. It's the devil inside them that I don't trust. Got a sec?
M	CHARLIE	My office.
M	JOHN BRIDGER	How you feeling, boss?
M	CHARLIE	Fine. I'm fine, fine.
M	JOHN BRIDGER	You know what fine, stands for, don't you? Fucked-up, Insecure, Neurotic, and Emotional.
M	CHARLIE	You've become quite the philosopher since you quit drinking.
M	JOHN BRIDGER	You don't like me sober?
M	CHARLIE	No, I'm glad. Makes you a better thief.
M	JOHN BRIDGER	For after the haul.
M	CHARLIE	Hope I get to fire it up. If Steve's Italians are a no-show, it's three months prep down the shitter and I've dragged you out of retirement for nothing.
M	JOHN BRIDGER	This is kinda nice. You being the boss with all the worries, me just along for the ride.
M	CHARLIE	Ain't you sweet...
M	STEVE (O.S.)	Charlie!
M	CHARLIE	Your Italians.
M	STEVE	Yup. Dixie cups.
M	CHARLIE	Dixie cups?
M	STEVE	I toss 'em away if there's a problem down the road.
F	LYLE	For those about to rock, we salute you.
M	HANDSOME ROB	Yeah.
M	CHARLIE	Let's get rich.
M	HANDSOME ROB	Can you chill out back there? You'd make a hummingbird nervous.
M	HALF-EAR	I'm done. Over.
M	LYLE (V.O.)	Copy that. Enjoy the ride, cowboy.
M	LYLE (V.O.)	Get ready. 3. 2. 1. Drop.
M	CHARLIE	Sweet Jesus.
M	JOHN BRIDGER	"That for which all virtue is sold. And almost every vice -- gold."
M	JOHN BRIDGER	My name is John and I'm a very rich alcoholic. And I'm going to live my life one very rich day at a time.
M	THE CREW	Alright, John!
M	JOHN BRIDGER	You planned this one down to a t, kid. It's a gift. You saw the big picture, made contingencies, covered the angles...
M	JOHN BRIDGER	Shit, you made thirty million dollars in gold drop out of sight without holding a gun. Who else could've pulled that off?
M	CHARLIE	You could've. I had big shoes to fill.
M	JOHN BRIDGER	Fill the shoes but don't follow the footprints.
M	CHARLIE	What're you talking about? You've lived the life.
M	JOHN BRIDGER	My life's been nothing but fake IDs, fake business cards and divorce papers. This is the only thing that's real.
M	CHARLIE	Stella's a beautiful girl.
M	JOHN BRIDGER	She's amazing. And I spent half her childhood in prison. This is a once in a lifetime haul, Charlie. Bring down the curtain after this one. Make a new life. Find someone amazing and be there for her.
M	HANDSOME ROB	Shit.
M	STEVE	Anyone acts stupid and his brains go on the windshield.
M	CHARLIE	What the hell do you think you're doing?
M	STEVE	Sorry Charlie. But I want the box of Cracker Jack all to myself.
M	CHARLIE	You're not thinking this through. It's a stupid move.
M	STEVE	Think so? Well you're the brilliant one. The Master Planner. Isn't that so, John?
M	STEVE	You bet on the wrong horse.
M	JOHN BRIDGER	We'll hunt you down. You're gonna regret this.
M	STEVE	No regrets, Dixie cup.
M	CHARLIE (V.O.)	If you would have told me that I would spend the next three years searching for Steve Bandell, I would have said that was nothing. Cause I would have spent a lifetime looking for that bastard if I had to.
M	FIRST COP	You always work in the dark?
F	STELLA	Buzz of the fluorescents throws me off. She's all yours.
M	SECOND COP	Damn. Chris Perley couldn't crack it. Neither could Michael Hoyt.
F	STELLA	Now you know who to call first.
M	FIRST COP	You're expensive, Stella. Those guys cut us a break on subpoena jobs. Goodwill, community service...
F	STELLA	Well I do it for the money. I'll send you the bill.
M	SECOND COP	Don't you want to see what's inside?
F	STELLA	I never look. Bye, guys.
M	RECEPTIONIST	How long?
F	STELLA	Four minutes, forty-three seconds.
M	RECEPTIONIST	You're the man.
F	STELLA	So what's on the line-up?
