M	CHARACTER	DIALOGUE
M	TOM	Hey! Hey hey! I'm with you, right?
F	CHRISSIE	C'mon!
F	CHRISSIE	Tommy? Don't dunk me...
M	RADIO ANNOUNCER (V.O.)	Hayes Landing reports conditions good, with stripers and jacks. The Coast Guard has no storm warning from Block Island to Cape Hatteras; a light chop with freshening winds, continued clear and mild... (etc.)
F	BRODY	How come the sun didn't used to shine in here?
F	ELLEN	'cause when we bought the house it was Autumn. This is summer. Feed the dogs.
F	BRODY	Right.
F	ELLEN	Do you see the kids?
F	BRODY	Probably out in the back yard.
F	ELLEN	In Amity, you say 'Yahd.'
F	BRODY	The kids are in the yahd, playing near the cah. How's that sound?
F	ELLEN	Like you're from N'Yawk.
F	BRODY	Give me 30 years, I'll get it.
F	BRODY	Did you burn another kettle? Y'know you're a fire hazard? This is the third one!
M	ELLEN (O.S.)	I never hear the whistle.
F	BRODY	Feed the dogs.
F	ELLEN	You want to go through those? I'm taking them to the Thrift Shop. It's Marcia Vaughn's pet charity. Pick out what you want to keep -- it's mostly your city clothes.
F	BRODY	I used to wear this to the Garden. Garbage strikes. Dog shit. Muggers. Ship it.
F	ELLEN	Don't be silly -– You're going to make summer better for them...
M	MICHAEL	Cut my hand. Hit by a vampire.
F	BRODY	On the swing? I told you not to play near there until I sanded it down. See what your son did?
F	ELLEN	Go upstairs and bring Mommy a band- aid.
F	ELLEN	Don't forget these.
F	BRODY	Oh, yeah. How do I look? Older, huh?
F	ELLEN	I think they make you look sexy.
F	BRODY	Sexy, hm? What was I before?
F	ELLEN	Older, sillier.
F	BRODY	I don't want to depend on these things, y'know -– sometimes you can weaken your eyes.
F	BRODY	Let's see...
F	BRODY	Brody... yeah, what's up... mmm... Well, what do they usually do, float or wash up? Really?... okay, I'll meet both of you at the beach in ...20 minutes, okay? Okay. First goddamn weekend of the summer.
F	ELLEN	There. What was that?
F	BRODY	The office.
F	ELLEN	Be careful.
F	BRODY	Here? You gotta be kiddin'.
F	BRODY	Love ya.
F	ELLEN	Hey Chief. Bring my cup back.
F	BRODY	Christine what?
M	CASSIDY	Worthingsly... Worthington -- no one ever died on me before.
F	BRODY	You picked her up on the ferry.
M	CASSIDY	I didn't know her.
F	BRODY	And nobody else saw her in the water?
M	CASSIDY	Somebody could've -- I was sort of passed out.
F	BRODY	Think she might've run out on you?
M	CASSIDY	Oh, no, sir. I've never had a woman do that. I'm sure she drowned.
F	BRODY	You from around here?
M	CASSIDY	No. Cambridge. Harvard. My family's in Tuxedo, New York, though.
F	BRODY	You here for the summer?
M	CASSIDY	Some friends and me took a house.
F	BRODY	What d'you pay for a place just for the summer?
M	CASSIDY	A thousand apiece, something like that. There's five of us. And we each kick in a hundred a week for beer and cleaning, stuff like that.
F	BRODY	Pretty stiff.
F	BRODY	Maybe that's your girl.
M	CASSIDY	You can't make me look -- !
F	BRODY	If this is going to work, you've got to keep current stuff out here, and put 'closed' files in there. The 'Pendings' stay on my desk, okay?
F	POLLY	This is in no order of importance, Chief: There's a meeting on the Amity Town Council on Aging this Monday night, Bentoncourt Hall. The Fire Inspector wants you to go over the fireworks site with him before he catches the one o'clock ferry. Mainly, you have a batch of calls about that new Karate school.
F	POLLY	Searle's Rent-a-Bike, the Rainy Ale, Tisberry's Hardware... they say it's those nine-year-olds from the school practicing karate on all those nice picket fences.
F	POLLY	It's the Coroner. Somebody pass away in the night?
F	BRODY	Jesus, Santos.
F	POLLY	What's the matter?
F	BRODY	Polly, I want to know what water recreation is on for today.
F	POLLY	Right this minute?
F	BRODY	Where'd you hide the 'Beach Closed' signs?
M	HENDRICKS	We never had any. What's the problem?
M	LOCAL MERCHANT	Glad I caught you. There's a city truck with New Hampshire plates parked right in front of my...
M	KEISEL	Wait-a-minute. Glasses, right?
M	KEISEL	Look at those fences! Little guys about eight to ten years old. And look at this!
M	KEISEL	They did that with their bare hands.
F	BRODY	Call me later in the day, okay, Harry?
M	LYNWOOD	Stuff's no good to me in August when the Pilgrims come in June... Go on and help yourself to whatever you need, Chief. Can you work the register?
M	HENDRICKS	Polly told me to tell you there's a scout troop in Avril Bay doing the mile swim for their Merit Badges. I couldn't call them in, there's no phone out there.
F	BRODY	Get out of there – take these back to the office and make up some 'Beach Closed' signs, and let Polly do the printing.
M	HENDRICKS	What's the matter with my printing?
M	VAUGHN	What have you got there, Lenny?
M	HENDRICKS	We had a shark attack at South Chop this morning, Mayor. Fatal. Gotta batten down the beach.
M	VAUGHN	Who've you told this to, Lenny?
M	HENDRICKS	I just found out about it -- but there's a bunch of Boy Scouts in the water a coupla miles down the coast from where we found the girl. Avril Bay, thereabouts. Chief went to dry them off.
M	VAUGHN	Take my car, okay? You come with us, Lenny.
M	HENDRICKS	I've got all these signs here...
M	VAUGHN	C'mon, it'll give us time to think about what they're going to say.
M	SCOUTMASTER	Let's go, Robbie. You too, Hofner. Boyle, keep your head up. Alberts, keep kicking...
M	VAUGHN	Martin! Are you going to shut down the beach on your own authority?
F	BRODY	Do I need any more authority?
M	MEADOWS	Technically, you need the instruction of a civic ordinance, or a special meeting of the town selectmen...
M	VAUGHN	That's just going by the book. We're just a little anxious that you're rushing into something serious here. This is your first summer.
F	BRODY	Now tell me something I don't know.
M	VAUGHN	All I'm saying is that Amity is a summer town -- we need summer dollars, and if they can't swim here, they'll use the beaches at Cape Cod, or Long Island.
F	BRODY	So we should set out a smorgasbord?
M	MEADOWS	We're not even sure what it was.
F	BRODY	What else could've done that?
M	VAUGHN	Boat propeller?
M	DOCTOR	I think, possibly... sure. A boating accident.
M	VAUGHN	Some weekend tramp accidentally goes swimming too far, she's a little drunk, a fishing boat comes along --
M	MEADOWS	Remember when Fred Ganz went scalloping in his BVD's? He was going to swim to New Bedford, he said.
M	MEADOWS	...and Bill Mayhew almost caught him in his net...?
F	BRODY	Doctor, you're the one who told me what it was!
M	DOCTOR	I was wrong. We'll have to amend the report.
M	MEADOWS	We never had that kind of trouble here.
M	VAUGHN	I don't think you can appreciate the gut reaction people have to these things.
F	BRODY	I was only reacting to what I was told.
M	VAUGHN	It's all psychological, anyway. You yell 'Barracuda' and everyone says 'huh'. You yell 'Shark' and we've got a panic on our hands. I think we all agree we don't need a panic this close to the 4th of July.
F	BRODY	I can't work in a vacuum. Why don't you make Hendricks Chief? His family's been here since the Puritans -- half this island are his cousins.
M	VAUGHN	Martin, we hired the best man we could find.
M	VAUGHN	We need someone who isn't prejudiced by old feuds or family ties, someone who can referee things.
M	MEADOWS	You have our complete support.
M	VAUGHN	Now then. We've got a vandalism problem we ought to talk about...
M	SHOPKEEPER	Hello, Mr. Quint.
M	QUINT	Four spools of Number 12 piano wire, Okay? I ordered them.
M	SHOPKEEPER	Yessir, right here. What do those fish do, eat this stuff?
M	QUINT	They choke on it.
M	SHOPKEEPER	Bye now.
M	MAX TAFT	Looks like another big season. Gets worse every year.
F	MRS. TAFT	And none of them from the Island. Just a lot of bother.
F	BRODY	What?
F	TAFT	Present company excepted, but off- islanders are a pain in the butt. Pardon my French.
F	ELLEN	What about this kid? What if he were born here. That make him an islander?
F	TAFT	Just 'cause a cat has kittens in an oven, it don't make them muffins.
M	SEAN	I'm not a muffin! I'm a boy!
F	MRS. KINTNER	Alex! Alex Kintner! Where do you think you're going?
M	ALEX	Water. Just once more, please?
F	MRS. KINTNER	Let me see your fingers --
F	MRS. KINTNER	They're beginning to prune. 10 minutes more.
F	ELLEN	Do you want the boys to come in? Honey, if you're worried...
F	BRODY	How's the water?
M	KEISEL	Too cold. I'm going in again Labor Day. Hope we get this weather next weekend.
F	ELLEN	You're very tight, y'know? Right there.
F	BRODY	Ow. He's gotta be more careful in the water...
M	DOG MAN	Buster! Hey, Buster! Here boy! He continues to ad lib calling his dog, but there's no answer, no dog in the water.
M	A KID (MATHEW)	Hey, no fair splashing in the eyes!
M	TOURIST	Something in the water. Right there! Didn't anyone see it?
M	WOMAN	There's blood in the water.
F	ELLEN	What is it...?
F	BRODY	Michael! Sean! Out of the water. Everybody out of the water! Michael! Get out!
F	MRS. KINTNER	Alex! Alex? Alex...!
F	BRODY	Look, I've got to talk to her. This isn't a contest we want the whole country entering.
M	MEADOWS	I agree. If she's going to advertise, I wouldn't recommend out-of-town papers. Amity people could take care of this.
F	BRODY	I'm responsible for public safety around here...
M	VAUGHN	Then go out tomorrow and make sure no one gets hurt. Everybody, could I have your attention? Since this affects all of us, I suggest we move into council chambers, where there's more room...
M	VAUGHN	Well, here we all are; anyone have any special questions?
M	DENHERDER	Is that $3000 bounty on the shark in cash or check?
M	VAUGHN	That's private business between you brave fishermen and Mrs. Kintner. -- Chief --
F	BRODY	I'd like to tell you what we're doing so far. These are some of the steps I've taken as Chief of Police...
M	MEADOWS	What's going on with the beaches, Chief?
F	BRODY	I'll get to that in a minute. First, I plan to start our seasonal summer help early, and to use shark spotters on beaches open to the sea. I'd like cooperation from local fishermen, and I've also contacted the Oceanographic Institute over on the mainland.
M	VAUGHN	No need to involve outsiders in our business, Martin.
M	WOMAN	Are you going to close the beaches?
F	BRODY	Larry and I have also decided to close the beaches for a short time.
M	VAUGHN	Only 24 hours!
F	BRODY	I didn't agree to that!
F	MRS. TAFT	That official business could take all summer!
M	MR. KEISEL	Maybe it's better to close.
M	MR. WISEMAN	We should make sure there is no danger.
M	MR. HASSETT	I didn't raise my kids to be some fish's lunch!
F	MRS. TAFT	The motel is all I own -- you pull the plug on this town and I go down the drain with it.
M	MR. POSNER	Nobody's seen a shark.
M	MR. POLK	We'll lose business, we lose taxes, we lose our shirts!
M	QUINT	You all know me. You know what I do for a living. I'll go out and get this bird for you. He's a bad one and it's not like goin' down the pond chasing blue-gills and tommy- cods. This is a fish that can swallow a man whole. A little shakin', a little tenderizing and down ya' go. You gotta get this fellow and get him quick. If you do, it'll bring a lot of tourist business just to see him and you've got your business back on a paying basis. A shark of that size is no pleasure and I value my neck at a hell of a lot more'n 3,000 bucks. I'll find him for three. But I'll kill him for ten.
M	QUINT	The bastard is costing you more'n that every day. Do you wanna stay alive and annee up the ten or play it cheap and be on welfare next winter. I'm gonna kill this thing... just a matter of whether I do it now -- or at the end of summer.
M	VAUGHN	Thank you very much, Mr. Quint, the Selectmen will take your offer under advisement
F	ELLEN	Can you stand something to eat?
F	BRODY	Love a cup of tea. With lemon.
F	ELLEN	Mikey loves his birthday present.
F	BRODY	Where is he?
F	ELLEN	He's sitting in it.
F	ELLEN	Honey. He has it tied up to the jetty with a double-knot.
F	BRODY	Son! -- Out of the water now!
M	MICHAEL	My boat's neat, dad!
F	BRODY	I want him out of the ocean.
F	ELLEN	It's three feet deep, Martin
F	BRODY	Michael! Come inside!
F	ELLEN	It's his birthday present, and you closed the beach, Honey. I told him not to go in the water after what happened yesterday. I don't believe he'll ever do it again.
F	BRODY	I told him not to go out until he memorized the handbook and the safety safety regulations, until he was sure of himself...
F	ELLEN	You heard your father! Out right now!
M	DENHERDER	You wanna call it a night after here?
M	CHARLIE	It's only two-thirty. What, are you tired?
M	DENHERDER	Yeah, Charlie, I got my second wind three nibbles back.
M	DENHERDER	Leg of lamb this time?
M	CHARLIE	Screw lamb -- let's shoot the sirloin!
M	DENHERDER	We're blowin' half the bounty on bait --
M	DENHERDER	One more after this, then I'm going home.
M	CHARLIE	Set?
M	CHARLIE	Tide's taking it right out.
M	DENHERDER	You do this all the time, right, Charlie?
M	CHARLIE	Twenty years.
M	DENHERDER	I can't believe that people pay money to go fishing. This is really dumb. This isn't even relaxing... it's just boring.
M	DENHERDER	Hey! What's this?
M	CHARLIE	Look at him take it!
M	DENHERDER	Do I set the goddam hook?
M	CHARLIE	Let him do it! Go-go-go-go-go!
M	DENHERDER	CHARLIE! JUMP!
M	CHARLIE	Holy Jesus Christ!
M	DENHERDER	Get the hell out! Charlie! Swim!
M	HENDRICKS	...So then Denherder and Charlie sat there trying to catch their breath, and figuring out how to explain to Charlie's wife what happened to her freezer full of meat.
F	BRODY	That wasn't funny.
M	HENDRICKS	Mrs. Kintner must've put her ad in Field and Stream.
F	BRODY	Looks more like the readers of the National Enquirer.
M	OUT-OF-TOWNER	You're charging me double the usual rent! I didn't come up here all the way from New Rochelle to be gouged by some Yankee Cracker!
M	BOAT RENTAL MAN	Prices go up June First every year. You want a nice cheap, leaky boat, you go down to the Hamptons. Right, Chief?
F	BRODY	Hey! You know how many men that's supposed to hold?
M	MAN IN BOAT (WALTER)	Whatever's safe, right?
F	BRODY	What you got ain't safe. You take some guys off or you don't go out.
M	HOOPER	Hello.
M	GARDNER	Hello, back.
F	BRODY	You going out too, Ben?
M	GARDNER	Might give it a try. That three thousand bounty beats working for a living. We ready?
F	BRODY	Just back up! No, the other way! Cut it to your left! Your other left! The big boat, your front end is out way too far. Little boat, stay still!
M	SKIPPER 1 (THE SAILBOAT)	Dammit, a vessel under sail has the right of way!
M	SKIPPER 2 (MOTORBOAT)	You schmuck, you ain't under sail, you're goddam drifting!
M	HOOPER	Ahoy, sail! You got an oar? Well, scull it out!
M	SAILBOAT SKIPPER	Tell that stinkpotter to belay!
M	MOTORBOAT SKIPPER	Tell that ragsetter I'm going to poke him in the snoot!
M	HOOPER	Just cast off in turn and make for the channel, OK?
F	BRODY	Thanks.
M	HOOPER	Excuse me, I wonder if you could tell me...
M	HOOPER	Is that dynamite?
F	BRODY	If that's dynamite, give it here, or don't leave port.
M	MAN	Aw, c'mon, it's just fireworks. Sharks like fireworks, it attracts them.
F	BRODY	Hand it over.
M	HOOPER	There's a fantail launch out there that won't make it beyond the breakwater.
F	BRODY	You're tellin' me. I swear, this town has gone crazy.
M	HOOPER	Officer, I wonder if you could tell me where I could find Chief Brody?
F	BRODY	Who are you?
M	HOOPER	Hooper, Matt Hooper. From the Oceanographic Institute.
M	PRATT	Well, get over there! He ain't caught it yet!
M	PRATT	Hand me that pole! Quick!
M	HARRY	Beat it! I hooked him!
M	PRATT	How's the family, Harry? Go on and do it!
M	MAN WITH GAFF	We split down the middle?
M	HARRY	Let go my shark!
F	BRODY	Let's show Mr. Hooper our accident.
M	HOOPER	Victim One, identified as Christine Watkins, female Caucasian...
M	HOOPER	...height and weight may only be estimated from partial remains. Torso severed in mid-thorax, eviscerated with no major organs remaining. May I have a drink of water? Right arm severed above the elbow with massive tissue loss from upper musculature. Portions of denuded bone remaining. -- did you notify the coast guard?
F	BRODY	No, it was local jurisdiction.
M	HOOPER	Left arm, head, shoulders, sternum and portions of ribcage intact. Please don't smoke. With minor post- mortem lacerations and abrasions. Bite marks indicate typical non-frenzy feeding pattern of large squali, possibly carchaninus lonimanus, or isurus glaucas. Gross tissue loss and post-mortem erosion of bite surfaces prevent detailed analysis; however, teeth and jaws of the attacking squali must be considered above average for these waters. -- Did you go out in a boat and look around?
F	BRODY	No, we just checked the beach...
M	HOOPER	It wasn't an 'accident,' it wasn't a boat propeller, or a coral reef, or Jack the Ripper. It was a shark. It was a shark.
M	MEADOWS	Ginny, get this out on the state wire to AP and UPI in Boston and New York. Have one of them pick it up for the national and call Dave Axelrod in New York and tell him this is from me and he owes me one... let's get a picture.
M	HOOPER	Well, if one man can catch a fish in 50 days, then I guess 50 of these bozos can catch a fish in one day -- beginner's luck.
F	BRODY	You did it! Did Ben Gardner catch this?
M	MEADOWS	Okay, everybody, I want to get a picture for the paper -- could everyone clear out of the way?
M	MEADOWS	Could you get out of the shot, young man?
M	HOOPER	Who, me? Okay...
F	BRODY	Larry, if you'd see these clowns leave, you'd never believe they'd come back with anything. But they got him!
M	VAUGHN	That's good. That's real good. Ben Meadows getting pictures for the paper.
F	BRODY	Sure he is.
M	HOOPER (O.S.)	It's a tiger shark. Very rare in these waters, and definitely a maneater.
M	VAUGHN	Who's that young man?
F	BRODY	Matt Hooper, the specialist they send down from the Oceanographic Institute.
M	VAUGHN	I think we all owe a debt of gratitude to these men for catching this monster.
M	PRATT	Whadya mean, 'Bite Radius?' What's that?
M	GAFFER	Teeth are teeth, right?
M	HOOPER	I didn't say this wasn't the shark, I just said I wasn't sure this was the one...
F	BRODY	What d'ya mean?
M	HOOPER	There are hundreds of different kinds of sharks; makos, blues, hammerheads, white-tips... any one of them could've attacked. Look -- shark digestion is slow. We could open this one up, and find whatever he's been eating is still inside.
