M	CHARACTER	DIALOGUE
M	WICK	Better take this along, Don. It's going to be cold on the farm.
M	DON	Okay.
M	WICK	How many shirts are you taking?
M	DON	Three.
M	WICK	I'm taking five.
M	DON	Five?
M	WICK	I told them at the office I might not be back till Tuesday. We'll get there this afternoon. That'll give us all Friday, Saturday, Sunday, Monday. We'll make it a long weekend.
M	DON	Sounds long, all right.
M	WICK	It'll do you good, Don, after what you've been through.
M	WICK	Trees and grass and sweet cider and buttermilk and water from that well that's colder than any other water.
M	DON	Wick, please, why this emphasis on liquids? Noble, upstanding, nauseating liquids.
M	WICK	Sorry, Don.
M	DON	Think it would be a good idea if we took my typewriter?
M	WICK	What for?
M	DON	To write. To write there. I'm going to get started on my novel.
M	WICK	You really feel up to writing?
M	DON	Why not?
M	WICK	I mean, after what you've been through.
M	DON	I haven't touched the stuff for ten days now.
M	WICK	I know you haven't. Where's the portable?
M	DON	In the living room closet, kind of towards the back.
M	WICK'S VOICE	You sure it's in the closet? I can't find it.
M	DON	Look by the big chair.
M	WICK'S VOICE	Isn't it under your bed?
M	DON	Of course. Here it is.
M	WICK	Here's some paper.
M	WICK	We'll fix a table on the south porch. Nobody to disturb you -- I'll see to it. Except maybe Saturday night we'll go over to the Country Club.
M	DON	I'm not going near that Country Club.
M	WICK	Why not?
M	DON	Because they're a bunch of hypocrites and I don't like to be whispered about: Look who's here from New York. The Birnam brothers -- or rather the nurse and the invalid.
M	WICK	Stop that, Don. Nobody there knows about you.
M	DON	No? We get off the train and the alarm is sounded: The leper is back. Better hide your liquor.
M	DON	Helen.
M	WICK	I'll take it.
F	HELEN	Hello, Wick. Where's Don?
F	HELEN	Glad I made it. I was afraid you might be gone. Presents.
F	HELEN	The new Thurber book, with comical jokes and pictures, and a quiet little double murder by Agatha Christie. Cigarettes and chewing gum.
M	DON	Thanks, Helen.
F	HELEN	Now have a good time, darling. And remember -- lots of sleep, lots of milk --
M	DON	And sweet cider and some of that nice cold water from the well.
F	HELEN	Bend down.
F	HELEN	I'd better be going. I've missed ten minutes of the concert already.
M	DON	What concert?
F	HELEN	Carnegie Hall. Barbirolli conducting. They gave me two tickets at the office.
M	DON	Who are you going with?
F	HELEN	Nobody.
M	DON	What are they playing?
F	HELEN	Brahms' Second Symphony, something by Beethoven, something by Handel, and not one note of Grieg.
M	DON	Sounds wonderful.
F	HELEN	Goodbye, boys. See you Monday.
M	WICK	Tuesday.
M	DON	Just a minute. Wick --
M	DON	I just had a crazy idea.
M	WICK	As for instance.
M	DON	Who says we have to take the two- forty-five train? We could go on the six-thirty.
M	WICK	What are you talking about?
M	DON	I just thought we could take a later train and Helen wouldn't have to go alone to the concert. She's got two tickets, hasn't she?
F	HELEN	No. I'm not upsetting any plans. You're going on that two-forty-five.
M	DON	But Helen, it's so silly! A whale of a concert and an empty seat next you.
M	WICK	No, Don. Everything's all set. They'll be at the station to meet us. Dinner'll be waiting.
