M	CHARACTER	DIALOGUE
M	PAUL	Still got it.
M	SINDELL (O.S.)	What's that?
M	PAUL	An old friend. I was rummaging through a closet and it was just sitting there. Like it was waiting for me.
F	SINDELL	It's... it's nice, Paul. It's got... character.
M	PAUL	When I wrote my first book, I used to carry it around in this while I was looking for a publisher. That was a good book, Marcia. I was a writer then.
F	SINDELL	You're still a writer.
M	PAUL	I haven't been a writer since I got into the Misery business--
F	SINDELL	Not a bad business. This thing would still be growing, too. The first printing order on Misery's Child was the most ever--over a million.
M	PAUL	Marcia, please.
F	SINDELL	No, no. Misery Chastain put braces on your daughter's teeth and is putting her through college, bought you two houses and floor seats to the Knick games and what thanks does she get? You go and kill her.
M	PAUL	Marcia, you know I started "Misery" on a lark. Do I look like a guy who writes romance novels? Do I sound like Danielle Steel? It was a one- time shot and we got lucky. I never meant it to become my life. And if I hadn't gotten rid of her now, I'd have ended up writing her forever. For the first time in fifteen years, I think I'm really onto something here.
F	SINDELL	I'm glad to hear that, Paul, I really am. But you have to know--when your fans find out that you killed off their favorite heroine, they're not going to say, "Ooh, good, Paul Sheldon can finally write what we've always wanted: An esoteric, semi- autobiographical character study.
M	PAUL	Marcia, why are you doing this to me? Don't you know I'm scared enough? Don't you think I remember how nobody gave a shit about my first books? You think I'm dying to go back to shouting in the wilderness? I'm doing this because I have to. Now, I'm leaving for Colorado to try to finish this and I want your good thoughts--because if I can make it work ... I might just have something that I want on my tombstone.
F	ANNIE	You hear me--Breathe! I said breathe!!!
M	PAUL	...where... am I...?
F	ANNIE	Shhh... we're just outside Silver Creek.
M	PAUL	How long...?
F	ANNIE	You've been here two days. You're gonna be okay. My name is Annie Wilkes and I'm--
M	PAUL	--my number one fan.
F	ANNIE	That's right. I'm also a nurse. Here. Take these.
F	ANNIE	Here.
M	PAUL	What are they...?
F	ANNIE	They're called Novril--they're for your pain.
M	PAUL	Shouldn't I be in a hospital?
F	ANNIE	The blizzard was too strong. I couldn't risk trying to get you there. I tried calling, but the phone lines are down.
F	ANNIE	Now you mustn't tire yourself. You've got to rest, you almost died.
M	ANNIE (O.S.)	Open wide.
F	ANNIE	Your legs just sing grand opera when you move, don't they? It's not going to hurt forever, Paul, I promise you.
M	PAUL	Will I be able to walk?
F	ANNIE	Of course you will. And your arm will be fine, too. Your shoulder was dislocated pretty badly, but I finally popped it back in there. But what I'm most proud of is the work I did on those legs. Considering what I had around the house, I don't think there's a doctor who could have done any better.
F	ANNIE	It's not nearly as bad as it looks. You have a compound fracture of the tibia in both legs, and the fibula in the left leg is fractured too. I could hear the bones moving, so it's best for your legs to remain immobile. And as soon as the roads open, I'll take you to a hospital.
F	ANNIE	In the meantime, you've got a lot of recovering to do, and I consider it an honor that you'll do it in my home.
F	SINDELL	This is Marcia Sindell calling from New York City. I'd like to speak to the Silver Creek Chief of Police or the Sheriff. Which one do you want?
F	SINDELL	Whichever one's not busy.
M	BUSTER	I'm pretty sure they 're both not busy, Ms. Sindell, since they're both me. I also happen to be President of the Policeman's Benefit Association, Chairman of the Patrolman's Retirement Fund, and if you need a good fishing guide, you could do a lot worse; call me Buster, everybody does, what can I do for you?
F	SINDELL	I'm a literary agent, and I feel like a fool calling you, but I think one of my clients, Paul Sheldon, might be in some kind of trouble.
M	BUSTER	Paul Sheldon? You mean Paul Sheldon the writer?
F	SINDELL	Yes.
M	BUSTER	He's your client, huh?
F	SINDELL	Yes, he is.
M	BUSTER	People sure like those Misery books.
F	SINDELL	I'm sure you know Paul's been going to the Silver Creek Lodge for years to finish his books.
M	BUSTER	Yeah, I understand he's been up here the last six weeks.
F	SINDELL	Not quite. I just called, and they said he checked out five days ago. Isn't that a little strange?
M	BUSTER	I don't know. Does he always phone you when he checks out of hotels?
F	SINDELL	No, no, of course not. It's just that his daughter hasn't heard from him, and when he's got a book coming out, he usually keeps in touch. So when there was no word from him...
M	BUSTER	You think he might be missing?
F	SINDELL	I hate that I made this call--tell me I'm being silly.
M	BUSTER	Just a little over-protective, maybe. Tell you what--nothing's been reported out here-- --but I'll put his name through our system. And if anything turns up, I'll call you right away.
F	SINDELL	I appreciate that. Thanks a lot.
M	BUSTER	G'bye, Ms. Sindell.
F	VIRGINIA	We actually got a phone call. Busy morning.
M	BUSTER	Work, work, work. Virginia? When was that blizzard?
F	VIRGINIA	Four or five days ago. Why?
M	BUSTER	...no reason...
M	PAUL'S VOICE	I guess it was kind of a miracle... you finding me...
F	ANNIE	No, it wasn't a miracle at all... in a way, I was following you.
M	PAUL	Following me?
F	ANNIE	Well, it wasn't any secret to me that you were staying at the Silver Creek, seeing as how I'm your number- one fan and all. Some nights I'd just tool on down there, sit outside and look up at the light in your cabin-- his neck; this next is said with total and I'd try to imagine what was going on in the room of the world's greatest writer.
M	PAUL	Say that last part again, I didn't quite hear--
F	ANNIE	Don't move now--wouldn't want to hurt this neck-- Well, the other afternoon I was on my way home, and there you were, leaving the Lodge, and I wondered why a literary genius would go for a drive when there was a big storm coming.
M	PAUL	I didn't know it was going to be a big storm.
F	ANNIE	Lucky for you, I did. Lucky for me too. Because now you're alive and you can write more books. Oh, Paul, I've read everything of Yours, but the Misery novels...
F	ANNIE	I know them all by heart, Paul, all eight of them. I love them so.
M	PAUL	You're very kind...
F	ANNIE	And you're very brilliant, and you must be a good man, or you could never have created such a wondrous, loving creature as Misery Chastain. Like a baby. All done.
M	PAUL	When do you think the phone lines'll be back up? I have to call my daughter, and I should call New York and let my agent know I'm breathing.
F	ANNIE	It shouldn't be too much longer. Once the roads are open, the lines'll be up in no time. If you give me their numbers, I'll keep trying them for you. Could I ask you a favor? I noticed in your case there was a new Paul Sheldon book and... and I wondered if maybe...
M	PAUL	You want to read it?
F	ANNIE	If you wouldn't mind.
M	PAUL	I have a hard and fast rule about who can read my stuff at this early stage--only my editor, my agent, and anyone who saves me from freezing to death in a car wreck.
F	ANNIE	You'll never realize what a rare treat you've given me.
F	ANNIE	Boy, it's like clockwork, the way your pain comes--I'll get you your Novril, Paul. Forgive me for prattling away and making you feel all oogy.
F	ANNIE	What's your new book called?
M	PAUL	I don't have a title yet.
F	ANNIE	What's it about?
M	PAUL	It's crazy, but I don't really know, I mean I haven't written anything but "Misery" for so long that--you read it you can tell me what you think it's about. Maybe you can come up with a title.
F	ANNIE	Oh, like I could do that?
M	LIBBY	Nothing unusual about Mr. Sheldon's leaving, Buster--you can tell by the champagne.
M	BUSTER	Maybe you can, Libby.
M	LIBBY	No, see, he always ordered a bottle of Dom Perignon when he was ready to go. Then he'd pay up and be out the door.
M	BUSTER	No long-distance phone calls, Federal Express packages--anything at all out of the ordinary?
M	LIBBY	I don't think Mr. Sheldon likes for things to be out of the ordinary. Considering who he is and all, famous and all, he doesn't have airs. Drives the same car out from New York each time--'65 Mustang--said it helps him think. He was always a good guest, never made a noise, never bothered a soul. Sure hope nothing happened to him.
M	BUSTER	So do I...
M	LIBBY	I'll bet that old Mustang's pulling into New York right now.
M	BUSTER	I'm sure you're right.
F	ANNIE	I know I'm only forty pages into your book, but...
M	PAUL	But what?
F	ANNIE	Nothing.
M	PAUL	No, what is it?
F	ANNIE	Oh, it's ridiculous, who am I to make a criticism to someone like you?
M	PAUL	I can take it, go ahead.
F	ANNIE	Well, it's brilliantly written, but then everything you write is brilliant.
M	PAUL	Pretty rough so far.
F	ANNIE	The swearing, Paul. There, I said it.
M	PAUL	The profanity bothers you?
