M	CHARACTER	DIALOGUE
M	MANAGER	Is there anything I can do for you, monsieur?
M	BULJANOFF	No, no.
M	MANAGER	Yes, monsieur?
M	IRANOFF	Just looking around.
M	KOPALSKI	Comrades, why should we lie to each other? It's wonderful.
M	IRANOFF	Let's be honest. Have we anything like it in Russia?
M	ALL THREE	No, no, no.
M	IRANOFF	Can you imagine what the beds would be in a hotel like that?
M	KOPALSKI	They tell me when you ring once the valet comes in; when you ring twice you get the waiter; and do you know what happens when you ring three times? A maid comes in -- a French maid.
M	IRANOFF	Comrades, if we ring nine times... let's go in.
M	BULJANOFF	Just a minute -- just a minute -- I have nothing against the idea but I still say let's go back to the Hotel Terminus. Moscow made our reservations there, we are on an official mission, and we have no right to change the orders of our superior.
M	IRANOFF	Where is your courage, Comrade Buljanoff?
M	KOPALSKI	Are you the Buljanoff who fought on the barricades? And now you are afraid to take a room with a bath?
M	BULJANOFF	I don't want to go to Siberia.
M	IRANOFF	I don't want to go to the Hotel Terminus.
M	KOPALSKI	If Lenin were alive he would say, "Buljanoff, Comrade, for once in your life you're in Paris. Don't be a fool. Go in there and ring three times."
M	IRANOFF	He wouldn't say that. What he would say is "Buljanoff, you can't afford to live in a cheap hotel. Doesn't the prestige of the Bolsheviks mean anything to you? Do you want to live in a hotel where you press for the hot water and cold water comes and when you press for the cold water nothing comes out at all? Phooey, Buljanoff!"
M	BULJANOFF	I still say our place is with the common people, but who am I to contradict Lenin? Let's go in.
M	KOPALSKI	Are you the manager?
M	MANAGER	Yes.
M	KOPALSKI	Pardon me for introducing Comrade Iranoff, member of the Russian Board of Trade.
M	MANAGER	Monsieur.
M	IRANOFF	This is Comrade Kopalski.
M	MANAGER	Monsieur.
M	BULJANOFF	I am Comrade Buljanoff.
M	MANAGER	Monsieur.
M	BULJANOFF	May I ask how much your rooms are?
M	MANAGER	Well, gentlemen, I'm afraid our rates are rather high.
M	BULJANOFF	Why should you be afraid?
M	MANAGER	I might be able to accommodate you. Is there some more luggage?
M	IRANOFF	Oh, yes, but have you a safe here big enough to hold this?
M	MANAGER	I'm afraid we have no boxes of that size in our vault, but there is one suite with a private safe...
M	IRANOFF	That's even better.
M	MANAGER	But, gentlemen, I am afraid...
M	BULJANOFF	He's always afraid.
M	MANAGER	I just wanted to explain. The apartment may suit your convenience but I doubt that it will fit your convictions. It's the Royal Suite.
M	BULJANOFF	Royal Suite! Just a minute.
M	BULJANOFF	Now Comrades, I warn you... if it gets out in Moscow that we stay in the Royal Suite we will get into terrible trouble.
M	IRANOFF	We'll just say we had to take it on account of the safe. That's a perfect excuse. There was no other safe big enough.
M	BULJANOFF AND IRANOFF	That's right. Good, very good.
M	BULJANOFF	Of course, we could take out the pieces and distribute them in three or four boxes in the vault and take a small room. That's an idea, isn't it?
M	IRANOFF	Yes, it's an idea, but who says we have to have an idea?
M	BOTH	That's right... that's right.
M	BULJANOFF	Give us the Royal Suite.
M	KOPALSKI'S VOICE	Will you connect me with Mercier... yes, the jeweler...
M	KOPALSKI	I want to speak with Monsieur Mercier personally... Hello, Monsieur Mercier? This is Kopalski of the Russian Board of Trade. We arrived this morning... Thank you.
M	KOPALSKI'S VOICE	Yes, everything is here. The necklace too. All fourteen pieces... What? No, Monsieur Mercier, the court jewels of the Duchess Swana consisted of fourteen pieces. Why don't you check on that? Naturally, we have all the necessary credentials.
M	RAKONIN	Eight Rue de Chalon.
F	MAID	Good morning, Count.
M	LEON	Good morning.
F	MAID	Her Highness is still dressing.
M	LEON	That's all right.
F	SWANA	Hello, Leon!
M	LEON	Good morning, Swana.
F	SWANA	It's really a wretched morning... wretched. I can't get myself right. I wanted to look mellow and I look brittle. My face doesn't compose well... all highlights... how can I dim myself down, Leon? Suggest something. I am so bored with this face. I wish I had someone else's face. Whose face would you have if you had your choice? Oh, well, I guess one gets the face one deserves.
M	LEON	Your conversation has one marvelous advantage, Swana. However many questions you ask you never expect an answer.
F	SWANA	Don't you find that restful?... Why didn't you come last night?
M	LEON	Darling, I was busy looking out for your interests.
F	SWANA	Did you win?
M	LEON	We can forget horse racing, roulette, the stock market... our worries are over! You remember that platinum watch with the diamond numbers? You will be in a position to give it to me.
F	SWANA	Oh, Leon, you are so good to me.
M	LEON	We can be rich if you say the word. I had dinner with the Guizots last night.
F	SWANA	Those newspaper people?
M	LEON	You'd be surprised how many nice people dine with the Guizots.
F	SWANA	What a gruesome proof of the power of the press!
M	LEON	Now listen, Swana... I sold Monsieur Guizot the idea of publishing your memoirs in the Gazette Parisienne. "The Life and Loves of the Grand Duchess Swana of Russia"!
F	SWANA	Oh, Leon!
M	LEON	Sweetheart, we won't have to bother about our future if you are willing to raffle off your past!
F	SWANA	Was it for this that I refused to endorse Dr. Bertrand's Mouthwash? I could have made a little fortune by saying that the Vincent Vacuum Cleaner was the only vacuum cleaner ever used by the Romanoffs... and now you want them to smear my life's secrets over the front page of a tabloid?
M	LEON	I understand how you feel, but there is a limit to everything, particularly pride and dignity. They are willing to pay any price! They have a circulation of two million!
F	SWANA	Imagine two million clerks and shop girls peeking into my life for a sou! Think of my lovely life being wrapped around cheese and blood sausages! I can see a big grease spot in the midst of my most intimate moments!
M	LEON	Well, I am the last person to persuade you, but don't do it blindly... if this is your decision, you must be prepared to face the consequences... I will have to go to work.
F	SWANA	My little Volga boatman! Stop threatening! I don't deserve this. Are you my little Volga boatman?
M	LEON	Now, Swana...
F	SWANA	First tell me, are you my little Volga boatman?
M	LEON	Yes, I'm your little Volga boatman.
F	SWANA	Well... two million readers... I know exactly what they want. Chapter One: "A Childhood behind Golden Bars. Lovely Little Princess Plays with Rasputin's Beard."
M	LEON	I've got one chapter Guizot thinks is terrific. "Caviar and Blood." Swana escapes over the ice!
F	SWANA	A couple of bloodhounds and we have Uncle Tom's Cabin.
M	LEON	Darling, this would be wonderful! Just once... weren't you attacked by a Bolshevik?
F	SWANA	Was I? No... not by a Bolshevik!
M	LEON	Too bad! Brings our price down ten thousand francs!
F	SWANA	Come in.
F	MAID	Count Rakonin asks the privilege of a few words, Your Highness.
M	LEON	Count Rakonin?
F	SWANA	He's a waiter at the Clarence, poor devil. You know him.
M	LEON	Oh, yes.
F	SWANA	Tell him I won't be able to see him for a half an hour.
F	MAID	The Count says if it could be as soon as possible. It is luncheon time and he is just between courses.
M	RAKONIN	Your Highness.
F	SWANA	How do you do, my friend.
M	RAKONIN	Your Highness, forgive this intrusion, but...
F	SWANA	What is it, Rakonin? Did you lose your job?
M	RAKONIN	No, madame, something of the utmost importance... it concerns your jewels.
F	SWANA	My jewels?!
M	RAKONIN	I remember one birthday of His Majesty, our beloved Czar... I had the honor of being on guard at the summer palace... I still see you bending before His Majesty... You wore your diadem and a necklace... your face seemed to be lighted by the jewels.
F	SWANA	Why do you bring this up after so many years?
M	RAKONIN	They are here!... Your jewels!... Here in Paris!
F	SWANA	Alexis! Do you know what you are saying?
M	RAKONIN	This morning three Soviet agents arrived. I overheard a telephone conversation with Mercier, the jeweler. Your Highness, they are going to sell them!
M	LEON	Did I hear something about jewels?
F	SWANA	Rakonin, bless him, has given me the most amazing news!
F	SWANA	Balzac 2769... My lawyer...
M	RAKONIN	I am sorry... I have to leave.
F	SWANA	Thank you so much, my friend. I will get in touch with you.
F	SWANA	This is the Duchess Swana... I want to speak to Monsieur Cornillon... it's very important... please get him right away... Hello, Monsieur Cornillon? The most incredible thing has happened! My jewels are here in Paris! Three Bolshevik swine are trying to sell them! Yes... yes... we must act immediately!... Call the police... Have them arrested!... Well, then, get an injunction!... But do something, Monsieur Cornillon! ...But they are my jewels! There must be some way of getting them back!
M	LEON	What does he say?
F	SWANA	Shhh! ...But how can there be a question?... Are you my lawyer or theirs?... All right, I'll let you know!
M	LEON	What did he say?
F	SWANA	It looks pretty hopeless... there may be a chance... that's all... The French Government has recognized Soviet Russia and he doubts that they will risk a war for my poor sake. He might be able to make up some kind of a case but it would cost money, money, money!... That's all they are interested in -- those lawyers!
M	LEON	Darling, calm down. Why do you need a lawyer? Haven't you your little Volga boatman?
M	MERCIER	Very good... superb... excellent... it would be foolish to belittle the quality of the merchandise but your terms are impossible. My counteroffer is the absolute maximum.
M	KOPALSKI	But, Monsieur Mercier...
M	MERCIER	Gentlemen, I'll let you in on a little secret... we are only undertaking this deal for the prestige involved, and, quite frankly, we are expecting to take a loss.
M	IRANOFF	Capitalistic methods...
M	BULJANOFF	They accumulate millions by taking loss after loss.
M	BULJANOFF	Hello... this is Buljanoff, Iranoff, and Kopalski... Who?... Count d'Algout?... No, no... it must be a mistake... we can't be disturbed.
M	MERCIER	I assure you no one else could meet the figure named by my syndicate... at least under the present economic conditions.
M	KOPALSKI	We can wait.
M	IRANOFF	Do we give the impression of people who are pressed for money?
M	MERCIER	Yes. Gentlemen... let's put our cards face down. Right now there is a Russian commission in New York trying to sell fifteen Rembrandts. There is another in London mortgaging the oil fields in Baku. You need money and you need it quickly. I think my offer is fair and does not even take advantage of your situation.
M	KOPALSKI	Just a minute.
M	IRANOFF	He's cutting our throat... But what can we do?... We have to accept.
M	KOPALSKI	Comrades! Comrades! Don't let's give in so quickly. After all we have to uphold the prestige of Russia.
M	BULJANOFF	All right, let's uphold it for another ten minutes.
M	IRANOFF	We don't want to be disturbed.
M	LEON	My name is Count d'Algout. I telephoned.
M	IRANOFF	If you want to see us you must come later.
M	LEON	I just want a word with Monsieur Mercier.
M	IRANOFF	But you can't...
