M	CHARACTER	DIALOGUE
M	YOUNG MAN	No, forget it, it's too risky. I'm through doin' that shit.
M	YOUNG WOMAN	You always say that, the same thing every time: never again, I'm through, too dangerous.
M	YOUNG MAN	I know that's what I always say. I'm always right too, but –
M	YOUNG WOMAN	– but you forget about it in a day or two -
M	YOUNG MAN	– yeah, well, the days of me forgittin' are over, and the days of me rememberin' have just begun.
M	YOUNG WOMAN	When you go on like this, you know what you sound like?
M	YOUNG MAN	I sound like a sensible fucking man, is what I sound like.
M	YOUNG WOMAN	You sound like a duck. Quack, quack, quack, quack, quack, quack, quack...
M	YOUNG MAN	Well take heart, 'cause you're never gonna hafta hear it again. Because since I'm never gonna do it again, you're never gonna hafta hear me quack about how I'm never gonna do it again.
M	YOUNG WOMAN	After tonight.
M	YOUNG MAN	Correct. I got all tonight to quack.
M	WAITRESS	Can I get anybody anymore coffee?
M	YOUNG WOMAN	Oh yes, thank you.
M	YOUNG MAN	I'm doin' fine.
M	YOUNG MAN	I mean the way it is now, you're takin' the same fuckin' risk as when you rob a bank. You take more of a risk. Banks are easier! Federal banks aren't supposed to stop you anyway, during a robbery. They're insured, why should they care? You don't even need a gun in a federal bank. I heard about this guy, walked into a federal bank with a portable phone, handed the phone to the teller, the guy on the other end of the phone said: "We got this guy's little girl, and if you don't give him all your money, we're gonna kill 'er."
M	YOUNG WOMAN	Did it work?
M	YOUNG MAN	Fuckin' A it worked, that's what I'm talkin' about! Knucklehead walks in a bank with a telephone, not a pistol, not a shotgun, but a fuckin' phone, cleans the place out, and they don't lift a fuckin' finger.
M	YOUNG WOMAN	Did they hurt the little girl?
M	YOUNG MAN	I don't know. There probably never was a little girl – the point of the story isn't the little girl. The point of the story is they robbed the bank with a telephone.
M	YOUNG WOMAN	You wanna rob banks?
M	YOUNG MAN	I'm not sayin' I wanna rob banks, I'm just illustrating that if we did, it would be easier than what we been doin'.
M	YOUNG WOMAN	So you don't want to be a bank robber?
M	YOUNG MAN	Naw, all those guys are goin' down the same road, either dead or servin' twenty.
M	YOUNG WOMAN	And no more liquor stores?
M	YOUNG MAN	What have we been talking about? Yeah, no more-liquor-stores. Besides, it ain't the giggle it usta be. Too many foreigners own liquor stores. Vietnamese, Koreans, they can't fuckin' speak English. You tell 'em: "Empty out the register," and they don't know what it fuckin' means. They make it too personal. We keep on, one of those gook motherfuckers' gonna make us kill 'em.
M	YOUNG WOMAN	I'm not gonna kill anybody.
