M	CHARACTER	DIALOGUE
M	MAN (O.S.)	Is something wrong?
M	MAN	Is there something the matter?
M	SOMERSET	No. No... it's just that everything here seems... so strange.
M	MAN	Strange? There's nothing strange about this place. The house'll need a little fixing up, that's for sure...
M	SOMERSET	No. I like the house, and this place.
M	MAN	I was about to say. Cause this place is about as normal as places get.
M	SOMERSET	That's what I mean. Strange.
M	CAB DRIVER	What's the big fuss?
M	SOMERSET	Why do you care?
M	CAB DRIVER	Well, excuse me all to hell.
M	CAB DRIVER	Crazy fucks.
M	CAB DRIVER	Where you headed?
M	SOMERSET	Far away from here.
M	TAYLOR	Neighbors heard them screaming at each other for like two hours. It was nothing new. But, then they heard the gun go off. Both barrels.
M	SOMERSET	Did the wife confess?
M	TAYLOR	When the patrolman came she was trying put his head back together. She was crying too hard to say anything.
M	SOMERSET	Why always like this? Only after the fact... this sudden realization, that if you shoot someone, or stick a knife in them, that person will cease to exist.
M	TAYLOR	Crime of passion.
M	SOMERSET	Yes. Look at all the passion splattered up on the wall here.
M	TAYLOR	This is a done deal. All but the paperwork.
M	SOMERSET	Did their son see it happen?
M	TAYLOR	I don't know.
M	TAYLOR	What kind of fucking question is that anyway?
M	TAYLOR	You know, we're all real glad we're getting rid of you, Somerset. You know that? I mean, it's always these questions with you... "Did the kid see it?" Well, who gives a fuck? Huh? He's dead. His wife killed him.
M	TAYLOR	Anything else has nothing to do with us.
F	MILLS	Uh, Lieutenant Somerset?
F	MILLS	I'm a little thrown. I just got in town like twenty minutes ago and they dumped me here.
M	SOMERSET	Since we're just starting out, I thought we could go to a bar... sit and talk for awhile. After that, we'll...
F	MILLS	Actually, if it's all the same, I'd like to get to the precinct house a.s.a.p. Seeing how we don't have much time for this whole transition thing.
F	MILLS	I need to start getting the feel of it all, right? Meet the people.
M	SOMERSET	I meant to ask you something, Mills, when we spoke on the phone. I can't help wondering... why here?
F	MILLS	I... I don't follow.
M	SOMERSET	All this effort you've made to get transferred, it's the first question that pops into my head.
F	MILLS	I'm here for the same reasons as you, I guess. Or, at least, the same reasons you used to have for being here before... before you decided to... quit.
M	SOMERSET	You just met me.
F	MILLS	Maybe I'm not understanding the question.
M	SOMERSET	It's very simple. You worked a nice, quiet town, but you fought to get here as if your life depended on it. I've just never seen it done that way before, Detective.
F	MILLS	Maybe I thought I could do more good here than there. I don't know. Look, it'd be great by me if we didn't start right off kicking each other in the balls. But, you're calling the shots, Lieutenant, so... however you want it to go.
M	SOMERSET	Let me tell you how I want this to go. I want you to look, and I want you to listen.
F	MILLS	I wasn't standing around guarding the local Taco Bell. I've worked homicide for five and a half years.
M	SOMERSET	Not here.
F	MILLS	I realize that.
M	SOMERSET	Well, over the next seven days, do me the favor of remembering it.
F	TRACY	What is it?
F	MILLS	It's okay.
F	TRACY	Honey... where are we?
M	DAVIS	Everything's like I found it. I didn't touch anything.
M	SOMERSET	What time did you confirm the death?
M	DAVIS	Like I said, I didn't touch him, but he's had his face in a plate of spaghetti for about forty-five minutes now.
F	MILLS	Hold on... you mean you didn't check for vital signs?
M	DAVIS	Did I stutter? Believe me, he ain't breathing, unless he's started breathing spaghetti sauce.
F	MILLS	The point is, whenever you find...
M	DAVIS	Begging your pardon, but the guy's sitting in pile of his own shit and piss. If he ain't dead, he would've stood up by now.
M	SOMERSET	Thank you, officer. We'll need to talk to you again, after we've looked around.
M	DAVIS	Yes, sir.
M	SOMERSET	I wonder what exactly was the point of the conversation you were about to get into?
F	MILLS	And I wonder how many times Officer Davis there has found a dead man who wasn't really dead until Davis was in the car calling it in and eating a donut.
M	SOMERSET	Drop it.
F	MILLS	For now.
M	ERIC	Enjoy.
F	MILLS	Christ... somebody phone Guinness. I think we've got a World's Record here.
F	MILLS	Who said this was murder?
M	SOMERSET	No one yet.
F	MILLS	Then, why are we wasting our time? This guy's heart's got to be roughly the size of a canned ham. If this isn't a coronary, I don't know what is.
F	MILLS	Or not.
F	MILLS	Still... he could have tied himself up, to make it look like murder. I saw a guy once... committed suicide, but wanted to make sure his family could collect the life insurance, right?
F	MILLS	When we found him, he was lying there with a knife in his back, so what else could it be but homicide? Except, I finally figured out... he held the knife behind him... put the tip of it in his own back and got real close to the wall... then he shoved his body backwards...
M	SOMERSET	Please be quiet for a while, would you?
F	MILLS	Oh, yes, sir. Forgive me.
F	MILLS	There's a bucket here.
M	SOMERSET	What?
F	MILLS	There's a bucket. Under the table.
M	SOMERSET	What is it?
F	MILLS	It's vomit.
F	MILLS	It's a bucket of vomit.
M	SOMERSET	Is there any blood in it?
F	MILLS	I don't know. Feel free to look for yourself, okay?
M	O'NEILL	Wonderful.
F	MILLS	You think it was poison?
M	SOMERSET	Guessing at this point is useless.
M	O'NEILL	You girls have got forensics waiting outside. I don't know if we'll all fit though.
F	MILLS	There's room. Light's the problem.
M	SOMERSET	Still... two is company here. And, three is certainly a crowd. Detective Mills, go help the officers question the neighbors.
F	MILLS	I'd rather stay on this.
M	SOMERSET	Send one of the forensics in on your way out.
M	O'NEILL	He is dead.
M	SOMERSET	Thank you, Doctor.
F	MILLS	You've seen my files, right? Seen the things I've done?
M	SOMERSET	No.
F	MILLS	Anyway... I did my time on door-to- doors, and walking a beat. I did all that shit for a long time.
M	SOMERSET	Good.
F	MILLS	The badge in my pocket says "detective," same as yours.
M	SOMERSET	I made a decision, because I have to consider the integrity of the scene. I can't worry whether you think you're getting enough time on the playing field.
F	MILLS	Yeah, well, all I want is... Just, just don't be jerking me off. That's all I ask. Don't jerk me off.
M	SOMERSET	We'll be spending every waking hour together till I leave. I'll show you who your friends are, and your enemies. I'll help you cut through the red tape and I will help you "integrate," as the captain puts it. However... No matter how much you beg or plead... jerking off is something you'll have to do for yourself.
M	SOMERSET	Is that clear?
F	MILLS	Okay... sure... It's just that, with my old partner, you know...
M	SOMERSET	I just don't think we should have that sort of relationship. We'd start quarreling over insignificant things.
F	MILLS	Whatever you say, Detective. Beautiful.
M	SANTIAGO	He's been dead for a long time, and I can tell you it was not a poison.
F	MILLS	Ah, man... how does somebody let himself go like that? Look at the blubber.
M	SANTIAGO	It took four orderlies and me all together just to put this body on the table.
F	MILLS	How did the fat fuck ever fit out the door of his apartment?
M	SOMERSET	Yes, it's obvious he was a shut-in. Not an enviable life, but, maybe he still deserves a modicum of respect in spite of that.
M	SANTIAGO	Are you looking here? First... see how big this stomach is. And, see the strange thing. Stretches. And, here it is distended. Look at the size of that, because of all the foods.
F	MILLS	I can see what you're pointing at, but...
M	SANTIAGO	Lines of distention across the stomach, and parts have ripped open.
M	SOMERSET	Doctor, are you saying... this man ate till he burst?
M	SANTIAGO	Well, he didn't really burst. Not all the way. But, he was bleeding inside himself, and there is a hematoma on the outside, on the belly. Very large.
F	MILLS	He died by eating?
M	SANTIAGO	Yes. And, there's something else here you have to look at and see.
M	SOMERSET	These bruises on the victim's head...
M	SANTIAGO	I don't know what they are yet. They...
M	SOMERSET	They could have been caused by a gun. The barrel of a gun... pressed against the back of his head.
M	SANTIAGO	If it was jammed against him hard enough, sure. It's possible. Here...
M	SANTIAGO	Most of the stomach's food contents are in the lab now... but, these... I found these in his stomach too.
F	MILLS	Plastic?
M	SANTIAGO	Why these are in a fat man's stomach, I don't know.
M	SOMERSET	Same color and texture.
F	MILLS	Have you found any plastic scrapings near the stove or sink? Near the food?
M	MALE FORENSIC	What do you mean?
F	MILLS	This doesn't make any sense.
M	SOMERSET	You always have to find one singular thing to focus on. There's always one thing, and it may be as small as a speck of dust, but you find it and focus... till it's an exhausted possibility.
F	MILLS	It could be nothing.
M	SOMERSET	But, why would there be so many pieces in his stomach if it were nothing? It must have been intentional.
M	SOMERSET	Come here.
F	MILLS	Holy shit.
M	SOMERSET	The bruises were caused by the muzzle of a forty-five. So, there was a gun against his head and he was given a choice. Eat, or get your brains blown out.
M	SOMERSET	He ate his fill, and was forced to continue eating... till his body rejected the food. The killer held a bucket under him, and then kept serving. He took his time. The coroner says this might have gone on for more than twelve hours. The victim's throat was swollen from the effort, and there was probably a point where he passed out. That's when killer kicked him in the stomach. Popped him.
F	MILLS	This was one sadistic motherfucker.
M	CAPTAIN	That seems obvious.
M	SOMERSET	"Dear Detectives, Long is the way, and hard, that out of hell leads up to light." It's the murderer's way of announcing himself.
M	CAPTAIN	Announcing what?
M	SOMERSET	There are seven deadly sins. Gluttony, wrath, greed...
M	CAPTAIN	So what? This victim...
M	SOMERSET	...envy, sloth, pride and lust. Seven.
M	CAPTAIN	Hey, so gluttony is one of the seven deadly sins. But, this was a fat guy. The killer may have felt this was the just best way to torture him. And, writing on the walls happens all the time. It's like the fashionable thing to do.
M	SOMERSET	One is gluttony.
F	MILLS	This is his stuff. I've been out in the cold all day.
M	SOMERSET	This is a premeditated puzzle, and it's only the beginning.
