M	CHARACTER	DIALOGUE
M	MILES (O.S.)	Yeah?
M	WORKER	Hi, Miles. Can you move your car, please?
M	MILES (O.S.)	Why?
M	WORKER	The painters got to put the truck in, and you didn't park too good.
M	MILES (O.S.)	Yeah, hold on.
F	MILES	Fuck!
F	MILES	Yeah, no, I know I said I'd be there by noon, but there's been all this work going on at my building, and it's like a total nightmare, and I had a bunch of stuff to deal with this morning. But I'm on my way. I'm out the door right this second. It's going to be great. Yeah. Bye.
M	BARISTA	Hey, Miles.
F	MILES	Hey, Simon. Triple espresso, please.
M	BARISTA	Rough night, huh? For here?
F	MILES	No, I'm running late. Make it to go. And give me a New York Times and... ...a spinach croissant.
M	RANCHO PALOS VERDES	1/4 MILE
M	MRS. ERGANIAN	Look what the cat dragged!
F	MILES	Hi, everybody.
M	JACK	About time you got here, bud. Mr. Prompt.
M	MR. ERGANIAN	We were thinking maybe you took the wrong way and went to Tijuana and they didn't let you back in.
F	MILES	I had to bribe them.
F	CHRISTINE	Hey, Miles.
F	MILES	Seriously though, the freeway was unbelievable today. Unbelievable. Bumper to bumper the whole way. People getting an early start on the weekend, I guess. Granted I got a late start, but still.
M	MRS. ERGANIAN	Christine, why don't you ask Miles about the cake?
F	CHRISTINE	Oh, good idea. Here, Miles, come to the kitchen with me.
M	JACK	Don't bother him with that. We got to get going.
F	CHRISTINE	It'll just take a second.
M	MRS. ERGANIAN	Jack tells us you are publishing a book. Congratulations.
M	MR. ERGANIAN	Yes, congratulations.
F	MILES	Yeah, well, it's not exactly finalized yet, but, um, there has been some interest and --
M	MRS. ERGANIAN	Your friend is modest.
M	JACK	Yeah, Miles, don't be so modest. Indulge them. Don't make me out to be a liar.
M	MR. ERGANIAN	What subject is your book? Non- fiction?
F	MILES	No, it's a novel. Fiction. Although there's a lot from my own life, so I guess technically some of it is non- fiction.
M	MR. ERGANIAN	Good, I like non-fiction. There is so much to know about the world that I think reading a story someone just invented is kind of a waste of time.
F	CHRISTINE	So which one do you like better?
F	MILES	I like them both, but if pressed I'd have to say I prefer the dark.
M	JACK	See?
M	JACK	Where the fuck were you, man? I was dying in there. We were supposed to be a hundred miles away by now.
F	MILES	I can't help the traffic.
M	JACK	Come on. You're fucking hungover.
F	MILES	Okay, there was a tasting last night. But I wanted to get us some stuff for the ride up. Check out the box.
F	MILES	Why did you tell them my book was being published?
M	JACK	You said you had it all lined up.
F	MILES	No, I didn't. What I said was that my agent had heard there was some interest at Conundrum...
M	JACK	Yeah, Conundrum.
F	MILES	...and that one of the editors was passing it up to a senior editor. She was supposed to hear something this week, but now it's next week, and... It's always like this. It's always a fucking waiting game. I've been through it too many times already.
M	JACK	I don't know. Senior editor? Sounds like you're in to me.
F	MILES	It's a long shot, all right? And Conundrum is just a small specialty press anyway. I'm not getting my hopes up. I've stopped caring. That's it. I've stopped caring.
M	JACK	But I know it's going to happen this time. I can feel it. This is the one. I'm proud of you, man. You're the smartest guy I know.
F	MILES	Don't open that now. It's warm.
M	JACK	Come on, we're celebrating. I say we pop it.
F	MILES	That's a 1992 Byron. It's really rare. Don't open it now. I've been saving it!
F	MILES	For Christ's Sake, Jack! You just wasted like half of it!
M	JACK	Shut up. Here's to a great week.
F	MILES	Yes. Absolutely. Despite your crass behavior, I'm really glad we're finally getting this time together.
M	JACK	Yeah.
F	MILES	You know how long I've been begging to take you on the wine tour. I was beginning to think it was never going to happen.
M	JACK	Oh, that's tasty.
F	MILES	100% Pinot Noir. Single vineyard. They don't even make it anymore.
M	JACK	Pinot Noir? How come it's white? Doesn't noir mean dark?
F	MILES	Jesus. Don't ask questions like that up in the wine country. They'll think you're a moron.
M	JACK	Just tell me.
F	MILES	Color in the red wines comes from the skins. This juice is free run, so there's no skin contact in the fermentation, ergo no color.
M	JACK	Sure is tasty.
F	MILES	Did you read the latest draft, by the way?
M	JACK	Oh, yeah. Yeah.
F	MILES	And?
M	JACK	I liked it a lot. A lot of improvements. It just seemed overall, I don't know, tighter, more... congealed or something.
F	MILES	How about the new ending? Did you like that?
M	JACK	Oh yeah. Much better.
F	MILES	There is no new ending. Page 750 on is exactly the same.
M	JACK	Well, then I guess it must have felt new because everything leading up to it was so different.
M	JACK	It's Christine. Hey you.
M	CHRISTINE (ON PHONE)	You guys having fun?
M	JACK	Yeah. All twenty minutes so far have been a blast.
M	CHRISTINE (ON THE PHONE)	Good. That's good.
M	JACK	So what's up?
M	CHRISTINE (ON THE PHONE)	Just seeing how you're doing. And, um, Mom and I were starting to look over the seating charts again, and we're wondering if you wanted Tony Levin to sit next to the Feldmans, or should he be at one of the singles tables?
M	CHRISTINE (ON THE PHONE)	So what do you think? With the Feldmans?
M	JACK	Yeah. The Feldmans.
M	CHRISTINE (ON THE PHONE)	Really? Because I don't know, I was thinking that --
M	JACK	Well, then put him at the singles table.
M	CHRISTINE (ON THE PHONE)	The problem with that is that then there's one extra --
M	JACK	Then put him with the Feldmans. Whatever you and your Mom decide is fine with me.
M	CHRISTINE (ON THE PHONE)	Don't dismiss me. I'm trying to include you in this decision. He's your friend.
M	JACK	I didn't dismiss you. I told you what I thought, but it didn't seem to matter, so you decide. Besides, this is supposed to be my time with Miles. I hope you're not going to call every five minutes.
M	CHRISTINE (ON THE PHONE)	I'm not going to call every five minutes, but this is important.
M	JACK	Honey, I'm just saying you know I need a little space before the wedding. Isn't that the point of this? Isn't that what we talked about with Dr. Gertler?
M	CHRISTINE (ON THE PHONE)	Why are you being so defensive?
M	JACK	I don't know, Christine. Perhaps it's because I feel attacked.
M	CHRISTINE (ON THE PHONE)	I ask you one simple question, and suddenly I'm attacking you.
M	JACK	Listen. I'll call you when we get there, and we can talk about it then, okay?
M	CHRISTINE (ON THE PHONE)	Bye.
M	JACK	I love you.
M	CHRISTINE (ON THE PHONE)	Bye.
F	MILES	Tony Levin? Why did you fucking invite Tony Levin?
M	JACK	Whoa, why are we getting off?
F	MILES	I've just got to make one quick stop. Won't take a second.
M	JACK	What?
F	MILES	I thought we could just say a quick hello to my mother.
M	JACK	Your mother? Jesus, Miles, we were supposed to be up there hours ago.
F	MILES	It's her birthday tomorrow. And I don't feel right driving by her house and not stopping in, okay? It'll just take a second. She's right off the freeway.
M	JACK (O.S.)	How old's she going to be?
M	MILES (O.S.)	Um... seventy... something.
M	JACK (O.S.)	That's a good age.
F	MILES	Wait a second.
M	MILES AND JACK	Surprise! Happy Birthday!
M	PHYLLIS	My God. Miles. And Jack! What a surprise. I can't remember the last time you brought me flowers.
M	JACK	They're from both of us.
M	PHYLLIS	A famous actor bringing me flowers on my birthday. Don't I feel special?
F	MILES	A famous actor who's getting married next week.
M	PHYLLIS	Oh, that's right. Isn't that nice? I hope that girls knows how lucky she is, marrying no less than Derek Summersby.
M	JACK	Jeez, Mrs. Raymond, that was eleven years ago.
M	PHYLLIS	Well, you were wonderful on that show. I never understood why they had to give you that brain tumor so soon. Why that didn't make you the biggest movie star in the world is a sin. It's a sin.
M	JACK	Yeah, well, you should be my agent.
M	PHYLLIS	If I was, I would sing your praises up and down the street until they put me in the loony bin. Now Miles, why didn't you tell me you were coming and bringing this handsome man? Look how I'm dressed. I've got to run and put my face on.
M	JACK	You look fabulous, Mrs. Raymond.
M	PHYLLIS	Oh, stop it. Make yourselves comfortable. You boys hungry?
F	MILES	Yeah, I'm hungry.
F	MILES	Just a snack. Calm down.
F	MILES	Let me show you something. The secret to opening champagne is that once the cork is released, you keep pressure on it so you don't --
M	JACK	Just a second. Guy's going for $2500.
M	PHYLLIS (O.S.)	Ready for my close up!
M	PHYLLIS	Oh, champagne! Miles, why don't you bring that out onto the lanai? I thought we could eat on the lanai.
M	JACK	Mrs. Raymond, this is delicious. Absolutely delicious.
M	PHYLLIS	They're just leftovers.
M	JACK	Is it chicken?
M	PHYLLIS	I could have made something fancier if a certain someone had let me know that a certain someone was coming for a visit with a certain special friend. Could have made a pork roast.
F	MILES	It was a surprise, Mom.
M	PHYLLIS	And I could have already put clean sheets on the other bed and the fold- out. You are staying. Wendy, Ron and the twins are picking us up at 11:30 to go to brunch at the Sheraton. They do a magnificent job there. Wendy is so excited you're coming.
F	MILES	You talked to Wendy?
M	PHYLLIS	Just now. She's thrilled. And the kids.
F	MILES	Yeah, well. You know, Jack's pretty eager to get up to... you know, but, uh, yeah. We'll see how it goes.
M	PHYLLIS	Well, you boys do what you want. I just think it would be nice for us to be together as a family on my birthday.
F	MILES	Uh-huh. I'll be right back.
F	MILES	...six, seven, eight,... Nine.
M	PHYLLIS	And what was that other one you did, the one where you're the jogger?
M	JACK	Oh, that was for, uh, wait... That was for Spray and Wash.
M	PHYLLIS	Spray and Wash. That's the one.
M	JACK	Yeah, I remember the girl who was in it with me. She was something.
M	PHYLLIS	I just remember you jogging. So when's the wedding?
F	MILES	This Saturday, Mom, remember? We told you.
M	JACK	And Miles is my best man, Mrs. Raymond. My main man.
M	PHYLLIS	Miles, when are you going to get married again?
F	MILES	I just got divorced. Phyllis.
M	JACK	Two years ago, buddy.
M	PHYLLIS	You should get back together with Victoria. She was good for you.
M	PHYLLIS	She was good for you. And so beautiful and intelligent. You knew her, right?
M	JACK	Oh, yeah. Real well. Still do.
M	PHYLLIS	I'm worried about you, Miles. Do you need some money?
F	MILES	I'm fine. Jack. Jack.
F	MILES	She'll wake up.
M	JACK	Fuck, man. Too early in the morning for that, you know what I mean?
F	MILES	She's a kid, Jack. I don't even look at that stuff anymore.
M	JACK	That's your problem, Miles.
F	MILES	As if she'd even be attracted to guys like us in the first place.
M	JACK	Speak for yourself. I get chicks looking at me all the time. All ages.
F	MILES	It's not worth it. You pay too big a price. It's never free.
M	JACK	You need to get laid.
M	JACK	It'd be the best thing for you. You know what? I'm going to get you laid this week. That's going to be my best man gift to you. I'm not going to give you a pen knife or a gift certificate or any of that other horseshit.
F	MILES	I'd rather have a knife.
M	JACK	No. No. You've been officially depressed for like two years now, and you were always a negative guy anyway, even in college. Now it's worse -- you're wasting away. Teaching English to fucking eighth-graders when they should be reading what you wrote. Your books.
F	MILES	I'm working on it.
M	JACK	You still seeing that shrink?
F	MILES	I went on Monday. But I spent most of the time helping him with his computer.
M	JACK	Well, I say fuck therapy and what's that stuff you take, Xanax?
F	MILES	And Lexapro, yes.
M	JACK	Well, I say fuck that. You need to get your joint worked on, that's what you need.
F	MILES	Jack. This week is not about me. It's about you. I'm going to show you a good time. We're going to drink a lot of good wine, play some golf, eat some great food, enjoy the scenery and send you off in style.
M	JACK	And get your bone smooched.
M	JACK	What?
F	MILES	You know what? Let's take the Santa Rosa turnoff and hit Sanford first.
M	JACK	Whatever's closest, man. I need a glass.
F	MILES	These guys make top-notch Pinot and Chardonnay. One of the best producers in Santa Barbara county. Look how beautiful this view is. What a day!
M	JACK	I thought you hated Chardonnay.
F	MILES	I like all varietals. I just don't generally like the way they manipulate Chardonnay in California -- too much oak and secondary malolactic fermentation.
F	MILES	Jesus, what a day! Isn't it gorgeous? And the ocean's just right over that ridge. See, the reason this region's great for Pinot is that the cold air off the Pacific flows in at night through these transverse valleys and cools down the berries. Pinot's a very thin-skinned grape and doesn't like heat or humidity.
M	JACK	Hey, Miles. I really hope your novel sells.
F	MILES	Thanks, Jack. So do I. Here we are.
F	MILES	So what'd you guys finally decide on for the menu?
M	JACK	I told you. Filet and salmon.
F	MILES	Yeah, but how are they making the salmon? Poached with a yogurt-dill sauce? Teriyaki? Curry?
M	JACK	I don't know. Salmon. Don't you always have white wine with fish?
F	MILES	Oh, Jesus. Look, at some point we have to find out because it's going to make a big difference.
M	JACK	Let me call Christine.
F	MILES	Doesn't have to be now. Let's go taste.
M	JACK	I owe her a call anyway.
M	JACK	Hey, honey. So we're up here about to taste some whites, and we need to know how the caterers are going to make the salmon.
M	JACK	No, I know, I didn't forget, but we wound up at Miles's mom's house, and it got really late, and it was hard to call, so I'm calling you now. I said I was sorry. Yes, I did. You heard me say I was sorry, right?
M	JACK	Miles heard me say I was sorry.
M	JACK	Give me a break, will you? I just called to find out about the salmon -- for our wedding -- to be more involved, like you said -- and all you want to do is get into it about last night and, okay, I'm sorry. I'm sorry I didn't call. You're totally right. I know, but I'm trying to make this the best wedding I can with the best wine we can find. Don't I get any credit for that? Okay. Look, I've got to go. I'm out here in the parking lot, and Miles is waiting for me...
M	JACK	Baked with a butter-lime glaze.
F	MILES	Now we're talking.
M	CHRIS	This is the condemned man?
F	MILES	Here he is. Jack, Chris. Chris, Jack.
M	JACK	How you doing?
M	CHRIS	You guys want to start with the Vin Gris?
M	JACK	Sounds good.
M	JACK	This is rose, right?
F	MILES	Good, yeah, it is a rose. Only this one is rather atypically made from 100% Pinot Noir.
M	JACK	Pinot noir? Not again! You know, not all Pinots are noir.
F	MILES	Let me show you.
F	MILES	First take your glass and examine the wine against the light. You're looking at color and clarity. What color is it supposed to be?
F	MILES	Depends on the varietal. Just get a sense of it. Thick? Thin? Watery? Syrupy? Inky? Amber, whatever...
M	JACK	Huh.
F	MILES	Now tip it. What you're doing here is checking for color density as it thins toward the rim. Tells you how old it is, among other things, usually more important with reds. This is a very young wine, so it's going to retain its color pretty solidly. Now stick your nose in it.
F	MILES	Don't be shy. Get your nose in there.
F	MILES	What do you smell?
M	JACK	I don't know. Wine? Fermented grapes?
F	MILES	There's not much there yet, but you can still find... ...a little citrus... maybe some strawberry... passion fruit... and there's even a hint of like asparagus... or like a nutty Edam cheese.
M	JACK	Huh. Maybe a little strawberry. Yeah, strawberry. I'm not so sure about the cheese.
F	MILES	Now set your glass down and get some air into it.
F	MILES	Oxygenating it opens it up, unlocks the aroma and the flavors. Very important. Now we smell again.
F	MILES	That's what you do with every one.
M	JACK	When do we get to drink it?
F	MILES	Now.
M	JACK	How would you rate this one?
F	MILES	Usually they start you on the wines with learning disabilities, but this one's pretty damn good. This is the new one, right, Chris?
M	CHRIS	Released it about two months ago.
F	MILES	Nice job.
M	CHRIS	We like it.
M	JACK	You know, you could work in a wine store.
F	MILES	Yeah, that would be a good move.
F	MILES	Are you chewing gum?
M	JACK	Want some?
F	MILES	Hey Jack, hurry up! Just a minute!
M	JACK	I thought you said it was close. Now I'm all pitted out.
F	MILES	It's not even a mile.
M	JACK	We should have driven.
F	MILES	Not with the wine list these people have. We don't want to hold back.
M	JACK	You think I'm making a mistake marrying Christine?
F	MILES	Whoa.
M	JACK	Come on, do you think I'm doing the right thing? Tell the truth. You've been through it.
F	MILES	Well, you waited for good reason, and you proposed to Christine for some good reason. So I think it's great. It's time. You've got to have your eyes open, that's all. I mean, look at me. I thought Victoria and I were set for life.
M	JACK	Christine's dad -- he's been talking about bringing me into his property business. Showing me the ropes. And that's something, considering how long it took him to get over I'm not Armenian. So I'm thinking about it. But I don't know, might get a little incestuous. But Mike does pretty well. A lot of high-end commercial stuff.
F	MILES	So you're going to stop acting?
M	JACK	No way. This would just provide some stability is what I'm saying. I can always squeeze in an audition or a commercial here and there, you know, keep myself in the game in case something big comes along.
F	MILES	Uh-huh.
M	JACK	We're not getting any younger, right? And my career, well, it's gotten pretty, you know, frustrating. Even with my new manager. Maybe it's time to settle down.
F	MILES	If that's what feels right.
M	JACK	It does. Feels right.
F	MILES	Then it's a good thing.
M	JACK	Yeah. It's good. Feels good.
M	GARY	Hey, Miles. Long time no see.
F	MILES	Gary.
M	GARY	When's that novel of yours coming out? We all want to read it.
F	MILES	Soon, soon. Say, this is my buddy Jack. He's getting married next week.
M	GARY	My condolences.
F	MILES	What are you pouring tonight?
M	GARY	Lot of good stuff. Got the new Bien Nacido. Want a taste?
F	MILES	Absolutement. They have their own label that's just outstanding.
