M	CHARACTER	DIALOGUE
M	ANCHORWOMAN	--addressing the United Nations today, the President expressed his concern over the increasingly intense territorial disputes in both Asia and the Middle East.
M	PRESIDENT	The sound of a bullet at one end of the world echoes across the ocean to the other end. Armed conflict is not self contained in its respective region--the consequences reverberate through every nation across the world and therefore must be avoided at all costs.
M	ANCHORWOMAN	While the President's position was clear, he did not comment on whether or not he would order Dr. Manhattan into action should the situation continue to escalate. With a wave of his hand, Dr. Manhattan stops the missile in
M	BLAKE	Just a matter of time, I suppose. With sudden, blinding speed, Blake WHIPS the SAUCER from --Blake PUNCHES the Intruder in the chest plate--the Intruder Blake falls. BLOOD blurs his vision. The Intruder picks Blake . and starts laughing. Hysterical.
M	BLAKE (CONT'D)	I always thought I knew the punchline. But I guess the joke's on me now. He laughs. The INTRUDER seems to regard Blake a moment-- . when the pin is WASHED AWAY.
M	COP 1	Hey! This is still a goddamn crime scene!
M	SHOPKEEPER	It's been over four hours, I got a business to run-- As they argue, we're back following the happy face pin, as --when someone picks the pin up. We're in this person's POV The NEWS VENDOR notices a MAN frowning at the papers.
M	NEWS VENDOR	Depressing ain't it?
M	MAN	But good for business, right?
M	NEWS VENDOR	Yeah. Irony's a bitch. The man pays for a newspaper when A HOMELESS MAN taps the
M	HOMELESS MAN	The current issue of The New Frontiersman, where is it?
M	NEWS VENDOR	It's late this month.
M	HOMELESS MAN	When will it be here?
M	NEWS VENDOR	I dunno, pal, like I said, it's late-- We MOVE BACK ACROSS THE STREET, to Blake's apartment
M	DET. FINE	Edward Blake--63 years old, six-two, 225. A solid 225, guy was built like a linebacker. This is plate glass too, you'd have to step on the gas just to put a crack in this. Had to be a two man job. At least. You check the bedroom?
M	DET. GALLAGHER	Drawers were open, tossed through. Mattress flipped.
M	DET. FINE	Robbery?
M	DET. GALLAGHER	Or made to look like one. Found that in the bedroom. Det. Fine studies it. It's Blake's UNITED NATIONS ID. It
M	DET. GALLAGHER (CONT'D)	You see this? He picks up a PHOTO from the floor, hands it to Fine.
M	DET. GALLAGHER (CONT'D)	Shaking hands with the President.
M	DET. FINE	You're saying this guy was a spook? You think this might be a political murder?
M	DET. GALLAGHER	I think that this is way bigger than the both of us. He leaves Det. Fine to ponder this.
M	RORSCHACH (V.0.)	Rorschach's Journal, October 12th. Earlier today I came across what appeared to be a suicide. It was later learned to be a homicide. Someone's time was up. Still in POV, we see the person pull something from his
