M	CHARACTER	DIALOGUE
M	FIRST VILLAGER (WALTER)	Fumbling fool! For two kronen I'd rip that box fight out of his hands.
M	ILSE (HIS WIFE)	Shhh!
M	NINETY-YEAR-OLD VILLAGER (HENRICH)	Hurry. Idiot, hurry!
M	AGATHA (HIS WIFE)	Quiet, Henrich! We've waited seventy years... another three or four seconds won't hurt.
M	NINETY-YEAR-OLD VILLAGER	Another three of four more seconds? I could be dead by then.
M	AGATHA	Shhh!
M	FIFTH VILLAGER (A MAN)	What if he's left you out?
M	HELENE (HIS GIRL FRIEND)	Just let him try -- I'll take care of him.
M	ANASTASIA (A MIDDLE-AGED WOMAN)	Oh, Mommy...I hardly remember. Did the Baron really like me when I was a child?
M	MARLENE (HER MOTHER)	Like a father!
M	NINTH VILLAGER (WOLFGANG)	Wenn dieser Bloder kerl sich nicht beeilt verde ich verruckt. Was zum Teufel machte?
M	MARLENE	Shhh!
M	CORNELIUS WALDMAN	'I, Beaufort Frankenstein, in this my eighty third year of life, do hereby make, publish and declare the following statements as and for my last will and testament, and I direct my executor, Cornelius Waldman, to inform and assemble those persons previously divulged to him, that they may hear -- in my own voice -- the final disposition of my property.'
M	CORNELIUS WALDMAN	'Such disposition to commerce at the hour of twelve o'clock of my one hundredth birthday. If all the conditions heretofore set forth have been met, now then -- hear once more, and for the last time...the authenticity of my own voice!'
M	VOICE OF BEAUFORT FRANKENSTEIN	How do you do this thing? Where? In here? Just talk right into it? All right. Am I close enough? All right, all right -- get the hell out of the way. The once proud name of Frankenstein has been dragged, by my only son, Victor, into an abyss of shame. There was a time when the name 'Frankenstein' conjured dreams of virtue, of honor and devotion. Now, no guilt, no malignity, no misery can be found to equal mine. And the catalogue of sins of my once devoted son will not cease to rankle in my wounds until death shall close them forever -- so supremely frightful is the effect of any human endeavor to mock the stupendous mechanism of the Creator of the world. Did you get all that? Are you sure you got 'rankle in my wounds'? I'll kill you if you screw this up. All right, all right. Now as to the disposition of my estate.
M	VOICE OF BEAUFORT FRANKENSTEIN	To my cousins, Henrich and Agatha...
M	VOICE OF BEAUFORT FRANKENSTEIN	...and to my cousin Walter and his wife Ilse...
M	VOICE OF BEAUFORT FRANKENSTEIN	...and to my niece Helene...
M	VOICE OF BEAUFORT FRANKENSTEIN	...and my dear nephew Wolfgang...
