M	CHARACTER	DIALOGUE
M	MARIA (O.S.)	...but you took a huge bet on the housing crisis in the middle of the biggest boom anybody'd ever seen. Why?
M	ROBERT (O.S.)	I'm a child of the 50's. My father welded steel for the Navy. And my mother worked at the VA.
M	ROBERT	They lived through the Depression, Pearl Harbor, and the Bomb. And they didn't think bad things might happen; they knew they would happen.
F	MARIA	Is that what's happening now?
M	ROBERT	When I was a kid my favorite teacher was Mr. James. Mr. James said that world events always revolve around five things:
M	ROBERT	M-O-N-E-Y. Goldenrod - 4.17.11 2.
F	MARIA	Was this freshman econ?
M	ROBERT	This was fifth-grade econ. But this is something we've seen over and over again, time and time again, that competition for this-- limited amount of dollars out there, can make even the best of us manic. So it's not surprising that we see these asset bubbles, but when reality sets in of course, they burst.
M	GAVIN	Here you go... Goldenrod - 4.17.11 3. You're disappointed.
M	ROBERT	Quants? Derivatives structures? What was that about?
M	GAVIN	It makes no sense.
M	ROBERT	That's what you said last week. Why'd we go down there?
M	GAVIN	To sign.
M	ROBERT	And did we sign?
M	GAVIN	No.
M	ROBERT	No. We did not. Instead I fly two thousand miles for a marketing meeting... And where was Mayfield? What was this "emergency"? What was that about?
M	GAVIN	Did you speak to the auditors?
M	ROBERT	Why?
M	GAVIN	What if... we don't don't close this week... Goldenrod - 4.17.11 4.
F	ELLEN	Look, your grandfather's here!
M	ROBERT	Hi, guys! Goldenrod - 4.17.11 5.
M	GRANDCHILD	Hi Grampi! What did you bring us?
F	BROOKE	It's your birthday, Dad, not theirs. You're spoiling them rotten.
M	ROBERT	It's my job! It's my job. You guys turned out fine!
F	BROOKE	Debatable.
M	ROBERT	How you doin', son? Good?
F	ELLEN	We had to eat. The kids were starving...
M	ROBERT	No, no that's okay. Where's my drink, is this mine, here?
M	ALL	HEY! HAPPY BIRTHDAY! YAY!
M	ROBERT	Thank you, thank you, thank you all very much, it's such a surprise, I didn't even know it was my birthday! Goldenrod - 4.17.11 6. What did Mark Twain say about? He said-- old age... is clearly a case of mind over matter. If you don't mind, it doesn't matter. I've done a lot of things in my life, worked very hard, but being here, looking around-- at all these shining, radiant faces, I know that my best work is right here in this room, right now... I'm deeply proud of all of you. That's the best gift your mother and I could have hoped for, so, thank you...
M	PETER	...and to have sold the company to Standard this morning!
M	ROBERT	That, too, Peter, but- no business tonight-- no business!
F	ELLEN	Oh, here we go!
M	ROBERT	Although your one-track mind assures me you've got not only your mother's genes, but you've got mine, too!
M	ROBERT (CONT'D)	Now, I'm aware that may seem uncharacteristic, but maybe it's taken me sixty years to realize what's truly important -- and it's you guys so thank you all very much.
M	ALL	Hear, hear! Goldenrod - 4.17.11 7.
M	ROBERT	Kids are wild.
F	BROOKE	I don't know about me as a mom.
M	ROBERT	No, no no, you should have-- I want more "you's" around.
F	BROOKE	It's all about you, isn't it. Four... and nineteen.
M	ROBERT	Yeah, yeah yeah...
F	BROOKE	So what was that all about?
M	ROBERT	What?
F	BROOKE	The last time you made a speech like that we lost the Firestone bid.
M	ROBERT	Yeah, well... I just... wanted it to be about the family tonight.
F	BROOKE	You see this?
M	ROBERT	Yeah... Oy. You know how I feel about that. Trash can.
F	BROOKE	Peter's got a copy pinned up in the conference room.
M	ROBERT	Well, you gonna keep skirting around it?
F	BROOKE	Why sell our company? We make a great return, we give money to the causes we believe in...
M	ROBERT	My darling, you are still in your 20's. I am 60. That's a big difference in point of view.
F	BROOKE	Dad, you're not that old.
M	ROBERT	It catches up alright. And maybe there's some other things I'd like to do. Maybe I would like to spend a little more time with you guys... outside the office.
M	ROBERT (CONT'D)	What?
F	BROOKE	I'm just trying to imagine what we would do.
F	ELLEN	Where are you going?
M	ROBERT	Office.
F	ELLEN	Now?
M	ROBERT	Yeah I gotta finish up that thing.
F	ELLEN	But, I haven't given you your birthday present yet...
M	ROBERT	I'll be back as soon as I can.
M	ROBERT	Yeah, Gavin, it's me, uhh... When you get this -- I want you to call Chris Vogler at Fremaut, tell him I need to see him right away, okay? Goldenrod - 4.17.11 10.
F	JULIE	Okay...
M	ROBERT	Alright, I'm sorry. I'm sorry I'm late. I'm always late-- you know that-- and I'm sorry. And I'm always saying I'm sorry about being late. It doesn't mean I wouldn't rather be here with you.
M	ROBERT (CONT'D)	The show's gonna be beautiful.
F	JULIE	You gonna be there?
M	ROBERT	I will be there. Oh wow, that's great. Goldenrod - 4.17.11 11.
F	JULIE	I made this for you.
M	ROBERT	You made this? This is amazing. One candle, thank you very...
F	JEFFREY	Thank you, Diane.
M	JEFFREY (CONT'D)	So?
M	ROBERT	I'm here.
F	JEFFREY	Guess what's not?
M	ROBERT	Jeffrey, I told you, I'm...
F	JEFFREY	"...working on it," yeah. Well, while you're doing that, lemme tell you what's not working...
M	ROBERT	Jeffrey... Goldenrod - 4.17.11 12.
F	JEFFREY	...what's not working is my four hundred twelve million dollars that's sitting in your account so you can pass your audit, the four hundred twelve million that you needed, you said, for two weeks, and which has been languishing now for thirty-two days, while it could be elsewhere invested, earning an actual return, instead of couching the absurd lie that you're spinning.
M	ROBERT	What do you want me to say?
F	JEFFREY	That you're gonna get a signature from Mayfield, and that my hostage money and my fee are going to be sent to me promptly, say... by tomorrow?
M	ROBERT	I am solving the problem. I am getting you your money and your fee. You will have them very shortly.
F	JEFFREY	When?
M	ROBERT	As soon as they sign the contract.
F	JEFFREY	You know, I'm not the one with the liability, pal. I just made a loan. You're looking at jail for a thousand years for fraudulent conveyance and...
M	ROBERT	...Stop it! You don't have to talk to me like that!...
F	JEFFREY	I didn't get you into this mess!
M	ROBERT	You were a friend of mine!... Goldenrod - 4.17.11 13.
