M	CHARACTER	DIALOGUE
M	GORDON (V.O)	Harvey Dent was needed. He was everything Gotham has been crying out for. He was...a hero. Not the hero we deserved - the hero we needed. Nothing less than a knight, shining...
F	GORDON	But I knew Harvey Dent. I was...his friend. And it will be a very long time before someone inspires us the way he did. Gordon, choked with emotion, gathers the papers of his I believed in Harvey Dent. And we FADE TO BLACK. The Driver shoves the bespectacled man in front of the CIA
M	CIA MAN	Dr. Pavel, I'm CIA. Dr. Pavel nods, nervous. CIA Man hands the Driver a
M	DRIVER	He wasn't alone. CIA Man, confused, spots the Hooded Men. He turns to Dr.
M	CIA MAN	You don't get to bring friends. They are not my friends.
M	DRIVER	Don't worry, no charge for them.
M	CIA MAN	Why would I want them?
M	DRIVER	They were trying to grab your prize. (Smiles.) They work for the mercenary. The masked man. Bane? The Driver nods. CIA Man turns to his Special Forces Men.
M	CIA MAN	Get 'em on board - I'll call it in.
M	CIA MAN	What are you doing in the middle of my operation? the Agency lists me, my men, and Dr. Pavel here. But only one of you. CIA Man opens the cargo door. Special Forces hang Hooded Man Or he's wondering why someone would shoot a man before throwing him out of an aeroplane.
M	CIA MAN	Wiseguy, huh? At least you can talk. Who are you?
M	THIRD PRISONER	We are nothing. We are the dirt beneath your feet. And no one cared who I was until I put on the mask...
M	BANE	Who we are does not matter. What matters is our plan. If I pull this off, will you die?
M	BANE	It would be extremely painful.
M	CIA MAN	You're a big guy -
M	BANE	For you. CIA MAN Was being caught part of your plan?
M	BANE	Of course. Dr. Pavel refused our offer in favor of yours. We had to know what he told you about us.
M	DR. PAVEL	Nothing! I said nothing!
M	CIA MAN	Why not just ask him?
M	BANE	He would not have told us.
M	CIA MAN	You have methods.
M	BANE	Him, I need healthy. You present no such problem. CIA Man laughs for the Special Forces' benefit. A heavy bass
M	SERGEANT	Sir?
M	CIA MAN	Well congratulations, you got yourselves caught. What's the next step of your master plan? Crashing this plane... With no survivors. A Special Forces soldier spins around - an Armed Man is
M	BANE	Friend. They expect one of us in the wreckage. The man nods, unhooks himself, takes Bane's arm.
M	HOODED MAN 2	Have we started the fire? The fire rises. Hooded Man 2 hands Bane his line. Bane clips it around Dr.
M	BANE	Calm, Doctor. Now is not time for fear... Bane slides Dr. Pavel out of his seat. They hang in the
M	BANE	That comes later. Bane presses the detonator - the cabin drops from around
M	MAYOR (V.O.)	Harvey Dent Day may not be our oldest public holiday... ...moving past the enormous Gotham Bridge...
M	MAYOR (V.O.)	But we're here tonight because it's one of the most important... ...over the Gotham river to the Palisades on the far side... Harvey Dent's uncompromising stand against organized crime and, yes, ultimately, his sacrifice, have made Gotham a safer place than it was at the time of his death, eight years ago... ...finding a party in the grounds of Wayne Manor. The Mayor
M	MAYOR	This city has seen a historic turnaround. No city is without crime. But this city is without organized crime because the Dent Act gave law enforcement teeth in its fight against the mob. Now people are talking about repealing the Dent Act. And to them I say...not on my watch. Enthusiastic applause as the Mayor wraps up. I want to thank the Wayne Foundation for hosting this event. I'm told Mr. Wayne couldn't be here tonight, but I'm sure he's with us in spirit...
M	MAYOR (O.S)	Now I'm going to give way to an important voice...
M	CONGRESSMAN	Commissioner.
F	GORDON	Congressman.
M	CONGRESSMAN	Ever lay eyes on Wayne at one of these things? Gordon shakes his head. Gordon's Deputy Commissioner, Foley,
M	FOLEY	No one has. Not in years.
M	MAYOR (O.S)	He can tell you about the bad old days, when the criminals and corrupt ran this town with such a tight grasp that people put their faith in a murderous thug in a mask and a cape. A thug who showed his true nature when he betrayed the trust of this great man - (Turns to picture of Dent.) And murdered him in cold blood. The Congressman watches a tray of canapés breeze past, then
M	CONGRESSMAN	Sweetheart, not so fast with the chow.
M	MAID	Shrimp balls? The Congressman grabs two. The Maid moves off. The
M	MAYOR (O.S)	Jim Gordon can tell you the truth about Harvey Dent...
M	CONGRESSMAN	Jesus, Gordon, is that your speech? We're gonna be here all night.
F	GORDON	Maybe the truth about Harvey isn't so simple, Congressman. But I'll let him tell you himself - Commissioner Gordon? Applause. Gordon approaches the mike. Looks down at his long
F	GORDON	The truth...? I have written a speech telling the truth about Harvey Dent... Gordon folds up his speech. Maybe the time isn't right... Gordon stuffs the papers inside his jacket. The Congressman
M	CONGRESSMAN	Thank Christ for that... know is that there are a thousand inmates in Blackgate Prison as a direct result of the Dent Act. These are violent criminals, essential cogs in the organized crime machine that terrorized Gotham for so long. Maybe, for now, all I should say about Harvey Dent's death is this...it has not been for nothing. The figure on the balcony turns back into the mansion.
F	GORDON	The second shift reports in?
M	FOLEY	On your desk. But you should put in some more time with the Mayor -
F	GORDON	That's your department.
M	CONGRESSMAN	Anyone shown him the crime stats?
M	FOLEY	He goes by his gut, and it continues to bother him, whatever the numbers.
M	CONGRESSMAN	Must be popular with the wife.
M	FOLEY	Not really. She took the kids and moved to Cleveland.
M	CONGRESSMAN	He'll have plenty of time for visits. Mayor's dumping him in the spring.
M	FOLEY	Really? He's a hero.
M	CONGRESSMAN	War hero. This is peacetime. Stay smart, the job's yours.
M	MAID 2	They say he never leaves the East Wing.
M	MAID 3	I heard he had an accident - that he's disfigured.
M	ALFRED	Mr. Till, why are your people using the main stairs? Alfred places a glass of water on a tray next to a covered
M	ALFRED	Where's Mrs. Bolton?
M	MAID	She's up at the bar, sir. Can I help?
M	ALFRED	The East drawing room. Unlock the door, place the tray on the table, lock the door again. Nothing more.
M	ALFRED	I'm sorry, Miss Tate, but I've tried. He won't see you.
F	MIRANDA	It's important, Mr. Pennyworth. Her accent is European. Hard to place.
M	ALFRED	Mr. Wayne is as determined to ignore important things as trivial ones.
M	MALE VOICE (O.S.)	Don't take it personally, Miranda.
M	DAGGETT	Everyone knows Wayne's holed up in there with eight-inch nails, peeing into Mason jars. (To Alfred.) Good of you to let me on the grounds.
M	ALFRED	The Dent Act is about all Gotham. Even you, Mr. Daggett. Miss Tate, always a pleasure. Alfred turns and walks off. Daggett smiles, glib.
M	DAGGETT	Why waste your time talking to the man who threw away your investment on some save-the-world vanity project? He can't help you get your money back. But I can.
