M	CHARACTER	DIALOGUE
M	ZOMBIE	Brains! CLOSE ON the woman as she raises her hands and SCREAMS.
M	GRANDMA BABCOCK	What's happening now?
M	NORMAN	The zombie is eating her head, Grandma.
M	GRANDMA BABCOCK	That's not very nice. What's he doing that for?
M	NORMAN	Because he's a zombie. That's what they do.
M	GRANDMA BABCOCK	Well he's going to ruin his dinner. I'm sure if they just bothered to sit down and talk it through it'd be a different story. Norman CHUCKLES, as if the idea is absurd, then winces as Norman! Didn't I tell you to take out the garbage?
M	NORMAN	Coming, Dad!
M	GRANDMA BABCOCK	Tell him to turn up the thermostat too, will ya? My feet are like ice. Norman nods to her and shuffles over to the kitchen door. Sandra smiles at her son as he makes his way silently to
M	SANDRA BABCOCK	Hi. Whatcha watching in there?
M	NORMAN	Sex and violence.
M	SANDRA BABCOCK	Oh. That's nice. Perry glares over as Norman wrestles with the garbage.
M	PERRY BABCOCK	Can't you be like other kids your age and pitch a tent in the yard, or have a healthy interest in carpentry?
M	SANDRA BABCOCK	Perry...
M	NORMAN	I thought you said kids my age were too busy shoplifting and joyriding?
M	SANDRA BABCOCK	Norman! He hefts the bag onto the floor and ties it in a knot. Breezing into the kitchen through the back door while
F	COURTNEY	Oh yeah, he's r-i-double p-e-d. Like, a seven pack at least. Ew! Watch it! She pushes her brother out of the way as he drags the
M	SANDRA BABCOCK	Courtney, be nice.
F	COURTNEY	Yeah, she totally doesn't deserve him. I mean, she's nice and I really like her, but she's a complete loser. Yeah, I know. Courtney slumps into a chair at the table, twisting a
M	NORMAN	Dad? Grandma says, "Can you turn up the heating?" Her feet are cold. The bubble Courtney is blowing POPS against her face,
M	SANDRA BABCOCK	Now, Perry...
M	PERRY BABCOCK	How many times do we have to go through this, Son? Your grandmother is dead!
M	NORMAN	I know!
M	PERRY BABCOCK	Then why do you keep on talking to her?
M	NORMAN	Because she talks back!
F	COURTNEY	O-M-G, you are such a liar! ParaNorman 4.
M	NORMAN	I'm not making this up! I swear! She talks to me all the time!
F	COURTNEY	Oh yeah? Prove it! Norman levels her a look that says "you asked for this".
M	NORMAN	She said it's not very ladylike to hide photos of the High School quarterback with his shirt off in your underwear drawer. Sandra and Perry raise their eyebrows.
F	COURTNEY	I knew it! You've been sneaking around in my personal stuff!
M	NORMAN	No I haven't! Grandma told me!
F	COURTNEY	You are the worst! Courtney, brimming with outrage, storms out of the
M	SANDRA BABCOCK	Norman, I know you and Grandma were very close, but we all have to move on. Grandma's in a better place now.
M	NORMAN	No she's not, she's in the living room. Perry throws his arms in the air, swaying on the chair.
M	PERRY BABCOCK	Your grandmother was old and sick, and she died. That's all there is to it!
M	SANDRA BABCOCK	Perry, this is just part of the mourning process. ParaNorman 5.
M	PERRY BABCOCK	Stop indulging him! I'm nothing if I'm not liberal, but that limp- wristed, hippie garbage needs to be nipped in the bud! Norman SIGHS and steps between his parents as they argue.
M	PERRY BABCOCK (O.S.)	This behavior might be okay with your side of the family, but I'm not putting up with it anymore! Not me! Oh, not this again! PAN UP to find a light go on in Norman's bedroom window. Norman gets up off the bed and approaches the door.
M	PERRY BABCOCK	This isn't the West Coast, Sandra; people talk! They do!
M	SANDRA BABCOCK (O.S.)	He's just sensitive, Perry.
M	PERRY BABCOCK (O.S.)	Oh please, "sensitive" is writing poetry and being lousy at team sports... not this! I won't have him turn out like that uncle of yours! If that crazy old tramp has been around here putting ideas in Norman's head...
M	SANDRA BABCOCK (O.S.)	Perry, no one's had anything to do with Uncle Prenderghast in years! I bet he doesn't even know what Norman looks like! Norman quietly closes the door, and the room goes black.
M	MR PRENDERGHAST	Not much time, not much time... He pulls an old leather-bound book out from the mess, and ZOOM IN to the photograph, hurtling past the Babcocks and Courtney passes him as she comes down the stairs in the ParaNorman 7. Norman is watched dubiously by the occasional passer-by
M	NORMAN	Good morning! Hey Bruce! How's it goin'? Not much. I'm kind of late for school. I need to go. Hi, nice to see you guys. Good morning. Sorry I gotta run. Excuse me. Pardon me. See ya. At one street corner, Norman bends over a gutter. He is MAN'S POV - Norman crouches over the flattened remains of
M	NORMAN (CONT'D)	Hey there little buddy! C'mere! He realizes he is being stared at and slowly turns to
M	NORMAN (CONT'D)	Yeah, good to see you! How you doin'? Hi Mrs Hardman. You look nice today. I like what you've done with your hair.
M	HAIRDRYER GHOST	Does anyone smell burning?
M	HIPPY GHOST	Hey, peace, man.
M	NORMAN	Totally.
M	CIVIL WAR GHOST	As you were, soldier.
M	NORMAN	Sir, yes sir!
M	GREASER GHOST	Yo Norman, you playin' hookie?
M	NORMAN	No no, I'm just late for school. Sorry, I gotta go. How you doin'? ParaNorman 8.
M	MOBSTER GHOST	Hey, how you doin'? A little further along Norman nods pleasantly to the
M	NORMAN	Hi! How's it hanging?
M	PARACHUTIST GHOST	Ho ho! Haven't heard that one before. Well, it's a nice day. The town center is lacking in charm; its historical
M	SHERIFF HOOPER	Watch and learn. "Parking violation" is my middle name.
M	DEPUTY DWAYNE	Really? I thought it was Rhona. They glance up disdainfully as Norman passes by. Clearly SCHOOL KIDS line the path in front of Norman; a gauntlet A bell RINGS the start of the school day, and everyone Someone barges Norman with their shoulder, knocking his As the last of them head through the lobby doors, Norman Norman bends down to retrieve his spilled possessions, A voice behind his shoulder gives Norman a start.
M	ALVIN	Hey, ghost jerk! You know what? Norman turns to find textbook bully ALVIN, the only 6th
M	NORMAN	What do you want, Alvin?
M	ALVIN	Why don't you see some more ghosts, goober? ParaNorman 10. The kids LAUGH uproariously, encouraging Alvin to show
M	ALVIN (CONT'D)	Hey! Hey! Norman! Alvin points to a fly that has landed on the locker
M	ALVIN (CONT'D)	Talk to that. The kids around Alvin burst into LAUGHTER.
M	ALVIN (CONT'D)	That is so Alvin! The bullies strut away, content in the psychological
M	PUG	Loser!
M	ALVIN	That was good, right guys? Norman mutters as they leave, but not loud enough so as
M	NORMAN	Flies don't talk. Across the hall, Neil continues to watch with sympathy,
M	SALMA	Neil, come on. Let's go. ParaNorman 11.
M	MRS HENSCHER	You stink of illiteracy! Pilgrims? The Mayflower? Don't any of you know anything about the history of this town? Mrs Henscher tries her best to remain unfazed.
M	MRS HENSCHER (CONT'D)	Puritans were strict and devout settlers, who came here to build a home, a place without sin. What is it now Salma? Salma is holding her hand up. She looks like the Wicked
M	SALMA	Why is the witch always a hideous old crone with a pointy hat and a broomstick? I don't believe it's historically accurate, Mrs Henscher! Mrs Henscher's knuckles clench white around her script.
M	MRS HENSCHER	It's not supposed to be. It's supposed to sell postcards and key chains. So let's try it again. Top of page six, Norman. Norman skips ahead on his scroll.
M	NORMAN	The founding fathers of Blithe Hollow discovered an evil witch amongst them...
M	MRS HENSCHER	No no, Norman, with gusto! Like this! Waving her arms theatrically, she bellows Norman's lines,
M	MRS HENSCHER (CONT'D)	They put her on trial and hanged her! ParaNorman 12.
M	MRS HENSCHER (CONT'D)	But the vengeful witch cursed her accusers, seven of them in all, to die a horrible and gruesome death, and rise from their graves as the living dead; their souls doomed to an eternity of damnation! Now I want you to try that again, but with conviction! My reputation is at stake here, and I won't have this turn out like that wretched Kabuki debacle of oh-nine! As she launches into her lecture, Norman notices a change
M	MRS HENSCHER (CONT'D)	Norman! Are you listening to me, boy? Norman is brought back to the real world with a start,
M	NORMAN	Sorry, Mrs Henscher.
M	MRS HENSCHER	So am I. Now, unless there's any other issues, let us resume... They put her on trial and hanged her! Neil turns excitedly to Norman.
M	NEIL	Ooh! This is my moment! He shuffles toward Salma and swings his branch around, Norman is yanked off balance and staggers into Neil who The kids break into uncontrollable LAUGHTER.
M	ALVIN	Boom, baby!
M	NEIL	Sorry! Mrs Henscher flings her script into the air, her face
M	MRS HENSCHER	Oh, you useless bunch of... The school bell RINGS drowning out her howling voice.
M	NEIL	Norman, wait up!
M	NORMAN	I keep telling you, Neil. I like to be alone.
M	NEIL	So do I. Let's do it together! You shouldn't let them get you down. They always do stuff like that to me.
M	NORMAN	Why?
M	NEIL	Because I'm fat. And my allergies make my eyes leak. And I sweat when I walk too fast. And I have a lunchbox with a kitten on it. And I have Irritable Bowel Syndrome. I guess there's a whole bunch of stuff.
M	NORMAN	Doesn't it bother you? ParaNorman 14.
M	NEIL	Nah. You can't stop bullying, it's part of human nature. If you were bigger and more stupid, you'd probably be a bully too. It's called "survival of the thickest".
M	MR PRENDERGHAST (O.S.)	Psssst! The boys stop. It seems to be coming from the witch.
M	NEIL	That statue just "pissst" at us! Wild-eyed Mr Prenderghast suddenly leaps in front of
M	MR PRENDERGHAST	You know who I am?
M	NEIL	The weird stinky old bum who lives up the hill?
M	MR PRENDERGHAST	I was asking him.
M	NORMAN	Yes. I know. I was told not to talk to you. Sorry. Mr Prenderghast steps in front of Neil, leaning closer to
M	MR PRENDERGHAST	And you know why you're not supposed to talk to me? Norman tries to back away.
M	MR PRENDERGHAST (CONT'D)	I can see ghosts too! And I know that's not all you've been seeing lately, is it? Bad omens? Things you can't quite explain? Strange faces peering through the veil? Norman's eyes widen further. ParaNorman 15.
M	MR PRENDERGHAST (CONT'D)	And I'll bet no one told you about the witch's curse, did they?
M	NORMAN	Actually, we're learning about it in school..? I'm a tree! Mr Prenderghast impatiently turns his back on Neil and
M	MR PRENDERGHAST	There's something you really need to know! This is the most important thing you will ever hear! The fate of everyone depends on it! Now listen close... The witch's curse is real, and you're the one who has to stop it! Mr Prenderghast grabs Norman's arm and leans closer.
M	MR PRENDERGHAST (CONT'D)	You've gotta use your gift of talking to the dead! He breaks into a HACKING COUGH, face turning beet red and
M	MR PRENDERGHAST (CONT'D)	Because if you don't the witch's ghost... And this is the most important thing of all... You have to go up to the old graveyard and... Leave him alone! An apple bounces off Mr Prenderghast's head. He turns to
M	NEIL (CONT'D)	Don't make me throw this hummus! It's spicy! Mr Prenderghast thinks better of it and turns to flee the
M	MR PRENDERGHAST	This ain't done with! You'll see it soon enough! Watch for the sign! As he hobbles away, Neil peers down the street after the
M	NEIL	Jeez, what a dirty old creep!
M	NORMAN	He's my uncle.
M	NEIL	So is it true?
M	NORMAN	What? Norman just stares at him.
M	NEIL	Can you see ghosts? Like, everywhere? All the time?
M	NORMAN	Uh, yeah?
M	NEIL	Awesome! Do you think you can see my dog Bub? He was run over by an animal rescue van. Tragic and ironic. We buried him in the yard. Could you see him? Norman frowns disbelievingly, completely taken aback.
M	NORMAN	Maybe.
M	NEIL	Sweet! Come on!
M	MITCH	Neil? That you? ParaNorman 17.
M	NEIL	Hey Mitch! We're gonna go play with the dead dog in the garden and we're not even gonna have to dig him up first! Mitch sits up. He's a strapping six-foot jock with
M	MITCH	What'd you say? Mitch pulls his brother aside so as to exclude Norman,
M	MITCH (CONT'D)	Neil, isn't he that weird kid? Y'know, "Look at me, I talk to ghosts so people will pay attention to me." Mitch makes a goofy face and twitches farcically.
M	NEIL	Can you stop doing that? It's kinda stupid.
