M	CHARACTER	DIALOGUE
M	CHARLIE (V.O.)	Dear Friend, I am writing to you because she said you listen and understand and didn't try to sleep with that person at that party even though you could have. Please don't try to figure out who she is because then you might figure out who I am, and I don't want you to do that. I just need to know that people like you exist. Like if you met me, you wouldn't think I was the weird kid who spent time in the hospital. And I wouldn't make you nervous. I hope it's okay for me to think that. You see, I haven't really talked to anyone outside of my family all summer.
M	CHARLIE (V.O.)	But tomorrow is my first day of high school ever, and I really need to turn things around this year. So, I have a plan.
M	CHARLIE (V.O.)	As I enter the school for the first time, I will visualize what it will be like on the last day of my senior year.
M	CHARLIE (V.O.) (CONT'D)	Unfortunately, I counted, and that's...
M	SENIOR BULLY	Hop, freshman toads. Hop! Move it, boys!
M	CHARLIE (V.O.)	... 1,385 days from now.
M	LINEBACKER	Man, you got big.
M	NOSE TACKLE	Worked out all summer. Rock hard, dude.
M	BRAD HAYS	Would you guys get a room?
M	CHARLIE (V.O.)	Just 1,385 days.
M	CHARLIE (V.O.)	In the meantime, I'd hoped that my sister Candace and her boyfriend Derek would have let me eat lunch with their earth club.
F	CANDACE	Seniors only. What are you doing with a plastic spork?
M	DEREK	I don't want to bring back silverware--
F	CANDACE	Derek, you're Earth Club Treasurer. When my sister said no, I thought maybe my old friend Susan would want to have lunch with me.
M	CHARLIE (V.O.) (CONT'D)	In middle school, Susan was very fun to be around, but now she doesn't like to say hi to me anymore.
M	CHARLIE (V.O.) (CONT'D)	And then there's Brad Hays, who's the quarterback of our team. Before my brother went to play football for Penn State, he and Brad played together. So, I thought maybe he'd say hi to me. But Brad's a senior, and I'm me, so... who am I kidding?
M	CHARLIE (V.O.)	On the bright side, one senior decided to make fun of the teacher instead of the freshmen. He even drew on Mr. Callahan's legendary goatee with a grease pencil.
M	PATRICK	Boys, the prick punch is not a toy. I learned that in 'Nam back in '68. "Callahan," the sergeant said, "put down that prick punch and go kill some gooks." But you know what happened? That prick punch killed my best friend in a Saigon whorehouse.
M	MR. CALLAHAN	I heard you were going to be in my class. Are you proud being a senior taking freshman shop, Patty-Cakes?
M	PATRICK	My name is Patrick. You call me Patrick or you call me nothing.
M	MR. CALLAHAN	Okay... Nothing.
M	CHARLIE (V.O.)	I felt really bad for Patrick. He wasn't saying the impersonation to be mean or anything. He was just trying to make us freshmen feel better.
M	MR. CALLAHAN	Everyone open your safety guides. Nothing... why don't you read first?
M	PATRICK	Chapter 1. Surviving your fascist shop teacher, who needs to put kids down to feel big. Oh, wow. This is useful guys. We should read on.
M	CHARLIE (V.O.)	My last class of the day is advanced English, and I'm excited to finally start learning with the smartest kids in the school...
M	SMART ASS FRESHMAN	Nice Trapper Keeper, faggot.
M	BILL	Shhh. I'm Mr. Anderson. And thanks to Teach for America, I'm going to be your teacher for freshman English. This semester, we're going to be learning Harper Lee's To Kill a Mockingbird. Genius book. Now, who wants to get out of the first pop quiz?
M	BILL (CONT'D)	I'm shocked. Alright. You can skip the quiz if you tell me which author invented the paperback book. Anyone?
M	BILL (CONT'D)	He's British. He also invented the serial. In fact, at the end of chapter 3 of his first novel, he had a man hanging off a cliff by his fingernails. Hence, the term cliffhanger. Anybody?
M	FRESHMAN GIRL	Shakespeare.
M	BILL	That's a great guess, but no, Shakespeare didn't write novels. Anybody else? The author was... ... Charles Dickens. However, if you and I had gone to a play in Shakespeare's time, it would have cost 4 pennies. Can you imagine that? We would have put those pennies in a metal box, which the ushers would lock in the office. And that's where we get the term... anyone? "Office Depot!" "Office Supplies!"
M	BILL	I'll give you a free "A" on anything but the final term paper if you get it right.
M	BILL (CONT'D)	Box office.
M	BILL	You should learn to participate.
M	BILL (CONT'D)	Why didn't you raise your hand? They call you teacher's pet? Freak? I used to get spaz. I mean, come on, spaz?
M	BILL (CONT'D)	So, I heard you had a tough time last year. But they say if you make one friend on your first day, you're doing okay.
M	CHARLIE	Thank you, sir, but if my English teacher is the only friend I make today, that would be sort of depressing.
M	BILL	Yeah. I could see that.
