M	CHARACTER	DIALOGUE
M	PAT	What, are you kidding me? Sundays? I love Sundays. I live for Sundays. The whole family's together. Mom makes braciole. Dad puts the jersey on. We're all watching the game. Yeah, it drives me crazy, and yes, I was negative. You didn't even know that I loved it, Nikki, but I did. I just didn't appreciate it, or you, before." There is a knock at the door.
M	MALE ORDERLY (O.S.)	Come on. Time to go.
M	PAT	I lost all that. I blew it. But you also blew it. We can get it back. We're gonna get it back. It's all gonna be better now. I'm better now and I hope you are, too. And I'm
M	GONNA APPRECIATE--"	Another knock at the door. Pat ignores it.
M	PAT (CONT'D)	Hey, I'll be there in a minute, okay?
M	MALE ORDERLY (O.S.)	Doctor's waiting. Let's go.
M	PAT	I'll be there in a minute. Pat returns to his speech. That's true love. See glimpses of Pat's room: mayonnaise jar filled with water,
M	DANNY	Yeah, that's when I had long hair. People say I talk about my hair too much.
M	DANNY (CONT'D)	And it was just the way I wanted it, but he cut it back too far. He cut this side back too far trying to even it up. I didn't tell him to do that. I said, "Just cut it the way you cut it...."
M	PAT	Once you get in the right frame of mind, I think anything's possible. I think we get, we so often get caught in this state of negativity and it's a, it's a poison like nothing else.
M	DR. TIMBERS	...technically, you can take him out against our recommendation, but you assume a lot of liability in the eyes of the court. And he's just getting used to the routine here.
F	DOLORES	I don't want him to get used to the routine here. Eight months is already long enough.
M	PAT	Hey, Mom. Can we give Danny a ride to North Philly?
F	DOLORES	What? I don't understand.
M	PAT	Mom, no, it'll be fine. It'll be fine.
M	DANNY	I guess everybody's leaving today! Hello, Mrs. S. An honor to finally meet you. Pat told me all about you, how God made you rich in character, and you're the mighty oak that holds the household together, and not to mention the lasagna you make on game day when the Birds play.
M	PAT	Danny was in for assault because of crystal meth and alcohol.
M	DANNY	Bad combination.
M	PAT	Yeah. On top of an anxiety disorder.
M	DANNY	That was when I was an X-ray technician with my ADD and my anxiety. I had a lot of access to medication and I took advantage of it. That's when my hair was long, too. But my hair only grew when I was older. When I was younger, my hair didn't grow because my brother... Remember I told you about my brother, he had a Jheri curl, and I couldn't get a Jheri curl because my hair didn't grow long enough. I was so jealous of my brother... He's obsessed with his hair.
F	DOLORES	Hello? It looks great now.
M	DANNY	You like it?
M	PAT	It's good now.
F	DOLORES	Yes, it is.
M	DANNY	Wait, you're going the wrong way!
F	DOLORES	What? Are you sure about that? I'll bring him back right away.
M	DOLORES (CONT'D)	You lied to me, Pat. Danny's not allowed to leave.
M	PAT	All right, Mom, just hold on a sec. Let's just talk about this.
M	PAT	Mom, just listen--
F	DOLORES	Don't tou-...
F	DOLORES	...-ch the steering... ...wheel!
F	DOLORES	Pat, this whole thing was a mistake.
M	PAT	I'm sorry, Mom. You okay?
F	DOLORES	I am out on a limb for you with the courts right now.
M	DANNY	It's my fault. Pat didn't know. Pat didn't know. He's my friend, so he was rootin' for me. I'm havin' a disagreement with the hospital, but we're working it out. Take me back to the hospital, but take Pat home, he's fine. Trust me. You'll see, he's fine. It's my fault.
M	PAT	Mom, can we stop at the library? I wanna read Nikki's entire English high school syllabus.
M	PAT (CONT'D)	Mom, it's a good thing. I'm remaking myself.
M	RANDY (O.S. PRELAP)	DeSean Jackson. What happened to DeSean Jackson?
M	RANDY	Come on, tell me that one.
M	PAT SR.	It's insanity. He spikes the ball at the one yard line. The one- fucking-yard line. I mean, get into the end zone, dummy. I mean, he celebrates before he's even in!
M	RANDY	You know something? It's nothing new. Your team does that all the time. They get close... ...and then they blow it. They got an inferiority complex.
M	PAT SR.	Wait a minute, what are you talking about? What makes the Cowboys America's Team?
M	RANDY	Because we are, we're America's Team.
M	PAT SR.	You should be ashamed of yourself. We're in Philadelphia, what's the matter with you? You're a fucking traitor.
M	RANDY	What's more American than a cowboy?
M	PAT SR.	You know what's more American?
M	RANDY	What?
M	PAT SR.	Benjamin Franklin, that's what's more American.
M	RANDY	Benjamin Franklin?
M	PAT SR.	Benjamin Franklin. The founder of our country, here in Philadelphia.
M	RANDY	You mean the guy with the...
M	RANDY	...little glasses and the long scraggly hair? PAT SR. What about the lightning with the kite? He stood in the storm with a kite.
M	RANDY	If he wasn't on the hundred dollar bill, nobody...
M	RANDY (CONT'D)	...would even know who he is.
M	PAT SR.	What are you doing? No, no, no, no. Don't touch them, don't touch them.
M	RANDY	I didn't even touch `em. Why are you--, don't blame me.
M	PAT SR.	Who did this? Who took, who took, who took the...
M	PAT SR.	-the remotes like this? Did you do this, Randy?
M	RANDY	No, I don't touch them. As a matter of fact, I don't know why you need so many. Hey, there she is! Look how beautiful!
M	PAT SR.	What?! What's this?!
M	RANDY	Hey.
M	PAT SR.	Everything good?
M	PAT	Mm-hmm.
M	PAT SR.	Ahh.
M	PAT SR. (CONT'D)	Where is it?
M	PAT	It's right here.
M	PAT SR.	You got it. Ahh, well, we got that. We don't want them to steal that.
M	PAT	You still got yours?
M	PAT SR.	Yeah, I got mine.
M	PAT SR. (CONT'D)	So what, you don't talk to me? You didn't tell me you took him out.
F	DOLORES	Well, he's ready. Look at him.
M	PAT	You didn't tell Dad you were picking me up?
F	DOLORES	Don't worry about that.
M	PAT SR.	I wanna make sure when you come out that you're okay, and she didn't say anything. (to Dolores) You didn't tell me?
F	DOLORES	The court said yes. Don't worry.
M	PAT SR.	Yeah, but what did the doctor say? Because the, the court listens to the doctor.
M	PAT	Yeah, and the court said--
M	PAT SR.	The court listens to the doctor,
M	PAT	Dad, relax. The court said it's fine, okay? Let it go.
F	DOLORES	Don't worry.
M	PAT	Dad, I'm in there because of the court. That's the agreement that we made months ago. It was a plea bargain with the courts. The lawyer, he instructed me, he said that what we should plead that, and then I would serve eight months and then I'd get out.
M	PAT SR.	Yeah, no, I just--
F	DOLORES	It's all under control.
M	PAT SR.	Well...okay, okay. Congratulations.
M	PAT	Thank you. So what are you doing with yourself?
M	PAT SR.	You know, I'm gonna start a restaurant. It's gonna be a cheesesteak place.
M	PAT	How you gonna pay for it?
M	PAT SR.	I'm gonna pay for it, don't worry about it.
M	PAT	From your bookmaking?
M	PAT SR.	Who told you that?
M	PAT	Mom told me. Outside.
F	DOLORES	I did not. No, I didn't.
M	PAT	You just told me outside, Mom, what are you talking about? Five minutes ago, we were walking up the stairs, you said, "Don't say anything, but Dad lost his job and he's bookmaking."
M	PAT SR.	Why, Dolores? Why did you say that to him? He has the wrong idea. Everything's fine, Patrick. I'm more concerned about you than anything else.
M	PAT	Good, Dad. Good.
M	PAT SR.	Okay, the question, the big question, is what are you gonna do with yourself?
M	PAT	What am I gonna do? I'm getting in shape, I'm getting trim, I'm getting really fit for Nikki. I'm gonna read Nikki's teaching syllabus and get my old job back.
M	PAT SR.	Nikki sold the house. She left. Didn't your mother tell you that?
M	PAT	Let me tell you something. You don't know anything about my marriage, okay, Dad? All right? Our marriage...we're very, very much in love, okay? Just like you two.
M	PAT SR.	Listen, Patrick, she's gone. She's not around anymore. Nikki left.
M	PAT	What are you doing, Dad? You know what? Excelsior. Excelsior.
M	PAT SR.	What does that mean?
M	PAT	It means you know what I'm gonna do, I'm gonna take all this negativity and use it as fuel and I'm gonna find a silver lining, that's what I'm gonna do. And that's no bullshit. That's no bullshit. That takes work and that's the truth.
M	PAT	What the fuck?! Stupid fucking book! I just can't believe Nikki's teaching that book to the kids. I mean the whole time -- let me just break it down for you -- the whole time you're rooting for this Hemingway guy to survive the war and to be with the woman that he loves, Catherine Barkley...
F	DOLORES	It's four o'clock in the morning, Pat. ...and he does. He does. He survives the war, after getting blown up he survives it, and he escapes to Switzerland with Catherine. But now Catherine's pregnant. Isn't that wonderful? She's pregnant. And they escape up into the mountains and they're gonna be happy, and they're gonna be drinking wine and they dance -- they both like to dance with each other, there's scenes of them dancing, which was boring, but I liked it, because they were happy. You think he ends it there? No! He writes another ending. She dies, Dad! I mean, the world's hard enough as it is, guys. It's fucking hard enough as it is. Can't somebody say, "Hey, let's be positive? Let's have a good ending to the story?"
F	DOLORES	Pat, you owe us an apology.
M	PAT	Mom, for what, I can't apologize. I'm not gonna apologize for this. You know what I will do? I will apologize on behalf of Ernest Hemingway, because that's who's to blame here.
M	PAT SR.	Yeah, have Ernest Hemingway call us and apologize to us, too.
M	PAT SR.	Why didn't you run with me?
M	PAT	I was reading.
M	PAT SR.	Please. Do us a favor, don't read for a while. What are you wearing a garbage bag for?
M	PAT	I'm gonna go run now.
M	PAT SR.	Wait, wait, wait. You have to fix this window.
M	PAT	I'll fix it when I get back.
M	PAT SR.	Fix it now.
F	DOLORES	Get in the car, Pat. You have to go to therapy.
M	PAT	I don't wanna go to therapy.
F	DOLORES	You have to go. It's part of the deal. You can't live with us and not go.
M	PAT	Is that song really playing?
M	RECEPTIONIST	We have music sometimes.
M	PAT	That song is killing me. Could you please turn it off?
M	RECEPTIONIST	I can't.
M	PAT	What do you mean, you can't?
M	RECEPTIONIST	I don't have the controls. I'm sorry, I-- Did Doctor Timbers put you up to this? Is there a speaker here?
M	PAT (CONT'D)	Is, is the speaker here?
M	PAT (CONT'D)	I'm sorry. I'm sorry. Okay...I'm sorry. I'll fix all this, okay?
M	PAT	That was a messed up thing you did, Doctor Patel. That's a messed up thing. I'm sorry, but that's....
F	DR. PATEL	You can call me Cliff, please.
M	PAT	Yeah, well, Cliff, that's not the way you're supposed to meet people, okay? Why don't you write that down in your, I don't know, your little book you write stuff down in.
F	DR. PATEL	I'm sorry about that song. I just wanted to see if it was still a trigger for you.
M	PAT	Bravo. It's a trigger. I'm not gonna take any meds, I should just tell you that right now.
F	DR. PATEL	You have to take medicine.
M	PAT	No, I'm not gonna take any medicine. It makes me foggy-- No, you will have to take medication.
M	PAT	I don't want any meds, Doctor. Look, I am not the explosion guy, okay? My father is the explosion guy. I'm not that guy. He got kicked out of that stadium he beat up so many people at Eagles games, he's on the exclusion list. I had one incident.
F	DR. PATEL	One incident can change a lifetime.
M	PAT	But I'm ready. I'm ready to take responsibility for my side of the street. She just needs to take responsibility for hers. What's hers?
M	PAT	What's hers? Are you joking? Let's go back to the incident. I come home from work after I I left work early -- which I never do, by the way, but I got in a fight with Nancy, the high school
M	PAT	...principal. I come home and what's playing but the song from my wedding. The song that you so charmingly played out here today for us. That's playing and I don't think anything of it. Which is odd, `cause I should have. I come home, what do I see? I walk in the door and I see underwear and pieces of clothing and a guy's pants with his belt in it, and I walk up the stairs, and all...
M	PAT	...ll of a sudden I see the DVD player, and on the D-... ...-VD player is the CD and it's playing our wedding song, and then I look down and I see my wife's...
M	PAT	...panties on the ground and then- ...I look up and I see her naked in the shower...
M	PAT	...and I think, "Oh, that's kinda sweet, she's in the shower. What a perfect thing. I'm gonna find her and maybe I'll go in there. We never-... ...fuck in the shower anymore. Maybe today we will." I...
M	PAT	...pull the curtain back and there's the fucking history... ...-teacher with tenure.
M	PAT	And you know what he says to me? "You should probably go." That's what he says to me.
M	PAT	So yeah, I snapped. I almost beat him to death. But now I get fucking chastised for it? I'm parallel to my father? I don't think so.
F	DR. PATEL	All right. Can you talk about something that you did, before or after?
M	PAT	Yeah, about a week before the incident, I called the cops and I told them that my wife and the history guy were plotting against me by embezzling money from the local high school, which wasn't true. It was a delusion. And we later found out from the hospital that's because I'm, uh...
F	DR. PATEL	...undiagnosed bipolar.
M	PAT	Yeah. With mood swings and weird thinking brought on by severe stress, which rarely happens, thank God. And then the shower incident happened and that's when everything snapped, so I then realized that, oh, wow, I've been dealing with this my whole life. And without any supervision I've been doing it all on my own with no help and basically I've been white-knuckling it this whole time.
F	DR. PATEL	That had to be hard.
M	PAT	Yeah. It's a lot to deal with, especially when you don't know what the hell is happening, which I do now. Sort of. Pat, you have to take your
M	PAT	I can't, Mom. I can't.
F	DOLORES	I will call them. They'll come for you.
M	PAT	Why would you do that? You wouldn't do that. Why would you call them?
M	PAT SR.	What's up?
M	PAT	I don't, I don't feel good when I'm on them, Mom. I don't feel good. I'm so much clearer without them. Mom, they make me bloated. I don't like the way it makes me look.
F	DOLORES	You've gotta take your medication.
M	PAT SR.	Why don't you just take your medication?
M	PAT	Come on, I'm doing it with my physicality. I've been workin' out, that's what I'm doin'. PAT SR. Why is he wearing a garbage bag?
F	DOLORES	Why are you wearing a garbage bag?
M	PAT	To sweat.
M	PAT SR.	Sit down. We're seven minutes in, no score. Come on, help turn the juju around.
M	PAT	I don't believe in juju, Dad.
M	PAT SR.	Come on, Mister Excelsior. You wanna be positive? Be positive. Sit down.
M	PAT	All right, all right.
M	PAT SR.	Come on.
M	PAT	For a second. I'll watch the beginning of the game.
F	DOLORES	He says you're good...
M	DOLORES (CONT'D)	..luck, honey.
M	PAT	What's that in your hand?
M	PAT SR.	It's a... see?
M	PAT	Handkerchief?
M	PAT SR.	Yeah.
M	PAT	That's OCD. That's crazy.
M	PAT SR.	What OCD? I want my son to watch the game with me, so sue me.
M	PAT SR. (CONT'D)	Just sit down, come on. I want you to watch the game with me. I'm not superstitious. That's a small thing that I do. If I make a lot of money, what's the difference if I do this or that? It's a small thing. Sit down. Come on.
F	DOLORES	I'm making crabby snacks and homemades.
M	PAT SR.	You see?! You see that?! You're meant to be here!
M	PAT SR. (CONT'D)	This is special. Everything happens for a reason. That's why you came home. Embrace it! Embrace it!
M	PAT	I'm the reason? I don't think so. Yeah, Tommy, Tommy, yes, yes. I got your whole sheet. Yeah. No, no...
M	PAT	Mom. ...I'm just confirming. I'm just confirming. Okay.
M	PAT SR.	Wait, wait, wait, wait.
F	RICKY	Can I do..an interview for a school project on mental illness?
M	PAT SR.	No. It's for a school project!
M	PAT SR.	Don't pay any attention.
M	PAT	Who's that? That's not Rick D'Angelo, is it?
F	DOLORES	That's him.
M	PAT	Is he the guy who's having the problem?
M	PAT SR.	People are stupid.
F	DOLORES	Yeah, that's the one.
M	PAT SR.	They, they, they, they don't know what they're saying. Don't let them hurt your feelings.
M	PAT	No, you shut the door in his face. I'm going for a run. No! (to kid Rick) Get outta here with that camera!
F	DOLORES	Pat, don't look for Nikki!
M	PAT SR.	Take your camera and get out of here!
M	PAT SR. (CONT'D)	Patrick, please.
F	DOLORES	Pat!
M	PAT SR.	Patty! Patty!
F	DOLORES	Don't look for Nikki!
M	PAT	Ms. Meckers!
F	NANCY	Oh, God! Oh, God! NANCY HURRIES to avoid him.
M	PAT	Nance! This is my lucky day! Look at you working on a Sunday!
M	PAT (CONT'D)	How are you? Hey.
F	NANCY	What are you doing here?
M	PAT	I just came by to say hi, to let you know I'm ready to come back to work.
F	NANCY	You shouldn't be here.
M	PAT	I'll work full-time, half-time. I'll sub, I'll work history, whatever you want.
M	PAT (CONT'D)	Here, let me give you a hand. I'm sorry. I'm being rude.
F	NANCY	I got it.
M	NANCY (CONT'D)	I got it. I got it.
M	PAT	Let me ask you something. Let me just ask you something. Does Nikki still work here?
F	NANCY	You know I can't tell you that. But Doug Culpepper is still here.
M	PAT	Why would you tell me that? You know he broke up my marriage. What, are you being, a troublemaker?
F	NANCY	You know, you look good. Did you lose a lot of weight?
M	PAT	I did, yeah. I did. Thank you.
F	NANCY	Get away from me! Get away!
M	PAT	I'm better. I just want to let you know, I'm better now. Okay? I'm better. I feel good. I feel so good. Look at my eyes. Look at my eyes. Look at how clear they are.
M	PAT	I'm not a complainer anymore. I'm a positive guy. Okay?
F	NANCY	You just have to give it some time.
M	PAT	Yes.
F	NANCY	You know, a lot went down. People will get over it. It'll be all good. It'll work out.
M	PAT	Yes! It will be!
M	PAT (CONT'D)	I'm gonna take that as a silver development, Nancy! A silver development! That's a silver lining!
F	NANCY	Good luck.
M	PAT	Ronnie! Pat. There he is! He's back!
M	PAT	Hey.
M	RONNIE	Welcome home.
M	PAT	Thank you.
M	RONNIE	Welcome back, man.
M	PAT	Yeah, I'm out.
M	RONNIE	Yeah? You're out out?
M	PAT	Uh-huh.
M	RONNIE	Cool, man. Wow, you lost a lot of weight. I almost didn't recognize you.
M	PAT	Thank you.
M	RONNIE	I'm sorry I didn't visit you in the hospital. You know, work's out of control, you know, she had the baby. I'm really glad you're back. I missed you. I really need someone to talk to. You gotta come see the baby. She's beautiful. And Veronica wants to make dinner for you.
M	PAT	Congratulations on the baby, but I'm not buying the invitation.
M	RONNIE	'Cause you think Veronica still hates you?
M	PAT	I know Veronica still hates me.
M	RONNIE	That's not true.
M	PAT	Yes, it is. Nikki always said that "Ronnie's wife keeps his social calendar where she keeps his balls, in her purse."
M	RONNIE	That's not true.
F	VERONICA	Ronnie! What are you doing?
M	RONNIE	Okay, it's a little true. But if you think she still hates you, you're wrong because why would she tell me to invite you to dinner? Hmm?
F	VERONICA	Did you invite him?
M	RONNIE	Yes.
F	VERONICA	Well, can he make it?
M	RONNIE	I don't know yet! (to Pat) Can you make it next Sunday?
M	PAT	Sure.
M	RONNIE	I'll see you next Sunday.
M	PAT	Now, you guys are still in touch with Nikki, right? Does Veronica still talk to Nikki?
M	RONNIE	Yeah. Get in here, please. I need you.
M	RONNIE	Okay.
M	PAT SR.	As soon as you left, the Redskins threw a trick play, a pitch out to Randal El. Andy Reid wastes a time- out challenging it, loses the challenge, loses the game. You're in this house, please show some respect for what I do. And we should spend time together anyway. I'm trying to keep you out of trouble, please.
M	PAT	I have very, good news, everybody. Very good news.
M	PAT SR.	What's that? What's the good news?
M	PAT	Things are looking up.
M	PAT SR.	Oh, are they?
M	PAT	You know what, I knew why they invited me over. I knew it.
M	PAT SR.	Listen, she might be with that guy. That, the....
M	PAT	Oh, no way!
M	PAT SR.	She--, no, she might be with him. She's afraid of you. She doesn't want to talk to you.
M	PAT	No way, Dad. You mean, Doug Culpepper?
M	PAT SR.	Put the phone down. You gotta...
M	PAT	Wait just a minute.
M	PAT SR.	...Put the phone down, please.
M	PAT	What are you doing?
M	PAT SR.	Listen--, stop.
M	PAT	Give me the phone. Dad, this is my life. Dad.
M	PAT SR.	Gimme the phone. Gimme the phone.
F	DOLORES	Pat!
M	PAT SR.	You gotta understand me. You wanna go back? Well then, stop this! Then don't fucking do this. Don't talk to me like that.
M	PAT SR.	Well then, don't behave this way. I got...a call asking to...
M	OFFICER KEOGH	...check on this house. Pat Solatano?
M	PAT	Yeah.
M	OFFICER KEOGH	Yeah? Missus Solatano, Mister Solatano, I'm Officer Keogh. I work this beat. Look, I heard about the restraining order. And I heard you went to your old house and the school. It's not okay. I've been assigned to your case, so you're gonna be seeing a lot of me. Do yourself a favor. Respect the restraining order, okay? Five hundred feet.
M	PAT SR.	You hear what he just said? You have a restraining order.
M	PAT	Yeah, Dad, I know.
M	PAT SR.	Thank you, Officer.
M	OFFICER KEOGH	If you need anything...my card.
M	PAT SR.	Thank you. Sorry. We understand.
M	PAT	Since when do cops have cards?
F	DR. PATEL	Tell me one thing. Would you like to be a guy who goes back to jail or to the hospital? Hmm? So take your medication and if you do fine, we'll reduce them.
M	PAT	Nikki's waiting for me to get in shape and get my life in order, and then she's gonna be with me. And that's better than any medication.
F	DR. PATEL	Pat, there's a possibility, and I want you to be prepared for it, that she may not return. True love is about letting her go and seeing if she returns. In the meantime, if you listen to that song, I don't want you to fall apart. So get a strategy, okay? You need one.
M	PAT	Let me say something, I gotta say something.
F	DR. PATEL	Okay.
M	PAT	This is what I believe to be true. This is what I learned in the hospital. You have to do everything you can, you have to work your hardest, and if you do, if you stay positive, you have a shot at a silver lining.
F	DR. PATEL	Work on a strategy, okay?
M	PAT	Hey, my friend Ronnie's having this party on Sunday night and it's like a real hoity-toity thing and his wife, Veronica's a real stickler for.... I don't know, my mom got this Gap outfit she wants me to wear, but I wanna wear a jersey that my brother, Jake, got me from the Eagles.
F	DR. PATEL	Which jersey?
M	PAT	DeSean Jackson.
F	DR. PATEL	DeSean Jackson is the man.
M	PAT	Well, that settles that.
M	RONNIE	Pat! What are you doin'?
M	PAT	I gotta go, man.
M	RONNIE	Why?
M	PAT	I can't stay, come on. I made a mistake, I shouldn't have worn this.
M	RONNIE	Dude, you're fine. I like that jersey. I wish I was wearing that jersey.
M	PAT	I feel like an idiot.
M	RONNIE	Are you comfortable?
M	PAT	Veronica's not gonna like it.
M	RONNIE	Get over here.
M	PAT	Plus you got a tie on.
M	RONNIE	Don't worry about it, you're the guest of honor. You come however you wanna come.
M	PAT	Really?
M	RONNIE	Get over here.
M	RONNIE	DeSean Jackson's in the house!
F	VERONICA	You mean rookie of the year?
M	RONNIE	Yeah. DeSean Jackson? DeSean Jackson? jersey to dinner.
M	RONNIE	Isn't it awesome?
F	VERONICA	Not for dinner.
M	RONNIE	Look, he got us flowers.
F	VERONICA	Oh, that's sweet. (to Pat) That's sweet, Pat. That's lovely.
M	RONNIE	And wine.
M	PAT	Hey.
F	VERONICA	Hey.
M	RONNIE	Check this out. We just redid the whole thing.
M	PAT	Wow! Tremendous. Tremendous.
M	RONNIE	Isn't it great?
M	PAT	Tremendous.
M	RONNIE	Yeah, man, I'm, I'm thinking of redoing it again.
M	PAT	Why?
M	RONNIE	Because.
M	PAT	Gotta be making a lot of paper to do that.
M	RONNIE	Yeah, we're doing all right, man. I can't complain.
M	PAT	Isn't the market down, though?
