M	CHARACTER	DIALOGUE
M	ERIC (V.0.)	Once upon a time, in deep winter, a Queen was admiring the falling snow when she saw a rose blooming in defiance of the cold.
M	ERIC (V.0.)	Reaching for it, she pricked her finger and three drops of blood fell. BOOM -- with the impact of an artillery shell, a DROP OF BLOOD
M	ERIC (V.0.)	And because the red seemed so alive against the white, she thought, if only I had a child as white as snow, lips as red as blood, hair as black as a raven's wings and all with the strength of that rose. A beat, then we hear the piercing cry of a new-born baby --
M	ERIC (V.O.)	Soon after, a daughter was born to the Queen and was named "Snow White." With a radiant smile, the Queen offers SNOW WHITE to her proud
M	ERIC V/O	And she was adored throughout the kingdom as much for her defiant spirit as for her beauty.
M	YOUNG SNOW WHITE	Pick it up, William. Her companion, William, also 7, braces himself, reaches down,
M	YOUNG WILLIAM	It's dying. It doesn't want to be touched.
M	YOUNG SNOW WHITE	Hurry, William! Hurry! They run down the dunes, waves crashing, the sand gleaming in
M	YOUNG SNOW WHITE	We found it in the woods. The Queen takes the wounded magpie from Snow White. The King
F	QUEEN	It will heal in time. Snow White's eyes are fixed on the little bird.
M	SNOW WHITE	I'll look after it. The King watches Snow White, hiding his sorrow behind a smile.
F	QUEEN	You possess a rare beauty, my love. In here. Never lose it. Hold it dear. You will need its strength to one day become Queen. He makes a point of the offer, holding it out, nodding. And now we PULL BACK to reveal the King and William's father,
M	KING MAGNUS	My daughter will need your son's friendship more than ever, Duke Hammond. As will I yours.
M	DUKE HAMMOND	We are here to serve you, your Majesty.
M	ERIC (V.0)	The next winter was the harshest in memory and Snow White's mother passed away. The garden is covered in snow but there is no red rose now. King
M	ERIC (V.0)	A year went by but the King was inconsolable. Taking advantage of his grief, dark forces gathered on the kingdom's borders. King Magnus, with Duke Hammond by his side, surrounded by a King Magnus and the Duke trade a look -
M	DUKE HAMMOND	From what hell comes this army?
M	KING MAGNUS	A hell they'll soon revisit! King Magnus SCREAMS A BLOOD CRY, kicks his horse and rides The two lines of warriors race, pell-mell to the center of Hand to hand combat at its most brutal. All down the line the same is happening - Shadow Warriors Strange. DUKE HAMMOND shatters an opponent as well and as loud and The King and the Duke watch in amazement as the rest of the
M	ERIC (V.0.)	The unholy army was defeated, leaving King Magnus with the spoils of victory. A CAGED PRISON WAGON. Odd. Not even sure how it got there. Inside the cage, a WOMAN COWERS, her face hidden behind a veil.
M	KING MAGNUS	You are now free. You have nothing to fear from me. Duke Hammond watches from outside the cage, a bit wary, as the
M	KING MAGNUS	What is your name, my lady? Slowly, the woman turns. For a moment the King wonders if it's
F	RAVENNA	My name is Ravenna, sire. The King is speechless now, gazing upon the face of an angel.
M	ERIC (V.0.)	So struck by her beauty was the King, that he forgot, for the first time, his broken heart. His gaze is so intense that Ravenna looks down for a moment.
M	RAVENNA'S MOTHER	This - is all that can save you, Ravenna. The young Ravenna looks away, distracted by SHOUTS and A little boy, FINN, runs as fast as he can through the snow Behind him, THE KING'S RIDERS advance on the camp.
M	BACK INSIDE THE WAGON	Ravenna's mother tries to keep her daughter's attention --
M	RAVENNA'S MOTHER	Ravenna! Present day. Still as a statue and even more beautiful as Attendants are preparing Ravenna for her wedding to the King.
M	SNOW WHITE (O.S.)	You're so beautiful... Ravenna snaps to and looks into the face of Snow White, Ravenna's face softens as she looks at the face of Snow As Snow White steps forward, the handmaidens withdraw until
F	RAVENNA	That is kind, child. Especially when it is said that yours is the face of true beauty in this kingdom. Snow White doesn't quite know how to answer this.
F	RAVENNA	Would you like to be dressed up like this and married one day? Snow White nods.
F	RAVENNA	I hope you'll invite me?
M	YOUNG SNOW WHITE	Of course. Snow White smiles, enchanted by her new friend.
F	RAVENNA	I know it is difficult, child. When I was your age I, too, lost my mother.
M	SNOW WHITE	You did?
F	RAVENNA	Yes. A King tore me from her arms, dressed me in lace and stole my innocence. Snow White's smile dies a bit; confused.
F	RAVENNA	I can never take your mother's place, but I feel that you and I are bound. I feel it here. Snow White mimics, touching her own heart, and smiles at Ravenna, in a sheer silk nightgown standing near the fireplace,
M	KING MAGNUS	Who are you?
F	RAVENNA	The bane of Kings. When she does arrive she slowly crawls onto the bed, rolls
F	RAVENNA	Sup, my lord. King Magnus drains the goblet, tosses it and gropes her body.
F	RAVENNA	Now you are mine. Her eyes gleam in the firelight. Magnus tries to playfully
F	RAVENNA	I will destroy you. Indeed, you will. She rips open his shirt then bends down and kisses him on the
F	RAVENNA	As my people were destroyed. As my family was destroyed. As I would have been destroyed. He is slightly confused by this and his face begins to show
F	RAVENNA	But when a woman stays young forever - no man can resist her - and the world is hers.
M	KING MAGNUS	What...?
F	RAVENNA	First I will take your life, my lord. Then I will take your throne. She reaches beneath the sheets, pulls out an ORNATE DAGGER Several Guards line the hallway. The door opens and Ravenna
F	RAVENNA	The King has laid down his sword for the night. Their eyes take her, lustfully, in as she strides away and Ravenna's mother takes Ravenna's hand and holds it over a
M	RAVENNA'S MOTHER	You must trust me, my love. With a small blade she nicks Ravenna's wrist. Three drops of
M	FINN	They're coming! The King's men!
F	RAVENNA	Drink! Ravenna chokes it down.
M	RAVENNA'S MOTHER	Drink! And with it the ability to steal youth and beauty! For that is your ultimate power and only protection. Finn steps forward.
M	FINN	I will protect my sister! Ravenna's mother reaches out and touches her son's forehead,
M	FINN	So it shall be, Finn.
F	RAVENNA	Welcome, brother. The Duke rides under the portcullis with William. His bodyguard
M	YOUNG WILLIAM	Father! The Princess! But the portcullis is down, separating Snow White and William.
F	RAVENNA	Mirror, mirror, on the wall Who is the fairest of them all? There'.s a brief silence, then the surface of the mirror ripples.
M	MIRROR MAN	it is you, my Queen! Yet another kingdom falls to your glory! Is there no end to your power and beauty? Ravenna smiles, moves to the center of the room, raises her arms SCREAMS! The scream becomes --
M	RAVENNA'S MOTHER	But be warned Ravenna: By fairest blood it is done and only by fairest blood can it be undone. Ravenna looks back to see her mother and other gypsies put to Finn struggles free and chases after the King's men as they All the wedding guests and nobles stand, held there by guards Ravenna stands at the top of the stairs.
F	RAVENNA	So kind of you all to stay over.
M	GENERAL	What shall we do with these? She eyes the noblemen and guests from left to right. Their There is none.
F	RAVENNA	To the sword. There are GASPS and SCREAMS as the Guards move the guests Ravenna notices Finn, off to one side, his dagger at the neck
F	RAVENNA	Finn! Finn stops his exit with Snow White, and turns. Ravenna
F	RAVENNA	Lock her away. One never knows when royal blood may be of value.
M	ERIC (V.0.)	The spell Ravenna's mother placed on her gave her the ability to steal youth and beauty, and indeed all things good, for her own evil purposes. But for every life there must be a death, for every gain, loss, and under the reign of Ravenna nature turned on itself and people turned on each other.
M	ERIC V/O	And all this time, she kept Snow White in a cell in the north tower. Ravenna, in the shadows, sits perfectly still. Though it's Around the corner, Finn secretly eyes his sister, who doesn't Ravenna, just outside the cell, doesn't blink, entranced by Snow White opens her eyes and sees Ravenna. This is not the
M	SNOW WHITE	Why?... Ravenna doesn't answer, just stands and walks away. It's only as we move closer to his rugged face that we see the SARA, beautiful, in pain. A patch of blood blossoms on her Help!!!! He rises to his feet unsteadily, his head pounding from a
M	ERIC	Lay a hand on her and I'll take your head!
M	BROCH	Ale given you courage again, huntsman?
M	ERIC	Won't take much courage to split your skull from here.
M	BROCH	Aye, but first you'd have to see straight. Broch advances with a grin, drawing his own axe. Trying to clear Broch is on Eric in an instant, swinging his huge battle axe. Rose looks on, terrified, as Broch drives Eric towards the The blade buries itself deep in the tree, stuck. We realize now
M	ROSE	Thank you. Eric turns. Rose sees how handsome he is. Eric stares at her
M	ROSE	I don't know how to repay you? Eric stares at her a moment, then suddenly picks her up and
M	ERIC	Don't worry, somebody else will.
M	SLAVE MERCHANT	Her nose is on the large size and her chin's a little weak.
M	ERIC	Your eyes are dim.
M	SLAVE MERCHANT	I'll give you two gold pieces.
M	ERIC	After all the business we've done together? Rose curses behind her gag as Eric pulls her away.
M	SLAVE MERCHANT	Four gold pieces and that's my final offer! Eric doesn't even bother to turn around.
M	ERIC	I'll peddle my wares elsewhere, thank you. The slave merchant sees his prize disappearing and calls out:
M	SLAVE MERCHANT	Ten gold pieces! Eric hesitates, but it's not from a guilty conscience, he's just A GUARD opens a cell opposite Snow White. A few seconds As soon as the Guard is gone, Snow White rises, walks to her
M	SNOW WHITE	Hello?... What's your name? Rose, sitting in a dark corner, goes to her cell bars and
M	ROSE	I am Rose. Snow White smiles - a friendly face. The General uses a pointer to make his presentation while
M	BLACK KNIGHT GENERAL	There are scattered rebel groups on the fringe of the dark forest, but they cause little harm. She dips her fingers into a bowl of DEAD SONGBIRDS, plucks
F	RAVENNA	And what of the Duke?
M	BLACK KNIGHT GENERAL	We have pushed his forces into the mountains but his stronghold at Carmath holds firm.
F	RAVENNA	Lay siege to it.
M	ANOTHER GENERAL	The mountains and fortress provide impenetrable protection, my Queen.
F	RAVENNA	Then lure him out! Burn every village that supports him. Poison their wells. If they still resist put their heads on pikes to decorate the roads!
